Orthogroup	Colletotrichum_godetiae	Colletotrichum_karsti
OG0001006	XP_060429567.1	XP_038742791.1
OG0001007	XP_060429802.1	XP_038746884.1, XP_038742729.1
OG0001009	XP_060422720.1	XP_038740118.1
OG0001010	XP_060435116.1	XP_038743559.1
OG0001011	XP_060433780.1	XP_038747489.1
OG0001012	XP_060431086.1	XP_038743689.1
OG0001013	XP_060431110.1	XP_038743664.1
OG0001014	XP_060431141.1	XP_038740654.1, XP_038741766.1, XP_038743706.1
OG0001016	XP_060431152.1	XP_038739156.1
OG0001017	XP_060427172.1	XP_038740169.1
OG0001018	XP_060430905.1	XP_038742523.1
OG0001021	XP_060430968.1	XP_038744882.1
OG0001022	XP_060422324.1	XP_038751014.1
OG0001023	XP_060427621.1	XP_038750875.1
OG0001024	XP_060425948.1	XP_038741674.1
OG0001025	XP_060430641.1	XP_038739132.1
OG0001027	XP_060422024.1	XP_038746063.1
OG0001028	XP_060432996.1	XP_038746092.1, XP_038746515.1, XP_038740844.1
OG0001030	XP_060433094.1	XP_038743636.1, XP_038740849.1
OG0001031	XP_060433150.1	XP_038749163.1
OG0001032	XP_060433304.1	XP_038743836.1
OG0001033	XP_060433315.1	XP_038743367.1, XP_038740918.1
OG0001034	XP_060433351.1	XP_038743372.1
OG0001035	XP_060433352.1	XP_038743371.1
OG0001036	XP_060433365.1	XP_038743432.1
OG0001037	XP_060424724.1	XP_038743442.1
OG0001038	XP_060424895.1	XP_038745571.1
OG0001040	XP_060436782.1	XP_038749106.1
OG0001041	XP_060427921.1	XP_038742297.1
OG0001042	XP_060432614.1	XP_038744149.1
OG0001043	XP_060432628.1	XP_038740504.1
OG0001044	XP_060432633.1	XP_038740502.1
OG0001046	XP_060427327.1	XP_038746549.1
OG0001048	XP_060430217.1	XP_038738674.1, XP_038743307.1, XP_038744754.1
OG0001049	XP_060426782.1	XP_038742589.1
OG0001050	XP_060424017.1	XP_038744863.1, XP_038740301.1
OG0001051	XP_060432384.1	XP_038751878.1
OG0001052	XP_060432407.1	XP_038751892.1, XP_038743397.1
OG0001053	XP_060432459.1	XP_038751835.1
OG0001055	XP_060433429.1	XP_038747074.1
OG0001056	XP_060433375.1	XP_038748092.1, XP_038748093.1, XP_038747035.1
OG0001057	XP_060422775.1	XP_038748126.1
OG0001058	XP_060426399.1	XP_038748364.1
OG0001059	XP_060432126.1, XP_060422555.1	XP_038747620.1
OG0001060	XP_060421344.1, XP_060425845.1, XP_060421343.1	XP_038747610.1
OG0001060	XP_060429450.1	XP_038743335.1
OG0001061	XP_060427272.1, XP_060425833.1	XP_038740711.1
OG0001065	XP_060428122.1	XP_038742580.1
OG0001067	XP_060425391.1	XP_038748184.1, XP_038741783.1
OG0001068	XP_060422161.1	XP_038750162.1, XP_038742545.1
OG0001070	XP_060423922.1	XP_038746367.1
OG0001072	XP_060432714.1	XP_038745865.1
OG0001073	XP_060432669.1	XP_038750279.1
OG0001074	XP_060432102.1	XP_038739029.1, XP_038740242.1, XP_038747851.1
OG0001076	XP_060432107.1	XP_038747909.1
OG0001077	XP_060424342.1	XP_038743302.1, XP_038748322.1
OG0001078	XP_060425570.1	XP_038749953.1
OG0001079	XP_060423787.1	XP_038751095.1
OG0001080	XP_060423750.1	XP_038744096.1
OG0001081	XP_060423741.1	XP_038744966.1, XP_038744088.1
OG0001083	XP_060422950.1	XP_038744208.1, XP_038747073.1
OG0001084	XP_060432192.1	XP_038747981.1
OG0001085	XP_060434087.1	XP_038745374.1
OG0001086	XP_060434094.1	XP_038739058.1
OG0001087	XP_060434211.1	XP_038743380.1, XP_038739426.1
OG0001088	XP_060422178.1	XP_038740424.1, XP_038746996.1
OG0001089	XP_060434896.1, XP_060424812.1	XP_038741104.1
OG0001090	XP_060424825.1	XP_038744921.1
OG0001091	XP_060422854.1, XP_060424828.1	XP_038746881.1
OG0001092	XP_060426230.1	XP_038746880.1
OG0001093	XP_060424868.1, XP_060428498.1	XP_038746744.1
OG0001094	XP_060421345.1, XP_060431779.1, XP_060421347.1	XP_038750608.1
OG0001095	XP_060431735.1	XP_038750523.1, XP_038739744.1, XP_038746587.1, XP_038741454.1
OG0001096	XP_060432946.1	XP_038745667.1
OG0001097	XP_060429047.1	XP_038741323.1
OG0001098	XP_060429007.1	XP_038741581.1
OG0001099	XP_060426873.1	XP_038741524.1
OG0001100	XP_060429754.1	XP_038751965.1
OG0001101	XP_060428956.1	XP_038747426.1
OG0001101	XP_060426939.1	XP_038745483.1
OG0001103	XP_060434255.1	XP_038748689.1
OG0001104	XP_060434265.1	XP_038751782.1
OG0001105	XP_060430314.1, XP_060433024.1	XP_038743649.1
OG0001106	XP_060430323.1	XP_038739690.1
OG0001107	XP_060430357.1	XP_038739440.1
OG0001108	XP_060435200.1	XP_038740744.1, XP_038743766.1, XP_038743767.1
OG0001109	XP_060426351.1, XP_060435058.1	XP_038746248.1
OG0001110	XP_060426300.1	XP_038746197.1
OG0001111	XP_060426269.1	XP_038746162.1
OG0001112	XP_060427181.1	XP_038740800.1
OG0001114	XP_060427233.1	XP_038742638.1
OG0001115	XP_060427319.1	XP_038740214.1
OG0001117	XP_060426226.1	XP_038738859.1
OG0001118	XP_060423936.1	XP_038749778.1
OG0001119	XP_060423953.1, XP_060430811.1	XP_038750922.1
OG0001120	XP_060425588.1	XP_038749849.1
OG0001121	XP_060429362.1	XP_038742877.1
OG0001122	XP_060429365.1	XP_038742879.1
OG0001123	XP_060428128.1	XP_038742586.1
OG0001123	XP_060429369.1	XP_038742881.1
OG0001124	XP_060429419.1	XP_038747642.1
OG0001125	XP_060429454.1	XP_038749969.1, XP_038742194.1
OG0001126	XP_060429469.1	XP_038749930.1
OG0001126	XP_060422792.1	XP_038744864.1
OG0001127	XP_060423445.1	XP_038738704.1
OG0001128	XP_060432906.1	XP_038745638.1
OG0001129	XP_060425343.1	XP_038746697.1
OG0001130	XP_060424967.1	XP_038744441.1
OG0001130	XP_060430369.1	XP_038751219.1
OG0001131	XP_060435059.1, XP_060423032.1, XP_060422670.1	XP_038744934.1
OG0001132	XP_060427363.1	XP_038746525.1
OG0001133	XP_060427371.1	XP_038746530.1, XP_038741266.1
OG0001136	XP_060436306.1	XP_038751426.1
OG0001137	XP_060436459.1	XP_038750197.1
OG0001138	XP_060422401.1, XP_060424635.1	XP_038748222.1, XP_038749722.1, XP_038739053.1
OG0001139	XP_060429676.1	XP_038745033.1
OG0001140	XP_060427121.1	XP_038739912.1
OG0001142	XP_060427053.1	XP_038739856.1
OG0001143	XP_060431833.1	XP_038744845.1, XP_038751108.1, XP_038739288.1
OG0001144	XP_060426059.1	XP_038740785.1, XP_038743938.1
OG0001146	XP_060436473.1	XP_038750205.1
OG0001147	XP_060434880.1	XP_038748683.1, XP_038741083.1
OG0001148	XP_060424120.1	XP_038740430.1, XP_038745126.1
OG0001149	XP_060425537.1	XP_038744961.1, XP_038744963.1
OG0001150	XP_060425553.1	XP_038746810.1
OG0001151	XP_060428465.1	XP_038740031.1
OG0001152	XP_060428584.1	XP_038749950.1
OG0001153	XP_060430746.1	XP_038742123.1
OG0001160	XP_060433581.1	XP_038748797.1
OG0001162	XP_060430071.1	XP_038743454.1
OG0001164	XP_060435062.1	XP_038743506.1, XP_038743507.1
OG0001165	XP_060437122.1	XP_038741026.1, XP_038741023.1
OG0001172	XP_060433862.1	XP_038746919.1
OG0001175	XP_060421870.1	XP_038746573.1, XP_038747898.1
OG0001177	XP_060429760.1	XP_038745382.1
OG0001189	XP_060429821.1	XP_038742747.1
OG0001190	XP_060422767.1	XP_038742826.1
OG0001191	XP_060422768.1	XP_038742824.1
OG0001193	XP_060436873.1	XP_038749028.1
OG0001194	XP_060437277.1	XP_038741044.1
OG0001195	XP_060433288.1	XP_038742474.1
OG0001196	XP_060435595.1	XP_038751337.1
OG0001197	XP_060435608.1	XP_038750983.1
OG0001198	XP_060435639.1	XP_038751286.1
OG0001199	XP_060435683.1	XP_038751258.1
OG0001200	XP_060435687.1	XP_038751254.1, XP_038740903.1
OG0001201	XP_060435690.1	XP_038751251.1
OG0001202	XP_060422867.1, XP_060435755.1	XP_038751238.1
OG0001203	XP_060435758.1	XP_038751235.1
OG0001204	XP_060435768.1	XP_038751242.1
OG0001205	XP_060435772.1	XP_038751167.1
OG0001206	XP_060435855.1	XP_038751016.1
OG0001207	XP_060434107.1, XP_060435894.1	XP_038751031.1
OG0001209	XP_060429890.1	XP_038742900.1, XP_038743093.1
OG0001210	XP_060429888.1	XP_038740969.1, XP_038743091.1
OG0001211	XP_060421471.1	XP_038742642.1
OG0001214	XP_060425645.1	XP_038744603.1
OG0001215	XP_060430558.1	XP_038746408.1
OG0001216	XP_060431401.1	XP_038748589.1
OG0001217	XP_060431400.1	XP_038748591.1
OG0001218	XP_060431360.1	XP_038749721.1
OG0001220	XP_060431330.1	XP_038748680.1
OG0001221	XP_060423028.1	XP_038747649.1
OG0001222	XP_060426160.1, XP_060422042.1	XP_038740789.1
OG0001223	XP_060434335.1	XP_038749491.1, XP_038746132.1
OG0001224	XP_060435513.1	XP_038751752.1, XP_038751412.1
OG0001225	XP_060433440.1	XP_038747077.1
OG0001227	XP_060436569.1	XP_038744661.1, XP_038740247.1
OG0001228	XP_060421720.1	XP_038744684.1
OG0001229	XP_060435003.1	XP_038741161.1
OG0001230	XP_060434499.1	XP_038749453.1
OG0001231	XP_060425791.1	XP_038747722.1
OG0001232	XP_060436943.1	XP_038745564.1, XP_038748952.1
OG0001233	XP_060436899.1	XP_038744614.1, XP_038749002.1
OG0001234	XP_060433794.1	XP_038747510.1
OG0001235	XP_060428714.1, XP_060428715.1	XP_038739002.1
OG0001236	XP_060428699.1	XP_038739016.1
OG0001237	XP_060428684.1	XP_038739032.1
OG0001238	XP_060428681.1	XP_038739048.1, XP_038739050.1
OG0001239	XP_060428248.1	XP_038739043.1, XP_038749762.1
OG0001240	XP_060428204.1	XP_038742660.1
OG0001241	XP_060423663.1	XP_038739174.1, XP_038749052.1, XP_038743270.1
OG0001242	XP_060425675.1	XP_038740602.1
OG0001243	XP_060425701.1	XP_038740617.1
OG0001244	XP_060425712.1	XP_038746852.1
OG0001245	XP_060425748.1	XP_038748134.1
OG0001246	XP_060425756.1, XP_060425759.1	XP_038748310.1
OG0001247	XP_060425765.1	XP_038740404.1, XP_038745389.1
OG0001248	XP_060424435.1	XP_038740644.1
OG0001249	XP_060424412.1	XP_038740662.1
OG0001250	XP_060424404.1	XP_038748094.1
OG0001251	XP_060424403.1	XP_038741567.1, XP_038748095.1
OG0001252	XP_060424400.1	XP_038748121.1
OG0001255	XP_060424383.1	XP_038740687.1
OG0001256	XP_060424366.1	XP_038739302.1, XP_038740668.1
OG0001257	XP_060429586.1	XP_038745341.1, XP_038748276.1
OG0001258	XP_060429604.1	XP_038748233.1
OG0001259	XP_060429608.1	XP_038748237.1
OG0001260	XP_060423126.1	XP_038748248.1
OG0001261	XP_060423128.1	XP_038747480.1
OG0001262	XP_060423179.1	XP_038748166.1
OG0001264	XP_060436860.1	XP_038749022.1
OG0001265	XP_060436868.1	XP_038749023.1, XP_038741493.1
OG0001266	XP_060434257.1	XP_038748687.1
OG0001267	XP_060434960.1	XP_038743468.1
OG0001268	XP_060430556.1	XP_038746406.1, XP_038747317.1
OG0001269	XP_060430548.1	XP_038746398.1, XP_038746626.1
OG0001273	XP_060430523.1	XP_038746380.1
OG0001274	XP_060430496.1	XP_038745350.1
OG0001278	XP_060422514.1, XP_060422470.1	XP_038740345.1
OG0001279	XP_060422467.1	XP_038740343.1
OG0001280	XP_060427973.1	XP_038742312.1
OG0001281	XP_060423290.1, XP_060437297.1	XP_038741632.1
OG0001282	XP_060437290.1	XP_038741038.1
OG0001283	XP_060437265.1	XP_038741566.1, XP_038738968.1
OG0001284	XP_060437197.1	XP_038744138.1, XP_038748851.1
OG0001285	XP_060437159.1	XP_038748786.1
OG0001286	XP_060437103.1	XP_038746052.1
OG0001288	XP_060437073.1	XP_038751547.1, XP_038740977.1
OG0001290	XP_060425112.1	XP_038748295.1, XP_038742003.1
OG0001291	XP_060433488.1	XP_038740993.1, XP_038747134.1
OG0001292	XP_060433496.1	XP_038747145.1
OG0001293	XP_060433532.1, XP_060433533.1	XP_038747173.1
OG0001294	XP_060433548.1	XP_038747185.1
OG0001295	XP_060431272.1	XP_038749743.1
OG0001296	XP_060431263.1	XP_038743824.1
OG0001297	XP_060431247.1	XP_038743807.1
OG0001298	XP_060431210.1	XP_038743776.1
OG0001299	XP_060435943.1	XP_038746977.1
OG0001300	XP_060426790.1	XP_038740258.1
OG0001301	XP_060425150.1, XP_060425440.1, XP_060425441.1	XP_038740828.1
OG0001302	XP_060425427.1	XP_038741745.1
OG0001303	XP_060431934.1	XP_038744617.1, XP_038739478.1
OG0001304	XP_060429238.1	XP_038750067.1
OG0001305	XP_060429214.1	XP_038746179.1, XP_038750154.1
OG0001307	XP_060423813.1	XP_038749689.1
OG0001308	XP_060423851.1	XP_038749652.1
OG0001309	XP_060423854.1	XP_038749647.1, XP_038747863.1
OG0001310	XP_060423878.1	XP_038744503.1, XP_038749621.1
OG0001311	XP_060423883.1	XP_038749618.1
OG0001314	XP_060421438.1, XP_060421439.1	XP_038748072.1
OG0001315	XP_060429932.1	XP_038745584.1, XP_038743124.1
OG0001317	XP_060429975.1	XP_038743156.1
OG0001318	XP_060430011.1	XP_038741918.1, XP_038743184.1
OG0001319	XP_060430016.1	XP_038743188.1
OG0001320	XP_060430023.1	XP_038743193.1
OG0001321	XP_060430079.1	XP_038743239.1
OG0001322	XP_060430198.1, XP_060430094.1	XP_038743251.1
OG0001323	XP_060434830.1	XP_038740428.1
OG0001324	XP_060434812.1	XP_038738703.1
OG0001325	XP_060434785.1	XP_038739345.1, XP_038740964.1
OG0001326	XP_060434775.1	XP_038740550.1
OG0001327	XP_060434730.1	XP_038741858.1
OG0001328	XP_060434716.1	XP_038740911.1
OG0001330	XP_060434699.1	XP_038749176.1
OG0001331	XP_060434684.1	XP_038749191.1
OG0001332	XP_060434682.1, XP_060434683.1	XP_038749192.1
OG0001333	XP_060434675.1	XP_038743169.1, XP_038749199.1
OG0001334	XP_060434643.1	XP_038749243.1
OG0001335	XP_060434632.1	XP_038749235.1
OG0001336	XP_060434576.1	XP_038748086.1, XP_038749481.1
OG0001337	XP_060434578.1	XP_038749483.1
OG0001338	XP_060433967.1	XP_038745264.1
OG0001339	XP_060433905.1	XP_038745205.1
OG0001340	XP_060433886.1	XP_038745196.1
OG0001341	XP_060428949.1	XP_038741187.1
OG0001342	XP_060429548.1	XP_038742802.1
OG0001343	XP_060429568.1	XP_038742792.1
OG0001344	XP_060424745.1	XP_038740046.1
OG0001345	XP_060424789.1	XP_038740078.1
OG0001346	XP_060422716.1	XP_038740120.1
OG0001348	XP_060422856.1, XP_060435072.1	XP_038743521.1
OG0001349	XP_060435103.1	XP_038743547.1
OG0001351	XP_060435154.1	XP_038743591.1
OG0001354	XP_060433722.1	XP_038747712.1, XP_038747455.1
OG0001356	XP_060433755.1	XP_038747477.1
OG0001357	XP_060435950.1, XP_060433756.1	XP_038747478.1
OG0001358	XP_060431070.1	XP_038743639.1, XP_038740878.1
OG0001359	XP_060431077.1	XP_038743720.1
OG0001360	XP_060434111.1, XP_060431105.1	XP_038743676.1
OG0001361	XP_060431137.1	XP_038743710.1
OG0001362	XP_060431150.1	XP_038743723.1
OG0001363	XP_060431173.1	XP_038743750.1, XP_038749855.1
OG0001364	XP_060431093.1, XP_060430853.1	XP_038742540.1
OG0001365	XP_060423584.1	XP_038740994.1
OG0001366	XP_060430874.1	XP_038742490.1, XP_038748049.1
OG0001368	XP_060430881.1	XP_038742488.1
OG0001369	XP_060430925.1	XP_038738771.1
OG0001370	XP_060430929.1	XP_038744924.1
OG0001372	XP_060430961.1	XP_038746502.1, XP_038744903.1
OG0001373	XP_060427669.1	XP_038750921.1
OG0001375	XP_060427630.1	XP_038750161.1
OG0001376	XP_060427625.1	XP_038742926.1
OG0001377	XP_060427618.1, XP_060422827.1	XP_038750871.1
OG0001378	XP_060423281.1, XP_060425931.1	XP_038741685.1
OG0001379	XP_060425974.1	XP_038745135.1, XP_038738981.1
OG0001380	XP_060425982.1	XP_038738988.1
OG0001381	XP_060435406.1	XP_038750848.1
OG0001382	XP_060430677.1, XP_060422499.1	XP_038738734.1
OG0001383	XP_060430646.1	XP_038739138.1
OG0001384	XP_060430620.1	XP_038739128.1
OG0001385	XP_060430593.1	XP_038738834.1
OG0001386	XP_060430574.1, XP_060430573.1	XP_038746424.1
OG0001387	XP_060430572.1	XP_038746423.1
OG0001388	XP_060425210.1	XP_038746005.1
OG0001389	XP_060422034.1	XP_038746048.1, XP_038748957.1
OG0001390	XP_060422030.1	XP_038741492.1, XP_038746055.1
OG0001391	XP_060422020.1	XP_038746067.1
OG0001393	XP_060433025.1	XP_038741863.1
OG0001394	XP_060433030.1	XP_038746114.1
OG0001395	XP_060433044.1	XP_038746130.1
OG0001396	XP_060425344.1	XP_038746700.1
OG0001398	XP_060433097.1	XP_038740854.1
OG0001399	XP_060433145.1, XP_060433144.1	XP_038746975.1
OG0001400	XP_060431024.1, XP_060433183.1	XP_038749142.1
OG0001401	XP_060433186.1	XP_038749140.1
OG0001403	XP_060433249.1	XP_038743340.1
OG0001404	XP_060433251.1	XP_038743283.1
OG0001405	XP_060433294.1	XP_038743401.1, XP_038749556.1
OG0001406	XP_060432595.1, XP_060433300.1	XP_038743312.1
OG0001407	XP_060433329.1	XP_038743419.1
OG0001408	XP_060433338.1	XP_038743407.1, XP_038739723.1
OG0001409	XP_060433344.1	XP_038743377.1
OG0001410	XP_060424707.1	XP_038743446.1
OG0001411	XP_060424708.1	XP_038742480.1, XP_038743447.1
OG0001412	XP_060424734.1	XP_038740029.1
OG0001413	XP_060424900.1	XP_038745578.1
OG0001414	XP_060425160.1	XP_038745967.1
OG0001415	XP_060432092.1	XP_038745971.1
OG0001416	XP_060432064.1	XP_038741690.1, XP_038749563.1
OG0001417	XP_060432026.1	XP_038745907.1
OG0001418	XP_060431996.1	XP_038739509.1
OG0001419	XP_060431980.1	XP_038745882.1
OG0001421	XP_060428312.1	XP_038739952.1
OG0001422	XP_060428780.1, XP_060428417.1	XP_038747257.1
OG0001423	XP_060428451.1	XP_038747226.1, XP_038742353.1
OG0001424	XP_060424247.1	XP_038750768.1, XP_038746865.1
OG0001425	XP_060424191.1	XP_038738943.1
OG0001426	XP_060422334.1	XP_038738934.1
OG0001427	XP_060422336.1	XP_038738932.1
OG0001428	XP_060437326.1	XP_038739416.1, XP_038738748.1
OG0001429	XP_060423034.1, XP_060429206.1	XP_038750166.1
OG0001430	XP_060428056.1, XP_060429205.1	XP_038750165.1
OG0001431	XP_060429202.1	XP_038751121.1
OG0001433	XP_060429166.1	XP_038750109.1
OG0001434	XP_060422321.1, XP_060429138.1	XP_038750119.1
OG0001435	XP_060429130.1	XP_038750148.1
OG0001436	XP_060429112.1	XP_038740131.1, XP_038750275.1
OG0001437	XP_060436556.1	XP_038747713.1, XP_038750273.1
OG0001439	XP_060436513.1	XP_038750238.1
OG0001440	XP_060436693.1	XP_038743595.1, XP_038744545.1
OG0001441	XP_060436730.1	XP_038744516.1
OG0001442	XP_060436811.1	XP_038749088.1
OG0001443	XP_060422415.1	XP_038738685.1, XP_038743453.1, XP_038744216.1, XP_038738722.1, XP_038738669.1
OG0001444	XP_060428824.1	XP_038739518.1
OG0001445	XP_060427068.1	XP_038739869.1
OG0001446	XP_060423111.1	XP_038744802.1
OG0001447	XP_060428008.1	XP_038742351.1
OG0001448	XP_060428021.1	XP_038742944.1, XP_038742344.1
OG0001449	XP_060428047.1	XP_038742019.1, XP_038741952.1
OG0001451	XP_060432634.1	XP_038740501.1
OG0001452	XP_060422959.1	XP_038741931.1
OG0001453	XP_060430980.1	XP_038740546.1
OG0001454	XP_060428508.1	XP_038746749.1
OG0001457	XP_060431038.1	XP_038740569.1
OG0001458	XP_060427454.1	XP_038744353.1
OG0001459	XP_060427441.1	XP_038746551.1
OG0001461	XP_060430252.1	XP_038744722.1
OG0001462	XP_060430186.1	XP_038747699.1, XP_038744777.1
OG0001463	XP_060430179.1	XP_038744784.1
OG0001464	XP_060430168.1	XP_038748635.1
OG0001465	XP_060430161.1	XP_038744798.1
OG0001466	XP_060430154.1	XP_038744797.1, XP_038746178.1
OG0001467	XP_060423112.1	XP_038747901.1, XP_038744803.1
OG0001469	XP_060421280.1, XP_060426774.1	XP_038740249.1
OG0001470	XP_060426772.1, XP_060421278.1	XP_038740248.1
OG0001471	XP_060426771.1, XP_060423972.1	XP_038740241.1
OG0001472	XP_060432387.1	XP_038751880.1
OG0001473	XP_060432406.1	XP_038751891.1
OG0001474	XP_060432442.1	XP_038751854.1
OG0001475	XP_060432584.1	XP_038749555.1
OG0001476	XP_060432588.1	XP_038751719.1
OG0001477	XP_060432591.1	XP_038742501.1, XP_038751720.1
OG0001478	XP_060435957.1	XP_038751710.1, XP_038740357.1
OG0001479	XP_060435989.1	XP_038751691.1
OG0001480	XP_060436001.1	XP_038751690.1
OG0001482	XP_060436226.1	XP_038751654.1, XP_038743537.1
OG0001483	XP_060436199.1	XP_038751621.1
OG0001484	XP_060436137.1	XP_038751578.1
OG0001485	XP_060433430.1	XP_038747084.1
OG0001486	XP_060433403.1	XP_038747049.1
OG0001488	XP_060426481.1	XP_038747009.1
OG0001489	XP_060426466.1	XP_038740452.1, XP_038748418.1
OG0001490	XP_060426463.1	XP_038748411.1
OG0001491	XP_060426454.1	XP_038748402.1
OG0001492	XP_060426453.1	XP_038748401.1
OG0001493	XP_060422064.1	XP_038746498.1
OG0001494	XP_060422588.1	XP_038747780.1
OG0001495	XP_060422587.1	XP_038748299.1, XP_038747781.1
OG0001496	XP_060422564.1	XP_038747626.1
OG0001497	XP_060423003.1	XP_038747818.1
OG0001498	XP_060423006.1	XP_038742248.1
OG0001499	XP_060423021.1	XP_038739214.1, XP_038739445.1
OG0001500	XP_060423030.1	XP_038747647.1
OG0001501	XP_060425863.1	XP_038747682.1
OG0001502	XP_060425843.1, XP_060421341.1	XP_038741299.1
OG0001503	XP_060427165.1	XP_038741446.1
OG0001504	XP_060426767.1	XP_038741479.1
OG0001505	XP_060426729.1	XP_038741400.1, XP_038750082.1
OG0001506	XP_060426695.1	XP_038741364.1
OG0001507	XP_060426669.1	XP_038741336.1
OG0001508	XP_060426661.1, XP_060433014.1	XP_038741726.1
OG0001509	XP_060426643.1	XP_038741700.1
OG0001510	XP_060426623.1	XP_038741718.1
OG0001511	XP_060425910.1, XP_060421326.1	XP_038741657.1
OG0001512	XP_060425911.1, XP_060421327.1	XP_038741656.1
OG0001513	XP_060421328.1, XP_060425912.1	XP_038741655.1
OG0001514	XP_060421329.1, XP_060425913.1	XP_038741654.1
OG0001515	XP_060428065.1	XP_038742567.1
OG0001516	XP_060423031.1	XP_038741873.1
OG0001517	XP_060428119.1	XP_038741850.1
OG0001518	XP_060428136.1	XP_038742592.1
OG0001519	XP_060428170.1	XP_038741318.1, XP_038742621.1
OG0001520	XP_060428173.1	XP_038741920.1
OG0001522	XP_060424991.1, XP_060428191.1	XP_038742649.1
OG0001523	XP_060432721.1	XP_038745859.1
OG0001524	XP_060432705.1	XP_038747895.1
OG0001525	XP_060432700.1	XP_038745871.1
OG0001526	XP_060432695.1	XP_038747888.1
OG0001527	XP_060432694.1	XP_038747889.1
OG0001528	XP_060421460.1, XP_060432691.1	XP_038747891.1
OG0001529	XP_060432685.1	XP_038745879.1
OG0001530	XP_060432680.1	XP_038745873.1
OG0001531	XP_060421589.1	XP_038747876.1
OG0001532	XP_060422812.1, XP_060421547.1	XP_038747859.1
OG0001533	XP_060432111.1	XP_038747912.1
OG0001534	XP_060423059.1	XP_038744890.1
OG0001535	XP_060423063.1	XP_038747714.1, XP_038744886.1
OG0001538	XP_060424348.1, XP_060421738.1	XP_038744048.1
OG0001539	XP_060424321.1	XP_038744056.1
OG0001540	XP_060423796.1	XP_038744148.1
OG0001541	XP_060423794.1	XP_038744115.1
OG0001543	XP_060429015.1	XP_038739310.1
OG0001544	XP_060431718.1	XP_038750536.1
OG0001545	XP_060427146.1	XP_038739934.1
OG0001546	XP_060423785.1	XP_038743640.1
OG0001547	XP_060423775.1, XP_060423776.1	XP_038744130.1
OG0001548	XP_060423764.1	XP_038744111.1
OG0001549	XP_060423718.1	XP_038744193.1, XP_038744583.1
OG0001551	XP_060422958.1	XP_038750465.1
OG0001552	XP_060432163.1	XP_038740050.1, XP_038747945.1
OG0001553	XP_060432246.1	XP_038748028.1
OG0001554	XP_060432253.1	XP_038748032.1
OG0001555	XP_060432274.1	XP_038748048.1
OG0001556	XP_060433984.1	XP_038747980.1, XP_038745276.1
OG0001557	XP_060434012.1	XP_038751874.1
OG0001558	XP_060434042.1	XP_038745329.1
OG0001559	XP_060434045.1	XP_038745330.1
OG0001560	XP_060434152.1	XP_038742394.1, XP_038739074.1
OG0001561	XP_060434204.1	XP_038750882.1, XP_038746657.1
OG0001562	XP_060434212.1	XP_038739432.1
OG0001564	XP_060421869.1	XP_038747306.1
OG0001565	XP_060422187.1	XP_038746981.1, XP_038739900.1
OG0001566	XP_060435946.1	XP_038740252.1, XP_038746956.1
OG0001567	XP_060421843.1	XP_038742250.1
OG0001568	XP_060424831.1	XP_038740811.1
OG0001569	XP_060433605.1	XP_038747354.1
OG0001570	XP_060433629.1	XP_038747380.1
OG0001571	XP_060426605.1	XP_038750626.1
OG0001572	XP_060426615.1	XP_038750634.1
OG0001573	XP_060421348.1, XP_060431782.1	XP_038750609.1
OG0001574	XP_060427915.1	XP_038742291.1
OG0001575	XP_060427902.1	XP_038742234.1, XP_038741764.1, XP_038751712.1
OG0001576	XP_060427893.1	XP_038742209.1, XP_038739180.1
OG0001577	XP_060427881.1	XP_038742220.1
OG0001578	XP_060429100.1	XP_038739343.1, XP_038750246.1
OG0001580	XP_060428980.1	XP_038741601.1
OG0001581	XP_060428921.1	XP_038741216.1
OG0001582	XP_060428916.1, XP_060428917.1	XP_038741213.1
OG0001583	XP_060428913.1	XP_038741218.1
OG0001584	XP_060428903.1	XP_038741228.1
OG0001586	XP_060428874.1, XP_060433284.1	XP_038743385.1
OG0001587	XP_060428858.1	XP_038742481.1, XP_038741279.1
OG0001588	XP_060423490.1	XP_038742012.1
OG0001590	XP_060423522.1	XP_038741556.1
OG0001591	XP_060423544.1	XP_038741317.1
OG0001592	XP_060426889.1	XP_038741511.1
OG0001593	XP_060426885.1	XP_038741514.1
OG0001595	XP_060426819.1	XP_038740236.1
OG0001597	XP_060426510.1, XP_060429759.1	XP_038745392.1
OG0001598	XP_060429730.1	XP_038745413.1
OG0001599	XP_060426941.1	XP_038748723.1, XP_038745485.1
OG0001600	XP_060426953.1	XP_038745493.1
OG0001602	XP_060426977.1	XP_038741619.1, XP_038745534.1
OG0001603	XP_060427822.1	XP_038751951.1
OG0001604	XP_060427801.1	XP_038751918.1
OG0001605	XP_060427796.1	XP_038751954.1
OG0001606	XP_060427729.1	XP_038739563.1
OG0001607	XP_060428821.1	XP_038739516.1
OG0001609	XP_060434229.1	XP_038739406.1
OG0001610	XP_060434230.1	XP_038739931.1, XP_038739404.1
OG0001611	XP_060430283.1	XP_038739640.1
OG0001612	XP_060430285.1, XP_060434120.1	XP_038739638.1
OG0001614	XP_060434122.1, XP_060430313.1	XP_038739390.1
OG0001615	XP_060430344.1	XP_038741901.1
OG0001616	XP_060430383.1	XP_038741909.1
OG0001617	XP_060435202.1	XP_038743615.1, XP_038738963.1
OG0001618	XP_060428260.1, XP_060435291.1	XP_038742380.1
OG0001619	XP_060430706.1	XP_038742086.1
OG0001620	XP_060430470.1	XP_038744574.1
OG0001622	XP_060424610.1	XP_038746316.1
