Orthogroup	Colletotrichum_godetiae	Colletotrichum_fructicola
OG0002102	XP_060435038.1	XP_031878399.1
OG0002103	XP_060435037.1	XP_066008617.1
OG0002104	XP_060435036.1	XP_066008659.1
OG0002105	XP_060435035.1	XP_031876929.1
OG0002106	XP_060435034.1	XP_031876956.1
OG0002107	XP_060435032.1	XP_031876940.1
OG0002108	XP_060435031.1	XP_031876941.1
OG0002109	XP_060435029.1	XP_031876922.2
OG0002110	XP_060429897.1	XP_031883880.1
OG0002111	XP_060429896.1	XP_031883950.1
OG0002112	XP_060429895.1	XP_031883883.1
OG0002113	XP_060429893.1	XP_031883885.1
OG0002114	XP_060429891.1	XP_031883882.1
OG0002115	XP_060429889.1	XP_031883842.1
OG0002116	XP_060429887.1	XP_031883963.1
OG0002117	XP_060429886.1	XP_031884024.1
OG0002118	XP_060429885.1	XP_031883820.1
OG0002119	XP_060429884.1	XP_031884025.1
OG0002120	XP_060429883.1	XP_031884021.1
OG0002121	XP_060429882.1	XP_031884022.1
OG0002122	XP_060429879.1	XP_031884020.1
OG0002123	XP_060429877.1	XP_031883873.1
OG0002124	XP_060431861.1	XP_066007575.1
OG0002125	XP_060431862.1	XP_031876519.2
OG0002126	XP_060431867.1	XP_031876516.1
OG0002127	XP_060431870.1	XP_031876515.1
OG0002128	XP_060431872.1	XP_031879874.1
OG0002129	XP_060431873.1	XP_031879875.1
OG0002130	XP_060431874.1	XP_031879828.1
OG0002131	XP_060431875.1	XP_031879842.1
OG0002132	XP_060431877.1	XP_031879841.1
OG0002133	XP_060431882.1	XP_031879811.1
OG0002134	XP_060431884.1	XP_031879877.1
OG0002135	XP_060431886.1	XP_066007796.1
OG0002136	XP_060429105.1	XP_031875621.2, XP_066009454.1
OG0002137	XP_060429107.1	XP_031878586.1
OG0002138	XP_060421417.1	XP_031893170.1
OG0002139	XP_060421418.1	XP_031893169.1
OG0002140	XP_060421419.1	XP_031893176.1
OG0002141	XP_060421420.1	XP_031893175.1
OG0002142	XP_060421421.1	XP_031893174.1
OG0002143	XP_060421423.1	XP_031893173.1
OG0002144	XP_060421468.1	XP_031892906.1
OG0002145	XP_060421470.1, XP_060421800.1	XP_031878179.1
OG0002146	XP_060429766.1	XP_031883424.1
OG0002147	XP_060429765.1	XP_031883423.1
OG0002148	XP_060429785.1	XP_031883308.1
OG0002149	XP_060429784.1	XP_031890800.1
OG0002150	XP_060429781.1	XP_031883427.1
OG0002151	XP_060429778.1	XP_031883315.1
OG0002152	XP_060429790.1	XP_031883428.1
OG0002153	XP_060429793.1	XP_031883430.1
OG0002154	XP_060429794.1	XP_031875818.1
OG0002155	XP_060429795.1	XP_031875801.1
OG0002156	XP_060429796.1	XP_031875809.1
OG0002157	XP_060434454.1	XP_031882818.1
OG0002158	XP_060434456.1	XP_066009912.1
OG0002159	XP_060434457.1	XP_031882781.1
OG0002160	XP_060434458.1	XP_031882778.1
OG0002161	XP_060434459.1	XP_031882777.1
OG0002162	XP_060434461.1	XP_031882779.1
OG0002163	XP_060434463.1	XP_031882945.1
OG0002164	XP_060434464.1	XP_031882947.1
OG0002165	XP_060434466.1	XP_031882942.1
OG0002166	XP_060434467.1	XP_031882943.1
OG0002167	XP_060434468.1	XP_031882944.1
OG0002168	XP_060434469.1	XP_031882941.1
OG0002169	XP_060434470.1	XP_031882911.1
OG0002170	XP_060434471.1	XP_031882825.1
OG0002171	XP_060434473.1	XP_031882898.1
OG0002172	XP_060434474.1	XP_031888357.1
OG0002173	XP_060434476.1	XP_031888360.2
OG0002174	XP_060434477.1	XP_031888361.2
OG0002175	XP_060434478.1	XP_031888359.1
OG0002176	XP_060434479.1	XP_031888552.1
OG0002177	XP_060434480.1	XP_031888551.1
OG0002178	XP_060434481.1	XP_031888557.1
OG0002179	XP_060434482.1	XP_031888560.1
OG0002180	XP_060434483.1	XP_031888559.1
OG0002181	XP_060434484.1	XP_031888554.1
OG0002182	XP_060434485.1	XP_031888553.1
OG0002183	XP_060424960.1	XP_031884388.1
OG0002184	XP_060421490.1	XP_031880771.1
OG0002185	XP_060421485.1	XP_066009437.1
OG0002186	XP_060421483.1	XP_031880697.1
OG0002187	XP_060421482.1	XP_031880700.1
OG0002188	XP_060423798.1	XP_031880672.1
OG0002189	XP_060423800.1	XP_031880745.2
OG0002190	XP_060423801.1	XP_031880671.1
OG0002191	XP_060423802.1	XP_066009582.1
OG0002192	XP_060423803.1	XP_031880675.1
OG0002193	XP_060423804.1	XP_031880636.1
OG0002194	XP_060423805.1	XP_031880710.1
OG0002195	XP_060423806.1	XP_031880711.1
OG0002196	XP_060423809.1	XP_066009445.1
OG0002197	XP_060431514.1	XP_066009725.1
OG0002198	XP_060431513.1	XP_031890568.1
OG0002199	XP_060431512.1	XP_031890540.1
OG0002200	XP_060431511.1	XP_031890569.1
OG0002201	XP_060431509.1	XP_031890571.1
OG0002202	XP_060431507.1	XP_031890538.1
OG0002203	XP_060431505.1	XP_031890512.1
OG0002204	XP_060431504.1	XP_031890511.1
OG0002205	XP_060431502.1	XP_031890487.1
OG0002206	XP_060431499.1	XP_031890493.1
OG0002207	XP_060431498.1	XP_031890494.1
OG0002208	XP_060431497.1	XP_031890683.1
OG0002209	XP_060431496.1	XP_031890684.1
OG0002210	XP_060431495.1	XP_031890685.1
OG0002211	XP_060431494.1	XP_031890681.1
OG0002212	XP_060431492.1	XP_031890680.1
OG0002213	XP_060431491.1	XP_031890499.2
OG0002214	XP_060431490.1	XP_066009696.1
OG0002215	XP_060431489.1	XP_031890500.1
OG0002216	XP_060431488.1	XP_031890501.1
OG0002217	XP_060431486.1	XP_031890502.1
OG0002218	XP_060431484.1	XP_031890503.1
OG0002219	XP_060431483.1	XP_031890504.1
OG0002220	XP_060431482.1	XP_031890505.1
OG0002221	XP_060431480.1	XP_031890507.1
OG0002222	XP_060431479.1	XP_031890508.1
OG0002223	XP_060431478.1	XP_031890602.1
OG0002224	XP_060431477.1	XP_031890601.1
OG0002225	XP_060431476.1	XP_031890594.1
OG0002226	XP_060431475.1	XP_031890593.1
OG0002227	XP_060431474.1	XP_031890596.2
OG0002228	XP_060431473.1	XP_031890595.1
OG0002229	XP_060431472.1	XP_031890598.1
OG0002230	XP_060431471.1	XP_031890597.1
OG0002231	XP_060431470.1	XP_031890600.1
OG0002232	XP_060431469.1	XP_031890599.1
OG0002234	XP_060431455.1	XP_031890397.1
OG0002235	XP_060431452.1	XP_031890394.1
OG0002236	XP_060431449.1	XP_031890400.1
OG0002237	XP_060431448.1	XP_031890401.1
OG0002238	XP_060431447.1	XP_031890399.1
OG0002239	XP_060431446.1	XP_031890604.1
OG0002240	XP_060431443.1	XP_031890419.2
OG0002241	XP_060431442.1	XP_031890418.2
OG0002242	XP_060431441.1	XP_066009831.1
OG0002243	XP_060431440.1	XP_066009832.1
OG0002244	XP_060431437.1	XP_066009830.1
OG0002245	XP_060431436.1	XP_031890412.1
OG0002246	XP_060431435.1	XP_031890413.1
OG0002247	XP_060431434.1	XP_031877880.1
OG0002248	XP_060431433.1	XP_031877829.1
OG0002249	XP_060431431.1	XP_031877811.1
OG0002250	XP_060431429.1	XP_031877815.1
OG0002251	XP_060431428.1	XP_031877865.1
OG0002252	XP_060431426.1	XP_031877860.1
OG0002253	XP_060431425.1	XP_031877863.1
OG0002254	XP_060431424.1	XP_066009850.1
OG0002255	XP_060431417.1	XP_031877871.1
OG0002256	XP_060431415.1	XP_066009711.1
OG0002257	XP_060431413.1	XP_031875357.1
OG0002258	XP_060431412.1	XP_031877825.1
OG0002259	XP_060431411.1	XP_031877823.1
OG0002260	XP_060431410.1	XP_066009629.1
OG0002261	XP_060431405.1	XP_031877810.1
OG0002262	XP_060431403.1	XP_031877876.1
OG0002263	XP_060431402.1	XP_031877874.1
OG0002264	XP_060431389.1	XP_031877831.1
OG0002265	XP_060431391.1	XP_031877833.1
OG0002266	XP_060431394.1	XP_031877834.1
OG0002267	XP_060431395.1	XP_031877861.1
OG0002268	XP_060431396.1	XP_031877818.1
OG0002269	XP_060431397.1	XP_031877819.1
OG0002270	XP_060431387.1	XP_031877832.1
OG0002271	XP_060431384.1	XP_031877877.1
OG0002272	XP_060431382.1	XP_031877864.1
OG0002273	XP_060431380.1	XP_066009961.1
OG0002274	XP_060431379.1	XP_031877869.1
OG0002275	XP_060431376.1	XP_031877839.1
OG0002276	XP_060431375.1	XP_031877838.1
OG0002277	XP_060431374.1	XP_031877841.1
OG0002278	XP_060431372.1	XP_031877872.1
OG0002279	XP_060431371.1	XP_031877835.1
OG0002280	XP_060431370.1	XP_031882805.2
OG0002281	XP_060431355.1	XP_031882858.1
OG0002282	XP_060431354.1	XP_031882861.1
OG0002283	XP_060431352.1	XP_031882860.1
OG0002284	XP_060431351.1	XP_031882863.1
OG0002285	XP_060431349.1	XP_031882744.1
OG0002286	XP_060426746.1	XP_031888017.1
OG0002287	XP_060431344.1	XP_031888807.1
OG0002288	XP_060431341.1	XP_031882987.1
OG0002289	XP_060431339.1	XP_031882750.1
OG0002290	XP_060431338.1	XP_031882885.1
OG0002291	XP_060431337.1	XP_031882810.1
OG0002292	XP_060431335.1	XP_031882886.1
OG0002293	XP_060431333.1	XP_031882888.2
OG0002294	XP_060431332.1	XP_031882889.1
OG0002295	XP_060431331.1	XP_031882743.1
OG0002296	XP_060431326.1	XP_031882812.1
OG0002297	XP_060431325.1	XP_031882821.1
OG0002298	XP_060431324.1	XP_031882814.1
OG0002299	XP_060431323.1	XP_031882914.1
OG0002300	XP_060431322.1	XP_031882915.1
OG0002301	XP_060431321.1	XP_031882727.1
OG0002302	XP_060431320.1	XP_031882726.1
OG0002303	XP_060431319.1	XP_031882922.1
OG0002304	XP_060431317.1	XP_031882927.1
OG0002305	XP_060431314.1	XP_031882916.1
OG0002306	XP_060431312.1	XP_031882917.2
OG0002307	XP_060431311.1	XP_031882800.1
OG0002308	XP_060431310.1	XP_031882804.1
OG0002309	XP_060431309.1	XP_031882803.1
OG0002310	XP_060431308.1	XP_066009617.1
OG0002311	XP_060431307.1	XP_031882801.1
OG0002312	XP_060431303.1	XP_031882891.1
OG0002313	XP_060431301.1	XP_031882896.1
OG0002314	XP_060431300.1	XP_031882895.2
OG0002315	XP_060431299.1	XP_031882894.1
OG0002316	XP_060431296.1	XP_031882790.1
OG0002317	XP_060431293.1	XP_031882796.1
OG0002318	XP_060431292.1	XP_031882797.1
OG0002319	XP_060431291.1	XP_066009874.1
OG0002320	XP_060431290.1	XP_031882792.1
OG0002321	XP_060431289.1	XP_031888310.1
OG0002322	XP_060431288.1	XP_031888309.1
OG0002323	XP_060431287.1	XP_031888312.1
OG0002324	XP_060431285.1	XP_031882879.1
OG0002325	XP_060431284.1	XP_031882880.1
OG0002326	XP_060431280.1	XP_031882755.1
OG0002327	XP_060431279.1	XP_031888448.1
OG0002328	XP_060431278.1	XP_031882842.2
OG0002329	XP_060431277.1	XP_031882820.1
OG0002330	XP_060431276.1	XP_066009951.1
OG0002331	XP_060421953.1	XP_031882836.1
OG0002332	XP_060421950.1	XP_066009633.1
OG0002333	XP_060421949.1	XP_031882760.1
OG0002334	XP_060421948.1	XP_066009743.1
OG0002335	XP_060421946.1	XP_031882844.1
OG0002336	XP_060421945.1	XP_031882845.1
OG0002337	XP_060421943.1	XP_031882875.2
OG0002338	XP_060421942.1	XP_031882878.1
OG0002339	XP_060421940.1	XP_031882877.1
OG0002340	XP_060421939.1	XP_031882754.1
OG0002341	XP_060421938.1	XP_031882899.1
OG0002342	XP_060421937.1	XP_031882757.1
OG0002343	XP_060421936.1	XP_031882759.1
OG0002344	XP_060421934.1	XP_066009632.1
OG0002345	XP_060422043.1	XP_031888307.1
OG0002346	XP_060422044.1	XP_031888308.1
OG0002347	XP_060422045.1	XP_031888547.1
OG0002348	XP_060422046.1	XP_031888548.1
OG0002349	XP_060422047.1	XP_031888549.1
OG0002350	XP_060422048.1	XP_031888550.1
OG0002351	XP_060422049.1	XP_066009762.1
OG0002352	XP_060434288.1	XP_031888545.1
OG0002353	XP_060422062.1	XP_031888541.1
OG0002354	XP_060422061.1	XP_031888542.1
OG0002355	XP_060422060.1	XP_066009765.1
OG0002356	XP_060422059.1	XP_031888339.1
OG0002357	XP_060422056.1	XP_031888344.1
OG0002358	XP_060422055.1	XP_031888343.1
OG0002359	XP_060422054.1	XP_031888342.1
OG0002360	XP_060422053.1	XP_031888341.1
OG0002361	XP_060422052.1	XP_031888345.1
OG0002362	XP_060434290.1	XP_031888315.1
OG0002363	XP_060434294.1	XP_066009980.1
OG0002364	XP_060434297.1	XP_031882864.1
OG0002365	XP_060434299.1	XP_031882865.1
OG0002366	XP_060434312.1	XP_031882901.1
OG0002367	XP_060434311.1	XP_066009875.1
OG0002368	XP_060434310.1	XP_031882907.2
OG0002369	XP_060434308.1	XP_031882910.1
OG0002370	XP_060434307.1	XP_031882908.1
OG0002371	XP_060434306.1	XP_031882903.1
OG0002372	XP_060434305.1	XP_031882902.1
OG0002373	XP_060434302.1	XP_031882905.1
OG0002374	XP_060434301.1	XP_066009836.1
OG0002375	XP_060434323.1	XP_031888501.1
OG0002376	XP_060434322.1	XP_031888500.1
OG0002377	XP_060434321.1	XP_031882728.1
OG0002378	XP_060434320.1	XP_066009834.1
OG0002379	XP_060434319.1	XP_031882730.1
OG0002380	XP_060434326.1	XP_031888301.1
OG0002381	XP_060434329.1	XP_031888302.1
OG0002382	XP_060434332.1	XP_031888505.1
OG0002383	XP_060434333.1	XP_031888502.1
OG0002384	XP_060434336.1	XP_031888509.1
OG0002385	XP_060434337.1	XP_031888506.1
OG0002386	XP_060434338.1	XP_031888507.1
OG0002387	XP_060434340.1	XP_031888306.1
OG0002388	XP_060434342.1	XP_031888304.1
OG0002389	XP_060434344.1	XP_031888303.1
OG0002390	XP_060434346.1	XP_031888482.1
OG0002391	XP_060434347.1	XP_031888481.1
OG0002392	XP_060434349.1	XP_031888480.1
OG0002393	XP_060434350.1	XP_066009873.1
OG0002394	XP_060434351.1	XP_031888478.1
OG0002395	XP_060434352.1	XP_031888487.1
OG0002396	XP_060434353.1	XP_031888486.1
OG0002397	XP_060434354.1	XP_031888295.1
OG0002398	XP_060434355.1	XP_031888296.1
OG0002399	XP_060434359.1	XP_066009659.1
OG0002400	XP_060434360.1	XP_031888266.1
OG0002401	XP_060434365.1	XP_031888273.1
OG0002402	XP_060434364.1	XP_031888274.2
OG0002403	XP_060434366.1	XP_031888268.1
OG0002404	XP_060434367.1	XP_031888267.1
OG0002405	XP_060434369.1	XP_031888270.1
OG0002406	XP_060434370.1	XP_031888269.1
OG0002407	XP_060434371.1	XP_031888468.1
OG0002408	XP_060434374.1	XP_031888477.1
OG0002409	XP_060434376.1	XP_031888475.1
OG0002410	XP_060434377.1	XP_031888472.1
OG0002411	XP_060434378.1	XP_031888473.2
OG0002412	XP_060434382.1	XP_031888471.1
OG0002413	XP_060434383.1	XP_031888252.1
OG0002414	XP_060434384.1	XP_031888251.1
OG0002415	XP_060434386.1	XP_031888256.1
OG0002416	XP_060434387.1	XP_031888255.1
OG0002417	XP_060434388.1	XP_031888254.1
OG0002418	XP_060434389.1	XP_031888253.1
OG0002419	XP_060434390.1	XP_031888260.1
OG0002420	XP_060434391.1	XP_031888259.1
OG0002421	XP_060434393.1	XP_031888258.1
OG0002422	XP_060434394.1	XP_031888257.1
OG0002423	XP_060434395.1	XP_031888455.1
OG0002424	XP_060434396.1	XP_031888456.1
OG0002425	XP_060434397.1	XP_031888451.1
OG0002426	XP_060434399.1	XP_031888453.1
OG0002427	XP_060434400.1	XP_031888454.1
OG0002428	XP_060434401.1	XP_031888447.1
OG0002429	XP_060434402.1	XP_031888449.1
OG0002430	XP_060434403.1	XP_031888450.1
OG0002431	XP_060434404.1	XP_031888241.1
OG0002432	XP_060434406.1	XP_031888233.1
OG0002433	XP_060434407.1	XP_066009663.1
OG0002434	XP_060434409.1	XP_031888234.1
OG0002435	XP_060434410.1	XP_031888238.1
OG0002436	XP_060434411.1	XP_031888236.1
OG0002437	XP_060434412.1	XP_031888240.1
OG0002438	XP_060434414.1	XP_066009878.1
OG0002439	XP_060434415.1	XP_031888433.2
OG0002440	XP_060434416.1	XP_031888434.1
OG0002441	XP_060434417.1	XP_031888431.2
OG0002442	XP_060434418.1	XP_031888432.2
OG0002443	XP_060434419.1	XP_031888437.2
OG0002444	XP_060434423.1	XP_031888436.1
OG0002445	XP_060434424.1	XP_031888250.1
OG0002446	XP_060434426.1	XP_031888248.1
OG0002447	XP_060434427.1	XP_031888247.1
OG0002448	XP_060434428.1	XP_031888246.1
OG0002449	XP_060434429.1	XP_031888245.1
OG0002450	XP_060434430.1	XP_066009819.1
OG0002451	XP_060434432.1	XP_031882772.1
OG0002452	XP_060434435.1	XP_031882948.1
OG0002453	XP_060434436.1	XP_031882774.2
OG0002454	XP_060434437.1	XP_031882768.1
OG0002455	XP_060434438.1	XP_031882769.1
OG0002456	XP_060434439.1	XP_031882770.1
OG0002457	XP_060434440.1	XP_031882771.1
OG0002458	XP_060434444.1	XP_031882852.1
OG0002459	XP_060434445.1	XP_066009745.1
OG0002460	XP_060434446.1	XP_031882871.1
OG0002461	XP_060434447.1	XP_031882876.1
OG0002462	XP_060434449.1	XP_031882873.1
OG0002463	XP_060435498.1	XP_031880474.1
OG0002464	XP_060435500.1	XP_031880507.1
OG0002465	XP_060435501.1	XP_031880545.1
OG0002466	XP_060435502.1	XP_031880544.1
OG0002467	XP_060435516.1	XP_031880484.1
OG0002468	XP_060435515.1	XP_031880483.1
OG0002469	XP_060435512.1	XP_031880542.1
OG0002470	XP_060435511.1	XP_031880538.1
OG0002471	XP_060435510.1	XP_031880536.1
OG0002472	XP_060435509.1	XP_031880537.1
OG0002473	XP_060435507.1	XP_031880535.1
OG0002475	XP_060435519.1	XP_031880490.1
OG0002476	XP_060435520.1	XP_031880594.1
OG0002477	XP_060435522.1	XP_031880551.1
OG0002478	XP_060435523.1	XP_031880530.1
OG0002479	XP_060433445.1	XP_031879455.2
OG0002480	XP_060433444.1	XP_031879513.1
OG0002481	XP_060433443.1	XP_031879512.1
OG0002482	XP_060433442.1	XP_031879511.1
OG0002483	XP_060433441.1	XP_031879510.1
OG0002484	XP_060433439.1	XP_031879422.1
OG0002485	XP_060433438.1	XP_066008334.1
OG0002486	XP_060433437.1	XP_031879484.2
OG0002487	XP_060433435.1	XP_031879490.1
OG0002488	XP_060433434.1	XP_031879464.1
OG0002489	XP_060433446.1	XP_031879457.1
OG0002490	XP_060433447.1	XP_031879482.1
OG0002491	XP_060433448.1	XP_031879468.2
OG0002492	XP_060433449.1	XP_031879448.1
OG0002493	XP_060433451.1	XP_031879450.1
OG0002494	XP_060433452.1	XP_031879449.1
OG0002495	XP_060433453.1	XP_031879452.1
OG0002496	XP_060433454.1	XP_031879451.1
OG0002497	XP_060433455.1	XP_031879446.1
OG0002498	XP_060433456.1	XP_031879407.1
OG0002499	XP_060433457.1	XP_031879472.1
OG0002500	XP_060433458.1	XP_031879473.1
OG0002501	XP_060433461.1	XP_031879474.1
OG0002502	XP_060433462.1	XP_031879470.1
OG0002503	XP_060433464.1	XP_031879406.1
OG0002504	XP_060425065.1	XP_031884668.1
OG0002505	XP_060425066.1	XP_031884442.1
OG0002506	XP_060425067.1	XP_031884443.1
OG0002507	XP_060425069.1	XP_031884532.2
OG0002508	XP_060425070.1	XP_031884473.1
OG0002509	XP_060425071.1	XP_031884506.1
OG0002510	XP_060425073.1	XP_031884490.1
OG0002511	XP_060425074.1	XP_031884505.1
OG0002512	XP_060425075.1	XP_031884504.2
OG0002513	XP_060425076.1	XP_031884619.1
OG0002514	XP_060425077.1	XP_031884582.1
OG0002515	XP_060425079.1	XP_031884478.1
OG0002516	XP_060425080.1	XP_031884687.1
OG0002517	XP_060425081.1	XP_031884475.1
OG0002518	XP_060425083.1	XP_031884688.1
OG0002519	XP_060425084.1	XP_031884689.1
OG0002520	XP_060425087.1	XP_031884583.1
OG0002521	XP_060425088.1	XP_066008040.1
OG0002522	XP_060425089.1	XP_031884591.1
OG0002523	XP_060425090.1	XP_031884594.1
OG0002524	XP_060425091.1	XP_031884604.1
OG0002525	XP_060425092.1	XP_031884603.1
OG0002526	XP_060425093.1	XP_031884611.1
OG0002527	XP_060425094.1	XP_031884599.1
OG0002528	XP_060425096.1	XP_031884519.1
OG0002529	XP_060430743.1	XP_031885047.1
OG0002530	XP_060430742.1	XP_031885157.1
OG0002531	XP_060430741.1	XP_031885156.1
OG0002532	XP_060430733.1	XP_031885214.1
OG0002533	XP_060430736.1	XP_031885179.1
OG0002534	XP_060430737.1	XP_031885178.1
OG0002535	XP_060430731.1	XP_031885152.1
OG0002536	XP_060430730.1	XP_066008801.1
OG0002537	XP_060430729.1	XP_066008662.1
OG0002538	XP_060430727.1	XP_031885063.1
OG0002539	XP_060430726.1	XP_031885067.1
OG0002540	XP_060430725.1	XP_031885068.1
OG0002541	XP_060430724.1	XP_031885065.1
OG0002542	XP_060430723.1	XP_031885066.1
OG0002543	XP_060430722.1	XP_031885155.1
OG0002544	XP_060430721.1	XP_031885002.1
OG0002545	XP_060430720.1	XP_031885184.1
OG0002546	XP_060430718.1	XP_031885186.1
OG0002547	XP_060430716.1	XP_031885188.1
OG0002548	XP_060430715.1	XP_031885187.1
OG0002549	XP_060430714.1	XP_031885167.1
OG0002550	XP_060430713.1	XP_031885166.1
OG0002551	XP_060436571.1	XP_031881634.1
OG0002552	XP_060436570.1	XP_031881629.1
OG0002553	XP_060436567.1	XP_031881696.1
OG0002554	XP_060436566.1	XP_031881533.2
OG0002555	XP_060436564.1	XP_031881698.1
OG0002556	XP_060436563.1	XP_066008248.1
OG0002557	XP_060436561.1	XP_031881693.1
OG0002558	XP_060436560.1	XP_031881569.1
OG0002559	XP_060436559.1	XP_031881605.1
OG0002560	XP_060436558.1	XP_031881604.1
OG0002561	XP_060421722.1	XP_066008284.1
OG0002562	XP_060421721.1	XP_031881686.1
OG0002563	XP_060421719.1	XP_031881687.1
OG0002564	XP_060421717.1	XP_031881545.1
OG0002565	XP_060421716.1	XP_031881679.1
OG0002566	XP_060421715.1	XP_031881689.1
OG0002567	XP_060421714.1	XP_031881587.1
OG0002568	XP_060421711.1	XP_031881584.1
OG0002569	XP_060422694.1	XP_031888636.1
OG0002570	XP_060435028.1	XP_031876921.1
OG0002571	XP_060435027.1	XP_031876961.1
OG0002572	XP_060435025.1	XP_031876960.1
OG0002573	XP_060435024.1	XP_031876920.1
OG0002574	XP_060435023.1	XP_031876919.1
OG0002575	XP_060435022.1	XP_031876928.1
OG0002576	XP_060435020.1	XP_031876918.1
OG0002577	XP_060435018.1	XP_031876923.1
OG0002578	XP_060435017.1	XP_031876959.1
OG0002579	XP_060435016.1	XP_031878375.1
OG0002580	XP_060435008.1	XP_031878414.1
OG0002581	XP_060435009.1	XP_031878415.1
OG0002582	XP_060435010.1	XP_031878357.1
OG0002583	XP_060435012.1	XP_031878416.1
OG0002584	XP_060435013.1	XP_031878417.1
OG0002585	XP_060435006.1	XP_031878413.1
OG0002586	XP_060435005.1	XP_066008735.1
OG0002587	XP_060435004.1	XP_031878395.1
OG0002588	XP_060435002.1	XP_031878371.1
OG0002589	XP_060435001.1	XP_031878370.1
OG0002590	XP_060435000.1	XP_031878372.1
OG0002591	XP_060434999.1	XP_031878396.1
OG0002592	XP_060434997.1	XP_031878363.1
OG0002594	XP_060425781.1	XP_031891130.1
OG0002595	XP_060425782.1	XP_031891131.1
OG0002596	XP_060425783.1	XP_031891132.1
OG0002597	XP_060425790.1	XP_031891133.2
OG0002598	XP_060425786.1	XP_031890913.1
OG0002599	XP_060425792.1	XP_031890886.1
OG0002600	XP_060425794.1	XP_031890887.1
OG0002601	XP_060425795.1	XP_031890889.1
OG0002602	XP_060425796.1	XP_031890892.1
OG0002603	XP_060425804.1	XP_031891081.1
OG0002604	XP_060425808.1	XP_031891087.1
OG0002605	XP_060425809.1	XP_031891086.1
OG0002606	XP_060425810.1	XP_031891108.1
OG0002607	XP_060425816.1	XP_031890876.1
OG0002608	XP_060436956.1	XP_031892428.1
OG0002609	XP_060436955.1	XP_031892425.2
OG0002610	XP_060436954.1	XP_031892426.1
OG0002611	XP_060436953.1	XP_031892424.1
OG0002612	XP_060436952.1	XP_031892331.1
OG0002613	XP_060436951.1	XP_031892330.1
OG0002614	XP_060436950.1	XP_031892337.1
OG0002615	XP_060436947.1	XP_031892339.1
OG0002616	XP_060436944.1	XP_031892613.1
OG0002617	XP_060436939.1	XP_031892592.1
OG0002618	XP_060436938.1	XP_031892591.1
OG0002619	XP_060436937.1	XP_031892410.1
OG0002620	XP_060436936.1	XP_031892411.1
OG0002621	XP_060436934.1	XP_031881465.1
OG0002622	XP_060436933.1	XP_031881372.2
OG0002623	XP_060436932.1	XP_031881371.1
OG0002624	XP_060436925.1	XP_031892471.1
OG0002625	XP_060436924.1	XP_031892463.1
OG0002626	XP_060436923.1	XP_031892464.1
OG0002627	XP_060436922.1	XP_031892466.1
OG0002628	XP_060436921.1	XP_031892693.1
OG0002629	XP_060436920.1	XP_031892694.2
OG0002630	XP_060436918.1	XP_031892698.1
OG0002631	XP_060436917.1	XP_031892699.1
OG0002632	XP_060436915.1	XP_031892469.1
OG0002633	XP_060436914.1	XP_031892467.1
OG0002634	XP_060436913.1	XP_031892462.1
OG0002635	XP_060436908.1	XP_031892534.1
OG0002637	XP_060436904.1	XP_031892738.1
OG0002638	XP_060436903.1	XP_031892804.1
OG0002639	XP_060436902.1	XP_031892803.1
OG0002640	XP_060436901.1	XP_031892806.1
OG0002641	XP_060436898.1	XP_031892762.1
OG0002642	XP_060436897.1	XP_031892763.1
OG0002643	XP_060433786.1	XP_031891423.1
OG0002644	XP_060433787.1, XP_060433788.1	XP_066009724.1
OG0002645	XP_060433791.1	XP_031890864.1
OG0002646	XP_060433793.1	XP_031891226.1
OG0002647	XP_060422594.1	XP_031891227.1
OG0002648	XP_060422595.1	XP_031891641.1
OG0002649	XP_060422596.1	XP_031891222.2
OG0002650	XP_060422602.1	XP_031891481.1
OG0002651	XP_060422603.1	XP_031891482.1
OG0002652	XP_060422604.1	XP_066009883.1
OG0002653	XP_060422606.1	XP_031891484.1
OG0002654	XP_060422607.1	XP_066009882.1
OG0002655	XP_060422610.1	XP_031891490.1
OG0002656	XP_060422612.1	XP_031891376.1
OG0002657	XP_060422613.1	XP_031891377.1
OG0002658	XP_060422615.1	XP_031891378.1
OG0002659	XP_060422616.1	XP_031891371.1
OG0002660	XP_060422617.1	XP_031891372.1
OG0002661	XP_060422618.1	XP_031891373.1
OG0002662	XP_060422620.1	XP_031891369.1
OG0002663	XP_060422623.1	XP_031891370.1
OG0002664	XP_060422624.1	XP_031891634.1
OG0002665	XP_060422625.1	XP_031891633.1
OG0002666	XP_060422626.1	XP_066009661.1
OG0002667	XP_060422628.1	XP_031891631.1
OG0002668	XP_060422629.1	XP_031891638.1
OG0002669	XP_060422632.1	XP_031891635.1
OG0002670	XP_060422633.1	XP_031891639.2
OG0002671	XP_060422634.1	XP_031891365.1
OG0002672	XP_060422635.1	XP_031891366.1
OG0002673	XP_060422636.1	XP_031891363.1
OG0002674	XP_060422637.1	XP_031891623.1
OG0002675	XP_060422638.1	XP_031891620.1
OG0002676	XP_060422639.1	XP_031891361.1
OG0002677	XP_060426555.1	XP_031886962.1
OG0002678	XP_060426556.1	XP_031886963.1
OG0002679	XP_060426559.1	XP_031887061.1
OG0002680	XP_060426562.1	XP_031886888.1
OG0002681	XP_060426563.1	XP_031886890.1
OG0002682	XP_060426564.1	XP_031886894.1
OG0002683	XP_060426565.1	XP_031886895.1
OG0002684	XP_060426567.1	XP_031886902.1
OG0002685	XP_060426568.1	XP_031886898.1
