Orthogroup	Colletotrichum_godetiae	Colletotrichum_siamense
OG0002694	XP_060426580.1	XP_036498276.1
OG0002695	XP_060426581.1	XP_036498281.1
OG0002696	XP_060426582.1	XP_036498282.1
OG0002697	XP_060426583.1	XP_036498279.1
OG0002698	XP_060426584.1	XP_036498280.1
OG0002699	XP_060426585.1	XP_036498273.1
OG0002700	XP_060426586.1	XP_036498274.1
OG0002701	XP_060426587.1	XP_036497766.1
OG0002702	XP_060426588.1	XP_036498917.1
OG0002703	XP_060426591.1	XP_036498918.1
OG0002704	XP_060426592.1	XP_036498508.1
OG0002705	XP_060426593.1	XP_036498510.1
OG0002706	XP_060426595.1	XP_036498512.1
OG0002707	XP_060426596.1	XP_036498513.1
OG0002708	XP_060428719.1	XP_036490944.1
OG0002709	XP_060428718.1	XP_036495230.1
OG0002710	XP_060428717.1	XP_036495233.1
OG0002711	XP_060428716.1	XP_036495235.1
OG0002712	XP_060428713.1	XP_036495237.1
OG0002713	XP_060428712.1	XP_036495236.1
OG0002714	XP_060428711.1	XP_036494541.1
OG0002715	XP_060428709.1	XP_036494542.1
OG0002716	XP_060428707.1	XP_036494539.1
OG0002717	XP_060428705.1	XP_036494537.1
OG0002718	XP_060428704.1	XP_036494538.1
OG0002719	XP_060428703.1	XP_036494535.1
OG0002720	XP_060428702.1	XP_036494536.1
OG0002721	XP_060428701.1	XP_036494533.1
OG0002722	XP_060428700.1	XP_036494534.1
OG0002723	XP_060428698.1	XP_036495174.1
OG0002724	XP_060428695.1	XP_036495173.1
OG0002725	XP_060428694.1	XP_036495172.1
OG0002726	XP_060428693.1	XP_036494011.1
OG0002727	XP_060428691.1	XP_036494847.1
OG0002728	XP_060428690.1	XP_036494846.1
OG0002729	XP_060428689.1	XP_036494610.1
OG0002730	XP_060428688.1	XP_036494991.1
OG0002731	XP_060428687.1	XP_036494989.1
OG0002732	XP_060428685.1	XP_036494987.1
OG0002733	XP_060428683.1	XP_036494995.1
OG0002734	XP_060428682.1	XP_036494168.1
OG0002735	XP_060428680.1	XP_036494436.1
OG0002736	XP_060428679.1	XP_036495061.1
OG0002737	XP_060428678.1	XP_036494064.1
OG0002738	XP_060428673.1	XP_036495027.1
OG0002739	XP_060428671.1	XP_036494369.1
OG0002740	XP_060428670.1	XP_036495008.1
OG0002741	XP_060428669.1	XP_036495060.1
OG0002742	XP_060428668.1	XP_036494376.1
OG0002743	XP_060428666.1	XP_036494377.1
OG0002744	XP_060428247.1	XP_036494566.1
OG0002745	XP_060428246.1	XP_036494571.1
OG0002746	XP_060428245.1	XP_036494075.1
OG0002747	XP_060428241.1	XP_036494493.1
OG0002748	XP_060428234.1	XP_036495058.1
OG0002749	XP_060428233.1	XP_036495103.1
OG0002750	XP_060428232.1	XP_036491422.1
OG0002751	XP_060428231.1	XP_036494498.1
OG0002752	XP_060428228.1	XP_036495115.1
OG0002753	XP_060428227.1	XP_036495113.1
OG0002754	XP_060428226.1	XP_036494639.1
OG0002755	XP_060428225.1	XP_036495121.1
OG0002756	XP_060428223.1	XP_036495119.1
OG0002757	XP_060428222.1	XP_036494673.1
OG0002758	XP_060428220.1	XP_036495122.1
OG0002759	XP_060428219.1	XP_036494447.1
OG0002760	XP_060428217.1	XP_036494284.1
OG0002761	XP_060428210.1	XP_036494460.1
OG0002762	XP_060428209.1	XP_036494106.1
OG0002763	XP_060428208.1	XP_036494440.1
OG0002764	XP_060428207.1	XP_036494443.1
OG0002765	XP_060428206.1	XP_036494789.1
OG0002766	XP_060428205.1	XP_036494445.1
OG0002767	XP_060428203.1	XP_036495185.1
OG0002768	XP_060423675.1	XP_036500382.1
OG0002769	XP_060423672.1	XP_036500377.1
OG0002770	XP_060423671.1	XP_036500381.1
OG0002771	XP_060423670.1	XP_036500378.1
OG0002772	XP_060423669.1	XP_036499320.1
OG0002773	XP_060423668.1	XP_036492575.1
OG0002774	XP_060423666.1	XP_036499313.1
OG0002775	XP_060423661.1	XP_036488243.1
OG0002776	XP_060423658.1, XP_060423657.1	XP_036502888.1
OG0002777	XP_060423656.1	XP_036499315.1
OG0002778	XP_060423651.1	XP_036499010.1
OG0002779	XP_060423649.1	XP_036499576.1
OG0002780	XP_060423647.1	XP_036499578.1
OG0002781	XP_060423646.1	XP_036499254.1
OG0002782	XP_060423643.1	XP_036500612.1
OG0002783	XP_060425672.1	XP_036499572.1
OG0002784	XP_060425676.1	XP_036500318.1
OG0002785	XP_060425677.1	XP_036489134.1
OG0002786	XP_060425678.1	XP_036495407.1
OG0002787	XP_060425683.1	XP_036499334.1
OG0002788	XP_060425687.1	XP_036492894.1
OG0002789	XP_060425690.1	XP_036499930.1
OG0002790	XP_060425691.1	XP_036499936.1
OG0002791	XP_060425693.1	XP_036499975.1
OG0002792	XP_060425694.1	XP_036499065.1
OG0002793	XP_060425695.1	XP_036499066.1
OG0002794	XP_060425696.1	XP_036499063.1
OG0002795	XP_060425697.1	XP_036499064.1
OG0002796	XP_060425698.1	XP_036499069.1
OG0002797	XP_060425702.1	XP_036499939.1
OG0002798	XP_060425705.1	XP_036499973.1
OG0002799	XP_060425706.1	XP_036499968.1
OG0002800	XP_060425708.1	XP_036499967.1
OG0002802	XP_060425714.1	XP_036499409.1
OG0002803	XP_060425715.1	XP_036499406.1
OG0002804	XP_060425716.1	XP_036499400.1
OG0002806	XP_060425747.1	XP_036499339.1
OG0002807	XP_060425745.1	XP_036499322.1
OG0002808	XP_060425744.1	XP_036500247.1
OG0002809	XP_060425742.1	XP_036500249.1
OG0002810	XP_060425741.1	XP_036500240.1
OG0002811	XP_060425740.1	XP_036500241.1
OG0002812	XP_060425739.1	XP_036500695.1
OG0002813	XP_060422039.1	XP_036492875.1
OG0002814	XP_060425734.1	XP_036491817.1
OG0002815	XP_060425733.1	XP_036499523.1
OG0002816	XP_060425731.1	XP_036500622.1
OG0002817	XP_060425727.1	XP_036499593.1
OG0002818	XP_060425749.1	XP_036500246.1
OG0002819	XP_060425750.1	XP_036500245.1
OG0002820	XP_060425761.1	XP_036500618.1
OG0002821	XP_060425763.1	XP_036500616.1
OG0002822	XP_060425767.1	XP_036499524.1
OG0002823	XP_060425768.1	XP_036499521.1
OG0002824	XP_060425769.1	XP_036492065.1
OG0002825	XP_060425774.1	XP_036497240.1
OG0002826	XP_060425775.1	XP_036500559.1
OG0002827	XP_060425776.1	XP_036500558.1
OG0002828	XP_060425777.1	XP_036500560.1
OG0002829	XP_060424446.1	XP_036499468.1
OG0002830	XP_060424444.1	XP_036500834.1
OG0002831	XP_060424443.1	XP_036500835.1
OG0002832	XP_060424442.1	XP_036500827.1
OG0002833	XP_060424437.1	XP_036500833.1
OG0002834	XP_060424436.1	XP_036500832.1
OG0002835	XP_060424434.1	XP_036499803.1
OG0002836	XP_060424433.1	XP_036499802.1
OG0002837	XP_060424431.1	XP_036499809.1
OG0002838	XP_060424430.1	XP_036499808.1
OG0002839	XP_060424428.1	XP_036499806.1
OG0002841	XP_060424422.1	XP_036499858.1
OG0002842	XP_060424421.1	XP_036499859.1
OG0002843	XP_060424420.1	XP_036500652.1
OG0002844	XP_060424418.1	XP_036500646.1
OG0002845	XP_060424414.1	XP_036500644.1
OG0002846	XP_060424411.1	XP_036499689.1
OG0002847	XP_060424410.1	XP_036499688.1
OG0002848	XP_060424407.1	XP_036499282.1
OG0002849	XP_060424406.1	XP_036499284.1
OG0002850	XP_060424405.1	XP_036499283.1
OG0002851	XP_060424402.1	XP_036499286.1
OG0002852	XP_060424401.1	XP_036499285.1
OG0002853	XP_060424399.1	XP_036499287.1
OG0002854	XP_060424398.1	XP_036500279.1
OG0002855	XP_060424394.1	XP_036500189.1
OG0002856	XP_060424393.1	XP_036500190.1
OG0002857	XP_060424391.1	XP_036500198.1
OG0002858	XP_060424390.1	XP_036500195.1
OG0002859	XP_060424389.1	XP_036500196.1
OG0002860	XP_060424386.1	XP_036499220.1
OG0002861	XP_060424385.1	XP_036499219.1
OG0002862	XP_060424384.1	XP_036499226.1
OG0002863	XP_060424382.1	XP_036500110.1
OG0002864	XP_060424381.1	XP_036500109.1
OG0002865	XP_060424379.1	XP_036500107.1
OG0002866	XP_060424378.1	XP_036500106.1
OG0002867	XP_060424377.1	XP_036500105.1
OG0002868	XP_060424376.1	XP_036500104.1
OG0002869	XP_060424374.1	XP_036500103.1
OG0002870	XP_060424373.1	XP_036500102.1
OG0002871	XP_060424368.1	XP_036499683.1
OG0002872	XP_060424361.1	XP_036500271.1
OG0002873	XP_060429574.1	XP_036499651.1
OG0002874	XP_060429575.1	XP_036489343.1
OG0002875	XP_060429576.1	XP_036498506.1
OG0002876	XP_060429577.1	XP_036499059.1
OG0002877	XP_060429580.1	XP_036499192.1
OG0002878	XP_060429581.1	XP_036500188.1
OG0002879	XP_060429582.1	XP_036499039.1
OG0002880	XP_060429587.1	XP_036499653.1
OG0002881	XP_060429591.1	XP_036499961.1
OG0002882	XP_060429592.1	XP_036498978.1
OG0002883	XP_060429593.1	XP_036491931.1
OG0002884	XP_060429594.1	XP_036491419.1
OG0002885	XP_060429596.1	XP_036498972.1
OG0002886	XP_060429597.1	XP_036498971.1
OG0002887	XP_060429598.1	XP_036498970.1
OG0002888	XP_060429605.1	XP_036496537.1
OG0002889	XP_060429609.1	XP_036499739.1
OG0002890	XP_060429610.1	XP_036499740.1
OG0002891	XP_060429611.1	XP_036499741.1
OG0002892	XP_060429612.1	XP_036500780.1
OG0002893	XP_060429613.1	XP_036500779.1
OG0002894	XP_060423121.1	XP_036500774.1
OG0002895	XP_060423122.1	XP_036500773.1
OG0002896	XP_060423123.1	XP_036500772.1
OG0002897	XP_060423124.1	XP_036499743.1
OG0002898	XP_060423125.1	XP_036499734.1
OG0002899	XP_060423131.1	XP_036500777.1
OG0002900	XP_060423134.1	XP_036499644.1
OG0002901	XP_060423136.1	XP_036500041.1
OG0002902	XP_060423137.1	XP_036500040.1
OG0002903	XP_060423138.1	XP_036500035.1
OG0002904	XP_060423139.1	XP_036500034.1
OG0002905	XP_060423141.1	XP_036499057.1
OG0002906	XP_060423142.1	XP_036499058.1
OG0002907	XP_060423143.1	XP_036499055.1
OG0002908	XP_060423146.1	XP_036499903.1
OG0002909	XP_060423147.1	XP_036499904.1
OG0002910	XP_060423148.1	XP_036499901.1
OG0002911	XP_060423149.1	XP_036499902.1
OG0002912	XP_060423150.1	XP_036499899.1
OG0002913	XP_060423152.1	XP_036499897.1
OG0002914	XP_060423153.1	XP_036499898.1
OG0002915	XP_060423154.1	XP_036499833.1
OG0002916	XP_060423162.1	XP_036499828.1
OG0002917	XP_060423161.1	XP_036499829.1
OG0002918	XP_060423160.1	XP_036499830.1
OG0002919	XP_060423158.1	XP_036500869.1
OG0002920	XP_060423157.1	XP_036500866.1
OG0002921	XP_060423156.1	XP_036500867.1
OG0002922	XP_060423155.1	XP_036499832.1
OG0002923	XP_060423165.1	XP_036500802.1
OG0002924	XP_060423166.1	XP_036500801.1
OG0002925	XP_060423167.1	XP_036500800.1
OG0002926	XP_060423168.1	XP_036500795.1
OG0002927	XP_060423169.1	XP_036500794.1
OG0002929	XP_060423172.1	XP_036499831.1
OG0002930	XP_060423173.1	XP_036499826.1
OG0002931	XP_060423176.1	XP_036499834.1
OG0002932	XP_060423182.1	XP_036499260.1
OG0002933	XP_060423183.1	XP_036499259.1
OG0002934	XP_060423184.1	XP_036499266.1
OG0002935	XP_060421728.1	XP_036500828.1
OG0002936	XP_060426367.1	XP_036499389.1
OG0002937	XP_060426372.1	XP_036500500.1
OG0002938	XP_060426373.1	XP_036500501.1
OG0002939	XP_060426375.1	XP_036500496.1
OG0002940	XP_060436838.1	XP_036490682.1
OG0002941	XP_060436840.1	XP_036490683.1
OG0002942	XP_060436844.1	XP_036490905.1
OG0002943	XP_060436843.1	XP_036491062.1
OG0002944	XP_060436845.1	XP_036490903.1
OG0002945	XP_060436848.1	XP_036491267.1
OG0002946	XP_060436849.1	XP_036491266.1
OG0002947	XP_060436853.1	XP_036491023.1
OG0002948	XP_060436857.1	XP_036490494.1
OG0002949	XP_060436858.1	XP_036490491.1
OG0002950	XP_060436859.1	XP_036490492.1
OG0002951	XP_060436862.1	XP_036491043.1
OG0002952	XP_060436864.1	XP_036491044.1
OG0002953	XP_060436865.1	XP_036491041.1
OG0002954	XP_060436867.1	XP_036491098.1
OG0002955	XP_060436870.1	XP_036491045.1
OG0002956	XP_060436871.1	XP_036490180.1
OG0002957	XP_060428758.1	XP_036494637.1
OG0002958	XP_060428754.1	XP_036494432.1
OG0002959	XP_060428756.1	XP_036494434.1
OG0002960	XP_060428757.1	XP_036494429.1
OG0002961	XP_060428752.1	XP_036494433.1
OG0002962	XP_060428751.1	XP_036494746.1
OG0002963	XP_060428750.1	XP_036494431.1
OG0002964	XP_060428749.1	XP_036494430.1
OG0002965	XP_060428748.1	XP_036493994.1
OG0002966	XP_060428745.1	XP_036493944.1
OG0002967	XP_060428744.1	XP_036493943.1
OG0002968	XP_060428743.1	XP_036493942.1
OG0002969	XP_060428742.1	XP_036493949.1
OG0002970	XP_060428741.1	XP_036493948.1
OG0002971	XP_060428739.1	XP_036493947.1
OG0002972	XP_060428738.1	XP_036493946.1
OG0002973	XP_060428737.1	XP_036493941.1
OG0002974	XP_060428736.1	XP_036493940.1
OG0002975	XP_060428735.1	XP_036494599.1
OG0002976	XP_060428733.1	XP_036494601.1
OG0002977	XP_060428732.1	XP_036494600.1
OG0002978	XP_060428731.1	XP_036494602.1
OG0002979	XP_060428730.1	XP_036494603.1
OG0002980	XP_060428729.1	XP_036494224.1
OG0002981	XP_060428725.1	XP_036494221.1
OG0002982	XP_060428724.1	XP_036495228.1
OG0002983	XP_060428723.1	XP_036495231.1
OG0002984	XP_060434996.1	XP_036497002.1
OG0002985	XP_060434995.1	XP_036497003.1
OG0002986	XP_060434994.1	XP_036497000.1
OG0002987	XP_060434990.1	XP_036496084.1
OG0002988	XP_060434989.1	XP_036496083.1
OG0002989	XP_060434987.1	XP_036496081.1
OG0002990	XP_060434985.1	XP_036496078.1
OG0002991	XP_060434984.1	XP_036496079.1
OG0002992	XP_060434983.1	XP_036496080.1
OG0002993	XP_060434978.1	XP_036492896.1
OG0002994	XP_060434975.1	XP_036496936.1
OG0002995	XP_060434971.1	XP_036489738.1
OG0002997	XP_060434959.1	XP_036496529.1
OG0002998	XP_060434958.1	XP_036496733.1
OG0002999	XP_060434957.1	XP_036496185.1
OG0003000	XP_060434956.1	XP_036496521.1
OG0003001	XP_060434954.1	XP_036496027.1
OG0003002	XP_060434953.1	XP_036496019.1
OG0003003	XP_060434950.1	XP_036496021.1
OG0003004	XP_060427524.1	XP_036497368.1
OG0003005	XP_060427525.1	XP_036498204.1
OG0003006	XP_060427527.1	XP_036497186.1
OG0003007	XP_060427529.1	XP_036497184.1
OG0003008	XP_060427530.1	XP_036497183.1
OG0003009	XP_060427536.1	XP_036498206.1
OG0003010	XP_060427537.1	XP_036493376.1
OG0003011	XP_060427539.1	XP_036498201.1
OG0003012	XP_060427541.1	XP_036498203.1
OG0003013	XP_060427542.1	XP_036498202.1
OG0003014	XP_060427545.1	XP_036498199.1
OG0003015	XP_060427548.1	XP_036497238.1
OG0003016	XP_060427549.1	XP_036495156.1
OG0003017	XP_060427550.1	XP_036495155.1
OG0003018	XP_060427552.1	XP_036497245.1
OG0003019	XP_060427553.1	XP_036497242.1
OG0003020	XP_060427559.1	XP_036497311.1
OG0003021	XP_060427560.1	XP_036497313.1
OG0003022	XP_060427561.1	XP_036490464.1
OG0003023	XP_060427562.1	XP_036490463.1
OG0003024	XP_060427565.1	XP_036497584.1
OG0003025	XP_060427567.1	XP_036498081.1
OG0003026	XP_060427568.1	XP_036497583.1
OG0003027	XP_060427569.1	XP_036497582.1
OG0003028	XP_060427571.1	XP_036497119.1
OG0003029	XP_060427572.1	XP_036498079.1
OG0003030	XP_060427573.1	XP_036498086.1
OG0003031	XP_060427580.1	XP_036498084.1
OG0003032	XP_060427583.1	XP_036498087.1
OG0003033	XP_060427585.1	XP_036497114.1
OG0003034	XP_060430555.1	XP_036491621.1
OG0003035	XP_060430557.1	XP_036491863.1
OG0003036	XP_060430559.1	XP_036492329.1
OG0003037	XP_060430560.1	XP_036492237.1
OG0003038	XP_060430561.1	XP_036492240.1
OG0003039	XP_060430546.1	XP_036491980.1
OG0003040	XP_060430543.1	XP_036491977.1
OG0003041	XP_060430541.1	XP_036492517.1
OG0003042	XP_060430540.1	XP_036492519.1
OG0003043	XP_060430537.1	XP_036492391.1
OG0003044	XP_060430536.1	XP_036492395.1
OG0003045	XP_060430521.1	XP_036491401.1
OG0003046	XP_060430520.1	XP_036497310.1
OG0003047	XP_060430517.1	XP_036491403.1
OG0003048	XP_060430516.1	XP_036491402.1
OG0003049	XP_060430514.1	XP_036491397.1
OG0003050	XP_060430513.1	XP_036491396.1
OG0003051	XP_060430512.1	XP_036491399.1
OG0003052	XP_060430511.1	XP_036491398.1
OG0003053	XP_060430509.1	XP_036492030.1
OG0003054	XP_060430507.1	XP_036492031.1
OG0003055	XP_060430501.1	XP_036491680.1
OG0003056	XP_060430490.1	XP_036492027.1
OG0003057	XP_060430488.1	XP_036491358.1
OG0003058	XP_060430487.1	XP_036491366.1
OG0003059	XP_060430486.1	XP_036491365.1
OG0003060	XP_060430480.1	XP_036491999.1
OG0003061	XP_060430479.1	XP_036491998.1
OG0003062	XP_060430476.1	XP_036491992.1
OG0003063	XP_060428663.1	XP_036500476.1
OG0003064	XP_060428661.1	XP_036501168.1
OG0003065	XP_060428660.1	XP_036501169.1
OG0003066	XP_060428656.1	XP_036501160.1
OG0003067	XP_060428655.1	XP_036501161.1
OG0003068	XP_060428649.1	XP_036492431.1
OG0003069	XP_060428646.1	XP_036501026.1
OG0003070	XP_060428645.1	XP_036501025.1
OG0003071	XP_060428633.1	XP_036502028.1
OG0003072	XP_060428632.1	XP_036502029.1
OG0003073	XP_060431045.1	XP_036489677.1
OG0003074	XP_060428631.1	XP_036502035.1
OG0003075	XP_060428625.1	XP_036502034.1
OG0003076	XP_060428624.1	XP_036502033.1
OG0003077	XP_060428623.1	XP_036502032.1
OG0003078	XP_060428622.1	XP_036500980.1
OG0003079	XP_060428621.1	XP_036500979.1
OG0003080	XP_060428620.1	XP_036500986.1
OG0003081	XP_060428618.1	XP_036500985.1
OG0003082	XP_060428617.1	XP_036500988.1
OG0003083	XP_060428616.1	XP_036502380.1
OG0003084	XP_060428615.1	XP_036502120.1
OG0003085	XP_060428614.1	XP_036502378.1
OG0003086	XP_060428613.1	XP_036502119.1
OG0003087	XP_060428612.1	XP_036502114.1
OG0003088	XP_060428610.1	XP_036501180.1
OG0003089	XP_060428609.1	XP_036502623.1
OG0003090	XP_060428606.1	XP_036501050.1
OG0003091	XP_060428601.1	XP_036501051.1
OG0003092	XP_060428600.1	XP_036501944.1
OG0003093	XP_060428599.1	XP_036501943.1
OG0003094	XP_060428598.1	XP_036501945.1
OG0003096	XP_060429294.1	XP_036494144.1
OG0003097	XP_060429295.1	XP_036494342.1
OG0003098	XP_060429296.1	XP_036489086.1
OG0003099	XP_060429300.1	XP_036489631.1
OG0003100	XP_060429301.1	XP_036490022.1
OG0003101	XP_060429304.1	XP_036489632.1
OG0003102	XP_060429305.1	XP_036489492.1
OG0003103	XP_060429306.1	XP_036490006.1
OG0003104	XP_060429307.1	XP_036489627.1
OG0003105	XP_060429311.1	XP_036489027.1
OG0003106	XP_060429312.1	XP_036489026.1
OG0003107	XP_060429314.1	XP_036489032.1
OG0003108	XP_060429315.1	XP_036489031.1
OG0003109	XP_060429316.1	XP_036489029.1
OG0003110	XP_060429317.1	XP_036489131.1
OG0003111	XP_060429318.1	XP_036489025.1
OG0003112	XP_060429319.1	XP_036489375.1
OG0003113	XP_060429320.1	XP_036489192.1
OG0003114	XP_060429321.1	XP_036489373.1
OG0003115	XP_060429322.1	XP_036489374.1
OG0003116	XP_060429324.1	XP_036489371.1
OG0003117	XP_060429325.1	XP_036489372.1
OG0003118	XP_060429326.1	XP_036489370.1
OG0003119	XP_060429327.1	XP_036489162.1
OG0003120	XP_060429329.1	XP_036489376.1
OG0003121	XP_060429330.1	XP_036489377.1
OG0003122	XP_060429333.1	XP_036489933.1
OG0003123	XP_060429334.1	XP_036489935.1
OG0003124	XP_060429335.1	XP_036489934.1
OG0003125	XP_060429337.1	XP_036489936.1
OG0003126	XP_060429338.1	XP_036489023.1
OG0003127	XP_060429340.1	XP_036489937.1
OG0003128	XP_060429341.1	XP_036489839.1
OG0003129	XP_060429343.1	XP_036489034.1
OG0003130	XP_060429344.1	XP_036495437.1
OG0003132	XP_060422465.1	XP_036499511.1
OG0003133	XP_060422463.1	XP_036500403.1
OG0003134	XP_060422459.1	XP_036499451.1
OG0003135	XP_060422458.1	XP_036499732.1
OG0003136	XP_060422454.1	XP_036499442.1
OG0003137	XP_060422453.1	XP_036499443.1
OG0003138	XP_060422451.1	XP_036499444.1
OG0003139	XP_060422449.1	XP_036499446.1
OG0003140	XP_060421557.1	XP_036500547.1
OG0003141	XP_060421559.1	XP_036500546.1
OG0003142	XP_060421560.1	XP_036500545.1
OG0003143	XP_060421561.1	XP_036495105.1
OG0003144	XP_060421562.1	XP_036495104.1
OG0003145	XP_060421564.1	XP_036500552.1
OG0003146	XP_060421565.1	XP_036499458.1
OG0003147	XP_060421566.1	XP_036499457.1
OG0003149	XP_060423481.1	XP_036494047.1
OG0003150	XP_060423479.1	XP_036500409.1
OG0003151	XP_060423477.1	XP_036500408.1
OG0003152	XP_060423476.1	XP_036499372.1
OG0003153	XP_060423473.1	XP_036500485.1
OG0003154	XP_060423472.1	XP_036500482.1
OG0003155	XP_060423471.1	XP_036500488.1
OG0003156	XP_060423468.1	XP_036500487.1
OG0003157	XP_060423465.1	XP_036500410.1
OG0003158	XP_060423464.1	XP_036500414.1
OG0003159	XP_060423463.1	XP_036500405.1
OG0003160	XP_060423462.1	XP_036499327.1
OG0003161	XP_060423460.1	XP_036491450.1
OG0003162	XP_060428007.1	XP_036496294.1
OG0003163	XP_060428006.1	XP_036496287.1
OG0003164	XP_060428004.1	XP_036495514.1
OG0003165	XP_060427990.1	XP_036496468.1
OG0003166	XP_060427989.1	XP_036496469.1
OG0003167	XP_060427987.1	XP_036496166.1
OG0003168	XP_060427986.1	XP_036495400.1
OG0003169	XP_060427984.1	XP_036495392.1
OG0003170	XP_060427980.1	XP_036495393.1
OG0003171	XP_060427979.1	XP_036496160.1
OG0003172	XP_060427977.1	XP_036496165.1
OG0003173	XP_060427976.1	XP_036496163.1
OG0003174	XP_060427975.1	XP_036496164.1
OG0003175	XP_060427974.1	XP_036495503.1
OG0003176	XP_060427972.1	XP_036500313.1
OG0003177	XP_060427970.1	XP_036495406.1
OG0003178	XP_060427969.1	XP_036496298.1
OG0003179	XP_060427968.1	XP_036496297.1
OG0003180	XP_060427966.1	XP_036496305.1
OG0003181	XP_060427965.1	XP_036496304.1
OG0003182	XP_060427963.1	XP_036496303.1
OG0003183	XP_060427962.1	XP_036496302.1
OG0003184	XP_060427960.1	XP_036496242.1
OG0003185	XP_060427954.1	XP_036495346.1
OG0003186	XP_060427953.1	XP_036495349.1
OG0003187	XP_060427952.1	XP_036495348.1
OG0003188	XP_060427949.1	XP_036495351.1
OG0003189	XP_060427948.1	XP_036495350.1
OG0003190	XP_060427947.1	XP_036495353.1
OG0003191	XP_060427945.1	XP_036495342.1
OG0003192	XP_060427944.1	XP_036495343.1
OG0003193	XP_060427943.1	XP_036495273.1
OG0003194	XP_060427942.1	XP_036495347.1
OG0003195	XP_060427941.1	XP_036495344.1
OG0003196	XP_060427940.1	XP_036495274.1
OG0003197	XP_060427939.1	XP_036495345.1
OG0003198	XP_060434563.1	XP_036502290.1
OG0003199	XP_060434562.1	XP_036502289.1
OG0003200	XP_060434561.1	XP_036502288.1
OG0003201	XP_060434560.1	XP_036501263.1
OG0003202	XP_060434559.1	XP_036501264.1
OG0003203	XP_060434558.1	XP_036501259.1
OG0003204	XP_060434557.1	XP_036501260.1
OG0003205	XP_060434553.1	XP_036501262.1
OG0003206	XP_060434552.1	XP_036501255.1
OG0003207	XP_060434551.1	XP_036501256.1
OG0003208	XP_060434550.1	XP_036501257.1
OG0003209	XP_060434549.1	XP_036501258.1
OG0003210	XP_060434548.1	XP_036502359.1
OG0003211	XP_060434547.1	XP_036502365.1
OG0003212	XP_060434546.1	XP_036502358.1
OG0003213	XP_060434545.1	XP_036502364.1
OG0003214	XP_060434544.1	XP_036502367.1
OG0003215	XP_060434543.1	XP_036502366.1
OG0003216	XP_060434542.1	XP_036502363.1
OG0003217	XP_060434541.1	XP_036502362.1
OG0003218	XP_060434538.1	XP_036501347.1
OG0003219	XP_060434536.1	XP_036501348.1
OG0003220	XP_060434533.1	XP_036501352.1
OG0003221	XP_060434531.1	XP_036501350.1
OG0003222	XP_060434528.1	XP_036501355.1
OG0003223	XP_060434525.1	XP_036502646.1
OG0003224	XP_060434523.1	XP_036502642.1
OG0003225	XP_060434522.1	XP_036502643.1
OG0003226	XP_060434521.1	XP_036502644.1
OG0003227	XP_060434520.1	XP_036502645.1
OG0003228	XP_060434519.1	XP_036502638.1
OG0003229	XP_060434518.1	XP_036502639.1
OG0003230	XP_060434517.1	XP_036502640.1
OG0003231	XP_060434515.1	XP_036502641.1
OG0003232	XP_060434514.1	XP_036501860.1
OG0003233	XP_060434513.1	XP_036501859.1
OG0003234	XP_060434512.1	XP_036501862.1
OG0003235	XP_060434510.1	XP_036501863.1
OG0003236	XP_060434507.1	XP_036501868.1
OG0003237	XP_060434505.1	XP_036502856.1
OG0003238	XP_060434504.1	XP_036502857.1
OG0003239	XP_060434503.1	XP_036502854.1
OG0003240	XP_060434502.1	XP_036502855.1
OG0003241	XP_060434501.1	XP_036502852.1
OG0003242	XP_060434500.1	XP_036502853.1
OG0003243	XP_060434497.1	XP_036502848.1
OG0003244	XP_060434496.1	XP_036502849.1
OG0003245	XP_060434495.1	XP_036501796.1
OG0003246	XP_060434494.1	XP_036501795.1
OG0003247	XP_060434493.1	XP_036501790.1
OG0003248	XP_060434490.1	XP_036501788.1
OG0003249	XP_060434489.1	XP_036501787.1
OG0003250	XP_060434487.1	XP_036501793.1
OG0003251	XP_060434486.1	XP_036501792.1
OG0003252	XP_060437319.1	XP_036490526.1
OG0003253	XP_060437318.1, XP_060437317.1	XP_036490527.1
OG0003254	XP_060437316.1	XP_036490524.1
OG0003255	XP_060437315.1	XP_036490525.1
OG0003256	XP_060437312.1	XP_036491228.1
OG0003257	XP_060437305.1	XP_036491126.1
OG0003258	XP_060437304.1	XP_036491123.1
OG0003259	XP_060437303.1	XP_036491124.1
OG0003260	XP_060437302.1	XP_036496375.1
OG0003261	XP_060437301.1	XP_036491127.1
OG0003262	XP_060437300.1	XP_036490535.1
OG0003263	XP_060437295.1	XP_036490539.1
OG0003264	XP_060437294.1	XP_036490536.1
OG0003265	XP_060437293.1	XP_036490537.1
OG0003266	XP_060437292.1	XP_036491097.1
OG0003267	XP_060437288.1	XP_036490912.1
OG0003268	XP_060437287.1	XP_036491106.1
OG0003269	XP_060437286.1	XP_036491190.1
OG0003270	XP_060437282.1	XP_036490910.1
OG0003271	XP_060437281.1	XP_036490836.1
OG0003272	XP_060437278.1	XP_036490833.1
OG0003273	XP_060437279.1	XP_036490834.1
OG0003274	XP_060437273.1	XP_036490012.1
OG0003275	XP_060437272.1	XP_036490803.1
OG0003276	XP_060437270.1	XP_036490699.1
OG0003277	XP_060437264.1	XP_036490697.1
OG0003278	XP_060437262.1	XP_036490223.1
OG0003279	XP_060437257.1	XP_036490695.1
OG0003280	XP_060437256.1	XP_036491122.1
OG0003281	XP_060437254.1	XP_036494530.1
OG0003282	XP_060437239.1	XP_036490176.1
