Orthogroup	Colletotrichum_siamense	Colletotrichum_fructicola
OG0002425	XP_036501951.1	XP_031888451.1
OG0002426	XP_036501953.1	XP_031888453.1
OG0002427	XP_036501954.1	XP_031888454.1
OG0002428	XP_036501955.1	XP_031888447.1
OG0002429	XP_036501947.1	XP_031888449.1
OG0002430	XP_036501948.1	XP_031888450.1
OG0002431	XP_036500921.1	XP_031888241.1
OG0002432	XP_036500919.1	XP_031888233.1
OG0002433	XP_036500918.1	XP_066009663.1
OG0002434	XP_036500925.1	XP_031888234.1
OG0002435	XP_036500924.1	XP_031888238.1
OG0002436	XP_036500923.1	XP_031888236.1
OG0002437	XP_036500922.1	XP_031888240.1
OG0002438	XP_036500915.1	XP_066009878.1
OG0002439	XP_036501187.1	XP_031888433.2
OG0002440	XP_036501186.1	XP_031888434.1
OG0002441	XP_036501189.1	XP_031888431.2
OG0002442	XP_036501188.1	XP_031888432.2
OG0002443	XP_036501191.1	XP_031888437.2
OG0002444	XP_036501192.1	XP_031888436.1
OG0002445	XP_036501185.1	XP_031888250.1
OG0002446	XP_036502215.1	XP_031888248.1
OG0002447	XP_036502126.1	XP_031888247.1
OG0002448	XP_036502213.1	XP_031888246.1
OG0002449	XP_036502214.1	XP_031888245.1
OG0002450	XP_036502211.1	XP_066009819.1
OG0002451	XP_036502210.1	XP_031882772.1
OG0002452	XP_036502216.1	XP_031882948.1
OG0002453	XP_036502217.1	XP_031882774.2
OG0002454	XP_036501127.1	XP_031882768.1
OG0002455	XP_036501126.1	XP_031882769.1
OG0002456	XP_036501125.1	XP_031882770.1
OG0002457	XP_036501124.1	XP_031882771.1
OG0002458	XP_036501122.1	XP_031882852.1
OG0002459	XP_036502257.1	XP_066009745.1
OG0002460	XP_036501120.1	XP_031882871.1
OG0002461	XP_036502614.1	XP_031882876.1
OG0002462	XP_036502616.1	XP_031882873.1
OG0002463	XP_036497107.1	XP_031880474.1
OG0002464	XP_036498068.1	XP_031880507.1
OG0002465	XP_036498072.1	XP_031880545.1
OG0002466	XP_036498073.1	XP_031880544.1
OG0002467	XP_036497180.1	XP_031880484.1
OG0002468	XP_036497181.1	XP_031880483.1
OG0002469	XP_036498074.1	XP_031880542.1
OG0002470	XP_036498077.1	XP_031880538.1
OG0002471	XP_036498076.1	XP_031880536.1
OG0002472	XP_036498071.1	XP_031880537.1
OG0002473	XP_036498070.1	XP_031880535.1
OG0002474	XP_036497174.1	XP_031880487.1
OG0002475	XP_036497179.1	XP_031880490.1
OG0002476	XP_036497178.1	XP_031880594.1
OG0002477	XP_036497177.1	XP_031880551.1
OG0002478	XP_036497176.1	XP_031880530.1
OG0002479	XP_036499153.1	XP_031879455.2
OG0002480	XP_036499152.1	XP_031879513.1
OG0002481	XP_036499155.1	XP_031879512.1
OG0002482	XP_036499154.1	XP_031879511.1
OG0002483	XP_036499157.1	XP_031879510.1
OG0002484	XP_036499156.1	XP_031879422.1
OG0002485	XP_036500122.1	XP_066008334.1
OG0002486	XP_036500119.1	XP_031879484.2
OG0002487	XP_036500120.1	XP_031879490.1
OG0002488	XP_036500117.1	XP_031879464.1
OG0002489	XP_036500114.1	XP_031879457.1
OG0002490	XP_036500118.1	XP_031879482.1
OG0002491	XP_036500454.1	XP_031879468.2
OG0002492	XP_036500453.1	XP_031879448.1
OG0002493	XP_036500459.1	XP_031879450.1
OG0002494	XP_036500458.1	XP_031879449.1
OG0002495	XP_036500457.1	XP_031879452.1
OG0002496	XP_036500456.1	XP_031879451.1
OG0002497	XP_036499420.1	XP_031879446.1
OG0002498	XP_036499421.1	XP_031879407.1
OG0002499	XP_036499422.1	XP_031879472.1
OG0002500	XP_036499423.1	XP_031879473.1
OG0002501	XP_036499426.1	XP_031879474.1
OG0002502	XP_036499428.1	XP_031879470.1
OG0002503	XP_036499429.1	XP_031879406.1
OG0002504	XP_036492447.1	XP_031884668.1
OG0002505	XP_036492446.1	XP_031884442.1
OG0002506	XP_036492445.1	XP_031884443.1
OG0002507	XP_036492573.1	XP_031884532.2
OG0002508	XP_036492572.1	XP_031884473.1
OG0002509	XP_036491528.1	XP_031884506.1
OG0002510	XP_036491531.1	XP_031884490.1
OG0002511	XP_036491532.1	XP_031884505.1
OG0002512	XP_036491529.1	XP_031884504.2
OG0002513	XP_036491530.1	XP_031884619.1
OG0002514	XP_036491409.1	XP_031884582.1
OG0002515	XP_036491326.1	XP_031884478.1
OG0002516	XP_036491328.1	XP_031884687.1
OG0002517	XP_036491327.1	XP_031884475.1
OG0002518	XP_036491323.1	XP_031884688.1
OG0002519	XP_036491322.1	XP_031884689.1
OG0002520	XP_036491325.1	XP_031884583.1
OG0002521	XP_036491321.1	XP_066008040.1
OG0002522	XP_036491320.1	XP_031884591.1
OG0002523	XP_036492046.1	XP_031884594.1
OG0002524	XP_036491825.1	XP_031884604.1
OG0002525	XP_036492047.1	XP_031884603.1
OG0002526	XP_036492048.1	XP_031884611.1
OG0002527	XP_036491823.1	XP_031884599.1
OG0002528	XP_036492044.1	XP_031884519.1
OG0002529	XP_036496992.1	XP_031885047.1
OG0002530	XP_036496011.1	XP_031885157.1
OG0002531	XP_036496012.1	XP_031885156.1
OG0002532	XP_036496986.1	XP_031885214.1
OG0002533	XP_036496991.1	XP_031885179.1
OG0002534	XP_036496988.1	XP_031885178.1
OG0002535	XP_036496398.1	XP_031885152.1
OG0002536	XP_036495434.1	XP_066008801.1
OG0002537	XP_036495431.1	XP_066008662.1
OG0002538	XP_036495430.1	XP_031885063.1
OG0002539	XP_036495433.1	XP_031885067.1
OG0002540	XP_036495432.1	XP_031885068.1
OG0002541	XP_036495427.1	XP_031885065.1
OG0002542	XP_036495426.1	XP_031885066.1
OG0002543	XP_036495428.1	XP_031885155.1
OG0002544	XP_036496570.1	XP_031885002.1
OG0002545	XP_036495597.1	XP_031885184.1
OG0002546	XP_036496587.1	XP_031885186.1
OG0002547	XP_036496589.1	XP_031885188.1
OG0002548	XP_036496576.1	XP_031885187.1
OG0002549	XP_036496577.1	XP_031885167.1
OG0002550	XP_036496578.1	XP_031885166.1
OG0002551	XP_036490264.1	XP_031881634.1
OG0002552	XP_036490412.1	XP_031881629.1
OG0002553	XP_036491135.1	XP_031881696.1
OG0002554	XP_036490265.1	XP_031881533.2
OG0002555	XP_036490417.1	XP_031881698.1
OG0002556	XP_036491133.1	XP_066008248.1
OG0002557	XP_036490246.1	XP_031881693.1
OG0002558	XP_036490542.1	XP_031881569.1
OG0002559	XP_036490541.1	XP_031881605.1
OG0002560	XP_036490421.1	XP_031881604.1
OG0002561	XP_036490727.1	XP_066008284.1
OG0002562	XP_036490470.1	XP_031881686.1
OG0002563	XP_036490636.1	XP_031881687.1
OG0002564	XP_036491087.1	XP_031881545.1
OG0002565	XP_036491084.1	XP_031881679.1
OG0002566	XP_036491082.1	XP_031881689.1
OG0002567	XP_036490589.1	XP_031881587.1
OG0002568	XP_036490500.1	XP_031881584.1
OG0002569	XP_036498692.1	XP_031888636.1
OG0002570	XP_036496943.1	XP_031876921.1
OG0002571	XP_036496942.1	XP_031876961.1
OG0002572	XP_036496941.1	XP_031876960.1
OG0002573	XP_036496948.1	XP_031876920.1
OG0002574	XP_036496947.1	XP_031876919.1
OG0002575	XP_036496946.1	XP_031876928.1
OG0002576	XP_036496945.1	XP_031876918.1
OG0002577	XP_036496939.1	XP_031876923.1
OG0002578	XP_036496134.1	XP_031876959.1
OG0002579	XP_036496130.1	XP_031878375.1
OG0002580	XP_036496998.1	XP_031878414.1
OG0002581	XP_036496995.1	XP_031878415.1
OG0002582	XP_036496994.1	XP_031878357.1
OG0002583	XP_036496126.1	XP_031878416.1
OG0002584	XP_036496127.1	XP_031878417.1
OG0002585	XP_036496996.1	XP_031878413.1
OG0002586	XP_036496131.1	XP_066008735.1
OG0002587	XP_036496128.1	XP_031878395.1
OG0002588	XP_036496122.1	XP_031878371.1
OG0002589	XP_036496123.1	XP_031878370.1
OG0002590	XP_036495299.1	XP_031878372.1
OG0002591	XP_036495298.1	XP_031878396.1
OG0002592	XP_036496997.1	XP_031878363.1
OG0002594	XP_036488680.1	XP_031891130.1
OG0002595	XP_036488683.1	XP_031891131.1
OG0002596	XP_036488682.1	XP_031891132.1
OG0002597	XP_036488685.1	XP_031891133.2
OG0002598	XP_036488686.1	XP_031890913.1
OG0002599	XP_036488198.1	XP_031890886.1
OG0002600	XP_036488149.1	XP_031890887.1
OG0002601	XP_036488151.1	XP_031890889.1
OG0002602	XP_036488145.1	XP_031890892.1
OG0002603	XP_036488976.1	XP_031891081.1
OG0002604	XP_036488046.1	XP_031891087.1
OG0002605	XP_036488264.1	XP_031891086.1
OG0002606	XP_036488297.1	XP_031891108.1
OG0002607	XP_036488065.1	XP_031890876.1
OG0002608	XP_036490513.1	XP_031892428.1
OG0002609	XP_036490511.1	XP_031892425.2
OG0002610	XP_036491119.1	XP_031892426.1
OG0002611	XP_036490516.1	XP_031892424.1
OG0002612	XP_036490517.1	XP_031892331.1
OG0002613	XP_036490326.1	XP_031892330.1
OG0002614	XP_036490327.1	XP_031892337.1
OG0002615	XP_036490328.1	XP_031892339.1
OG0002616	XP_036490718.1	XP_031892613.1
OG0002617	XP_036491271.1	XP_031892592.1
OG0002618	XP_036491272.1	XP_031892591.1
OG0002619	XP_036491273.1	XP_031892410.1
OG0002620	XP_036490257.1	XP_031892411.1
OG0002621	XP_036493662.1	XP_031881465.1
OG0002622	XP_036493488.1	XP_031881372.2
OG0002623	XP_036493485.1	XP_031881371.1
OG0002624	XP_036490635.1	XP_031892471.1
OG0002625	XP_036491309.1	XP_031892463.1
OG0002626	XP_036491308.1	XP_031892464.1
OG0002627	XP_036491311.1	XP_031892466.1
OG0002628	XP_036491310.1	XP_031892693.1
OG0002629	XP_036491305.1	XP_031892694.2
OG0002630	XP_036491306.1	XP_031892698.1
OG0002631	XP_036491313.1	XP_031892699.1
OG0002632	XP_036490630.1	XP_031892469.1
OG0002633	XP_036490629.1	XP_031892467.1
OG0002634	XP_036490628.1	XP_031892462.1
OG0002635	XP_036491234.1	XP_031892534.1
OG0002637	XP_036491235.1	XP_031892738.1
OG0002638	XP_036491238.1	XP_031892804.1
OG0002639	XP_036491237.1	XP_031892803.1
OG0002640	XP_036490693.1	XP_031892806.1
OG0002641	XP_036490631.1	XP_031892762.1
OG0002642	XP_036491191.1	XP_031892763.1
OG0002643	XP_036502743.1	XP_031891423.1
OG0002644	XP_036502738.1	XP_066009724.1
OG0002645	XP_036487972.1	XP_031890864.1
OG0002646	XP_036501700.1	XP_031891226.1
OG0002647	XP_036501694.1	XP_031891227.1
OG0002648	XP_036501693.1	XP_031891641.1
OG0002649	XP_036502802.1	XP_031891222.2
OG0002650	XP_036502798.1	XP_031891481.1
OG0002651	XP_036502799.1	XP_031891482.1
OG0002652	XP_036502796.1	XP_066009883.1
OG0002653	XP_036502797.1	XP_031891484.1
OG0002654	XP_036502804.1	XP_066009882.1
OG0002655	XP_036502805.1	XP_031891490.1
OG0002656	XP_036501750.1	XP_031891376.1
OG0002657	XP_036501749.1	XP_031891377.1
OG0002658	XP_036501752.1	XP_031891378.1
OG0002659	XP_036501751.1	XP_031891371.1
OG0002660	XP_036501754.1	XP_031891372.1
OG0002661	XP_036501753.1	XP_031891373.1
OG0002662	XP_036501755.1	XP_031891369.1
OG0002663	XP_036501748.1	XP_031891370.1
OG0002664	XP_036501747.1	XP_031891634.1
OG0002665	XP_036501110.1	XP_031891633.1
OG0002666	XP_036501111.1	XP_066009661.1
OG0002667	XP_036501113.1	XP_031891631.1
OG0002668	XP_036501114.1	XP_031891638.1
OG0002669	XP_036501117.1	XP_031891635.1
OG0002670	XP_036501108.1	XP_031891639.2
OG0002671	XP_036501109.1	XP_031891365.1
OG0002672	XP_036502058.1	XP_031891366.1
OG0002673	XP_036502057.1	XP_031891363.1
OG0002674	XP_036501052.1	XP_031891623.1
OG0002675	XP_036501241.1	XP_031891620.1
OG0002676	XP_036502055.1	XP_031891361.1
OG0002677	XP_036497435.1	XP_031886962.1
OG0002678	XP_036497432.1	XP_031886963.1
OG0002679	XP_036498347.1	XP_031887061.1
OG0002680	XP_036498346.1	XP_031886888.1
OG0002681	XP_036498345.1	XP_031886890.1
OG0002682	XP_036498343.1	XP_031886894.1
OG0002683	XP_036498348.1	XP_031886895.1
OG0002684	XP_036497260.1	XP_031886902.1
OG0002685	XP_036497259.1	XP_031886898.1
OG0002686	XP_036497256.1	XP_031886904.1
OG0002687	XP_036497255.1	XP_031887027.1
OG0002688	XP_036497258.1	XP_031887026.1
OG0002689	XP_036497257.1	XP_031887029.1
OG0002690	XP_036497254.1	XP_031887028.1
OG0002691	XP_036498277.1	XP_031887030.1
OG0002692	XP_036498278.1	XP_031887033.1
OG0002693	XP_036498275.1	XP_031887032.1
OG0002694	XP_036498276.1	XP_031887034.1
OG0002695	XP_036498281.1	XP_066009425.1
OG0002696	XP_036498282.1	XP_031886916.1
OG0002697	XP_036498279.1	XP_031886917.1
OG0002698	XP_036498280.1	XP_031886918.1
OG0002699	XP_036498273.1	XP_031886919.1
OG0002700	XP_036498274.1	XP_031886920.1
OG0002701	XP_036497766.1	XP_031886921.1
OG0002702	XP_036498917.1	XP_031886922.1
OG0002703	XP_036498918.1	XP_066009563.1
OG0002704	XP_036498508.1	XP_031887054.1
OG0002705	XP_036498510.1	XP_031887053.1
OG0002706	XP_036498512.1	XP_031887052.1
OG0002707	XP_036498513.1	XP_031887051.1
OG0002708	XP_036490944.1	XP_031880470.2
OG0002709	XP_036495230.1	XP_031886020.1
OG0002710	XP_036495233.1	XP_031886019.1
OG0002711	XP_036495235.1	XP_031886018.1
OG0002712	XP_036495237.1	XP_031886022.1
OG0002713	XP_036495236.1	XP_031886205.1
OG0002714	XP_036494541.1	XP_031886206.1
OG0002715	XP_036494542.1	XP_031886208.1
OG0002716	XP_036494539.1	XP_031886201.1
OG0002717	XP_036494537.1	XP_031886203.1
OG0002718	XP_036494538.1	XP_031886204.1
OG0002719	XP_036494535.1	XP_031886199.1
OG0002720	XP_036494536.1	XP_031886200.1
OG0002721	XP_036494533.1	XP_031886035.1
OG0002722	XP_036494534.1	XP_031886038.1
OG0002723	XP_036495174.1	XP_031886042.1
OG0002724	XP_036495173.1	XP_031886033.1
OG0002725	XP_036495172.1	XP_031885866.2
OG0002726	XP_036494011.1	XP_031885867.1
OG0002727	XP_036494847.1	XP_031885865.1
OG0002728	XP_036494846.1	XP_066009110.1
OG0002729	XP_036494610.1	XP_066009109.1
OG0002730	XP_036494991.1	XP_031890179.1
OG0002731	XP_036494989.1	XP_031889981.1
OG0002732	XP_036494987.1	XP_031886050.1
OG0002733	XP_036494995.1	XP_031885862.1
OG0002734	XP_036494168.1	XP_031885869.1
OG0002735	XP_036494436.1	XP_031890129.1
OG0002736	XP_036495061.1	XP_031890039.1
OG0002737	XP_036494064.1	XP_031890038.1
OG0002738	XP_036495027.1	XP_031890014.1
OG0002739	XP_036494369.1	XP_066008903.1
OG0002740	XP_036495008.1	XP_031890015.1
OG0002741	XP_036495060.1	XP_031890045.1
OG0002742	XP_036494376.1	XP_031890224.1
OG0002743	XP_036494377.1	XP_031890043.1
OG0002744	XP_036494566.1	XP_066008896.1
OG0002745	XP_036494571.1	XP_031890024.1
OG0002746	XP_036494075.1	XP_031890180.2
OG0002747	XP_036494493.1	XP_031890125.2
OG0002748	XP_036495058.1	XP_031890126.1
OG0002749	XP_036495103.1	XP_031890314.1
OG0002750	XP_036491422.1	XP_031890091.1
OG0002751	XP_036494498.1	XP_031890122.1
OG0002752	XP_036495115.1	XP_031890050.1
OG0002753	XP_036495113.1	XP_031890051.1
OG0002754	XP_036494639.1	XP_031890052.1
OG0002755	XP_036495121.1	XP_031890053.1
OG0002756	XP_036495119.1	XP_031890047.1
OG0002757	XP_036494673.1	XP_031890048.1
OG0002758	XP_036495122.1	XP_031890254.1
OG0002759	XP_036494447.1	XP_031890255.1
OG0002760	XP_036494284.1	XP_066009286.1
OG0002761	XP_036494460.1	XP_031890152.1
OG0002762	XP_036494106.1	XP_031890021.2
OG0002763	XP_036494440.1	XP_031890020.1
OG0002764	XP_036494443.1	XP_031890269.1
OG0002765	XP_036494789.1	XP_031890256.1
OG0002766	XP_036494445.1	XP_031890257.1
OG0002767	XP_036495185.1	XP_031890151.1
OG0002768	XP_036500382.1	XP_031886211.1
OG0002769	XP_036500377.1	XP_031885880.1
OG0002770	XP_036500381.1	XP_031886047.1
OG0002771	XP_036500378.1	XP_031886046.1
OG0002772	XP_036499320.1	XP_031886062.1
OG0002773	XP_036492575.1	XP_031884370.1
OG0002774	XP_036499313.1	XP_031886061.1
OG0002775	XP_036488243.1	XP_031880096.1
OG0002776	XP_036502888.1	XP_031884265.2
OG0002777	XP_036499315.1	XP_031886056.2
OG0002778	XP_036499010.1	XP_031876360.1
OG0002779	XP_036499576.1	XP_031876343.1
OG0002780	XP_036499578.1	XP_031876352.1
OG0002781	XP_036499254.1	XP_031886162.1
OG0002782	XP_036500612.1	XP_031876364.1
OG0002783	XP_036499572.1	XP_031876367.1
OG0002784	XP_036500318.1	XP_031885957.1
OG0002785	XP_036489134.1	XP_031889464.1
OG0002786	XP_036495407.1	XP_031892223.1
OG0002787	XP_036499334.1	XP_031883639.1
OG0002788	XP_036492894.1	XP_031881386.1
OG0002789	XP_036499930.1	XP_031886395.2
OG0002790	XP_036499936.1	XP_031886425.1
OG0002791	XP_036499975.1	XP_031886444.1
OG0002792	XP_036499065.1	XP_031886250.1
OG0002793	XP_036499066.1	XP_031886442.1
OG0002794	XP_036499063.1	XP_031886443.1
OG0002795	XP_036499064.1	XP_031886447.1
OG0002796	XP_036499069.1	XP_066008552.1
OG0002797	XP_036499939.1	XP_031886347.1
OG0002798	XP_036499973.1	XP_031883515.1
OG0002799	XP_036499968.1	XP_031883516.1
OG0002800	XP_036499967.1	XP_031886246.1
OG0002802	XP_036499409.1	XP_031883647.1
OG0002803	XP_036499406.1	XP_031883661.1
OG0002804	XP_036499400.1	XP_031883558.1
OG0002805	XP_036495895.1	XP_031875921.1
OG0002806	XP_036499339.1	XP_031883673.1
OG0002807	XP_036499322.1	XP_031883671.1
OG0002808	XP_036500247.1	XP_031883645.1
OG0002809	XP_036500249.1	XP_031883567.1
OG0002810	XP_036500240.1	XP_031883564.1
OG0002811	XP_036500241.1	XP_031883565.1
OG0002812	XP_036500695.1	XP_031877914.1
OG0002813	XP_036492875.1	XP_031878465.2
OG0002814	XP_036491817.1	XP_031884682.1
OG0002815	XP_036499523.1	XP_031877909.1
OG0002816	XP_036500622.1	XP_031877928.1
OG0002817	XP_036499593.1	XP_031877918.1
OG0002818	XP_036500246.1	XP_031883644.2
OG0002819	XP_036500245.1	XP_031883475.1
OG0002820	XP_036500618.1	XP_031877931.1
OG0002821	XP_036500616.1	XP_031877932.1
OG0002822	XP_036499524.1	XP_031877968.1
OG0002823	XP_036499521.1	XP_031877966.1
OG0002824	XP_036492065.1	XP_066007924.1
OG0002826	XP_036500559.1	XP_031881288.1
OG0002827	XP_036500558.1	XP_066008496.1
OG0002828	XP_036500560.1	XP_031881286.1
OG0002829	XP_036499468.1	XP_031881285.1
OG0002830	XP_036500834.1	XP_031883614.1
OG0002831	XP_036500835.1	XP_031883682.1
OG0002832	XP_036500827.1	XP_031883617.1
OG0002833	XP_036500833.1	XP_031883569.1
OG0002834	XP_036500832.1	XP_031883506.1
OG0002835	XP_036499803.1	XP_031883700.1
OG0002836	XP_036499802.1	XP_031883681.1
OG0002837	XP_036499809.1	XP_031883579.1
OG0002838	XP_036499808.1	XP_031883573.1
OG0002839	XP_036499806.1	XP_031883670.1
OG0002841	XP_036499858.1	XP_031883531.1
OG0002842	XP_036499859.1	XP_031883742.1
OG0002843	XP_036500652.1	XP_031883743.1
OG0002844	XP_036500646.1	XP_031883532.1
OG0002845	XP_036500644.1	XP_031883740.1
OG0002846	XP_036499689.1	XP_031883486.1
OG0002847	XP_036499688.1	XP_031883483.1
OG0002848	XP_036499282.1	XP_031883587.1
OG0002849	XP_036499284.1	XP_031883580.1
OG0002850	XP_036499283.1	XP_031883581.1
OG0002851	XP_036499286.1	XP_031883582.1
OG0002852	XP_036499285.1	XP_031883583.1
OG0002853	XP_036499287.1	XP_031883457.1
OG0002854	XP_036500279.1	XP_031883456.1
OG0002855	XP_036500189.1	XP_031883667.1
OG0002856	XP_036500190.1	XP_031883606.1
OG0002857	XP_036500198.1	XP_031883603.1
OG0002858	XP_036500195.1	XP_031883602.1
OG0002859	XP_036500196.1	XP_031883704.1
OG0002860	XP_036499220.1	XP_031883664.1
OG0002861	XP_036499219.1	XP_031883665.1
OG0002862	XP_036499226.1	XP_031883701.1
OG0002863	XP_036500110.1	XP_031883542.1
OG0002864	XP_036500109.1	XP_066008441.1
OG0002865	XP_036500107.1	XP_031883627.2
OG0002866	XP_036500106.1	XP_066008440.1
OG0002867	XP_036500105.1	XP_031883544.1
OG0002868	XP_036500104.1	XP_031883590.1
OG0002869	XP_036500103.1	XP_031883589.2
OG0002870	XP_036500102.1	XP_031883596.1
OG0002871	XP_036499683.1	XP_031883592.1
OG0002872	XP_036500271.1	XP_031883463.1
OG0002873	XP_036499651.1	XP_031877951.1
OG0002874	XP_036489343.1	XP_031880317.1
OG0002875	XP_036498506.1	XP_031888935.1
OG0002876	XP_036499059.1	XP_031883719.1
OG0002877	XP_036499192.1	XP_031877902.1
OG0002878	XP_036500188.1	XP_031885632.1
OG0002879	XP_036499039.1	XP_031885633.1
OG0002880	XP_036499653.1	XP_031877952.1
OG0002881	XP_036499961.1	XP_031877973.1
OG0002882	XP_036498978.1	XP_031877972.1
OG0002883	XP_036491931.1	XP_031890088.1
OG0002884	XP_036491419.1	XP_031890089.1
OG0002885	XP_036498972.1	XP_066008503.1
OG0002886	XP_036498971.1	XP_031877938.1
OG0002887	XP_036498970.1	XP_031877978.1
OG0002888	XP_036496537.1	XP_031892289.1
OG0002889	XP_036499739.1	XP_031877956.1
OG0002890	XP_036499740.1	XP_031877963.1
OG0002891	XP_036499741.1	XP_031877962.1
OG0002892	XP_036500780.1	XP_031877961.1
OG0002893	XP_036500779.1	XP_031877960.1
OG0002894	XP_036500774.1	XP_031877959.1
OG0002895	XP_036500773.1	XP_031877958.1
OG0002896	XP_036500772.1	XP_031877957.1
OG0002897	XP_036499743.1	XP_066008370.1
OG0002898	XP_036499734.1	XP_031877936.1
OG0002899	XP_036500777.1	XP_031877892.1
OG0002900	XP_036499644.1	XP_031877925.1
OG0002901	XP_036500041.1	XP_031883708.1
OG0002902	XP_036500040.1	XP_066008500.1
OG0002903	XP_036500035.1	XP_031883713.2
OG0002904	XP_036500034.1	XP_031883712.1
OG0002905	XP_036499057.1	XP_031883548.1
OG0002906	XP_036499058.1	XP_031883549.1
OG0002907	XP_036499055.1	XP_031883550.1
OG0002908	XP_036499903.1	XP_031883451.1
OG0002909	XP_036499904.1	XP_031883467.1
OG0002910	XP_036499901.1	XP_031883466.1
OG0002911	XP_036499902.1	XP_031883468.1
OG0002912	XP_036499899.1	XP_031883599.1
OG0002913	XP_036499897.1	XP_031883469.1
OG0002914	XP_036499898.1	XP_031883472.1
OG0002915	XP_036499833.1	XP_031883520.1
OG0002916	XP_036499828.1	XP_031883527.1
OG0002917	XP_036499829.1	XP_031883526.1
OG0002918	XP_036499830.1	XP_031883525.1
OG0002919	XP_036500869.1	XP_031883624.1
OG0002920	XP_036500866.1	XP_031883623.1
OG0002921	XP_036500867.1	XP_031883521.1
OG0002922	XP_036499832.1	XP_031883695.1
OG0002923	XP_036500802.1	XP_066008545.1
OG0002924	XP_036500801.1	XP_031883689.2
OG0002925	XP_036500800.1	XP_031883535.1
OG0002926	XP_036500795.1	XP_031883539.1
OG0002927	XP_036500794.1	XP_031883536.1
OG0002928	XP_036500793.1	XP_031883691.1
OG0002929	XP_036499831.1	XP_031883692.1
OG0002930	XP_036499826.1	XP_031883522.1
OG0002931	XP_036499834.1	XP_031883519.1
OG0002932	XP_036499260.1	XP_031883744.1
OG0002933	XP_036499259.1	XP_031883499.1
OG0002934	XP_036499266.1	XP_066008550.1
OG0002935	XP_036500828.1	XP_031883685.1
OG0002936	XP_036499389.1	XP_031881232.1
OG0002937	XP_036500500.1	XP_031881229.1
OG0002938	XP_036500501.1	XP_031881238.1
OG0002939	XP_036500496.1	XP_031881228.1
OG0002940	XP_036490682.1	XP_031880451.1
OG0002941	XP_036490683.1	XP_031880448.2
OG0002942	XP_036490905.1	XP_031880439.1
OG0002943	XP_036491062.1	XP_031880436.1
OG0002944	XP_036490903.1	XP_066008097.1
OG0002945	XP_036491267.1	XP_031880333.1
OG0002946	XP_036491266.1	XP_031880421.1
OG0002947	XP_036491023.1	XP_066008285.1
OG0002948	XP_036490494.1	XP_031892855.1
OG0002949	XP_036490491.1	XP_031892854.1
OG0002950	XP_036490492.1	XP_066008109.1
OG0002951	XP_036491043.1	XP_031892505.1
OG0002952	XP_036491044.1	XP_031892504.1
OG0002953	XP_036491041.1	XP_031892507.1
OG0002954	XP_036491098.1	XP_031892509.1
OG0002955	XP_036491045.1	XP_031892811.1
OG0002956	XP_036490180.1	XP_031892847.1
OG0002957	XP_036494637.1	XP_066009175.1
OG0002958	XP_036494432.1	XP_031886009.1
OG0002959	XP_036494434.1	XP_031885427.1
OG0002960	XP_036494429.1	XP_031885429.1
OG0002961	XP_036494433.1	XP_031886008.2
OG0002962	XP_036494746.1	XP_066009176.1
OG0002963	XP_036494431.1	XP_031885306.1
OG0002964	XP_036494430.1	XP_031885307.1
OG0002965	XP_036493994.1	XP_031885308.1
OG0002966	XP_036493944.1	XP_031886007.1
OG0002967	XP_036493943.1	XP_031886006.1
OG0002968	XP_036493942.1	XP_031886013.1
OG0002969	XP_036493949.1	XP_031886012.1
OG0002970	XP_036493948.1	XP_031885989.1
OG0002971	XP_036493947.1	XP_066008947.1
OG0002972	XP_036493946.1	XP_031885991.1
OG0002973	XP_036493941.1	XP_031885990.1
OG0002974	XP_036493940.1	XP_031885984.1
OG0002975	XP_036494599.1	XP_031885987.1
OG0002976	XP_036494601.1	XP_031885993.2
OG0002977	XP_036494600.1	XP_031885986.1
OG0002978	XP_036494602.1	XP_031886175.1
OG0002979	XP_036494603.1	XP_031886176.1
OG0002980	XP_036494224.1	XP_031886173.1
OG0002981	XP_036494221.1	XP_031886178.1
OG0002982	XP_036495228.1	XP_031886016.1
OG0002983	XP_036495231.1	XP_031886021.1
OG0002984	XP_036497002.1	XP_031878377.1
OG0002985	XP_036497003.1	XP_066008672.1
OG0002986	XP_036497000.1	XP_031878379.1
OG0002987	XP_036496084.1	XP_031878435.1
OG0002988	XP_036496083.1	XP_031878381.1
OG0002989	XP_036496081.1	XP_066008788.1
OG0002990	XP_036496078.1	XP_031878425.1
OG0002991	XP_036496079.1	XP_031878423.1
OG0002992	XP_036496080.1	XP_031878397.1
OG0002993	XP_036492896.1	XP_031881388.1
OG0002994	XP_036496936.1	XP_031878367.1
OG0002995	XP_036489738.1	XP_031888275.1, XP_031888282.1
OG0002997	XP_036496529.1	XP_031878382.1
OG0002998	XP_036496733.1	XP_031878383.1
OG0002999	XP_036496185.1	XP_031878386.1
OG0003000	XP_036496521.1	XP_031878389.1
OG0003001	XP_036496027.1	XP_031878360.1
OG0003002	XP_036496019.1	XP_031878376.1
OG0003003	XP_036496021.1	XP_031878426.1
OG0003004	XP_036497368.1	XP_031881044.1
OG0003005	XP_036498204.1	XP_031880963.1
OG0003006	XP_036497186.1	XP_031881092.1
OG0003007	XP_036497184.1	XP_031881025.1
OG0003008	XP_036497183.1	XP_031881026.1
OG0003009	XP_036498206.1	XP_031881008.1
OG0003010	XP_036493376.1	XP_066007561.1
OG0003011	XP_036498201.1	XP_031880961.1
