Orthogroup	Colletotrichum_siamense	Colletotrichum_acutatum
OG0002836	XP_036499802.1	XP_060360461.1
OG0002837	XP_036499809.1	XP_060360463.1
OG0002838	XP_036499808.1	XP_060360464.1
OG0002839	XP_036499806.1	XP_060360466.1
OG0002841	XP_036499858.1	XP_060358901.1
OG0002842	XP_036499859.1	XP_060358902.1
OG0002843	XP_036500652.1	XP_060358903.1
OG0002844	XP_036500646.1	XP_060358904.1
OG0002845	XP_036500644.1	XP_060358907.1
OG0002846	XP_036499689.1	XP_060358910.1
OG0002847	XP_036499688.1	XP_060358911.1
OG0002848	XP_036499282.1	XP_060358914.1
OG0002849	XP_036499284.1	XP_060358915.1
OG0002850	XP_036499283.1	XP_060358916.1
OG0002851	XP_036499286.1	XP_060360802.1
OG0002852	XP_036499285.1	XP_060360801.1
OG0002853	XP_036499287.1	XP_060360799.1
OG0002854	XP_036500279.1	XP_060360798.1
OG0002855	XP_036500189.1	XP_060360794.1
OG0002856	XP_036500190.1	XP_060360793.1
OG0002857	XP_036500198.1	XP_060360790.1
OG0002858	XP_036500195.1	XP_060360789.1
OG0002859	XP_036500196.1	XP_060360788.1
OG0002860	XP_036499220.1	XP_060360785.1
OG0002861	XP_036499219.1	XP_060360784.1
OG0002862	XP_036499226.1	XP_060360783.1
OG0002863	XP_036500110.1	XP_060360781.1
OG0002864	XP_036500109.1	XP_060360780.1
OG0002865	XP_036500107.1	XP_060360778.1
OG0002866	XP_036500106.1	XP_060360777.1
OG0002867	XP_036500105.1	XP_060360776.1
OG0002868	XP_036500104.1	XP_060360775.1
OG0002869	XP_036500103.1	XP_060360774.1
OG0002870	XP_036500102.1	XP_060360773.1
OG0002871	XP_036499683.1	XP_060360767.1
OG0002872	XP_036500271.1	XP_060357283.1
OG0002873	XP_036499651.1	XP_060357196.1
OG0002874	XP_036489343.1	XP_060357195.1
OG0002875	XP_036498506.1	XP_060357368.1
OG0002876	XP_036499059.1	XP_060357367.1
OG0002877	XP_036499192.1	XP_060357364.1
OG0002878	XP_036500188.1	XP_060357363.1
OG0002879	XP_036499039.1	XP_060357362.1
OG0002880	XP_036499653.1	XP_060357117.1
OG0002881	XP_036499961.1	XP_060363668.1
OG0002882	XP_036498978.1	XP_060363667.1
OG0002883	XP_036491931.1	XP_060363666.1
OG0002884	XP_036491419.1	XP_060363665.1
OG0002885	XP_036498972.1	XP_060363662.1
OG0002886	XP_036498971.1	XP_060363661.1
OG0002887	XP_036498970.1	XP_060363660.1
OG0002888	XP_036496537.1	XP_060363654.1
OG0002889	XP_036499739.1	XP_060363651.1
OG0002890	XP_036499740.1	XP_060363650.1
OG0002891	XP_036499741.1	XP_060363649.1
OG0002892	XP_036500780.1	XP_060363648.1
OG0002893	XP_036500779.1	XP_060363647.1
OG0002894	XP_036500774.1	XP_060363645.1
OG0002895	XP_036500773.1	XP_060363643.1
OG0002896	XP_036500772.1	XP_060363642.1
OG0002897	XP_036499743.1	XP_060363641.1
OG0002898	XP_036499734.1	XP_060363640.1
OG0002899	XP_036500777.1	XP_060363635.1
OG0002900	XP_036499644.1	XP_060363632.1
OG0002901	XP_036500041.1	XP_060363631.1
OG0002902	XP_036500040.1	XP_060363630.1
OG0002903	XP_036500035.1	XP_060363629.1
OG0002904	XP_036500034.1	XP_060363628.1
OG0002905	XP_036499057.1	XP_060363626.1
OG0002906	XP_036499058.1	XP_060363625.1
OG0002907	XP_036499055.1	XP_060363624.1
OG0002908	XP_036499903.1	XP_060363621.1
OG0002909	XP_036499904.1	XP_060363618.1
OG0002910	XP_036499901.1	XP_060363617.1
OG0002911	XP_036499902.1	XP_060363616.1
OG0002912	XP_036499899.1	XP_060363615.1
OG0002913	XP_036499897.1	XP_060363613.1
OG0002914	XP_036499898.1	XP_060363612.1
OG0002915	XP_036499833.1	XP_060363611.1
OG0002916	XP_036499828.1	XP_060363609.1
OG0002917	XP_036499829.1	XP_060363608.1
OG0002918	XP_036499830.1	XP_060363607.1
OG0002919	XP_036500869.1	XP_060363604.1
OG0002920	XP_036500866.1	XP_060363603.1
OG0002921	XP_036500867.1	XP_060363602.1
OG0002922	XP_036499832.1	XP_060363601.1
OG0002923	XP_036500802.1	XP_060363599.1
OG0002924	XP_036500801.1	XP_060363598.1
OG0002925	XP_036500800.1	XP_060363597.1
OG0002926	XP_036500795.1	XP_060363596.1
OG0002927	XP_036500794.1	XP_060363595.1
OG0002929	XP_036499831.1	XP_060363593.1
OG0002930	XP_036499826.1	XP_060363592.1
OG0002931	XP_036499834.1	XP_060363591.1
OG0002932	XP_036499260.1	XP_060358560.1
OG0002933	XP_036499259.1	XP_060358561.1
OG0002934	XP_036499266.1	XP_060358562.1
OG0002935	XP_036500828.1	XP_060358569.1
OG0002936	XP_036499389.1	XP_060358572.1
OG0002937	XP_036500500.1	XP_060358576.1
OG0002938	XP_036500501.1	XP_060358577.1
OG0002939	XP_036500496.1	XP_060358579.1
OG0002940	XP_036490682.1	XP_060367859.1
OG0002941	XP_036490683.1	XP_060367857.1
OG0002942	XP_036490905.1	XP_060367854.1
OG0002943	XP_036491062.1	XP_060367853.1
OG0002944	XP_036490903.1	XP_060367852.1
OG0002945	XP_036491267.1	XP_060367850.1
OG0002946	XP_036491266.1	XP_060367849.1
OG0002947	XP_036491023.1	XP_060359848.1
OG0002948	XP_036490494.1	XP_060359851.1
OG0002949	XP_036490491.1	XP_060359852.1
OG0002950	XP_036490492.1	XP_060359854.1
OG0002951	XP_036491043.1	XP_060359857.1
OG0002952	XP_036491044.1	XP_060359859.1
OG0002953	XP_036491041.1	XP_060359860.1
OG0002954	XP_036491098.1	XP_060359862.1
OG0002955	XP_036491045.1	XP_060359864.1
OG0002956	XP_036490180.1	XP_060359865.1
OG0002957	XP_036494637.1	XP_060369000.1
OG0002958	XP_036494432.1	XP_060369002.1
OG0002959	XP_036494434.1	XP_060369003.1
OG0002960	XP_036494429.1	XP_060369004.1
OG0002961	XP_036494433.1	XP_060369005.1
OG0002962	XP_036494746.1	XP_060369006.1
OG0002963	XP_036494431.1	XP_060369007.1
OG0002964	XP_036494430.1	XP_060369008.1
OG0002965	XP_036493994.1	XP_060369009.1
OG0002966	XP_036493944.1	XP_060369012.1
OG0002967	XP_036493943.1	XP_060369013.1
OG0002968	XP_036493942.1	XP_060369014.1
OG0002969	XP_036493949.1	XP_060369015.1
OG0002970	XP_036493948.1	XP_060369017.1
OG0002971	XP_036493947.1	XP_060369018.1
OG0002972	XP_036493946.1	XP_060369019.1
OG0002973	XP_036493941.1	XP_060369020.1
OG0002974	XP_036493940.1	XP_060369021.1
OG0002975	XP_036494599.1	XP_060369022.1
OG0002976	XP_036494601.1	XP_060369024.1
OG0002977	XP_036494600.1	XP_060369025.1
OG0002978	XP_036494602.1	XP_060369026.1
OG0002979	XP_036494603.1	XP_060369028.1
OG0002980	XP_036494224.1	XP_060369029.1
OG0002981	XP_036494221.1	XP_060369037.1
OG0002982	XP_036495228.1	XP_060369040.1
OG0002983	XP_036495231.1	XP_060369041.1
OG0002984	XP_036497002.1	XP_060367332.1
OG0002985	XP_036497003.1	XP_060367331.1
OG0002986	XP_036497000.1	XP_060367330.1
OG0002987	XP_036496084.1	XP_060362416.1
OG0002988	XP_036496083.1	XP_060362417.1
OG0002989	XP_036496081.1	XP_060362419.1
OG0002990	XP_036496078.1	XP_060362421.1
OG0002991	XP_036496079.1	XP_060362423.1
OG0002992	XP_036496080.1	XP_060362424.1
OG0002994	XP_036496936.1	XP_060362440.1
OG0002995	XP_036489738.1	XP_060362443.1
OG0002997	XP_036496529.1	XP_060362450.1
OG0002998	XP_036496733.1	XP_060362453.1
OG0002999	XP_036496185.1	XP_060362454.1
OG0003000	XP_036496521.1	XP_060362455.1
OG0003001	XP_036496027.1	XP_060362457.1
OG0003002	XP_036496019.1	XP_060362459.1
OG0003003	XP_036496021.1	XP_060362461.1
OG0003004	XP_036497368.1	XP_060363700.1
OG0003005	XP_036498204.1	XP_060363698.1
OG0003006	XP_036497186.1	XP_060363694.1
OG0003007	XP_036497184.1	XP_060363693.1
OG0003008	XP_036497183.1	XP_060363691.1
OG0003009	XP_036498206.1	XP_060363685.1
OG0003010	XP_036493376.1	XP_060363684.1
OG0003011	XP_036498201.1	XP_060363682.1
OG0003012	XP_036498203.1	XP_060363680.1
OG0003013	XP_036498202.1	XP_060363679.1
OG0003014	XP_036498199.1	XP_060363678.1
OG0003015	XP_036497238.1	XP_060363676.1
OG0003016	XP_036495156.1	XP_060363674.1
OG0003017	XP_036495155.1	XP_060363673.1
OG0003018	XP_036497245.1	XP_060363672.1
OG0003019	XP_036497242.1	XP_060363671.1
OG0003020	XP_036497311.1	XP_060365365.1
OG0003021	XP_036497313.1	XP_060357056.1
OG0003022	XP_036490464.1	XP_060357055.1
OG0003023	XP_036490463.1	XP_060357054.1
OG0003024	XP_036497584.1	XP_060357413.1
OG0003025	XP_036498081.1	XP_060357417.1
OG0003026	XP_036497583.1	XP_060357418.1
OG0003027	XP_036497582.1	XP_060357419.1
OG0003028	XP_036497119.1	XP_060357420.1
OG0003029	XP_036498079.1	XP_060357421.1
OG0003030	XP_036498086.1	XP_060357422.1
OG0003031	XP_036498084.1	XP_060357643.1
OG0003032	XP_036498087.1	XP_060357641.1
OG0003033	XP_036497114.1	XP_060357638.1
OG0003034	XP_036491621.1	XP_060359702.1
OG0003035	XP_036491863.1	XP_060359700.1
OG0003036	XP_036492329.1	XP_060359697.1
OG0003037	XP_036492237.1	XP_060359695.1
OG0003038	XP_036492240.1	XP_060359694.1
OG0003039	XP_036491980.1	XP_060359690.1
OG0003040	XP_036491977.1	XP_060359687.1
OG0003041	XP_036492517.1	XP_060359685.1
OG0003042	XP_036492519.1	XP_060359684.1
OG0003043	XP_036492391.1	XP_060359681.1
OG0003044	XP_036492395.1	XP_060359680.1
OG0003045	XP_036491401.1	XP_060359666.1
OG0003046	XP_036497310.1	XP_060359665.1
OG0003047	XP_036491403.1	XP_060361848.1
OG0003048	XP_036491402.1	XP_060361847.1
OG0003049	XP_036491397.1	XP_060361846.1
OG0003050	XP_036491396.1	XP_060361845.1
OG0003051	XP_036491399.1	XP_060361844.1
OG0003052	XP_036491398.1	XP_060361843.1
OG0003053	XP_036492030.1	XP_060361841.1
OG0003054	XP_036492031.1	XP_060361840.1
OG0003055	XP_036491680.1	XP_060361836.1
OG0003056	XP_036492027.1	XP_060361824.1
OG0003057	XP_036491358.1	XP_060361822.1
OG0003058	XP_036491366.1	XP_060361821.1
OG0003059	XP_036491365.1	XP_060361819.1
OG0003060	XP_036491999.1	XP_060361815.1
OG0003061	XP_036491998.1	XP_060361814.1
OG0003062	XP_036491992.1	XP_060361811.1
OG0003063	XP_036500476.1	XP_060357894.1
OG0003064	XP_036501168.1	XP_060357892.1
OG0003065	XP_036501169.1	XP_060357891.1
OG0003066	XP_036501160.1	XP_060357888.1
OG0003067	XP_036501161.1	XP_060357887.1
OG0003068	XP_036492431.1	XP_060357013.1
OG0003069	XP_036501026.1	XP_060368120.1
OG0003070	XP_036501025.1	XP_060368119.1
OG0003071	XP_036502028.1	XP_060368115.1
OG0003072	XP_036502029.1	XP_060368114.1
OG0003073	XP_036489677.1	XP_060368113.1
OG0003074	XP_036502035.1	XP_060368112.1
OG0003075	XP_036502034.1	XP_060368107.1
OG0003076	XP_036502033.1	XP_060368106.1
OG0003077	XP_036502032.1	XP_060368105.1
OG0003078	XP_036500980.1	XP_060368104.1
OG0003079	XP_036500979.1	XP_060368103.1
OG0003080	XP_036500986.1	XP_060368102.1
OG0003081	XP_036500985.1	XP_060368100.1
OG0003082	XP_036500988.1	XP_060368099.1
OG0003083	XP_036502380.1	XP_060368098.1
OG0003084	XP_036502120.1	XP_060368097.1
OG0003085	XP_036502378.1	XP_060368096.1
OG0003086	XP_036502119.1	XP_060368095.1
OG0003087	XP_036502114.1	XP_060368094.1
OG0003088	XP_036501180.1	XP_060368092.1
OG0003089	XP_036502623.1	XP_060368091.1
OG0003090	XP_036501050.1	XP_060368088.1
OG0003091	XP_036501051.1	XP_060368085.1
OG0003092	XP_036501944.1	XP_060368084.1
OG0003093	XP_036501943.1	XP_060368083.1
OG0003094	XP_036501945.1	XP_060368081.1
OG0003096	XP_036494144.1	XP_060362588.1
OG0003097	XP_036494342.1	XP_060362587.1
OG0003098	XP_036489086.1	XP_060362586.1
OG0003099	XP_036489631.1	XP_060362580.1
OG0003100	XP_036490022.1	XP_060362579.1
OG0003101	XP_036489632.1	XP_060362578.1
OG0003102	XP_036489492.1	XP_060362577.1
OG0003103	XP_036490006.1	XP_060362576.1
OG0003104	XP_036489627.1	XP_060362575.1
OG0003105	XP_036489027.1	XP_060362571.1
OG0003106	XP_036489026.1	XP_060362570.1
OG0003107	XP_036489032.1	XP_060362567.1
OG0003108	XP_036489031.1	XP_060362566.1
OG0003109	XP_036489029.1	XP_060362565.1
OG0003110	XP_036489131.1	XP_060362564.1
OG0003111	XP_036489025.1	XP_060362563.1
OG0003112	XP_036489375.1	XP_060362562.1
OG0003113	XP_036489192.1	XP_060362561.1
OG0003114	XP_036489373.1	XP_060362560.1
OG0003115	XP_036489374.1	XP_060362559.1
OG0003116	XP_036489371.1	XP_060362557.1
OG0003117	XP_036489372.1	XP_060362556.1
OG0003118	XP_036489370.1	XP_060362555.1
OG0003119	XP_036489162.1	XP_060362554.1
OG0003120	XP_036489376.1	XP_060362553.1
OG0003121	XP_036489377.1	XP_060362550.1
OG0003122	XP_036489933.1	XP_060362548.1
OG0003123	XP_036489935.1	XP_060362547.1
OG0003124	XP_036489934.1	XP_060362546.1
OG0003125	XP_036489936.1	XP_060362544.1
OG0003126	XP_036489023.1	XP_060362543.1
OG0003127	XP_036489937.1	XP_060362542.1
OG0003128	XP_036489839.1	XP_060362541.1
OG0003129	XP_036489034.1	XP_060362539.1
OG0003130	XP_036495437.1	XP_060362538.1
OG0003132	XP_036499511.1	XP_060360075.1
OG0003133	XP_036500403.1	XP_060360074.1
OG0003134	XP_036499451.1	XP_060360068.1
OG0003135	XP_036499732.1	XP_060360067.1
OG0003136	XP_036499442.1	XP_060360064.1
OG0003137	XP_036499443.1	XP_060360063.1
OG0003138	XP_036499444.1	XP_060360061.1
OG0003139	XP_036499446.1	XP_060360060.1
OG0003140	XP_036500547.1	XP_060362809.1
OG0003141	XP_036500546.1	XP_060362807.1
OG0003142	XP_036500545.1	XP_060362806.1
OG0003143	XP_036495105.1	XP_060362805.1
OG0003144	XP_036495104.1	XP_060362804.1
OG0003145	XP_036500552.1	XP_060362802.1
OG0003146	XP_036499458.1	XP_060362801.1
OG0003147	XP_036499457.1	XP_060362800.1
OG0003149	XP_036494047.1	XP_060362795.1
OG0003150	XP_036500409.1	XP_060362793.1
OG0003151	XP_036500408.1	XP_060362791.1
OG0003152	XP_036499372.1	XP_060362790.1
OG0003153	XP_036500485.1	XP_060362787.1
OG0003154	XP_036500482.1	XP_060362786.1
OG0003155	XP_036500488.1	XP_060362783.1
OG0003156	XP_036500487.1	XP_060362780.1
OG0003157	XP_036500410.1	XP_060362777.1
OG0003158	XP_036500414.1	XP_060362775.1
OG0003159	XP_036500405.1	XP_060362774.1
OG0003160	XP_036499327.1	XP_060362773.1
OG0003161	XP_036491450.1	XP_060362771.1
OG0003162	XP_036496294.1	XP_060363144.1
OG0003163	XP_036496287.1	XP_060363145.1
OG0003164	XP_036495514.1	XP_060363149.1
OG0003165	XP_036496468.1	XP_060357672.1
OG0003166	XP_036496469.1	XP_060357671.1
OG0003167	XP_036496166.1	XP_060357668.1
OG0003168	XP_036495400.1	XP_060357667.1
OG0003169	XP_036495392.1	XP_060357665.1
OG0003170	XP_036495393.1	XP_060360898.1
OG0003171	XP_036496160.1	XP_060360899.1
OG0003172	XP_036496165.1	XP_060360900.1
OG0003173	XP_036496163.1	XP_060360902.1
OG0003174	XP_036496164.1	XP_060360903.1
OG0003175	XP_036495503.1	XP_060360904.1
OG0003176	XP_036500313.1	XP_060360906.1
OG0003177	XP_036495406.1	XP_060360908.1
OG0003178	XP_036496298.1	XP_060360909.1
OG0003179	XP_036496297.1	XP_060360910.1
OG0003180	XP_036496305.1	XP_060360912.1
OG0003181	XP_036496304.1	XP_060360913.1
OG0003182	XP_036496303.1	XP_060360914.1
OG0003183	XP_036496302.1	XP_060360915.1
OG0003184	XP_036496242.1	XP_060360920.1
OG0003185	XP_036495346.1	XP_060360923.1
OG0003186	XP_036495349.1	XP_060360924.1
OG0003187	XP_036495348.1	XP_060360925.1
OG0003188	XP_036495351.1	XP_060360928.1
OG0003189	XP_036495350.1	XP_060360929.1
OG0003190	XP_036495353.1	XP_060360930.1
OG0003191	XP_036495342.1	XP_060360932.1
OG0003192	XP_036495343.1	XP_060360933.1
OG0003193	XP_036495273.1	XP_060360934.1
OG0003194	XP_036495347.1	XP_060360935.1
OG0003195	XP_036495344.1	XP_060360936.1
OG0003196	XP_036495274.1	XP_060360939.1
OG0003197	XP_036495345.1	XP_060360940.1
OG0003198	XP_036502290.1	XP_060370908.1
OG0003199	XP_036502289.1	XP_060370907.1
OG0003200	XP_036502288.1	XP_060370906.1
OG0003201	XP_036501263.1	XP_060370905.1
OG0003202	XP_036501264.1	XP_060370904.1
OG0003203	XP_036501259.1	XP_060370903.1
OG0003204	XP_036501260.1	XP_060370902.1
OG0003205	XP_036501262.1	XP_060370900.1
OG0003206	XP_036501255.1	XP_060370899.1
OG0003207	XP_036501256.1	XP_060370898.1
OG0003208	XP_036501257.1	XP_060370897.1
OG0003209	XP_036501258.1	XP_060370895.1
OG0003210	XP_036502359.1	XP_060370894.1
OG0003211	XP_036502365.1	XP_060370893.1
OG0003212	XP_036502358.1	XP_060370892.1
OG0003213	XP_036502364.1	XP_060370891.1
OG0003214	XP_036502367.1	XP_060370889.1
OG0003215	XP_036502366.1	XP_060370888.1
OG0003216	XP_036502363.1	XP_060370886.1
OG0003217	XP_036502362.1	XP_060370885.1
OG0003218	XP_036501347.1	XP_060370883.1
OG0003219	XP_036501348.1	XP_060370882.1
OG0003220	XP_036501352.1	XP_060370879.1
OG0003221	XP_036501350.1	XP_060370878.1
OG0003222	XP_036501355.1	XP_060370875.1
OG0003223	XP_036502646.1	XP_060370873.1
OG0003224	XP_036502642.1	XP_060370871.1
OG0003225	XP_036502643.1	XP_060370870.1
OG0003226	XP_036502644.1	XP_060370869.1
OG0003227	XP_036502645.1	XP_060370868.1
OG0003228	XP_036502638.1	XP_060370867.1
OG0003229	XP_036502639.1	XP_060370866.1
OG0003230	XP_036502640.1	XP_060370865.1
OG0003231	XP_036502641.1	XP_060370863.1
OG0003232	XP_036501860.1	XP_060370862.1
OG0003233	XP_036501859.1	XP_060370861.1
OG0003234	XP_036501862.1	XP_060370860.1
OG0003235	XP_036501863.1	XP_060370857.1
OG0003236	XP_036501868.1	XP_060370854.1
OG0003237	XP_036502856.1	XP_060370852.1
OG0003238	XP_036502857.1	XP_060370851.1
OG0003239	XP_036502854.1	XP_060370850.1
OG0003240	XP_036502855.1	XP_060370849.1
OG0003241	XP_036502852.1	XP_060370848.1
OG0003242	XP_036502853.1	XP_060370846.1
OG0003243	XP_036502848.1	XP_060370844.1
OG0003244	XP_036502849.1	XP_060370843.1
OG0003245	XP_036501796.1	XP_060370842.1
OG0003246	XP_036501795.1	XP_060370841.1
OG0003247	XP_036501790.1	XP_060370840.1
OG0003248	XP_036501788.1	XP_060370838.1
OG0003249	XP_036501787.1	XP_060370837.1
OG0003250	XP_036501793.1	XP_060370835.1
OG0003251	XP_036501792.1	XP_060370834.1
OG0003252	XP_036490526.1	XP_060366199.1
OG0003253	XP_036490527.1	XP_060366198.1
OG0003254	XP_036490524.1	XP_060366197.1
OG0003255	XP_036490525.1	XP_060366196.1
OG0003256	XP_036491228.1	XP_060366194.1
OG0003257	XP_036491126.1	XP_060366187.1
OG0003258	XP_036491123.1	XP_060366186.1
OG0003259	XP_036491124.1	XP_060366183.1
OG0003260	XP_036496375.1	XP_060366182.1
OG0003261	XP_036491127.1	XP_060366181.1
OG0003262	XP_036490535.1	XP_060366179.1
OG0003263	XP_036490539.1	XP_060366174.1
OG0003264	XP_036490536.1	XP_060366173.1
OG0003265	XP_036490537.1	XP_060366172.1
OG0003266	XP_036491097.1	XP_060366171.1
OG0003267	XP_036490912.1	XP_060366166.1
OG0003268	XP_036491106.1	XP_060366165.1
OG0003269	XP_036491190.1	XP_060366164.1
OG0003270	XP_036490910.1	XP_060366159.1
OG0003271	XP_036490836.1	XP_060366158.1
OG0003272	XP_036490833.1	XP_060366155.1
OG0003273	XP_036490834.1	XP_060366154.1
OG0003274	XP_036490012.1	XP_060366148.1
OG0003275	XP_036490803.1	XP_060366147.1
OG0003276	XP_036490699.1	XP_060366145.1
OG0003277	XP_036490697.1	XP_060366139.1
OG0003278	XP_036490223.1	XP_060366138.1
OG0003279	XP_036490695.1	XP_060366131.1
OG0003280	XP_036491122.1	XP_060366130.1
OG0003281	XP_036494530.1	XP_060366129.1
OG0003282	XP_036490176.1	XP_060366126.1
OG0003283	XP_036490872.1	XP_060366121.1
OG0003284	XP_036490205.1	XP_060366118.1
OG0003285	XP_036491056.1	XP_060366117.1
OG0003286	XP_036490667.1	XP_060366114.1
OG0003287	XP_036490666.1	XP_060366111.1
OG0003288	XP_036490668.1	XP_060366107.1
OG0003289	XP_036490671.1	XP_060366105.1
OG0003290	XP_036490838.1	XP_060361146.1
OG0003291	XP_036491250.1	XP_060361144.1
OG0003292	XP_036491251.1	XP_060361143.1
OG0003293	XP_036491248.1	XP_060361142.1
OG0003294	XP_036491249.1	XP_060361141.1
OG0003295	XP_036490948.1	XP_060361139.1
OG0003296	XP_036491246.1	XP_060361138.1
OG0003297	XP_036490946.1	XP_060361137.1
OG0003298	XP_036490949.1	XP_060361135.1
OG0003299	XP_036490853.1	XP_060361134.1
OG0003300	XP_036490852.1	XP_060361132.1
OG0003301	XP_036490908.1	XP_060361130.1
OG0003302	XP_036490851.1	XP_060361128.1
OG0003303	XP_036491081.1	XP_060361127.1
OG0003304	XP_036490856.1	XP_060361125.1
OG0003305	XP_036490290.1	XP_060361121.1
OG0003306	XP_036490291.1	XP_060361119.1
OG0003307	XP_036490162.1	XP_060361118.1
OG0003308	XP_036490951.1	XP_060361115.1
OG0003309	XP_036490643.1	XP_060361114.1
OG0003310	XP_036490286.1	XP_060371467.1
OG0003311	XP_036490284.1	XP_060371469.1
OG0003312	XP_036490282.1	XP_060371472.1
OG0003313	XP_036490281.1	XP_060371477.1
OG0003314	XP_036490280.1	XP_060371478.1
OG0003315	XP_036490283.1	XP_060371479.1
OG0003316	XP_036490341.1	XP_060371481.1
OG0003317	XP_036490844.1	XP_060371483.1
OG0003318	XP_036490886.1	XP_060371484.1
OG0003319	XP_036490845.1	XP_060371485.1
OG0003320	XP_036490887.1	XP_060371486.1
OG0003321	XP_036490846.1	XP_060371488.1
OG0003322	XP_036490921.1	XP_060371490.1
OG0003323	XP_036490847.1	XP_060371491.1
OG0003324	XP_036490923.1	XP_060371492.1
OG0003325	XP_036490848.1	XP_060371493.1
OG0003326	XP_036490244.1	XP_060371502.1
OG0003327	XP_036490236.1	XP_060371503.1
OG0003328	XP_036490243.1	XP_060371505.1
OG0003329	XP_036490930.1	XP_060371513.1
OG0003330	XP_036490924.1	XP_060371515.1
OG0003331	XP_036490649.1	XP_060371516.1
OG0003332	XP_036490647.1	XP_060371517.1
OG0003333	XP_036490955.1	XP_060371518.1
OG0003334	XP_036490645.1	XP_060371519.1
OG0003335	XP_036490953.1	XP_060371520.1
OG0003336	XP_036490387.1	XP_060371522.1
OG0003337	XP_036490386.1	XP_060371523.1
OG0003338	XP_036490383.1	XP_060371524.1
OG0003339	XP_036490382.1	XP_060371525.1
OG0003340	XP_036490385.1	XP_060371526.1
OG0003341	XP_036490380.1	XP_060371527.1
OG0003342	XP_036490379.1	XP_060371528.1
OG0003343	XP_036490335.1	XP_060371530.1
OG0003344	XP_036490381.1	XP_060371531.1
OG0003345	XP_036490894.1	XP_060371532.1
OG0003346	XP_036490306.1	XP_060371533.1
OG0003347	XP_036490875.1	XP_060371534.1
OG0003348	XP_036490507.1	XP_060371539.1
OG0003349	XP_036491202.1	XP_060371543.1
OG0003350	XP_036491205.1	XP_060371545.1
OG0003351	XP_036491204.1	XP_060371546.1
OG0003352	XP_036491203.1	XP_060371547.1
OG0003353	XP_036491209.1	XP_060371548.1
OG0003354	XP_036491208.1	XP_060371549.1
OG0003355	XP_036493457.1	XP_060371550.1
OG0003356	XP_036493455.1	XP_060371551.1
OG0003357	XP_036490596.1	XP_060371567.1
OG0003358	XP_036491207.1	XP_060371569.1
OG0003359	XP_036491206.1	XP_060371570.1
OG0003360	XP_036490594.1	XP_060371572.1
OG0003361	XP_036490600.1	XP_060371573.1
OG0003362	XP_036490601.1	XP_060371574.1
OG0003363	XP_036490169.1	XP_060371576.1
OG0003364	XP_036490168.1	XP_060371577.1
OG0003365	XP_036490167.1	XP_060371578.1
OG0003366	XP_036490733.1	XP_060371579.1
OG0003367	XP_036490368.1	XP_060371580.1
OG0003368	XP_036490732.1	XP_060371581.1
OG0003369	XP_036490731.1	XP_060371582.1
OG0003370	XP_036490737.1	XP_060371583.1
OG0003371	XP_036490736.1	XP_060371584.1
OG0003372	XP_036491144.1	XP_060371585.1
OG0003373	XP_036491086.1	XP_060371591.1
OG0003374	XP_036491061.1	XP_060371592.1
OG0003375	XP_036490478.1	XP_060371593.1
OG0003376	XP_036491211.1	XP_060371594.1
OG0003377	XP_036490530.1	XP_060371595.1
OG0003378	XP_036491053.1	XP_060371597.1
OG0003379	XP_036490706.1	XP_060371598.1
OG0003380	XP_036490705.1	XP_060371599.1
OG0003381	XP_036491020.1	XP_060371602.1
OG0003382	XP_036490149.1	XP_060371604.1
OG0003383	XP_036491025.1	XP_060371605.1
OG0003384	XP_036491027.1	XP_060371606.1
OG0003385	XP_036491029.1	XP_060371609.1
OG0003386	XP_036491030.1	XP_060371611.1
OG0003387	XP_036491293.1	XP_060371613.1
OG0003388	XP_036490744.1	XP_060371614.1
OG0003389	XP_036490743.1	XP_060371615.1
OG0003390	XP_036490745.1	XP_060371617.1
OG0003391	XP_036490159.1	XP_060371620.1
OG0003392	XP_036490157.1	XP_060371623.1
OG0003393	XP_036490740.1	XP_060371624.1
OG0003394	XP_036490173.1	XP_060371625.1
OG0003395	XP_036490950.1	XP_060371626.1
OG0003396	XP_036490154.1	XP_060371627.1
OG0003397	XP_036490468.1	XP_060371629.1
OG0003398	XP_036490165.1	XP_060371632.1
OG0003399	XP_036490164.1	XP_060371633.1
OG0003400	XP_036490163.1	XP_060371634.1
OG0003401	XP_036490293.1	XP_060371637.1
OG0003402	XP_036490294.1	XP_060371638.1
OG0003403	XP_036490295.1	XP_060371639.1
OG0003404	XP_036490288.1	XP_060371641.1
OG0003405	XP_036490364.1	XP_060371644.1
OG0003406	XP_036490410.1	XP_060371645.1
OG0003407	XP_036490411.1	XP_060371646.1
OG0003408	XP_036490367.1	XP_060371647.1
OG0003409	XP_036490369.1	XP_060371648.1
OG0003410	XP_036490365.1	XP_060371649.1
OG0003411	XP_036490366.1	XP_060371650.1
OG0003412	XP_036490408.1	XP_060371651.1
OG0003413	XP_036490363.1	XP_060371652.1
OG0003414	XP_036490234.1	XP_060371654.1
OG0003415	XP_036490354.1	XP_060371655.1
OG0003416	XP_036490356.1	XP_060371658.1
OG0003417	XP_036490355.1	XP_060371659.1
OG0003418	XP_036490351.1	XP_060371660.1
OG0003419	XP_036490350.1	XP_060371661.1
OG0003420	XP_036490352.1	XP_060371663.1
OG0003421	XP_036490349.1	XP_060371664.1
OG0003422	XP_036491284.1	XP_060371665.1
OG0003423	XP_036490466.1	XP_060371667.1
OG0003424	XP_036490642.1	XP_060371668.1
