Orthogroup	Colletotrichum_siamense	Colletotrichum_truncatum
OG0002281	XP_036501250.1	XP_036580703.1
OG0002282	XP_036501247.1	XP_036580704.1
OG0002283	XP_036501248.1	XP_036580710.1
OG0002284	XP_036502287.1	XP_036580711.1
OG0002285	XP_036502280.1	XP_036580712.1
OG0002286	XP_036491261.1	XP_036580724.1
OG0002287	XP_036498215.1	XP_036577701.1
OG0002288	XP_036496631.1	XP_036576667.1
OG0002289	XP_036502282.1	XP_036580699.2
OG0002290	XP_036501648.1	XP_036580693.1
OG0002291	XP_036501647.1	XP_036580694.1
OG0002292	XP_036501646.1	XP_036580695.2
OG0002293	XP_036501640.1	XP_036580696.1
OG0002294	XP_036502284.1	XP_036580697.1
OG0002295	XP_036502285.1	XP_036580698.1
OG0002296	XP_036501714.1	XP_036580672.1
OG0002297	XP_036501707.1	XP_036580673.1
OG0002298	XP_036501708.1	XP_036580674.1
OG0002299	XP_036501705.1	XP_036580675.1
OG0002300	XP_036501706.1	XP_036580676.1
OG0002301	XP_036501711.1	XP_036580677.1
OG0002302	XP_036501712.1	XP_036580678.1
OG0002303	XP_036501709.1	XP_036580679.1
OG0002304	XP_036502757.1	XP_036580681.1
OG0002305	XP_036501644.1	XP_070061706.1
OG0002306	XP_036502694.1	XP_070061701.1
OG0002307	XP_036502695.1	XP_070061702.1
OG0002308	XP_036502696.1	XP_036580685.1
OG0002309	XP_036502697.1	XP_036580686.1
OG0002310	XP_036502689.1	XP_070061703.1
OG0002311	XP_036501413.1	XP_036580688.1
OG0002312	XP_036501643.1	XP_036580692.1
OG0002313	XP_036502519.1	XP_036580642.1
OG0002314	XP_036502512.1	XP_036580643.1
OG0002315	XP_036502513.1	XP_070061694.1
OG0002316	XP_036502515.1	XP_036580646.1
OG0002317	XP_036502521.1	XP_036580650.1
OG0002318	XP_036501489.1	XP_036580651.1
OG0002319	XP_036501488.1	XP_036580652.1
OG0002320	XP_036501487.1	XP_036580653.1
OG0002321	XP_036502674.1	XP_036580593.1
OG0002322	XP_036502673.1	XP_036580592.1
OG0002323	XP_036502672.1	XP_036580591.1
OG0002324	XP_036501579.1	XP_036580637.1
OG0002325	XP_036501576.1	XP_036580636.1
OG0002326	XP_036502132.1	XP_070061693.1
OG0002327	XP_036501956.1	XP_036580614.1
OG0002328	XP_036501353.1	XP_036580615.1
OG0002329	XP_036501575.1	XP_070061690.1
OG0002330	XP_036502128.1	XP_036580617.1
OG0002331	XP_036502127.1	XP_036580618.2
OG0002332	XP_036502134.1	XP_036580620.1
OG0002334	XP_036502133.1	XP_036580622.2
OG0002335	XP_036501118.1	XP_070061692.1
OG0002336	XP_036501119.1	XP_036580624.1
OG0002337	XP_036502611.1	XP_036580626.1
OG0002338	XP_036502612.1	XP_036580627.1
OG0002339	XP_036501577.1	XP_036580628.1
OG0002340	XP_036502131.1	XP_036580630.1
OG0002341	XP_036502130.1	XP_036580631.1
OG0002342	XP_036502129.1	XP_036580632.1
OG0002343	XP_036502136.1	XP_036580633.2
OG0002344	XP_036502135.1	XP_036580635.1
OG0002345	XP_036502667.1	XP_036580594.1
OG0002346	XP_036502668.1	XP_036580595.1
OG0002347	XP_036502669.1	XP_036580596.1
OG0002348	XP_036502670.1	XP_036580597.1
OG0002349	XP_036501692.1	XP_036580598.2
OG0002350	XP_036501691.1	XP_070061688.1
OG0002351	XP_036501690.1	XP_036580600.1
OG0002352	XP_036501688.1	XP_036580602.1
OG0002353	XP_036501686.1	XP_036580603.1
OG0002354	XP_036501685.1	XP_036580604.1
OG0002355	XP_036501684.1	XP_036580605.1
OG0002356	XP_036501683.1	XP_036580606.1
OG0002357	XP_036501667.1	XP_070061689.1
OG0002358	XP_036501666.1	XP_036580610.1
OG0002359	XP_036501665.1	XP_036580611.1
OG0002360	XP_036501664.1	XP_036580612.1
OG0002361	XP_036501662.1	XP_036580613.1
OG0002362	XP_036501741.1	XP_036580587.1
OG0002363	XP_036502671.1	XP_036580590.1
OG0002364	XP_036501580.1	XP_036580639.1
OG0002365	XP_036501583.1	XP_036580640.1
OG0002366	XP_036502755.1	XP_036580667.1
OG0002367	XP_036502754.1	XP_036580666.1
OG0002368	XP_036502749.1	XP_036580665.1
OG0002369	XP_036502751.1	XP_036580663.1
OG0002370	XP_036502750.1	XP_036580662.1
OG0002371	XP_036501490.1	XP_036580661.1
OG0002372	XP_036501491.1	XP_036580660.1
OG0002373	XP_036501482.1	XP_036580659.1
OG0002374	XP_036501483.1	XP_036580658.1
OG0002375	XP_036501739.1	XP_070061687.1
OG0002376	XP_036501742.1	XP_036580586.1
OG0002377	XP_036501486.1	XP_036580654.1
OG0002378	XP_036501485.1	XP_036580655.1
OG0002379	XP_036501484.1	XP_036580656.1
OG0002380	XP_036502732.1	XP_036580583.2
OG0002381	XP_036502733.1	XP_036580582.1
OG0002382	XP_036501746.1	XP_036580572.1
OG0002383	XP_036501743.1	XP_036580573.1
OG0002384	XP_036501738.1	XP_036580576.1
OG0002385	XP_036502735.1	XP_036580577.1
OG0002386	XP_036502737.1	XP_036580578.1
OG0002387	XP_036502736.1	XP_036580579.1
OG0002388	XP_036502731.1	XP_036580580.1
OG0002389	XP_036502730.1	XP_036580581.1
OG0002390	XP_036501556.1	XP_036580559.1
OG0002391	XP_036501555.1	XP_036580560.1
OG0002392	XP_036501554.1	XP_036580561.1
OG0002393	XP_036501553.1	XP_036580562.1
OG0002394	XP_036501560.1	XP_036580563.1
OG0002395	XP_036501559.1	XP_036580564.1
OG0002396	XP_036501558.1	XP_070061685.1
OG0002397	XP_036501557.1	XP_036580566.1
OG0002398	XP_036502728.1	XP_036580567.1
OG0002399	XP_036502491.1	XP_036580556.1
OG0002400	XP_036502490.1	XP_036580555.1
OG0002401	XP_036502486.1	XP_036580551.1
OG0002402	XP_036502487.1	XP_036580553.1
OG0002403	XP_036502485.1	XP_036580550.2
OG0002404	XP_036502484.1	XP_070061682.1
OG0002405	XP_036502483.1	XP_036580548.1
OG0002406	XP_036502482.1	XP_036580547.1
OG0002407	XP_036501623.1	XP_070061681.1
OG0002408	XP_036501622.1	XP_036580544.1
OG0002409	XP_036501620.1	XP_070061679.1
OG0002410	XP_036501617.1	XP_036580541.1
OG0002411	XP_036501618.1	XP_036580540.1
OG0002412	XP_036501626.1	XP_036580538.1
OG0002413	XP_036502575.1	XP_036580537.1
OG0002414	XP_036502574.1	XP_036580536.2
OG0002415	XP_036502577.1	XP_036580535.1
OG0002416	XP_036502576.1	XP_036580534.1
OG0002417	XP_036502579.1	XP_036580533.1
OG0002418	XP_036502578.1	XP_036580532.1
OG0002419	XP_036502581.1	XP_036580530.1
OG0002420	XP_036502580.1	XP_036580529.1
OG0002421	XP_036502573.1	XP_036580528.1
OG0002422	XP_036502572.1	XP_070061677.1
OG0002423	XP_036501949.1	XP_070061676.1
OG0002424	XP_036501950.1	XP_036580525.1
OG0002425	XP_036501951.1	XP_036580524.1
OG0002426	XP_036501953.1	XP_070061675.1
OG0002427	XP_036501954.1	XP_036580521.1
OG0002428	XP_036501955.1	XP_036580520.1
OG0002429	XP_036501947.1	XP_036580519.1
OG0002430	XP_036501948.1	XP_036580518.1
OG0002431	XP_036500921.1	XP_036580517.1
OG0002432	XP_036500919.1	XP_036580515.1
OG0002433	XP_036500918.1	XP_036580514.1
OG0002434	XP_036500925.1	XP_036585757.2
OG0002435	XP_036500924.1	XP_036585756.1
OG0002436	XP_036500923.1	XP_036585755.1
OG0002437	XP_036500922.1	XP_036585754.1
OG0002438	XP_036500915.1	XP_036585752.1
OG0002439	XP_036501187.1	XP_036585751.1
OG0002440	XP_036501186.1	XP_036585750.1
OG0002441	XP_036501189.1	XP_036585749.1
OG0002442	XP_036501188.1	XP_070061673.1
OG0002443	XP_036501191.1	XP_036585747.2
OG0002444	XP_036501192.1	XP_036585744.1
OG0002445	XP_036501185.1	XP_036585743.1
OG0002446	XP_036502215.1	XP_036585741.1
OG0002447	XP_036502126.1	XP_036585740.1
OG0002448	XP_036502213.1	XP_036585739.1
OG0002449	XP_036502214.1	XP_036585737.1
OG0002450	XP_036502211.1	XP_070061672.1
OG0002451	XP_036502210.1	XP_036585731.1
OG0002452	XP_036502216.1	XP_070061671.1
OG0002453	XP_036502217.1	XP_036585729.1
OG0002454	XP_036501127.1	XP_036585728.1
OG0002455	XP_036501126.1	XP_036585727.1
OG0002456	XP_036501125.1	XP_036585726.1
OG0002457	XP_036501124.1	XP_036585725.1
OG0002458	XP_036501122.1	XP_036585723.1
OG0002459	XP_036502257.1	XP_036585722.1
OG0002460	XP_036501120.1	XP_036585721.1
OG0002461	XP_036502614.1	XP_036585720.1
OG0002462	XP_036502616.1	XP_036585719.1
OG0002463	XP_036497107.1	XP_070062575.1
OG0002464	XP_036498068.1	XP_036588279.1
OG0002465	XP_036498072.1	XP_036588280.1
OG0002466	XP_036498073.1	XP_036588281.2
OG0002467	XP_036497180.1	XP_036588290.1
OG0002468	XP_036497181.1	XP_070062577.1
OG0002469	XP_036498074.1	XP_070062576.1
OG0002470	XP_036498077.1	XP_036588285.1
OG0002471	XP_036498076.1	XP_036588284.1
OG0002472	XP_036498071.1	XP_036588283.2
OG0002473	XP_036498070.1	XP_036588282.1
OG0002474	XP_036497174.1	XP_036588292.1
OG0002475	XP_036497179.1	XP_036588293.1
OG0002476	XP_036497178.1	XP_036588294.1
OG0002477	XP_036497177.1	XP_036588295.1
OG0002478	XP_036497176.1	XP_070062580.1
OG0002479	XP_036499153.1	XP_036586066.1
OG0002480	XP_036499152.1	XP_036586067.1
OG0002481	XP_036499155.1	XP_036586068.1
OG0002482	XP_036499154.1	XP_036586069.1
OG0002483	XP_036499157.1	XP_036586070.1
OG0002484	XP_036499156.1	XP_036586071.1
OG0002485	XP_036500122.1	XP_070062037.1
OG0002486	XP_036500119.1	XP_036586047.1
OG0002487	XP_036500120.1	XP_036586048.1
OG0002488	XP_036500117.1	XP_036586049.1
OG0002489	XP_036500114.1	XP_036586051.1
OG0002490	XP_036500118.1	XP_036586050.1
OG0002491	XP_036500454.1	XP_036586043.1
OG0002492	XP_036500453.1	XP_036586042.1
OG0002493	XP_036500459.1	XP_070062036.1
OG0002494	XP_036500458.1	XP_036586039.1
OG0002495	XP_036500457.1	XP_036586038.1
OG0002496	XP_036500456.1	XP_036586037.1
OG0002497	XP_036499420.1	XP_036586036.1
OG0002498	XP_036499421.1	XP_036586035.1
OG0002499	XP_036499422.1	XP_036586034.1
OG0002500	XP_036499423.1	XP_036586033.1
OG0002501	XP_036499426.1	XP_036586031.1
OG0002502	XP_036499428.1	XP_070062035.1
OG0002503	XP_036499429.1	XP_036586029.1
OG0002504	XP_036492447.1	XP_036578622.1
OG0002505	XP_036492446.1	XP_036578621.1
OG0002506	XP_036492445.1	XP_036578620.1
OG0002507	XP_036492573.1	XP_036578618.1
OG0002508	XP_036492572.1	XP_036578617.1
OG0002509	XP_036491528.1	XP_036578615.1
OG0002510	XP_036491531.1	XP_036578612.1
OG0002511	XP_036491532.1	XP_036578610.1
OG0002512	XP_036491529.1	XP_036578609.2
OG0002513	XP_036491530.1	XP_036578608.2
OG0002514	XP_036491409.1	XP_036578606.1
OG0002515	XP_036491326.1	XP_036578604.1
OG0002516	XP_036491328.1	XP_036578603.1
OG0002517	XP_036491327.1	XP_070061072.1
OG0002518	XP_036491323.1	XP_036578601.1
OG0002519	XP_036491322.1	XP_036578600.1
OG0002520	XP_036491325.1	XP_036578598.1
OG0002521	XP_036491321.1	XP_036578597.1
OG0002522	XP_036491320.1	XP_036578596.2
OG0002523	XP_036492046.1	XP_036578595.1
OG0002524	XP_036491825.1	XP_036578594.1
OG0002525	XP_036492047.1	XP_036578593.1
OG0002526	XP_036492048.1	XP_036578592.1
OG0002527	XP_036491823.1	XP_036578591.2
OG0002528	XP_036492044.1	XP_036578589.1
OG0002529	XP_036496992.1	XP_036586736.1
OG0002530	XP_036496011.1	XP_036586737.1
OG0002531	XP_036496012.1	XP_036586738.1
OG0002532	XP_036496986.1	XP_036586729.1
OG0002533	XP_036496991.1	XP_036586727.1
OG0002534	XP_036496988.1	XP_036586726.1
OG0002535	XP_036496398.1	XP_036586724.1
OG0002536	XP_036495434.1	XP_036586723.1
OG0002537	XP_036495431.1	XP_036586722.1
OG0002538	XP_036495430.1	XP_036586721.1
OG0002539	XP_036495433.1	XP_036586720.1
OG0002540	XP_036495432.1	XP_036586719.1
OG0002541	XP_036495427.1	XP_036586718.1
OG0002542	XP_036495426.1	XP_036586717.1
OG0002543	XP_036495428.1	XP_036586716.1
OG0002544	XP_036496570.1	XP_036586715.1
OG0002545	XP_036495597.1	XP_036586714.1
OG0002546	XP_036496587.1	XP_036586712.1
OG0002547	XP_036496589.1	XP_036586710.1
OG0002548	XP_036496576.1	XP_036586709.1
OG0002549	XP_036496577.1	XP_036586708.1
OG0002550	XP_036496578.1	XP_036586706.1
OG0002551	XP_036490264.1	XP_036575193.1
OG0002552	XP_036490412.1	XP_070061323.1
OG0002553	XP_036491135.1	XP_036575190.1
OG0002554	XP_036490265.1	XP_070061321.1
OG0002555	XP_036490417.1	XP_036575187.1
OG0002556	XP_036491133.1	XP_036575186.1
OG0002557	XP_036490246.1	XP_036575185.1
OG0002558	XP_036490542.1	XP_036575184.1
OG0002559	XP_036490541.1	XP_036575183.1
OG0002560	XP_036490421.1	XP_036575281.1
OG0002561	XP_036490727.1	XP_070061315.1
OG0002562	XP_036490470.1	XP_036575268.1
OG0002563	XP_036490636.1	XP_036575270.1
OG0002564	XP_036491087.1	XP_036575272.1
OG0002565	XP_036491084.1	XP_036575273.1
OG0002566	XP_036491082.1	XP_036575274.1
OG0002567	XP_036490589.1	XP_036575263.1
OG0002568	XP_036490500.1	XP_036575260.1
OG0002569	XP_036498692.1	XP_036582046.1
OG0002570	XP_036496943.1	XP_036584810.1
OG0002571	XP_036496942.1	XP_036584811.1
OG0002572	XP_036496941.1	XP_036584812.1
OG0002573	XP_036496948.1	XP_036584813.1
OG0002574	XP_036496947.1	XP_036584814.1
OG0002575	XP_036496946.1	XP_036584816.1
OG0002576	XP_036496945.1	XP_036584818.2
OG0002577	XP_036496939.1	XP_036584820.1
OG0002578	XP_036496134.1	XP_036584821.1
OG0002579	XP_036496130.1	XP_036584775.1
OG0002580	XP_036496998.1	XP_036584783.1
OG0002581	XP_036496995.1	XP_036584781.1
OG0002582	XP_036496994.1	XP_036584780.2
OG0002583	XP_036496126.1	XP_036584779.1
OG0002584	XP_036496127.1	XP_036584778.1
OG0002585	XP_036496996.1	XP_036584784.1
OG0002586	XP_036496131.1	XP_036584774.1
OG0002587	XP_036496128.1	XP_036584773.1
OG0002588	XP_036496122.1	XP_036584771.1
OG0002589	XP_036496123.1	XP_036584770.1
OG0002590	XP_036495299.1	XP_036584768.1
OG0002591	XP_036495298.1	XP_036584767.1
OG0002592	XP_036496997.1	XP_070060283.1
OG0002593	XP_036488303.1	XP_036587973.2
OG0002594	XP_036488680.1	XP_070060829.1
OG0002595	XP_036488683.1	XP_036587968.2
OG0002596	XP_036488682.1	XP_036587969.2
OG0002597	XP_036488685.1	XP_036587970.1
OG0002598	XP_036488686.1	XP_036587971.1
OG0002599	XP_036488198.1	XP_036587979.1
OG0002600	XP_036488149.1	XP_070060832.1
OG0002601	XP_036488151.1	XP_070060831.1
OG0002602	XP_036488145.1	XP_036587976.2
OG0002603	XP_036488976.1	XP_036588046.2
OG0002604	XP_036488046.1	XP_036588044.1
OG0002605	XP_036488264.1	XP_036588043.2
OG0002606	XP_036488297.1	XP_036588053.1
OG0002607	XP_036488065.1	XP_036587983.1
OG0002608	XP_036490513.1	XP_036589071.1
OG0002609	XP_036490511.1	XP_036589072.1
OG0002610	XP_036491119.1	XP_036589073.1
OG0002611	XP_036490516.1	XP_036589074.1
OG0002612	XP_036490517.1	XP_036589075.1
OG0002613	XP_036490326.1	XP_036589076.1
OG0002614	XP_036490327.1	XP_036589077.1
OG0002615	XP_036490328.1	XP_036589106.2
OG0002616	XP_036490718.1	XP_036589102.1
OG0002617	XP_036491271.1	XP_036589079.1
OG0002618	XP_036491272.1	XP_036589078.1
OG0002619	XP_036491273.1	XP_036589108.1
OG0002620	XP_036490257.1	XP_070061386.1
OG0002621	XP_036493662.1	XP_036579679.1
OG0002622	XP_036493488.1	XP_036579677.1
OG0002623	XP_036493485.1	XP_036579676.1
OG0002624	XP_036490635.1	XP_036589123.1
OG0002625	XP_036491309.1	XP_036589122.1
OG0002626	XP_036491308.1	XP_036589121.1
OG0002627	XP_036491311.1	XP_036589120.1
OG0002628	XP_036491310.1	XP_036589119.1
OG0002629	XP_036491305.1	XP_036589118.1
OG0002630	XP_036491306.1	XP_036589116.1
OG0002631	XP_036491313.1	XP_036589115.1
OG0002632	XP_036490630.1	XP_036589127.1
OG0002633	XP_036490629.1	XP_036589128.1
OG0002634	XP_036490628.1	XP_036589129.1
OG0002635	XP_036491234.1	XP_070061381.1
OG0002636	XP_036491236.1	XP_036589144.1
OG0002637	XP_036491235.1	XP_036589143.1
OG0002638	XP_036491238.1	XP_036589142.1
OG0002639	XP_036491237.1	XP_036589141.1
OG0002640	XP_036490693.1	XP_036589140.1
OG0002641	XP_036490631.1	XP_036589133.1
OG0002642	XP_036491191.1	XP_070061382.1
OG0002643	XP_036502743.1	XP_070060236.1
OG0002644	XP_036502738.1	XP_070060237.1
OG0002645	XP_036487972.1	XP_036590009.1
OG0002646	XP_036501700.1	XP_036578714.1
OG0002647	XP_036501694.1	XP_036578722.1
OG0002648	XP_036501693.1	XP_036578723.1
OG0002649	XP_036502802.1	XP_070060244.1
OG0002650	XP_036502798.1	XP_070060246.1
OG0002651	XP_036502799.1	XP_036578728.1
OG0002652	XP_036502796.1	XP_036578729.1
OG0002653	XP_036502797.1	XP_036578730.1
OG0002654	XP_036502804.1	XP_036578731.1
OG0002655	XP_036502805.1	XP_036578732.1
OG0002656	XP_036501750.1	XP_070060248.1
OG0002657	XP_036501749.1	XP_036578736.1
OG0002658	XP_036501752.1	XP_036578737.1
OG0002659	XP_036501751.1	XP_036578738.1
OG0002660	XP_036501754.1	XP_036578739.1
OG0002661	XP_036501753.1	XP_036578740.1
OG0002662	XP_036501755.1	XP_036578742.1
OG0002663	XP_036501748.1	XP_036578743.1
OG0002664	XP_036501747.1	XP_036578745.2
OG0002665	XP_036501110.1	XP_036578746.1
OG0002666	XP_036501111.1	XP_036578747.1
OG0002667	XP_036501113.1	XP_036578749.1
OG0002668	XP_036501114.1	XP_036578750.1
OG0002669	XP_036501117.1	XP_036578753.1
OG0002670	XP_036501108.1	XP_036578754.1
OG0002671	XP_036501109.1	XP_070060251.1
OG0002672	XP_036502058.1	XP_036578756.1
OG0002673	XP_036502057.1	XP_036578757.1
OG0002674	XP_036501052.1	XP_036574159.2
OG0002675	XP_036501241.1	XP_036574162.2
OG0002676	XP_036502055.1	XP_036578760.1
OG0002677	XP_036497435.1	XP_036582911.1
OG0002678	XP_036497432.1	XP_036582910.1
OG0002679	XP_036498347.1	XP_036582907.1
OG0002680	XP_036498346.1	XP_036582906.1
OG0002681	XP_036498345.1	XP_036582905.1
OG0002682	XP_036498343.1	XP_036582871.1
OG0002683	XP_036498348.1	XP_036582872.1
OG0002684	XP_036497260.1	XP_036582874.1
OG0002685	XP_036497259.1	XP_036582875.1
OG0002686	XP_036497256.1	XP_036582878.1
OG0002687	XP_036497255.1	XP_036582879.1
OG0002688	XP_036497258.1	XP_036582880.1
OG0002689	XP_036497257.1	XP_036582881.1
OG0002690	XP_036497254.1	XP_036582882.2
OG0002691	XP_036498277.1	XP_036582884.1
OG0002692	XP_036498278.1	XP_070062521.1
OG0002693	XP_036498275.1	XP_036582886.1
OG0002694	XP_036498276.1	XP_036582888.1
OG0002695	XP_036498281.1	XP_036582889.2
OG0002696	XP_036498282.1	XP_036582890.1
OG0002697	XP_036498279.1	XP_036582891.1
OG0002698	XP_036498280.1	XP_036582892.1
OG0002699	XP_036498273.1	XP_036582893.1
OG0002700	XP_036498274.1	XP_036582894.1
OG0002701	XP_036497766.1	XP_036582895.1
OG0002702	XP_036498917.1	XP_036582896.1
OG0002703	XP_036498918.1	XP_036582899.2
OG0002704	XP_036498508.1	XP_036582900.1
OG0002705	XP_036498510.1	XP_036582902.1
OG0002706	XP_036498512.1	XP_070062523.1
OG0002707	XP_036498513.1	XP_070062524.1
OG0002708	XP_036490944.1	XP_036574898.1
OG0002709	XP_036495230.1	XP_070060600.1
OG0002710	XP_036495233.1	XP_036583163.1
OG0002711	XP_036495235.1	XP_070060601.1
OG0002712	XP_036495237.1	XP_036583161.1
OG0002713	XP_036495236.1	XP_036583160.1
OG0002714	XP_036494541.1	XP_036583159.1
OG0002715	XP_036494542.1	XP_036583158.1
OG0002716	XP_036494539.1	XP_036583157.1
OG0002717	XP_036494537.1	XP_036583155.1
OG0002718	XP_036494538.1	XP_036583154.1
OG0002719	XP_036494535.1	XP_036583152.1
OG0002720	XP_036494536.1	XP_036583151.1
OG0002721	XP_036494533.1	XP_036583150.1
OG0002722	XP_036494534.1	XP_036583149.1
OG0002723	XP_036495174.1	XP_036583146.1
OG0002724	XP_036495173.1	XP_036583144.1
OG0002725	XP_036495172.1	XP_036583143.1
OG0002726	XP_036494011.1	XP_036583142.2
OG0002727	XP_036494847.1	XP_036583141.1
OG0002728	XP_036494846.1	XP_070060605.1
OG0002729	XP_036494610.1	XP_036584529.1
OG0002730	XP_036494991.1	XP_036583126.1
OG0002731	XP_036494989.1	XP_036583125.1
OG0002732	XP_036494987.1	XP_036583124.1
OG0002733	XP_036494995.1	XP_070060607.1
OG0002734	XP_036494168.1	XP_036583119.1
OG0002735	XP_036494436.1	XP_036581348.1
OG0002736	XP_036495061.1	XP_036581349.1
OG0002737	XP_036494064.1	XP_036581350.1
OG0002738	XP_036495027.1	XP_036581362.1
OG0002739	XP_036494369.1	XP_036581361.1
OG0002740	XP_036495008.1	XP_036581360.1
OG0002741	XP_036495060.1	XP_036581353.1
OG0002742	XP_036494376.1	XP_070060616.1
OG0002743	XP_036494377.1	XP_036581355.1
OG0002744	XP_036494566.1	XP_036583114.1
OG0002745	XP_036494571.1	XP_036583115.1
OG0002746	XP_036494075.1	XP_036583116.2
OG0002747	XP_036494493.1	XP_036581342.2
OG0002748	XP_036495058.1	XP_070060619.1
OG0002749	XP_036495103.1	XP_036581335.1
OG0002750	XP_036491422.1	XP_036587775.1
OG0002751	XP_036494498.1	XP_036581310.1
OG0002752	XP_036495115.1	XP_036581308.1
OG0002753	XP_036495113.1	XP_036581307.1
OG0002754	XP_036494639.1	XP_036581306.1
OG0002755	XP_036495121.1	XP_036581305.1
OG0002756	XP_036495119.1	XP_036581303.1
OG0002757	XP_036494673.1	XP_036581302.1
OG0002758	XP_036495122.1	XP_070060623.1
OG0002759	XP_036494447.1	XP_036581300.1
OG0002760	XP_036494284.1	XP_036581298.1
OG0002761	XP_036494460.1	XP_036581291.1
OG0002762	XP_036494106.1	XP_036581292.1
OG0002763	XP_036494440.1	XP_036581293.1
OG0002764	XP_036494443.1	XP_036581294.1
OG0002765	XP_036494789.1	XP_036581295.1
OG0002766	XP_036494445.1	XP_036581296.1
OG0002767	XP_036495185.1	XP_036581289.1
OG0002768	XP_036500382.1	XP_036581071.1
OG0002769	XP_036500377.1	XP_036581075.1
OG0002770	XP_036500381.1	XP_036581073.1
OG0002771	XP_036500378.1	XP_036581074.1
OG0002772	XP_036499320.1	XP_036581083.1
OG0002773	XP_036492575.1	XP_036574336.1
OG0002777	XP_036499315.1	XP_036581087.1
OG0002778	XP_036499010.1	XP_036581106.1
OG0002780	XP_036499578.1	XP_070061925.1
OG0002781	XP_036499254.1	XP_036581041.1
OG0002782	XP_036500612.1	XP_036581100.1
OG0002783	XP_036499572.1	XP_036581098.1
OG0002784	XP_036500318.1	XP_036581092.1
OG0002785	XP_036489134.1	XP_036589638.1
OG0002786	XP_036495407.1	XP_036581714.1
OG0002787	XP_036499334.1	XP_036580056.1
OG0002789	XP_036499930.1	XP_036575611.1
OG0002790	XP_036499936.1	XP_036575609.1
OG0002791	XP_036499975.1	XP_036575594.1
OG0002792	XP_036499065.1	XP_036575595.1
OG0002793	XP_036499066.1	XP_036575596.1
OG0002794	XP_036499063.1	XP_036575597.1
OG0002795	XP_036499064.1	XP_036575598.1
OG0002796	XP_036499069.1	XP_036575599.1
OG0002797	XP_036499939.1	XP_036575604.1
OG0002798	XP_036499973.1	XP_036577012.1
OG0002799	XP_036499968.1	XP_036577013.1
OG0002800	XP_036499967.1	XP_036577014.1
OG0002802	XP_036499409.1	XP_036580065.1
OG0002803	XP_036499406.1	XP_036580064.1
OG0002804	XP_036499400.1	XP_036580063.1
OG0002805	XP_036495895.1	XP_036583117.1, XP_036586851.1
OG0002806	XP_036499339.1	XP_036580086.1
OG0002807	XP_036499322.1	XP_036580084.1
OG0002808	XP_036500247.1	XP_036580073.2
OG0002809	XP_036500249.1	XP_036580075.1
OG0002810	XP_036500240.1	XP_036580076.1
OG0002811	XP_036500241.1	XP_036580077.1
OG0002812	XP_036500695.1	XP_070060408.1
OG0002813	XP_036492875.1	XP_036582187.1
OG0002814	XP_036491817.1	XP_070061056.1
OG0002815	XP_036499523.1	XP_036579921.1
OG0002816	XP_036500622.1	XP_036579925.1
OG0002817	XP_036499593.1	XP_070062095.1
OG0002818	XP_036500246.1	XP_036580072.1
OG0002819	XP_036500245.1	XP_036580071.1
OG0002820	XP_036500618.1	XP_036579917.1
OG0002821	XP_036500616.1	XP_036579918.1
OG0002822	XP_036499524.1	XP_036579915.1
OG0002823	XP_036499521.1	XP_036579914.1
OG0002825	XP_036497240.1	XP_036579913.2
OG0002826	XP_036500559.1	XP_036579910.1
OG0002827	XP_036500558.1	XP_070062094.1
OG0002828	XP_036500560.1	XP_036579907.1
OG0002829	XP_036499468.1	XP_036579903.1
OG0002830	XP_036500834.1	XP_036577008.2
OG0002831	XP_036500835.1	XP_036577009.1
OG0002832	XP_036500827.1	XP_036577005.1
OG0002833	XP_036500833.1	XP_036577003.1
OG0002834	XP_036500832.1	XP_036577002.1
OG0002835	XP_036499803.1	XP_036577000.1
OG0002836	XP_036499802.1	XP_036576999.1
OG0002837	XP_036499809.1	XP_070062132.1
OG0002838	XP_036499808.1	XP_036576996.1
OG0002839	XP_036499806.1	XP_036576991.1
OG0002841	XP_036499858.1	XP_036576978.1
OG0002842	XP_036499859.1	XP_036576977.1
OG0002843	XP_036500652.1	XP_036576976.1
OG0002844	XP_036500646.1	XP_036576975.1
OG0002845	XP_036500644.1	XP_036576973.1
OG0002846	XP_036499689.1	XP_036576970.1
OG0002847	XP_036499688.1	XP_036576969.1
OG0002848	XP_036499282.1	XP_036576922.1
OG0002849	XP_036499284.1	XP_036576921.2
OG0002850	XP_036499283.1	XP_036576920.1
OG0002851	XP_036499286.1	XP_036576919.1
OG0002852	XP_036499285.1	XP_070062114.1
OG0002853	XP_036499287.1	XP_070062112.1
OG0002854	XP_036500279.1	XP_036580096.1
OG0002855	XP_036500189.1	XP_036576935.1
OG0002856	XP_036500190.1	XP_036576931.1
OG0002857	XP_036500198.1	XP_036576930.1
OG0002858	XP_036500195.1	XP_036576929.1
OG0002859	XP_036500196.1	XP_036576928.1
OG0002860	XP_036499220.1	XP_070062124.1
OG0002861	XP_036499219.1	XP_036576939.1
OG0002862	XP_036499226.1	XP_036576940.1
OG0002863	XP_036500110.1	XP_036576953.1
OG0002864	XP_036500109.1	XP_036576952.1
OG0002865	XP_036500107.1	XP_036576950.1
OG0002866	XP_036500106.1	XP_036576949.1
OG0002867	XP_036500105.1	XP_036576948.1
OG0002868	XP_036500104.1	XP_036576947.1
OG0002869	XP_036500103.1	XP_036576946.1
OG0002870	XP_036500102.1	XP_036576945.1
