Orthogroup	Colletotrichum_karsti	Colletotrichum_abscissum
OG0001740	XP_038742411.1	XP_060405691.1
OG0001741	XP_038743044.1	XP_060405699.1
OG0001742	XP_038743052.1	XP_060405707.1
OG0001743	XP_038738895.1	XP_060405776.1
OG0001744	XP_038739359.1, XP_038738898.1	XP_060405781.1
OG0001745	XP_038748511.1	XP_060405828.1
OG0001746	XP_038748456.1	XP_060405870.1
OG0001747	XP_038750292.1, XP_038741149.1	XP_060405937.1
OG0001748	XP_038741098.1, XP_038738707.1	XP_060405959.1
OG0001749	XP_038751139.1, XP_038738816.1	XP_060406025.1
OG0001750	XP_038745131.1	XP_060406041.1
OG0001751	XP_038745050.1	XP_060406159.1
OG0001752	XP_038746761.1	XP_060406217.1
OG0001753	XP_038746778.1	XP_060406234.1
OG0001754	XP_038743918.1	XP_060406340.1
OG0001755	XP_038745016.1	XP_060406391.1
OG0001756	XP_038738779.1	XP_060406487.1
OG0001757	XP_038750939.1	XP_060406518.1
OG0001758	XP_038742418.1	XP_060406525.1
OG0001759	XP_038742146.1	XP_060406556.1
OG0001787	XP_038740837.1	XP_060389448.1, XP_060395840.1
OG0001788	XP_038742840.1	XP_060389459.1
OG0001789	XP_038742847.1	XP_060389460.1
OG0001790	XP_038749902.1	XP_060389461.1
OG0001791	XP_038749903.1	XP_060389462.1
OG0001792	XP_038749908.1	XP_060389464.1
OG0001793	XP_038742821.1	XP_060389468.1
OG0001794	XP_038744473.1	XP_060389470.1
OG0001795	XP_038749205.1	XP_060389473.1, XP_060394216.1
OG0001799	XP_038749027.1	XP_060389491.1
OG0001800	XP_038749029.1	XP_060389495.1
OG0001801	XP_038749030.1	XP_060389496.1
OG0001802	XP_038749031.1	XP_060389497.1
OG0001803	XP_038749032.1	XP_060389498.1
OG0001804	XP_038749033.1	XP_060389499.1
OG0001805	XP_038749034.1	XP_060389501.1
OG0001806	XP_038749038.1	XP_060389506.1
OG0001807	XP_038749039.1	XP_060389507.1
OG0001808	XP_038749044.1	XP_060389513.1
OG0001809	XP_038748996.1	XP_060389514.1
OG0001810	XP_038743857.1	XP_060389517.1
OG0001811	XP_038743855.1	XP_060389520.1
OG0001812	XP_038743854.1	XP_060389521.1
OG0001813	XP_038743853.1	XP_060389522.1
OG0001814	XP_038743851.1	XP_060389525.1
OG0001815	XP_038743850.1	XP_060389526.1
OG0001816	XP_038743849.1	XP_060389527.1
OG0001817	XP_038743848.1	XP_060389528.1
OG0001818	XP_038743847.1	XP_060389529.1
OG0001819	XP_038743846.1	XP_060389530.1
OG0001820	XP_038743844.1	XP_060389531.1
OG0001821	XP_038743843.1	XP_060389532.1
OG0001822	XP_038743841.1	XP_060389534.1
OG0001823	XP_038751371.1	XP_060389535.1
OG0001824	XP_038751370.1	XP_060389536.1
OG0001825	XP_038751369.1	XP_060389538.1
OG0001826	XP_038751368.1	XP_060389540.1
OG0001827	XP_038751367.1	XP_060389541.1
OG0001828	XP_038751366.1	XP_060389542.1
OG0001829	XP_038751365.1	XP_060389543.1
OG0001830	XP_038751361.1	XP_060389547.1
OG0001831	XP_038751359.1	XP_060389549.1
OG0001832	XP_038742906.1	XP_060389550.1, XP_060403495.1
OG0001833	XP_038751358.1	XP_060389551.1
OG0001834	XP_038751357.1	XP_060389552.1
OG0001835	XP_038751356.1	XP_060389554.1
OG0001836	XP_038751355.1	XP_060389555.1
OG0001837	XP_038751353.1	XP_060389558.1
OG0001838	XP_038751352.1	XP_060389559.1
OG0001839	XP_038751348.1	XP_060389561.1
OG0001840	XP_038751347.1	XP_060389562.1
OG0001841	XP_038751345.1	XP_060389564.1
OG0001842	XP_038751344.1	XP_060389565.1
OG0001843	XP_038751343.1	XP_060389569.1
OG0001844	XP_038751341.1	XP_060389570.1
OG0001845	XP_038751340.1	XP_060389575.1
OG0001846	XP_038751319.1	XP_060389581.1
OG0001847	XP_038751320.1	XP_060389582.1
OG0001848	XP_038751321.1	XP_060389583.1
OG0001849	XP_038751322.1	XP_060389584.1
OG0001850	XP_038751325.1	XP_060389588.1
OG0001851	XP_038751326.1	XP_060389592.1
OG0001852	XP_038751327.1	XP_060389593.1
OG0001853	XP_038751328.1	XP_060389595.1
OG0001854	XP_038751329.1	XP_060389596.1
OG0001855	XP_038751330.1	XP_060389597.1
OG0001856	XP_038751331.1	XP_060389603.1
OG0001857	XP_038751332.1	XP_060389604.1
OG0001858	XP_038741628.1	XP_060389606.1
OG0001859	XP_038751338.1	XP_060389608.1
OG0001860	XP_038751336.1	XP_060389612.1
OG0001861	XP_038751335.1	XP_060389613.1
OG0001862	XP_038751333.1	XP_060389615.1
OG0001863	XP_038751261.1	XP_060389617.1
OG0001864	XP_038751263.1	XP_060389619.1
OG0001865	XP_038751268.1	XP_060389629.1
OG0001866	XP_038751269.1	XP_060389630.1
OG0001867	XP_038751302.1	XP_060389631.1
OG0001868	XP_038751300.1	XP_060389633.1
OG0001869	XP_038751299.1	XP_060389634.1
OG0001870	XP_038751298.1	XP_060389635.1
OG0001871	XP_038751297.1	XP_060389636.1
OG0001872	XP_038751296.1	XP_060389637.1
OG0001873	XP_038751292.1	XP_060389644.1
OG0001874	XP_038751290.1	XP_060389647.1
OG0001875	XP_038751288.1	XP_060389649.1
OG0001876	XP_038751287.1	XP_060389655.1
OG0001877	XP_038751284.1	XP_060389658.1
OG0001878	XP_038751283.1	XP_060389660.1
OG0001879	XP_038751281.1	XP_060389662.1
OG0001880	XP_038751280.1	XP_060389663.1
OG0001881	XP_038751279.1	XP_060389664.1
OG0001882	XP_038751278.1	XP_060389665.1
OG0001883	XP_038751277.1	XP_060389666.1
OG0001884	XP_038751276.1	XP_060389667.1
OG0001885	XP_038751275.1	XP_060389668.1
OG0001886	XP_038751274.1	XP_060389669.1
OG0001887	XP_038751273.1	XP_060389670.1
OG0001888	XP_038751272.1	XP_060389675.1
OG0001889	XP_038751271.1	XP_060389676.1
OG0001890	XP_038751270.1	XP_060389677.1
OG0001891	XP_038751303.1	XP_060389678.1
OG0001892	XP_038751304.1	XP_060389679.1
OG0001893	XP_038742157.1, XP_038743406.1	XP_060389681.1
OG0001894	XP_038751306.1	XP_060389688.1
OG0001895	XP_038751305.1	XP_060389689.1
OG0001896	XP_038751317.1	XP_060389691.1
OG0001897	XP_038751316.1	XP_060389693.1
OG0001898	XP_038751315.1	XP_060389694.1
OG0001899	XP_038751314.1	XP_060389695.1
OG0001900	XP_038751312.1	XP_060389698.1
OG0001901	XP_038751257.1	XP_060389700.1
OG0001902	XP_038751255.1	XP_060389702.1
OG0001903	XP_038751253.1	XP_060389704.1
OG0001904	XP_038751252.1	XP_060389705.1
OG0001905	XP_038751250.1	XP_060389707.1
OG0001906	XP_038751249.1	XP_060389708.1
OG0001907	XP_038751310.1	XP_060389709.1
OG0001908	XP_038751311.1	XP_060389710.1
OG0001909	XP_038751243.1	XP_060389711.1
OG0001910	XP_038751245.1	XP_060389713.1
OG0001911	XP_038751246.1	XP_060389714.1
OG0001912	XP_038751247.1	XP_060389716.1
OG0001913	XP_038751170.1	XP_060389721.1
OG0001914	XP_038751171.1	XP_060389722.1
OG0001915	XP_038751172.1	XP_060389724.1
OG0001916	XP_038751174.1	XP_060389726.1
OG0001917	XP_038751175.1	XP_060389727.1
OG0001918	XP_038751176.1	XP_060389728.1
OG0001919	XP_038751177.1	XP_060389729.1
OG0001920	XP_038751198.1	XP_060389733.1
OG0001921	XP_038751197.1	XP_060389734.1
OG0001922	XP_038751192.1	XP_060389735.1
OG0001923	XP_038751193.1	XP_060389736.1
OG0001924	XP_038751194.1	XP_060389737.1
OG0001925	XP_038751195.1	XP_060389739.1
OG0001926	XP_038751196.1	XP_060389740.1
OG0001927	XP_038751190.1	XP_060389741.1
OG0001928	XP_038751189.1	XP_060389743.1
OG0001929	XP_038751188.1	XP_060389744.1
OG0001930	XP_038751187.1	XP_060389745.1
OG0001931	XP_038751186.1	XP_060389746.1
OG0001932	XP_038751185.1	XP_060389747.1
OG0001933	XP_038751184.1	XP_060389748.1
OG0001934	XP_038751183.1	XP_060389749.1
OG0001935	XP_038751182.1	XP_060389750.1
OG0001936	XP_038751181.1	XP_060389751.1
OG0001937	XP_038751180.1	XP_060389752.1
OG0001938	XP_038751179.1	XP_060389753.1
OG0001939	XP_038751210.1	XP_060389754.1
OG0001940	XP_038751209.1	XP_060389755.1
OG0001941	XP_038751207.1	XP_060389757.1
OG0001942	XP_038751206.1	XP_060389758.1
OG0001943	XP_038751205.1	XP_060389760.1
OG0001944	XP_038751204.1	XP_060389762.1
OG0001945	XP_038751203.1	XP_060389763.1
OG0001946	XP_038751202.1	XP_060389764.1
OG0001947	XP_038751200.1	XP_060389767.1
OG0001948	XP_038751239.1	XP_060389771.1
OG0001949	XP_038751237.1	XP_060389775.1
OG0001950	XP_038751236.1	XP_060389776.1
OG0001951	XP_038751234.1	XP_060389778.1
OG0001952	XP_038751233.1	XP_060389779.1
OG0001953	XP_038751232.1	XP_060389781.1
OG0001954	XP_038751231.1	XP_060389783.1
OG0001955	XP_038751241.1	XP_060389786.1
OG0001956	XP_038751166.1	XP_060389794.1
OG0001957	XP_038751165.1	XP_060389795.1
OG0001958	XP_038751164.1	XP_060389796.1
OG0001959	XP_038751163.1	XP_060389797.1
OG0001960	XP_038751162.1	XP_060389798.1
OG0001961	XP_038751161.1	XP_060389799.1
OG0001962	XP_038751157.1	XP_060389800.1
OG0001963	XP_038751159.1	XP_060389802.1
OG0001964	XP_038751160.1	XP_060389803.1
OG0001965	XP_038751153.1	XP_060389806.1
OG0001966	XP_038751154.1	XP_060389807.1
OG0001967	XP_038751155.1	XP_060389808.1
OG0001968	XP_038744837.1	XP_060389809.1
OG0001969	XP_038751147.1	XP_060389810.1
OG0001970	XP_038751109.1	XP_060389813.1
OG0001971	XP_038747719.1	XP_060389814.1
OG0001972	XP_038750689.1	XP_060389815.1
OG0001973	XP_038750690.1	XP_060389816.1
OG0001974	XP_038751136.1	XP_060389818.1
OG0001975	XP_038751135.1	XP_060389821.1
OG0001976	XP_038751134.1	XP_060389822.1
OG0001977	XP_038750032.1	XP_060389823.1
OG0001978	XP_038751132.1	XP_060389825.1
OG0001979	XP_038751130.1	XP_060389827.1
OG0001980	XP_038751129.1	XP_060389828.1
OG0001981	XP_038751127.1	XP_060389830.1
OG0001982	XP_038751126.1	XP_060389832.1
OG0001983	XP_038751125.1	XP_060389833.1
OG0001984	XP_038751124.1	XP_060389834.1
OG0001985	XP_038751123.1	XP_060389835.1
OG0001986	XP_038751122.1	XP_060389836.1
OG0001987	XP_038751120.1	XP_060389838.1
OG0001988	XP_038751110.1	XP_060389839.1
OG0001989	XP_038751138.1	XP_060389844.1
OG0001990	XP_038751140.1	XP_060389852.1
OG0001991	XP_038751107.1	XP_060389854.1
OG0001992	XP_038751106.1	XP_060389855.1
OG0001993	XP_038751105.1	XP_060389856.1
OG0001994	XP_038751104.1	XP_060389858.1
OG0001995	XP_038751103.1	XP_060389859.1
OG0001996	XP_038751102.1	XP_060389861.1
OG0001997	XP_038751101.1	XP_060389862.1
OG0001998	XP_038751100.1	XP_060389864.1
OG0001999	XP_038751099.1	XP_060389865.1
OG0002000	XP_038750999.1	XP_060389868.1
OG0002001	XP_038751000.1	XP_060389869.1
OG0002002	XP_038751010.1	XP_060389874.1
OG0002003	XP_038751011.1	XP_060389875.1
OG0002004	XP_038751027.1	XP_060389882.1
OG0002005	XP_038751026.1	XP_060389883.1
OG0002006	XP_038751025.1	XP_060389884.1
OG0002007	XP_038751024.1	XP_060389885.1
OG0002008	XP_038751023.1	XP_060389886.1
OG0002009	XP_038751058.1	XP_060389889.1
OG0002010	XP_038751057.1	XP_060389890.1
OG0002011	XP_038751056.1	XP_060389892.1
OG0002012	XP_038751055.1	XP_060389898.1
OG0002013	XP_038751054.1	XP_060389899.1
OG0002014	XP_038751053.1	XP_060389900.1
OG0002015	XP_038751051.1	XP_060389902.1
OG0002016	XP_038751050.1	XP_060389903.1
OG0002017	XP_038751049.1	XP_060389904.1
OG0002018	XP_038751048.1	XP_060389905.1
OG0002019	XP_038751047.1	XP_060389907.1
OG0002020	XP_038751046.1	XP_060389910.1
OG0002021	XP_038751045.1	XP_060389911.1
OG0002022	XP_038751044.1	XP_060389912.1
OG0002023	XP_038741360.1	XP_060389913.1
OG0002024	XP_038751043.1	XP_060389914.1
OG0002025	XP_038751042.1	XP_060389917.1
OG0002026	XP_038751041.1	XP_060389918.1
OG0002027	XP_038751040.1	XP_060389919.1
OG0002028	XP_038751038.1	XP_060389921.1
OG0002029	XP_038751037.1	XP_060389922.1
OG0002030	XP_038751036.1	XP_060389923.1
OG0002031	XP_038751034.1	XP_060389926.1
OG0002033	XP_038751059.1	XP_060389935.1
OG0002035	XP_038751063.1	XP_060389937.1
OG0002036	XP_038751064.1	XP_060389939.1
OG0002037	XP_038751065.1	XP_060389956.1
OG0002038	XP_038751066.1	XP_060389957.1
OG0002039	XP_038751067.1	XP_060389958.1
OG0002040	XP_038751068.1	XP_060389959.1
OG0002041	XP_038751069.1	XP_060389960.1
OG0002042	XP_038751070.1	XP_060389961.1
OG0002043	XP_038751071.1	XP_060389962.1
OG0002044	XP_038751072.1	XP_060389963.1
OG0002045	XP_038751073.1	XP_060389964.1
OG0002046	XP_038751074.1	XP_060389965.1
OG0002047	XP_038751075.1	XP_060389966.1
OG0002048	XP_038751081.1	XP_060389967.1
OG0002049	XP_038751079.1	XP_060389969.1
OG0002050	XP_038751078.1	XP_060389970.1
OG0002051	XP_038751077.1	XP_060389971.1
OG0002052	XP_038751076.1	XP_060389972.1
OG0002053	XP_038751083.1	XP_060389974.1
OG0002054	XP_038751084.1	XP_060389976.1
OG0002055	XP_038751085.1	XP_060389977.1
OG0002056	XP_038751086.1	XP_060389978.1
OG0002057	XP_038751087.1	XP_060389979.1
OG0002058	XP_038751091.1	XP_060389980.1
OG0002059	XP_038751090.1	XP_060389981.1
OG0002060	XP_038751088.1	XP_060389983.1
OG0002062	XP_038751015.1	XP_060389990.1
OG0002063	XP_038744162.1	XP_060389993.1
OG0002064	XP_038748929.1	XP_060390001.1
OG0002065	XP_038748928.1	XP_060390002.1
OG0002066	XP_038748927.1	XP_060390003.1
OG0002067	XP_038748931.1	XP_060390004.1
OG0002068	XP_038748934.1	XP_060390008.1
OG0002069	XP_038748935.1	XP_060390009.1
OG0002070	XP_038748947.1	XP_060390012.1
OG0002071	XP_038748937.1	XP_060390019.1
OG0002072	XP_038748938.1	XP_060390020.1
OG0002073	XP_038738794.1	XP_060390023.1
OG0002074	XP_038738792.1	XP_060390024.1
OG0002075	XP_038738791.1	XP_060390025.1
OG0002076	XP_038738790.1	XP_060390026.1
OG0002077	XP_038739997.1	XP_060390028.1
OG0002078	XP_038739996.1	XP_060390033.1
OG0002079	XP_038740001.1	XP_060390035.1
OG0002080	XP_038740003.1	XP_060390036.1
OG0002081	XP_038740005.1	XP_060390039.1
OG0002082	XP_038740006.1	XP_060390040.1
OG0002083	XP_038744859.1	XP_060390044.1
OG0002084	XP_038740360.1	XP_060390047.1
OG0002085	XP_038740355.1	XP_060390049.1
OG0002086	XP_038740354.1	XP_060390050.1
OG0002087	XP_038740353.1	XP_060390051.1
OG0002088	XP_038740352.1	XP_060390052.1
OG0002089	XP_038740350.1	XP_060390055.1
OG0002090	XP_038740348.1	XP_060390056.1
OG0002091	XP_038740347.1	XP_060390057.1
OG0002092	XP_038740346.1	XP_060390059.1
OG0002093	XP_038743514.1	XP_060390062.1
OG0002094	XP_038743516.1	XP_060390065.1
OG0002095	XP_038743517.1	XP_060390066.1
OG0002096	XP_038743518.1	XP_060390067.1
OG0002097	XP_038741142.1	XP_060390068.1
OG0002098	XP_038741141.1	XP_060390069.1
OG0002099	XP_038741140.1	XP_060390070.1
OG0002100	XP_038741139.1	XP_060390072.1
OG0002101	XP_038741137.1	XP_060390074.1
OG0002102	XP_038741136.1	XP_060390075.1
OG0002103	XP_038741135.1	XP_060390076.1
OG0002104	XP_038741133.1	XP_060390077.1
OG0002105	XP_038741132.1	XP_060390078.1
OG0002106	XP_038741131.1	XP_060390079.1
OG0002107	XP_038741130.1	XP_060390081.1
OG0002108	XP_038741129.1	XP_060390082.1
OG0002109	XP_038741128.1	XP_060390084.1
OG0002110	XP_038743098.1	XP_060390085.1
OG0002111	XP_038743097.1	XP_060390086.1
OG0002112	XP_038743096.1	XP_060390087.1
OG0002113	XP_038743095.1	XP_060390089.1
OG0002114	XP_038743094.1	XP_060390091.1
OG0002115	XP_038743092.1	XP_060390093.1
OG0002116	XP_038743090.1	XP_060390095.1
OG0002117	XP_038743087.1	XP_060390097.1
OG0002118	XP_038743088.1	XP_060390098.1
OG0002119	XP_038743089.1	XP_060390099.1
OG0002120	XP_038743086.1	XP_060390100.1
OG0002121	XP_038743085.1	XP_060390101.1
OG0002122	XP_038743084.1	XP_060390102.1
OG0002123	XP_038751006.1	XP_060390104.1
OG0002124	XP_038739266.1	XP_060390112.1
OG0002125	XP_038739265.1	XP_060390113.1
OG0002126	XP_038739261.1	XP_060390118.1
OG0002127	XP_038739260.1	XP_060390120.1
OG0002128	XP_038739259.1	XP_060390123.1
OG0002129	XP_038739258.1	XP_060390124.1
OG0002130	XP_038739257.1	XP_060390125.1
OG0002131	XP_038739256.1	XP_060390126.1
OG0002132	XP_038739255.1	XP_060390127.1
OG0002133	XP_038739253.1	XP_060390131.1
OG0002134	XP_038739252.1	XP_060390133.1
OG0002135	XP_038739251.1	XP_060390134.1
OG0002136	XP_038751060.1	XP_060390138.1
OG0002137	XP_038741191.1, XP_038751061.1	XP_060390140.1
OG0002138	XP_038739346.1	XP_060390142.1
OG0002139	XP_038739347.1	XP_060390143.1
OG0002140	XP_038739348.1	XP_060390144.1
OG0002141	XP_038739349.1	XP_060390145.1
OG0002142	XP_038739350.1	XP_060390146.1
OG0002143	XP_038739351.1	XP_060390147.1
OG0002144	XP_038739353.1	XP_060390149.1
OG0002146	XP_038745381.1	XP_060390161.1
OG0002147	XP_038745380.1	XP_060390162.1
OG0002148	XP_038745388.1	XP_060390163.1
OG0002150	XP_038745377.1	XP_060390166.1
OG0002151	XP_038738652.1	XP_060390169.1
OG0002152	XP_038738654.1	XP_060390174.1
OG0002153	XP_038747569.1	XP_060390177.1
OG0002154	XP_038747572.1	XP_060390178.1
OG0002155	XP_038747571.1	XP_060390179.1
OG0002156	XP_038747570.1	XP_060390180.1
OG0002158	XP_038749289.1	XP_060390185.1
OG0002159	XP_038749288.1	XP_060390186.1
OG0002160	XP_038749287.1	XP_060390187.1
OG0002161	XP_038749286.1	XP_060390188.1
OG0002162	XP_038749284.1	XP_060390190.1
OG0002163	XP_038749281.1	XP_060390192.1
OG0002164	XP_038749280.1	XP_060390194.1
OG0002165	XP_038749279.1	XP_060390197.1
OG0002166	XP_038749278.1	XP_060390198.1
OG0002167	XP_038749277.1	XP_060390199.1
OG0002168	XP_038749404.1	XP_060390200.1
OG0002169	XP_038749276.1	XP_060390201.1
OG0002170	XP_038749275.1	XP_060390202.1
OG0002171	XP_038749273.1	XP_060390204.1
OG0002172	XP_038749477.1	XP_060390205.1
OG0002173	XP_038749475.1	XP_060390207.1
OG0002174	XP_038749474.1	XP_060390208.1
OG0002175	XP_038749472.1	XP_060390209.1
OG0002176	XP_038749471.1	XP_060390210.1
OG0002177	XP_038749470.1	XP_060390211.1
OG0002178	XP_038749469.1	XP_060390215.1
OG0002179	XP_038749468.1	XP_060390216.1
OG0002180	XP_038749467.1	XP_060390217.1
OG0002181	XP_038749466.1	XP_060390218.1
OG0002182	XP_038749465.1	XP_060390219.1
OG0002183	XP_038741030.1	XP_060390229.1, XP_060396328.1
OG0002184	XP_038749708.1	XP_060390230.1
OG0002185	XP_038749707.1	XP_060390234.1
OG0002186	XP_038749705.1	XP_060390236.1
OG0002187	XP_038749704.1	XP_060390237.1
OG0002188	XP_038749701.1	XP_060390239.1
OG0002189	XP_038749699.1	XP_060390241.1
OG0002190	XP_038749696.1	XP_060390242.1
OG0002191	XP_038749697.1	XP_060390243.1
OG0002192	XP_038749698.1	XP_060390244.1
OG0002193	XP_038749695.1	XP_060390245.1
OG0002194	XP_038749694.1	XP_060390246.1
OG0002195	XP_038749693.1	XP_060390247.1
OG0002196	XP_038749691.1	XP_060390249.1
OG0002197	XP_038748474.1	XP_060390256.1
OG0002198	XP_038748473.1	XP_060390257.1
OG0002199	XP_038748472.1	XP_060390258.1
OG0002200	XP_038748471.1	XP_060390259.1
OG0002201	XP_038748470.1	XP_060390261.1
OG0002202	XP_038748468.1	XP_060390263.1
OG0002203	XP_038748466.1	XP_060390265.1
OG0002204	XP_038748465.1	XP_060390266.1
OG0002205	XP_038748460.1	XP_060390271.1
OG0002206	XP_038748457.1	XP_060390273.1
OG0002207	XP_038748451.1	XP_060390274.1
OG0002208	XP_038748520.1	XP_060390275.1
OG0002209	XP_038748519.1	XP_060390276.1
OG0002210	XP_038748518.1	XP_060390277.1
OG0002211	XP_038748524.1	XP_060390281.1
OG0002212	XP_038748525.1	XP_060390283.1
OG0002213	XP_038748527.1	XP_060390284.1
OG0002214	XP_038748526.1	XP_060390285.1
OG0002215	XP_038748528.1	XP_060390286.1
OG0002216	XP_038748529.1	XP_060390287.1
OG0002217	XP_038748530.1	XP_060390288.1
OG0002218	XP_038748531.1	XP_060390290.1
OG0002219	XP_038748532.1	XP_060390292.1
OG0002220	XP_038748533.1	XP_060390293.1
OG0002221	XP_038748534.1	XP_060390296.1
OG0002222	XP_038748535.1	XP_060390297.1
OG0002223	XP_038748536.1	XP_060390298.1
OG0002224	XP_038748537.1	XP_060390299.1
OG0002225	XP_038748538.1	XP_060390300.1
OG0002226	XP_038748539.1	XP_060390301.1
OG0002227	XP_038748540.1	XP_060390302.1
OG0002228	XP_038748541.1	XP_060390303.1
OG0002229	XP_038748542.1	XP_060390304.1
OG0002230	XP_038748543.1	XP_060390305.1
OG0002231	XP_038748544.1	XP_060390306.1
OG0002232	XP_038748545.1	XP_060390307.1
OG0002234	XP_038748550.1	XP_060390321.1
OG0002235	XP_038748551.1	XP_060390322.1
OG0002236	XP_038748552.1	XP_060390323.1
OG0002237	XP_038748553.1	XP_060390324.1
OG0002238	XP_038748554.1	XP_060390327.1
OG0002239	XP_038748555.1	XP_060390328.1
OG0002240	XP_038748557.1	XP_060390331.1
OG0002241	XP_038748558.1	XP_060390332.1
OG0002242	XP_038748559.1	XP_060390333.1
OG0002243	XP_038748560.1	XP_060390334.1
OG0002244	XP_038748562.1	XP_060390337.1
OG0002245	XP_038748563.1	XP_060390338.1
OG0002246	XP_038748564.1	XP_060390339.1
OG0002247	XP_038748565.1	XP_060390340.1
OG0002248	XP_038748577.1	XP_060390341.1
OG0002249	XP_038748575.1	XP_060390343.1
OG0002250	XP_038748573.1	XP_060390345.1
OG0002251	XP_038748572.1	XP_060390347.1
OG0002252	XP_038748571.1	XP_060390348.1
OG0002253	XP_038748570.1	XP_060390349.1
OG0002254	XP_038748568.1	XP_060390350.1
OG0002255	XP_038748567.1	XP_060390358.1
OG0002256	XP_038748585.1	XP_060390361.1
OG0002257	XP_038742980.1	XP_060390363.1
OG0002258	XP_038748583.1	XP_060390365.1
OG0002259	XP_038748582.1	XP_060390366.1
OG0002260	XP_038748581.1	XP_060390367.1
OG0002261	XP_038748580.1	XP_060390371.1
OG0002262	XP_038748587.1	XP_060390372.1
OG0002263	XP_038748588.1	XP_060390373.1
OG0002264	XP_038748594.1	XP_060390382.1
OG0002265	XP_038748596.1	XP_060390385.1
OG0002266	XP_038748597.1	XP_060390388.1
OG0002267	XP_038748598.1	XP_060390389.1
OG0002268	XP_038748599.1	XP_060390391.1
OG0002269	XP_038748600.1	XP_060390392.1
OG0002270	XP_038748602.1	XP_060390393.1
OG0002271	XP_038748611.1	XP_060390398.1
OG0002272	XP_038748609.1	XP_060390400.1
OG0002273	XP_038748608.1	XP_060390401.1
OG0002274	XP_038748607.1	XP_060390402.1
OG0002275	XP_038748616.1	XP_060390404.1
OG0002276	XP_038748615.1	XP_060390405.1
OG0002277	XP_038748614.1	XP_060390406.1
OG0002278	XP_038748613.1	XP_060390408.1
OG0002279	XP_038748612.1	XP_060390410.1
OG0002280	XP_038748620.1	XP_060390411.1
OG0002281	XP_038748643.1	XP_060390423.1
OG0002282	XP_038748642.1	XP_060390424.1
OG0002283	XP_038748639.1	XP_060390427.1
OG0002284	XP_038748638.1	XP_060390429.1
OG0002285	XP_038748637.1	XP_060390431.1
OG0002286	XP_038741415.1	XP_060390437.1, XP_060399048.1
OG0002287	XP_038746641.1	XP_060390442.1
OG0002288	XP_038740520.1	XP_060390446.1
OG0002289	XP_038748647.1	XP_060390448.1
OG0002290	XP_038748654.1	XP_060390449.1
OG0002291	XP_038748653.1	XP_060390450.1
OG0002292	XP_038748652.1	XP_060390451.1
OG0002293	XP_038748650.1	XP_060390454.1
OG0002294	XP_038748649.1	XP_060390455.1
OG0002295	XP_038748648.1	XP_060390456.1
OG0002296	XP_038748677.1	XP_060390461.1
OG0002297	XP_038748676.1	XP_060390462.1
OG0002298	XP_038748675.1	XP_060390463.1
OG0002299	XP_038748674.1	XP_060390464.1
OG0002300	XP_038748673.1	XP_060390465.1
OG0002301	XP_038748672.1	XP_060390466.1
OG0002302	XP_038748671.1	XP_060390467.1
OG0002303	XP_038748670.1	XP_060390468.1
OG0002304	XP_038748668.1	XP_060390470.1
OG0002305	XP_038748663.1	XP_060390472.1
OG0002306	XP_038748660.1	XP_060390474.1
OG0002307	XP_038748659.1	XP_060390475.1
OG0002308	XP_038748658.1	XP_060390476.1
OG0002309	XP_038748657.1	XP_060390477.1
OG0002310	XP_038748656.1	XP_060390478.1
OG0002311	XP_038748655.1	XP_060390479.1
OG0002312	XP_038748665.1	XP_060390482.1
OG0002313	XP_038749508.1	XP_060390485.1
OG0002314	XP_038749509.1	XP_060390486.1
OG0002315	XP_038749510.1	XP_060390487.1
OG0002316	XP_038748778.1	XP_060390489.1
OG0002317	XP_038748775.1	XP_060390491.1
OG0002318	XP_038748774.1	XP_060390492.1
OG0002319	XP_038748773.1	XP_060390493.1
OG0002320	XP_038748772.1	XP_060390494.1
OG0002321	XP_038748746.1	XP_060390495.1
OG0002322	XP_038748747.1	XP_060390496.1
OG0002323	XP_038748748.1	XP_060390497.1
OG0002324	XP_038748757.1	XP_060390499.1
OG0002325	XP_038748756.1	XP_060390500.1
OG0002326	XP_038748768.1	XP_060390502.1
OG0002327	XP_038748679.1	XP_060390503.1
OG0002328	XP_038748710.1	XP_060390504.1
OG0002329	XP_038748711.1	XP_060390505.1
OG0002330	XP_038748712.1	XP_060390507.1
OG0002331	XP_038748713.1	XP_060390508.1
OG0002332	XP_038748714.1	XP_060390509.1
OG0002333	XP_038748715.1	XP_060390511.1, XP_060390510.1
OG0002334	XP_038748716.1	XP_060390514.1
OG0002335	XP_038748717.1	XP_060390515.1
OG0002336	XP_038748718.1	XP_060390516.1
OG0002337	XP_038748720.1	XP_060390518.1
OG0002338	XP_038748721.1	XP_060390519.1
OG0002339	XP_038748722.1	XP_060390522.1
OG0002340	XP_038749506.1	XP_060390523.1
OG0002341	XP_038749505.1	XP_060390524.1
OG0002342	XP_038749504.1	XP_060390525.1
OG0002343	XP_038749503.1	XP_060390526.1
OG0002344	XP_038749501.1	XP_060390528.1
OG0002345	XP_038748745.1	XP_060390535.1
OG0002346	XP_038748744.1	XP_060390536.1
OG0002347	XP_038748743.1	XP_060390537.1
OG0002348	XP_038748742.1	XP_060390538.1
OG0002349	XP_038748741.1	XP_060390539.1
OG0002350	XP_038748740.1	XP_060390540.1
OG0002351	XP_038748739.1	XP_060390541.1
OG0002352	XP_038748726.1	XP_060390544.1
OG0002353	XP_038748727.1	XP_060390545.1
