Orthogroup	Colletotrichum_karsti	Colletotrichum_gloeosporioides
OG0001199	XP_038751258.1	XP_045268941.1
OG0001200	XP_038751254.1, XP_038740903.1	XP_045266319.1
OG0001201	XP_038751251.1	XP_045264998.1, XP_045266322.1
OG0001202	XP_038751238.1	XP_045266332.1
OG0001203	XP_038751235.1	XP_045271200.1, XP_045266335.1
OG0001204	XP_038751242.1	XP_045266329.1
OG0001205	XP_038751167.1	XP_045262379.1
OG0001206	XP_038751016.1	XP_045257654.1
OG0001207	XP_038751031.1	XP_045257667.1
OG0001209	XP_038743093.1	XP_045264316.1
OG0001210	XP_038740969.1, XP_038743091.1	XP_045264318.1
OG0001211	XP_038742642.1	XP_045257916.1
OG0001213	XP_038749282.1	XP_045262518.1
OG0001213	XP_038747944.1	XP_045263319.1
OG0001214	XP_038744603.1	XP_045266610.1
OG0001215	XP_038746408.1	XP_045269643.1
OG0001216	XP_038748589.1	XP_045263925.1
OG0001217	XP_038748591.1	XP_045263924.1
OG0001218	XP_038749721.1	XP_045264651.1, XP_045266360.1
OG0001220	XP_038748680.1	XP_045271212.1
OG0001221	XP_038747649.1	XP_045270953.1
OG0001222	XP_038740789.1	XP_045266929.1
OG0001223	XP_038746132.1	XP_045262694.1
OG0001224	XP_038751752.1, XP_038751412.1	XP_045270734.1
OG0001225	XP_038747077.1	XP_045256810.1, XP_045261548.1
OG0001226	XP_038749014.1	XP_045256217.1
OG0001227	XP_038744661.1, XP_038740247.1	XP_045264537.1
OG0001228	XP_038744684.1	XP_045264565.1
OG0001229	XP_038741161.1	XP_045269915.1
OG0001230	XP_038749453.1	XP_045262750.1
OG0001231	XP_038747722.1	XP_045268658.1, XP_045260645.1
OG0001232	XP_038745564.1, XP_038748952.1	XP_045256288.1
OG0001233	XP_038749002.1	XP_045256227.1
OG0001234	XP_038747510.1	XP_045257042.1
OG0001235	XP_038739002.1	XP_045265735.1
OG0001236	XP_038739016.1	XP_045265748.1
OG0001237	XP_038739032.1	XP_045265760.1
OG0001238	XP_038739048.1, XP_038739050.1	XP_045257437.1
OG0001239	XP_038739043.1, XP_038749762.1	XP_045257429.1
OG0001240	XP_038742660.1	XP_045257875.1
OG0001241	XP_038739174.1, XP_038749052.1, XP_038743270.1	XP_045262959.1
OG0001242	XP_038740602.1	XP_045260332.1
OG0001243	XP_038740617.1	XP_045271042.1
OG0001244	XP_038746852.1	XP_045264499.1
OG0001245	XP_038750296.1	XP_045260935.1
OG0001246	XP_038748310.1	XP_045270126.1
OG0001247	XP_038740404.1	XP_045266144.1
OG0001247	XP_038745389.1	XP_045261097.1
OG0001248	XP_038740644.1	XP_045271065.1
OG0001249	XP_038740662.1	XP_045271099.1
OG0001250	XP_038748094.1	XP_045264410.1
OG0001251	XP_038741567.1, XP_038748095.1	XP_045264409.1
OG0001252	XP_038748121.1	XP_045259376.1
OG0001255	XP_038740687.1	XP_045271187.1, XP_045259358.1
OG0001256	XP_038739302.1, XP_038740668.1	XP_045271114.1
OG0001257	XP_038745341.1, XP_038748276.1	XP_045270083.1
OG0001258	XP_038748233.1	XP_045270069.1
OG0001259	XP_038748237.1	XP_045270060.1
OG0001260	XP_038748248.1	XP_045270057.1
OG0001261	XP_038747480.1	XP_045263757.1
OG0001262	XP_038748166.1	XP_045269971.1
OG0001264	XP_038749022.1	XP_045256204.1
OG0001265	XP_038749023.1, XP_038741493.1	XP_045256198.1
OG0001266	XP_038748687.1	XP_045257652.1
OG0001267	XP_038743468.1	XP_045269946.1, XP_045269947.1
OG0001268	XP_038746406.1, XP_038747317.1	XP_045269645.1
OG0001269	XP_038746398.1, XP_038746626.1	XP_045269656.1
OG0001270	XP_038746397.1	XP_045269657.1
OG0001273	XP_038746380.1	XP_045259202.1, XP_045269682.1
OG0001274	XP_038745350.1	XP_045270039.1
OG0001276	XP_038748990.1	XP_045262348.1
OG0001278	XP_038740345.1	XP_045257247.1
OG0001279	XP_038740343.1	XP_045257250.1
OG0001280	XP_038742312.1	XP_045260574.1
OG0001281	XP_038741632.1	XP_045256783.1
OG0001282	XP_038741038.1	XP_045256563.1
OG0001283	XP_038741566.1, XP_038738968.1	XP_045256585.1
OG0001284	XP_038744138.1, XP_038748851.1	XP_045256499.1
OG0001285	XP_038748786.1	XP_045256356.1
OG0001286	XP_038746052.1	XP_045271314.1
OG0001288	XP_038751547.1, XP_038740977.1	XP_045256407.1
OG0001289	XP_038751022.1, XP_038748856.1	XP_045256505.1
OG0001290	XP_038748295.1, XP_038742003.1	XP_045258933.1
OG0001291	XP_038740993.1, XP_038747134.1	XP_045258780.1
OG0001292	XP_038747145.1	XP_045258775.1
OG0001293	XP_038747173.1	XP_045258743.1
OG0001294	XP_038747185.1	XP_045258730.1
OG0001295	XP_038749743.1	XP_045266253.1
OG0001296	XP_038743824.1	XP_045259332.1
OG0001297	XP_038743807.1	XP_045259316.1
OG0001298	XP_038743776.1	XP_045259287.1
OG0001299	XP_038746977.1	XP_045267744.1
OG0001300	XP_038740258.1	XP_045267509.1
OG0001301	XP_038740828.1	XP_045260150.1
OG0001302	XP_038741745.1	XP_045263068.1
OG0001303	XP_038744617.1, XP_038739478.1	XP_045262159.1
OG0001304	XP_038750067.1	XP_045265975.1, XP_045262302.1
OG0001305	XP_038746179.1, XP_038750154.1	XP_045262273.1
OG0001307	XP_038749689.1	XP_045269111.1
OG0001308	XP_038749652.1	XP_045269069.1
OG0001309	XP_038749647.1, XP_038747863.1	XP_045269066.1
OG0001310	XP_038744503.1, XP_038749621.1	XP_045269044.1
OG0001311	XP_038749618.1	XP_045262103.1, XP_045269041.1
OG0001313	XP_038748083.1	XP_045264413.1
OG0001314	XP_038748072.1	XP_045264414.1
OG0001315	XP_038745584.1, XP_038743124.1	XP_045264283.1
OG0001317	XP_038743156.1	XP_045264243.1
OG0001318	XP_038741918.1, XP_038743184.1	XP_045264212.1
OG0001319	XP_038743188.1	XP_045264196.1
OG0001320	XP_038743193.1	XP_045264191.1
OG0001321	XP_038743239.1	XP_045267082.1, XP_045256618.1
OG0001322	XP_038743251.1	XP_045264833.1
OG0001323	XP_038740428.1	XP_045257144.1
OG0001324	XP_038738703.1	XP_045261162.1
OG0001325	XP_038739345.1, XP_038740964.1	XP_045264909.1
OG0001326	XP_038740550.1	XP_045268854.1
OG0001327	XP_038741858.1	XP_045257469.1
OG0001328	XP_038740911.1	XP_045264980.1
OG0001329	XP_038740907.1	XP_045264987.1
OG0001330	XP_038749176.1	XP_045264798.1, XP_045262877.1
OG0001331	XP_038749191.1	XP_045262865.1
OG0001332	XP_038749192.1	XP_045262864.1
OG0001333	XP_038743169.1, XP_038749199.1	XP_045262857.1
OG0001334	XP_038749243.1	XP_045262818.1
OG0001335	XP_038749235.1	XP_045262805.1
OG0001336	XP_038748086.1, XP_038749481.1	XP_045262780.1
OG0001337	XP_038749483.1	XP_045262782.1
OG0001338	XP_038745264.1	XP_045265838.1
OG0001339	XP_038745205.1	XP_045265889.1
OG0001340	XP_038745196.1	XP_045265904.1
OG0001341	XP_038741187.1	XP_045268640.1
OG0001342	XP_038742802.1	XP_045261018.1
OG0001343	XP_038742792.1	XP_045261030.1
OG0001344	XP_038740046.1	XP_045258180.1
OG0001345	XP_038740078.1	XP_045260347.1, XP_045258090.1
OG0001346	XP_038740120.1	XP_045258135.1
OG0001348	XP_038743521.1	XP_045260391.1
OG0001349	XP_038743547.1	XP_045263266.1
OG0001351	XP_038743591.1	XP_045263226.1
OG0001352	XP_038747390.1	XP_045263836.1
OG0001354	XP_038747712.1, XP_038747455.1	XP_045263787.1
OG0001356	XP_038747477.1	XP_045263762.1, XP_045258276.1
OG0001357	XP_038747478.1	XP_045263761.1
OG0001358	XP_038743639.1, XP_038740878.1	XP_045268908.1
OG0001359	XP_038743720.1	XP_045268979.1
OG0001360	XP_038743676.1	XP_045268945.1
OG0001361	XP_038743710.1	XP_045259210.1
OG0001362	XP_038743723.1	XP_045259230.1
OG0001363	XP_038743750.1, XP_038749855.1	XP_045259255.1
OG0001364	XP_038742540.1	XP_045266976.1
OG0001365	XP_038740994.1	XP_045264934.1
OG0001366	XP_038742490.1, XP_038748049.1	XP_045266954.1
OG0001367	XP_038750231.1	XP_045263285.1
OG0001368	XP_038742488.1	XP_045266949.1
OG0001369	XP_038738771.1	XP_045267023.1
OG0001370	XP_038744924.1	XP_045267040.1
OG0001371	XP_038743666.1	XP_045267072.1, XP_045267071.1
OG0001372	XP_038746502.1, XP_038744903.1	XP_045267045.1
OG0001374	XP_038750893.1	XP_045261765.1
OG0001375	XP_038750161.1	XP_045267892.1
OG0001376	XP_038742926.1	XP_045265179.1
OG0001377	XP_038750871.1	XP_045261737.1
OG0001378	XP_038741685.1	XP_045261460.1
OG0001379	XP_038745135.1, XP_038738981.1	XP_045261468.1
OG0001380	XP_038738988.1	XP_045261476.1
OG0001381	XP_038750848.1	XP_045270650.1
OG0001382	XP_038738734.1	XP_045261886.1
OG0001383	XP_038739138.1	XP_045261856.1
OG0001384	XP_038739128.1	XP_045261845.1
OG0001385	XP_038738834.1	XP_045269593.1
OG0001386	XP_038746424.1	XP_045269629.1
OG0001387	XP_038746423.1	XP_045269630.1, XP_045269631.1
OG0001388	XP_038746005.1	XP_045271359.1
OG0001389	XP_038746048.1, XP_038748957.1	XP_045271310.1
OG0001390	XP_038741492.1, XP_038746055.1	XP_045271301.1
OG0001391	XP_038746067.1	XP_045271286.1
OG0001393	XP_038741863.1	XP_045258134.1
OG0001394	XP_038746114.1	XP_045260197.1
OG0001395	XP_038746130.1	XP_045260213.1
OG0001396	XP_038746700.1	XP_045258360.1
OG0001397	XP_038747094.1	XP_045269760.1
OG0001398	XP_038740854.1	XP_045265982.1, XP_045260136.1
OG0001399	XP_038746975.1	XP_045267745.1
OG0001400	XP_038749142.1	XP_045262911.1
OG0001401	XP_038749140.1	XP_045262916.1
OG0001403	XP_038743340.1	XP_045270238.1
OG0001404	XP_038743283.1	XP_045259130.1
OG0001405	XP_038743401.1, XP_038749556.1	XP_045259152.1
OG0001406	XP_038743312.1	XP_045270168.1
OG0001407	XP_038743419.1	XP_045270248.1
OG0001408	XP_038743407.1, XP_038739723.1	XP_045259144.1
OG0001409	XP_038743377.1	XP_045270183.1
OG0001410	XP_038743446.1	XP_045264363.1
OG0001411	XP_038742480.1, XP_038743447.1	XP_045264362.1
OG0001412	XP_038740029.1	XP_045258189.1
OG0001413	XP_038745578.1	XP_045260727.1
OG0001414	XP_038745967.1	XP_045259818.1, XP_045271395.1
OG0001415	XP_038745971.1	XP_045271399.1
OG0001416	XP_038741690.1, XP_038749563.1	XP_045269508.1
OG0001417	XP_038745907.1	XP_045262225.1
OG0001418	XP_038739509.1	XP_045262205.1, XP_045262206.1
OG0001419	XP_038745882.1	XP_045262191.1
OG0001421	XP_038739952.1	XP_045259638.1
OG0001422	XP_038747257.1	XP_045258660.1
OG0001423	XP_038747226.1	XP_045258691.1
OG0001424	XP_038746865.1	XP_045270541.1
OG0001425	XP_038738943.1	XP_045263025.1, XP_045270588.1
OG0001426	XP_038738934.1	XP_045270598.1
OG0001427	XP_038738932.1	XP_045270600.1
OG0001428	XP_038739416.1, XP_038738748.1	XP_045268922.1
OG0001429	XP_038750166.1	XP_045267887.1
OG0001430	XP_038750165.1	XP_045267886.1
OG0001431	XP_038751121.1	XP_045261963.1, XP_045269578.1
OG0001433	XP_038750109.1	XP_045267864.1
OG0001434	XP_038750119.1	XP_045262247.1
OG0001435	XP_038750148.1	XP_045262258.1
OG0001436	XP_038740131.1, XP_038750275.1	XP_045268045.1
OG0001437	XP_038747713.1, XP_038750273.1	XP_045268014.1
OG0001439	XP_038750238.1	XP_045267972.1
OG0001440	XP_038743595.1, XP_038744545.1	XP_045266545.1
OG0001441	XP_038744516.1	XP_045266511.1
OG0001442	XP_038749088.1	XP_045266435.1
OG0001443	XP_038738685.1, XP_038743453.1, XP_038744216.1, XP_038738722.1, XP_038738669.1	XP_045267156.1
OG0001444	XP_038739518.1	XP_045265647.1
OG0001445	XP_038739869.1	XP_045260241.1
OG0001446	XP_038744802.1	XP_045267389.1
OG0001447	XP_038742351.1	XP_045260539.1
OG0001448	XP_038742944.1, XP_038742344.1	XP_045260529.1
OG0001449	XP_038742019.1, XP_038741952.1	XP_045258202.1
OG0001451	XP_038740501.1	XP_045260455.1
OG0001452	XP_038741931.1	XP_045258863.1
OG0001453	XP_038740546.1	XP_045260405.1, XP_045260406.1
OG0001454	XP_038746749.1	XP_045265450.1
OG0001457	XP_038740569.1	XP_045268865.1
OG0001458	XP_038744353.1	XP_045263563.1
OG0001459	XP_038746551.1	XP_045263558.1
OG0001461	XP_038744722.1	XP_045259887.1
OG0001462	XP_038747699.1, XP_038744777.1	XP_045267350.1
OG0001463	XP_038744784.1	XP_045267351.1
OG0001464	XP_038748635.1	XP_045267368.1
OG0001465	XP_038744798.1	XP_045267384.1
OG0001466	XP_038744797.1, XP_038746178.1	XP_045267383.1
OG0001467	XP_038747901.1, XP_038744803.1	XP_045267390.1
OG0001469	XP_038740249.1	XP_045267517.1
OG0001470	XP_038740248.1	XP_045267518.1
OG0001471	XP_038740241.1	XP_045267519.1
OG0001472	XP_038751880.1	XP_045268598.1, XP_045266687.1
OG0001473	XP_038751891.1	XP_045265211.1, XP_045266700.1
OG0001474	XP_038751854.1	XP_045266731.1
OG0001475	XP_038749555.1	XP_045259575.1
OG0001476	XP_038751719.1	XP_045268545.1
OG0001477	XP_038742501.1, XP_038751720.1	XP_045268544.1
OG0001478	XP_038751710.1, XP_038740357.1	XP_045268525.1
OG0001479	XP_038751691.1	XP_045268501.1
OG0001480	XP_038751690.1	XP_045268500.1
OG0001482	XP_038751654.1, XP_038743537.1	XP_045268459.1
OG0001483	XP_038751621.1	XP_045267148.1, XP_045268441.1
OG0001484	XP_038751578.1	XP_045268387.1
OG0001485	XP_038747084.1	XP_045261555.1
OG0001486	XP_038747049.1	XP_045261578.1
OG0001488	XP_038747009.1	XP_045267149.1
OG0001489	XP_038740452.1, XP_038748418.1	XP_045261633.1
OG0001490	XP_038748411.1	XP_045261637.1
OG0001491	XP_038748402.1	XP_045269176.1, XP_045261649.1
OG0001492	XP_038748401.1	XP_045261648.1
OG0001493	XP_038746498.1	XP_045264555.1
OG0001494	XP_038747780.1	XP_045256913.1
OG0001495	XP_038748299.1, XP_038747781.1	XP_045256914.1
OG0001496	XP_038747626.1	XP_045270969.1
OG0001497	XP_038747818.1	XP_045267147.1, XP_045270978.1
OG0001498	XP_038742248.1	XP_045264788.1
OG0001499	XP_038739214.1, XP_038739445.1	XP_045256975.1
OG0001500	XP_038747647.1	XP_045270938.1
OG0001501	XP_038747682.1	XP_045270871.1
OG0001502	XP_038741299.1	XP_045268777.1
OG0001503	XP_038741446.1	XP_045261216.1
OG0001504	XP_038741479.1	XP_045261773.1, XP_045256780.1
OG0001505	XP_038741400.1, XP_038750082.1	XP_045261272.1
OG0001506	XP_038741364.1	XP_045261299.1
OG0001507	XP_038741336.1	XP_045261355.1
OG0001508	XP_038741726.1	XP_045261367.1
OG0001509	XP_038741700.1	XP_045261386.1
OG0001510	XP_038741718.1	XP_045261403.1
OG0001511	XP_038741657.1	XP_045261432.1
OG0001512	XP_038741656.1	XP_045261431.1
OG0001513	XP_038741655.1	XP_045261430.1
OG0001514	XP_038741654.1	XP_045261429.1
OG0001515	XP_038742567.1	XP_045257514.1
OG0001516	XP_038741873.1	XP_045257480.1
OG0001517	XP_038741850.1	XP_045258023.1
OG0001518	XP_038742592.1	XP_045257969.1
OG0001519	XP_038741318.1, XP_038742621.1	XP_045257951.1
OG0001520	XP_038741920.1	XP_045258825.1
OG0001521	XP_038748278.1	XP_045269972.1, XP_045270085.1
OG0001522	XP_038742649.1	XP_045257896.1
OG0001523	XP_038745859.1	XP_045269201.1
OG0001524	XP_038747895.1	XP_045257012.1
OG0001525	XP_038745871.1	XP_045269195.1
OG0001526	XP_038747888.1	XP_045267294.1, XP_045259538.1
OG0001527	XP_038747889.1	XP_045259537.1, XP_045257542.1
OG0001528	XP_038747891.1	XP_045257018.1
OG0001529	XP_038745879.1	XP_045269170.1
OG0001530	XP_038745873.1	XP_045269177.1
OG0001531	XP_038747876.1	XP_045269147.1
OG0001532	XP_038747859.1	XP_045269152.1
OG0001533	XP_038747912.1	XP_045256988.1
OG0001534	XP_038744890.1	XP_045267103.1
OG0001535	XP_038747714.1, XP_038744886.1	XP_045267111.1
OG0001537	XP_038747588.1	XP_045260692.1
OG0001538	XP_038744048.1	XP_045260064.1
OG0001539	XP_038744056.1	XP_045263972.1, XP_045260046.1
OG0001540	XP_038744148.1	XP_045260000.1
OG0001541	XP_038744115.1	XP_045259939.1
OG0001542	XP_038746679.1	XP_045258386.1
OG0001543	XP_038739310.1	XP_045267234.1
OG0001544	XP_038750536.1	XP_045263702.1
OG0001545	XP_038739934.1	XP_045259051.1
OG0001546	XP_038743640.1	XP_045268909.1
OG0001547	XP_038744130.1	XP_045259987.1
OG0001548	XP_038744111.1	XP_045259946.1
OG0001549	XP_038744193.1	XP_045263161.1
OG0001550	XP_038738972.1	XP_045271378.1, XP_045256590.1
OG0001551	XP_038750465.1	XP_045256265.1
OG0001552	XP_038740050.1, XP_038747945.1	XP_045259820.1
OG0001553	XP_038748028.1	XP_045268207.1, XP_045259734.1
OG0001554	XP_038748032.1	XP_045259729.1, XP_045259858.1
OG0001555	XP_038748048.1	XP_045259707.1, XP_045269254.1
OG0001556	XP_038747980.1, XP_038745276.1	XP_045257296.1
OG0001557	XP_038751874.1	XP_045264447.1
OG0001558	XP_038745329.1	XP_045258065.1
OG0001559	XP_038745330.1	XP_045258064.1
OG0001560	XP_038742394.1, XP_038739074.1	XP_045262067.1
OG0001561	XP_038750882.1, XP_038746657.1	XP_045258425.1
OG0001562	XP_038739432.1	XP_045262023.1
OG0001563	XP_038739181.1, XP_038747559.1	XP_045257097.1
OG0001564	XP_038747306.1	XP_045267819.1
OG0001565	XP_038746981.1, XP_038739900.1	XP_045267760.1
OG0001566	XP_038740252.1, XP_038746956.1	XP_045267732.1
OG0001567	XP_038742250.1	XP_045264785.1
OG0001568	XP_038740811.1	XP_045259024.1
OG0001569	XP_038747354.1	XP_045263920.1
OG0001570	XP_038747380.1	XP_045263880.1
OG0001571	XP_038750626.1	XP_045270414.1
OG0001572	XP_038750634.1	XP_045270404.1
OG0001573	XP_038750609.1	XP_045270369.1
OG0001574	XP_038742291.1	XP_045258891.1, XP_045264735.1
OG0001575	XP_038742234.1, XP_038741764.1, XP_038751712.1	XP_045264800.1
OG0001576	XP_038742209.1, XP_038739180.1	XP_045264827.1
OG0001577	XP_038742220.1	XP_045264816.1
OG0001578	XP_038739343.1, XP_038750246.1	XP_045261172.1
OG0001580	XP_038741601.1	XP_045268615.1, XP_045262988.1
OG0001581	XP_038741216.1	XP_045268663.1
OG0001582	XP_038741213.1	XP_045268666.1
OG0001583	XP_038741218.1	XP_045265142.1
OG0001584	XP_038741228.1	XP_045268678.1
OG0001586	XP_038743385.1	XP_045259170.1
OG0001587	XP_038742481.1, XP_038741279.1	XP_045268717.1
OG0001591	XP_038741317.1	XP_045268789.1
OG0001592	XP_038741511.1	XP_045267580.1
OG0001593	XP_038741514.1	XP_045267577.1
OG0001595	XP_038740236.1	XP_045260634.1, XP_045267525.1
OG0001597	XP_038745392.1	XP_045260911.1
OG0001598	XP_038745413.1	XP_045260881.1
OG0001599	XP_038748723.1, XP_038745485.1	XP_045260812.1
OG0001600	XP_038745493.1	XP_045260804.1
OG0001602	XP_038741619.1, XP_038745534.1	XP_045260783.1
OG0001603	XP_038751951.1	XP_045256953.1
OG0001604	XP_038751918.1	XP_045256949.1
OG0001605	XP_038751954.1	XP_045256967.1
OG0001606	XP_038739563.1	XP_045257847.1
OG0001607	XP_038739516.1	XP_045265649.1
OG0001609	XP_038739406.1	XP_045261997.1
OG0001610	XP_038739931.1, XP_038739404.1	XP_045261992.1
OG0001611	XP_038739640.1	XP_045267837.1, XP_045269563.1
OG0001612	XP_038739638.1	XP_045269561.1
OG0001614	XP_038739390.1	XP_045269559.1
OG0001615	XP_038741901.1	XP_045269496.1
OG0001616	XP_038741909.1	XP_045256136.1
OG0001617	XP_038743615.1	XP_045259420.1
OG0001618	XP_038742380.1	XP_045259505.1
OG0001619	XP_038742086.1	XP_045259522.1
OG0001620	XP_038744574.1	XP_045269724.1
OG0001622	XP_038746316.1	XP_045269754.1
OG0001623	XP_038746342.1, XP_038747633.1	XP_045269736.1
OG0001624	XP_038746273.1	XP_045265132.1
OG0001625	XP_038746269.1	XP_045265123.1
OG0001627	XP_038740848.1	XP_045261359.1
OG0001628	XP_038745988.1	XP_045268164.1, XP_045268762.1
OG0001629	XP_038746225.1	XP_045265069.1
OG0001630	XP_038746184.1	XP_045265018.1
OG0001631	XP_038738964.1	XP_045265023.1
OG0001632	XP_038749578.1	XP_045268989.1
OG0001633	XP_038748111.1	XP_045267130.1, XP_045264389.1
OG0001634	XP_038746593.1	XP_045258493.1
OG0001635	XP_038750901.1	XP_045268807.1
OG0001636	XP_038740698.1	XP_045261727.1, XP_045257377.1
OG0001637	XP_038741747.1, XP_038746481.1	XP_045263427.1
OG0001638	XP_038740193.1	XP_045257398.1
OG0001639	XP_038740186.1	XP_045257393.1
OG0001640	XP_038740187.1	XP_045257392.1
OG0001641	XP_038740188.1	XP_045257391.1
OG0001642	XP_038751429.1	XP_045268217.1
OG0001644	XP_038748087.1, XP_038740143.1	XP_045257323.1
OG0001645	XP_038738878.1	XP_045256087.1
OG0001646	XP_038749737.1	XP_045266262.1
OG0001647	XP_038749748.1	XP_045266244.1
OG0001648	XP_038749761.1	XP_045266233.1
OG0001649	XP_038748197.1, XP_038749786.1	XP_045266207.1
OG0001650	XP_038743863.1, XP_038749884.1	XP_045266096.1
OG0001651	XP_038749975.1	XP_045261141.1
OG0001652	XP_038749871.1	XP_045266119.1
OG0001653	XP_038739642.1, XP_038739157.1, XP_038750996.1	XP_045257613.1
OG0001655	XP_038739385.1, XP_038749711.1	XP_045269130.1
OG0001656	XP_038749932.1	XP_045261157.1
OG0001657	XP_038749799.1	XP_045266168.1
OG0001658	XP_038742845.1	XP_045261098.1
OG0001659	XP_038748482.1	XP_045264016.1
OG0001661	XP_038740441.1, XP_038740439.1	XP_045257166.1
OG0001662	XP_038740438.1	XP_045257165.1
OG0001663	XP_038745598.1	XP_045260709.1
OG0001664	XP_038750079.1, XP_038740433.1	XP_045257158.1
OG0001665	XP_038740402.1	XP_045269463.1
OG0001666	XP_038740406.1	XP_045269453.1
OG0001667	XP_038741982.1, XP_038745651.1	XP_045269412.1
OG0001668	XP_038739106.1, XP_038745705.1	XP_045269357.1
OG0001669	XP_038741786.1, XP_038745690.1	XP_045269371.1
OG0001670	XP_038748994.1, XP_038748995.1	XP_045256247.1
OG0001671	XP_038745778.1	XP_045269391.1
OG0001672	XP_038745785.1	XP_045269394.1
OG0001673	XP_038745791.1	XP_045269280.1
OG0001675	XP_038746716.1	XP_045258350.1, XP_045267136.1
OG0001676	XP_038746684.1	XP_045256142.1, XP_045258379.1
OG0001677	XP_038746639.1	XP_045258438.1
OG0001678	XP_038746644.1	XP_045258402.1
OG0001679	XP_038746596.1	XP_045258490.1
OG0001680	XP_038751751.1, XP_038742410.1	XP_045259471.1
OG0001681	XP_038746601.1	XP_045258484.1
OG0001682	XP_038740326.1	XP_045268795.1
OG0001683	XP_038744424.1	XP_045258520.1
OG0001684	XP_038746569.1	XP_045263300.1, XP_045261490.1
OG0001685	XP_038746563.1	XP_045263290.1
OG0001686	XP_038748347.1	XP_045261710.1
OG0001687	XP_038744443.1	XP_045263357.1, XP_045263359.1
OG0001688	XP_038744935.1	XP_045268183.1, XP_045265482.1
OG0001689	XP_038743043.1	XP_045265295.1
OG0001690	XP_038746518.1	XP_045263478.1
OG0001691	XP_038744380.1	XP_045263487.1
OG0001692	XP_038747894.1	XP_045263744.1, XP_045257014.1
OG0001693	XP_038739902.1	XP_045256777.1
OG0001696	XP_038749512.1	XP_045261725.1
OG0001697	XP_038751491.1	XP_045268354.1
OG0001698	XP_038751499.1	XP_045268348.1
OG0001699	XP_038740024.1	XP_045264348.1
OG0001700	XP_038751461.1	XP_045268271.1
OG0001701	XP_038751444.1	XP_045268234.1
OG0001702	XP_038750404.1	XP_045268251.1
OG0001703	XP_038750363.1	XP_045268159.1
OG0001704	XP_038748681.1, XP_038750317.1	XP_045268096.1
OG0001705	XP_038750304.1	XP_045267139.1, XP_045268062.1
OG0001706	XP_038750300.1	XP_045268070.1
OG0001707	XP_038741252.1	XP_045262282.1
OG0001708	XP_038750173.1	XP_045267901.1, XP_045270823.1
OG0001710	XP_038740521.1, XP_038750184.1	XP_045267914.1
OG0001711	XP_038750186.1	XP_045260564.1, XP_045267916.1
OG0001712	XP_038746725.1	XP_045257282.1
OG0001713	XP_038739896.1	XP_045260264.1
OG0001714	XP_038739895.1	XP_045260263.1
OG0001715	XP_038739892.1	XP_045260260.1
OG0001716	XP_038739884.1	XP_045260256.1
OG0001717	XP_038744019.1	XP_045256603.1, XP_045260285.1
OG0001718	XP_038744139.1, XP_038743996.1	XP_045271156.1
OG0001719	XP_038743987.1	XP_045271146.1
OG0001720	XP_038743982.1	XP_045271138.1
OG0001721	XP_038743964.1	XP_045264580.1
OG0001722	XP_038751963.1	XP_045262320.1
OG0001723	XP_038743913.1	XP_045264636.1
OG0001724	XP_038743903.1	XP_045264648.1
OG0001725	XP_038750903.1, XP_038743887.1	XP_045264668.1
OG0001726	XP_038743889.1	XP_045264665.1
OG0001727	XP_038743886.1	XP_045264669.1
OG0001728	XP_038743878.1	XP_045266631.1, XP_045264677.1
OG0001729	XP_038743879.1	XP_045264676.1
OG0001731	XP_038742765.1, XP_038750193.1	XP_045267924.1
OG0001732	XP_038747548.1	XP_045257082.1
OG0001733	XP_038742217.1	XP_045264817.1
OG0001734	XP_038742218.1	XP_045264818.1
OG0001736	XP_038742927.1	XP_045265181.1
OG0001737	XP_038742928.1	XP_045265182.1
OG0001738	XP_038742964.1	XP_045265219.1
OG0001739	XP_038742992.1	XP_045265251.1
OG0001740	XP_038742411.1	XP_045264721.1
OG0001741	XP_038743044.1	XP_045265296.1
OG0001742	XP_038743052.1	XP_045265305.1
OG0001743	XP_038738895.1	XP_045264108.1
OG0001744	XP_038739359.1, XP_038738898.1	XP_045264104.1
OG0001745	XP_038748511.1	XP_045264009.1
OG0001746	XP_038748456.1	XP_045264074.1
OG0001747	XP_038750292.1, XP_038741149.1	XP_045269901.1
OG0001748	XP_038741098.1, XP_038738707.1	XP_045269851.1
OG0001749	XP_038751139.1, XP_038738816.1	XP_045269806.1
OG0001750	XP_038745131.1	XP_045265645.1
OG0001751	XP_038745050.1	XP_045265555.1
OG0001752	XP_038746761.1	XP_045265526.1
OG0001753	XP_038746778.1	XP_045261524.1
OG0001754	XP_038743918.1	XP_045264630.1
OG0001755	XP_038745016.1	XP_045257531.1, XP_045265440.1
OG0001756	XP_038738779.1	XP_045267003.1
OG0001757	XP_038750939.1	XP_045256676.1
OG0001758	XP_038742418.1	XP_045259482.1
OG0001759	XP_038742146.1	XP_045259490.1
OG0001761	XP_038740632.1, XP_038750998.1	XP_045257615.1
OG0001763	XP_038748201.1	XP_045270017.1, XP_045270016.1
OG0001764	XP_038746142.1	XP_045266354.1, XP_045271166.1
OG0001767	XP_038747473.1	XP_045267709.1
OG0001767	XP_038747677.1	XP_045270851.1
OG0001768	XP_038742947.1	XP_045257278.1, XP_045271188.1, XP_045268181.1
OG0001770	XP_038742813.1	XP_045261045.1
OG0001770	XP_038742812.1	XP_045261044.1
OG0001772	XP_038741588.1	XP_045257552.1
OG0001773	XP_038744904.1	XP_045267046.1
