Orthogroup	Colletotrichum_acutatum	Colletotrichum_abscissum
OG0001033	XP_060360259.1	XP_060396087.1
OG0001034	XP_060368416.1	XP_060396133.1
OG0001035	XP_060368415.1	XP_060396134.1
OG0001036	XP_060368401.1	XP_060396146.1
OG0001037	XP_060368380.1	XP_060396168.1
OG0001038	XP_060368518.1	XP_060396253.1
OG0001039	XP_060360851.1	XP_060396860.1
OG0001040	XP_060367917.1	XP_060397126.1
OG0001041	XP_060360177.1	XP_060397218.1, XP_060397222.1, XP_060401111.1
OG0001043	XP_060364861.1	XP_060397389.1
OG0001044	XP_060364866.1	XP_060397394.1
OG0001045	XP_060364932.1, XP_060364931.1	XP_060397468.1
OG0001046	XP_060359628.1	XP_060403044.1
OG0001047	XP_060362190.1	XP_060397757.1
OG0001049	XP_060363819.1	XP_060397939.1
OG0001050	XP_060363762.1	XP_060398000.1
OG0001051	XP_060360224.1	XP_060398044.1
OG0001052	XP_060360202.1	XP_060398073.1
OG0001053	XP_060368850.1	XP_060398133.1
OG0001054	XP_060364750.1	XP_060398270.1
OG0001055	XP_060370603.1	XP_060398532.1
OG0001055	XP_060370604.1	XP_060398533.1
OG0001056	XP_060370561.1	XP_060398588.1
OG0001057	XP_060370553.1	XP_060398595.1
OG0001058	XP_060363275.1	XP_060398709.1
OG0001059	XP_060361546.1	XP_060398795.1
OG0001061	XP_060357978.1	XP_060398952.1
OG0001062	XP_060357977.1	XP_060398953.1
OG0001062	XP_060365947.1	XP_060399875.1
OG0001063	XP_060357971.1	XP_060398963.1
OG0001064	XP_060358623.1	XP_060402987.1
OG0001064	XP_060369329.1	XP_060398985.1
OG0001065	XP_060358928.1	XP_060399401.1
OG0001066	XP_060363027.1	XP_060399249.1
OG0001067	XP_060363016.1	XP_060399258.1
OG0001068	XP_060359500.1	XP_060399321.1
OG0001069	XP_060365593.1	XP_060405037.1
OG0001070	XP_060362869.1	XP_060403250.1
OG0001073	XP_060360623.1	XP_060399634.1
OG0001074	XP_060364590.1	XP_060399676.1
OG0001075	XP_060364587.1	XP_060399679.1
OG0001076	XP_060364584.1	XP_060399683.1
OG0001077	XP_060363583.1	XP_060399777.1
OG0001078	XP_060361184.1	XP_060403403.1
OG0001079	XP_060357328.1, XP_060363443.1	XP_060403184.1
OG0001079	XP_060357016.1	XP_060399886.1
OG0001080	XP_060361043.1	XP_060404038.1, XP_060399930.1
OG0001081	XP_060361052.1	XP_060399940.1
OG0001082	XP_060361053.1	XP_060399941.1
OG0001083	XP_060358303.1	XP_060399984.1
OG0001084	XP_060368255.1	XP_060400061.1
OG0001085	XP_060371815.1	XP_060400406.1
OG0001086	XP_060371808.1	XP_060400414.1
OG0001087	XP_060371720.1	XP_060400505.1
OG0001088	XP_060359229.1	XP_060400600.1
OG0001089	XP_060359833.1	XP_060405953.1
OG0001090	XP_060357408.1	XP_060400681.1
OG0001091	XP_060357411.1	XP_060400684.1
OG0001092	XP_060357626.1	XP_060400685.1
OG0001092	XP_060363419.1	XP_060403163.1
OG0001093	XP_060359917.1	XP_060406357.1
OG0001094	XP_060370331.1	XP_060400937.1
OG0001095	XP_060370374.1	XP_060400980.1
OG0001096	XP_060368705.1	XP_060403724.1
OG0001097	XP_060365242.1	XP_060401215.1
OG0001098	XP_060365207.1	XP_060401247.1
OG0001099	XP_060363921.1	XP_060401532.1
OG0001100	XP_060365343.1	XP_060401644.1
OG0001101	XP_060360117.1	XP_060401763.1
OG0001103	XP_060358612.1	XP_060402179.1
OG0001104	XP_060358601.1	XP_060402192.1
OG0001105	XP_060362530.1	XP_060402245.1
OG0001106	XP_060362517.1	XP_060402258.1
OG0001107	XP_060362479.1	XP_060402294.1
OG0001108	XP_060367004.1	XP_060402354.1
OG0001109	XP_060357111.1	XP_060402731.1
OG0001110	XP_060366871.1	XP_060402793.1
OG0001111	XP_060366906.1	XP_060402825.1
OG0001112	XP_060362433.1	XP_060402885.1
OG0001113	XP_060357937.1, XP_060357938.1, XP_060357936.1	XP_060402947.1
OG0001114	XP_060357935.1	XP_060402948.1
OG0001115	XP_060359620.1	XP_060403036.1
OG0001116	XP_060357527.1	XP_060403058.1
OG0001117	XP_060363414.1	XP_060403159.1
OG0001118	XP_060362858.1	XP_060403262.1
OG0001119	XP_060362844.1	XP_060403277.1
OG0001119	XP_060369831.1	XP_060406517.1
OG0001120	XP_060361161.1	XP_060403384.1
OG0001121	XP_060358722.1	XP_060403431.1
OG0001122	XP_060358724.1	XP_060403433.1
OG0001123	XP_060358728.1	XP_060403440.1
OG0001124	XP_060364498.1	XP_060403492.1
OG0001125	XP_060364468.1	XP_060403526.1
OG0001126	XP_060364451.1	XP_060403543.1
OG0001127	XP_060362765.1	XP_060403639.1
OG0001128	XP_060368669.1	XP_060403761.1
OG0001129	XP_060361359.1	XP_060404085.1
OG0001130	XP_060357554.1	XP_060404271.1
OG0001131	XP_060358846.1	XP_060404398.1
OG0001132	XP_060360000.1	XP_060404447.1
OG0001133	XP_060359990.1	XP_060404458.1
OG0001134	XP_060359345.1, XP_060362960.1, XP_060359075.1	XP_060404533.1, XP_060404955.1
OG0001136	XP_060365450.1	XP_060404729.1
OG0001137	XP_060362317.1	XP_060404901.1
OG0001138	XP_060362958.1, XP_060359342.1	XP_060404917.1
OG0001139	XP_060371343.1	XP_060406190.1
OG0001140	XP_060365591.1	XP_060405036.1
OG0001141	XP_060357262.1, XP_060365618.1	XP_060405060.1
OG0001142	XP_060365661.1	XP_060405104.1
OG0001143	XP_060365886.1	XP_060405127.1
OG0001144	XP_060367737.1	XP_060405261.1
OG0001145	XP_060362932.1	XP_060405353.1
OG0001146	XP_060362329.1	XP_060405484.1
OG0001147	XP_060359814.1	XP_060405971.1
OG0001148	XP_060371221.1	XP_060406051.1
OG0001149	XP_060371423.1	XP_060406276.1
OG0001151	XP_060371450.1	XP_060406315.1
OG0001152	XP_060368066.1	XP_060406455.1
OG0001153	XP_060369758.1	XP_060406589.1
OG0001186	XP_060358864.1	XP_060400540.1
OG0001189	XP_060365065.1	XP_060394540.1
OG0001190	XP_060357435.1	XP_060389454.1
OG0001191	XP_060357436.1	XP_060389455.1
OG0001192	XP_060364976.1	XP_060389467.1
OG0001193	XP_060359867.1	XP_060389492.1
OG0001194	XP_060366153.1	XP_060392395.1, XP_060389515.1
OG0001196	XP_060369627.1	XP_060389611.1
OG0001197	XP_060360033.1	XP_060395247.1
OG0001197	XP_060369614.1	XP_060389624.1
OG0001198	XP_060369584.1	XP_060389657.1
OG0001199	XP_060369545.1	XP_060389699.1
OG0001200	XP_060369541.1	XP_060389703.1
OG0001201	XP_060369538.1	XP_060389706.1
OG0001202	XP_060369462.1	XP_060389774.1
OG0001203	XP_060369459.1	XP_060389777.1
OG0001204	XP_060364564.1, XP_060359553.1	XP_060389788.1
OG0001205	XP_060359551.1	XP_060405469.1, XP_060389793.1
OG0001206	XP_060357022.1, XP_060362104.1	XP_060389878.1
OG0001207	XP_060363472.1	XP_060389927.1
OG0001208	XP_060359594.1	XP_060389989.1
OG0001209	XP_060359399.1	XP_060390092.1
OG0001210	XP_060359397.1	XP_060390094.1
OG0001211	XP_060357218.1	XP_060390154.1, XP_060399884.1
OG0001212	XP_060357585.1	XP_060395806.1
OG0001213	XP_060370807.1	XP_060390191.1
OG0001214	XP_060360506.1	XP_060390226.1, XP_060403324.1
OG0001215	XP_060358350.1	XP_060390228.1
OG0001215	XP_060359698.1	XP_060391895.1
OG0001216	XP_060369326.1	XP_060390374.1, XP_060390377.1
OG0001217	XP_060369327.1	XP_060390378.1
OG0001219	XP_060358045.1, XP_060364360.1	XP_060395171.1, XP_060392435.1, XP_060391689.1, XP_060391683.1, XP_060392436.1, XP_060399411.1, XP_060390438.1
OG0001220	XP_060369390.1	XP_060390457.1
OG0001221	XP_060362262.1	XP_060390532.1, XP_060398840.1
OG0001222	XP_060360302.1	XP_060403091.1
OG0001222	XP_060366323.1	XP_060390534.1
OG0001223	XP_060366258.1	XP_060390598.1
OG0001224	XP_060369220.1	XP_060390734.1
OG0001225	XP_060370621.1	XP_060390758.1
OG0001226	XP_060366542.1, XP_060366548.1	XP_060390823.1
OG0001226	XP_060360390.1	XP_060391034.1
OG0001227	XP_060364327.1	XP_060390870.1
OG0001228	XP_060364347.1	XP_060403609.1, XP_060390894.1
OG0001229	XP_060367340.1	XP_060390937.1
OG0001230	XP_060370845.1	XP_060390949.1, XP_060392322.1
OG0001231	XP_060358511.1	XP_060390965.1
OG0001232	XP_060358175.1	XP_060391003.1
OG0001233	XP_060360400.1	XP_060391046.1
OG0001234	XP_060366394.1	XP_060391061.1
OG0001235	XP_060369048.1, XP_060369047.1	XP_060391171.1
OG0001236	XP_060369065.1	XP_060391189.1
OG0001237	XP_060369082.1	XP_060391205.1
OG0001238	XP_060369086.1	XP_060391209.1
OG0001239	XP_060357659.1	XP_060391228.1
OG0001240	XP_060363056.1	XP_060391272.1, XP_060397232.1
OG0001241	XP_060357601.1	XP_060391289.1
OG0001242	XP_060359885.1	XP_060391316.1
OG0001243	XP_060358050.1	XP_060391343.1
OG0001244	XP_060361748.1	XP_060391364.1
OG0001246	XP_060360434.1	XP_060391427.1, XP_060391420.1
OG0001247	XP_060360435.1	XP_060391429.1
OG0001248	XP_060360459.1	XP_060391453.1
OG0001249	XP_060358909.1	XP_060391479.1
OG0001250	XP_060358918.1, XP_060358917.1	XP_060391487.1
OG0001251	XP_060360803.1	XP_060391488.1
OG0001252	XP_060357445.1, XP_060360800.1	XP_060391491.1
OG0001253	XP_060360796.1	XP_060391495.1
OG0001254	XP_060362696.1	XP_060401363.1
OG0001254	XP_060371553.1	XP_060391501.1
OG0001255	XP_060360782.1	XP_060391510.1
OG0001256	XP_060360765.1	XP_060391532.1
OG0001257	XP_060357118.1	XP_060391559.1
OG0001258	XP_060363655.1	XP_060391575.1
OG0001259	XP_060363652.1	XP_060391579.1
OG0001260	XP_060363639.1	XP_060391591.1
OG0001261	XP_060363638.1	XP_060391593.1
OG0001261	XP_060371713.1	XP_060400510.1
OG0001262	XP_060357098.1	XP_060391646.1
OG0001263	XP_060358564.1	XP_060391653.1
OG0001264	XP_060359855.1	XP_060391699.1
OG0001265	XP_060359863.1	XP_060391707.1
OG0001266	XP_060362436.1	XP_060391789.1
OG0001266	XP_060358610.1	XP_060402181.1
OG0001267	XP_060362448.1	XP_060391803.1
OG0001268	XP_060359701.1	XP_060391892.1
OG0001269	XP_060359693.1	XP_060391900.1
OG0001270	XP_060359692.1	XP_060391901.1
OG0001271	XP_060359675.1	XP_060391918.1
OG0001271	XP_060357856.1	XP_060395300.1
OG0001272	XP_060359672.1	XP_060391921.1
OG0001273	XP_060359668.1	XP_060391926.1
OG0001274	XP_060361832.1	XP_060391947.1
OG0001276	XP_060368123.1	XP_060391982.1
OG0001277	XP_060372027.1	XP_060393789.1
OG0001278	XP_060360080.1	XP_060392100.1
OG0001279	XP_060360077.1	XP_060392103.1
OG0001280	XP_060360905.1	XP_060392210.1
OG0001281	XP_060366176.1	XP_060392370.1
OG0001282	XP_060366168.1	XP_060392380.1
OG0001283	XP_060366140.1	XP_060392406.1
OG0001284	XP_060361124.1	XP_060392477.1
OG0001285	XP_060371495.1	XP_060392518.1
OG0001286	XP_060371552.1	XP_060392582.1
OG0001287	XP_060371556.1	XP_060392586.1
OG0001288	XP_060371588.1	XP_060392625.1
OG0001289	XP_060371635.1	XP_060392691.1
OG0001290	XP_060366527.1	XP_060392766.1
OG0001291	XP_060370675.1	XP_060392899.1
OG0001292	XP_060370682.1	XP_060397207.1, XP_060392905.1
OG0001293	XP_060370712.1	XP_060392938.1
OG0001294	XP_060358191.1	XP_060392961.1
OG0001297	XP_060359264.1	XP_060392996.1
OG0001298	XP_060360701.1	XP_060393034.1
OG0001299	XP_060358458.1	XP_060400618.1
OG0001300	XP_060363826.1	XP_060397930.1
OG0001301	XP_060365966.1	XP_060393323.1
OG0001302	XP_060365983.1	XP_060393341.1
OG0001303	XP_060365791.1	XP_060393398.1
OG0001304	XP_060361497.1	XP_060393511.1
OG0001305	XP_060361472.1	XP_060393541.1
OG0001306	XP_060359731.1	XP_060393554.1, XP_060397700.1
OG0001307	XP_060363312.1	XP_060393559.1
OG0001308	XP_060363352.1	XP_060393598.1
OG0001309	XP_060363356.1	XP_060393602.1
OG0001310	XP_060363751.1	XP_060393624.1
OG0001311	XP_060363747.1	XP_060393628.1
OG0001312	XP_060363730.1	XP_060393647.1
OG0001313	XP_060357508.1	XP_060403437.1
OG0001313	XP_060366935.1	XP_060393686.1
OG0001314	XP_060366937.1	XP_060393688.1
OG0001315	XP_060360880.1	XP_060393822.1
OG0001316	XP_060359153.1	XP_060393854.1
OG0001317	XP_060359142.1	XP_060393864.1
OG0001318	XP_060361228.1	XP_060393900.1
OG0001319	XP_060361233.1	XP_060397366.1, XP_060393905.1
OG0001320	XP_060361239.1	XP_060393912.1
OG0001321	XP_060362608.1	XP_060393972.1
OG0001322	XP_060362627.1	XP_060393995.1
OG0001323	XP_060362029.1	XP_060394044.1
OG0001324	XP_060362011.1	XP_060394059.1
OG0001325	XP_060361978.1	XP_060394089.1
OG0001326	XP_060361969.1	XP_060394098.1
OG0001327	XP_060363212.1	XP_060394153.1
OG0001328	XP_060363226.1	XP_060394167.1
OG0001329	XP_060357188.1	XP_060394172.1
OG0001330	XP_060364032.1	XP_060394184.1
OG0001331	XP_060364049.1	XP_060394200.1
OG0001332	XP_060364050.1	XP_060394201.1
OG0001333	XP_060364057.1	XP_060394209.1
OG0001334	XP_060364089.1	XP_060394244.1
OG0001335	XP_060364099.1	XP_060394258.1
OG0001336	XP_060370926.1	XP_060394312.1
OG0001337	XP_060370924.1	XP_060394314.1
OG0001338	XP_060369652.1, XP_060371933.1	XP_060394342.1
OG0001339	XP_060371994.1	XP_060394411.1
OG0001340	XP_060372012.1	XP_060394429.1
OG0001341	XP_060357964.1	XP_060394455.1, XP_060401303.1
OG0001342	XP_060365005.1	XP_060394475.1
OG0001343	XP_060365029.1	XP_060401418.1, XP_060394496.1
OG0001344	XP_060368357.1	XP_060394584.1
OG0001345	XP_060368312.1	XP_060394631.1
OG0001346	XP_060368264.1	XP_060394691.1
OG0001347	XP_060359493.1	XP_060404239.1
OG0001347	XP_060361499.1	XP_060394712.1
OG0001348	XP_060367406.1	XP_060394724.1
OG0001349	XP_060367436.1	XP_060394756.1
OG0001351	XP_060364968.1	XP_060394804.1
OG0001352	XP_060367622.1	XP_060394830.1
OG0001353	XP_060367603.1	XP_060394848.1
OG0001354	XP_060367578.1	XP_060394873.1
OG0001355	XP_060364895.1	XP_060397429.1
OG0001355	XP_060366454.1	XP_060394886.1
OG0001356	XP_060366439.1	XP_060394902.1
OG0001357	XP_060366437.1	XP_060394904.1
OG0001358	XP_060357241.1	XP_060394975.1
OG0001359	XP_060357372.1	XP_060394983.1
OG0001360	XP_060361572.1	XP_060395010.1
OG0001361	XP_060361603.1	XP_060395039.1
OG0001362	XP_060361616.1	XP_060395051.1
OG0001363	XP_060357180.1	XP_060395072.1
OG0001364	XP_060361064.1	XP_060395105.1
OG0001365	XP_060361075.1	XP_060395120.1
OG0001365	XP_060364835.1	XP_060405669.1
OG0001366	XP_060361081.1	XP_060395126.1
OG0001368	XP_060361087.1	XP_060395133.1
OG0001369	XP_060359446.1	XP_060395185.1
OG0001370	XP_060359441.1	XP_060395189.1
OG0001372	XP_060360572.1	XP_060395222.1
OG0001373	XP_060357864.1	XP_060395311.1
OG0001374	XP_060358401.1	XP_060395341.1
OG0001375	XP_060357072.1	XP_060395359.1
OG0001376	XP_060358786.1	XP_060395365.1
OG0001377	XP_060358792.1	XP_060395371.1
OG0001378	XP_060370204.1	XP_060395384.1
OG0001379	XP_060370242.1	XP_060395438.1
OG0001380	XP_060370250.1	XP_060395447.1
OG0001381	XP_060369113.1	XP_060395484.1
OG0001382	XP_060359370.1	XP_060395504.1
OG0001383	XP_060365554.1, XP_060365553.1	XP_060395535.1
OG0001384	XP_060365524.1	XP_060395561.1
OG0001385	XP_060365501.1	XP_060401843.1, XP_060395591.1
OG0001386	XP_060365485.1	XP_060395607.1
OG0001387	XP_060365483.1	XP_060395608.1
OG0001388	XP_060365772.1, XP_060365773.1	XP_060395645.1
OG0001389	XP_060364192.1	XP_060395692.1
OG0001390	XP_060364188.1	XP_060395696.1
OG0001391	XP_060364177.1	XP_060395707.1
OG0001392	XP_060364169.1	XP_060395715.1
OG0001392	XP_060357531.1	XP_060403053.1
OG0001393	XP_060364116.1	XP_060395766.1
OG0001394	XP_060364112.1	XP_060395771.1
OG0001395	XP_060357594.1	XP_060395791.1
OG0001396	XP_060361358.1	XP_060395801.1, XP_060404084.1
OG0001397	XP_060360661.1	XP_060395841.1
OG0001398	XP_060360674.1	XP_060395851.1
OG0001399	XP_060365130.1	XP_060395900.1
OG0001400	XP_060365090.1	XP_060395946.1
OG0001401	XP_060365088.1, XP_060365087.1	XP_060395948.1
OG0001402	XP_060360755.1	XP_060396015.1, XP_060396014.1
OG0001403	XP_060360751.1	XP_060396019.1
OG0001404	XP_060360750.1	XP_060396020.1
OG0001405	XP_060360236.1	XP_060396063.1
OG0001406	XP_060360244.1	XP_060396071.1
OG0001407	XP_060360272.1	XP_060396101.1
OG0001408	XP_060358023.1	XP_060396115.1
OG0001409	XP_060368421.1	XP_060396121.1
OG0001410	XP_060368395.1	XP_060396151.1
OG0001411	XP_060368394.1	XP_060396152.1
OG0001412	XP_060368370.1	XP_060396177.1
OG0001413	XP_060368523.1	XP_060396257.1
OG0001414	XP_060365724.1	XP_060396375.1
OG0001415	XP_060365720.1	XP_060396379.1
OG0001416	XP_060365698.1	XP_060396400.1
OG0001417	XP_060363976.1	XP_060396444.1
OG0001418	XP_060364004.1	XP_060396475.1
OG0001419	XP_060364021.1	XP_060396494.1
OG0001421	XP_060363855.1	XP_060396518.1
OG0001422	XP_060367255.1	XP_060396627.1
OG0001423	XP_060367221.1	XP_060396665.1
OG0001424	XP_060369957.1	XP_060396694.1
OG0001425	XP_060369903.1	XP_060396753.1
OG0001426	XP_060369892.1	XP_060396762.1
OG0001427	XP_060369890.1	XP_060396764.1
OG0001428	XP_060366205.1	XP_060396820.1
OG0001429	XP_060361462.1	XP_060396839.1
OG0001430	XP_060361461.1	XP_060396840.1
OG0001431	XP_060361458.1	XP_060396843.1
OG0001432	XP_060360848.1	XP_060396863.1
OG0001433	XP_060360824.1	XP_060396889.1
OG0001434	XP_060360810.1	XP_060396902.1
OG0001435	XP_060358582.1	XP_060396910.1
OG0001436	XP_060358599.1	XP_060396930.1
OG0001437	XP_060361453.1	XP_060396934.1
OG0001438	XP_060361449.1	XP_060396937.1
OG0001439	XP_060361618.1, XP_060361411.1	XP_060396977.1
OG0001440	XP_060362099.1	XP_060397036.1
OG0001441	XP_060367970.1	XP_060397071.1
OG0001442	XP_060367892.1	XP_060397153.1
OG0001444	XP_060368926.1	XP_060397248.1, XP_060402054.1
OG0001445	XP_060365645.1	XP_060397270.1, XP_060405089.1
OG0001446	XP_060367097.1	XP_060397888.1
OG0001447	XP_060363143.1	XP_060397289.1
OG0001448	XP_060363129.1	XP_060397308.1
OG0001449	XP_060363103.1	XP_060397333.1
OG0001450	XP_060364862.1	XP_060397390.1
OG0001451	XP_060364867.1	XP_060398989.1, XP_060397395.1
OG0001452	XP_060357207.1	XP_060397402.1, XP_060399993.1
OG0001453	XP_060364883.1	XP_060397417.1
OG0001454	XP_060359924.1	XP_060406370.1
OG0001455	XP_060364897.1	XP_060397434.1
OG0001456	XP_060364909.1	XP_060397446.1
OG0001457	XP_060364947.1	XP_060397485.1
OG0001458	XP_060366648.1	XP_060397618.1
OG0001459	XP_060366681.1	XP_060397653.1
OG0001460	XP_060366682.1	XP_060397654.1
OG0001460	XP_060366588.1, XP_060368048.1	XP_060404974.1
OG0001461	XP_060362200.1	XP_060397850.1, XP_060397748.1
OG0001462	XP_060367164.1	XP_060397814.1
OG0001463	XP_060367159.1	XP_060397822.1
OG0001464	XP_060367149.1	XP_060397833.1
OG0001465	XP_060367142.1	XP_060397839.1
OG0001466	XP_060367136.1	XP_060397847.1
OG0001467	XP_060367098.1	XP_060397887.1
OG0001469	XP_060363812.1	XP_060397950.1
OG0001470	XP_060363810.1	XP_060397952.1
OG0001471	XP_060363809.1	XP_060397953.1
OG0001472	XP_060360221.1	XP_060398049.1
OG0001473	XP_060360203.1	XP_060398072.1
OG0001474	XP_060368864.1	XP_060398116.1
OG0001475	XP_060364746.1	XP_060398275.1
OG0001476	XP_060364743.1	XP_060398279.1
OG0001477	XP_060364742.1	XP_060398281.1
OG0001478	XP_060364734.1	XP_060398288.1
OG0001479	XP_060364708.1	XP_060398325.1
OG0001480	XP_060364697.1	XP_060398336.1
OG0001481	XP_060357295.1	XP_060398356.1
OG0001482	XP_060358539.1	XP_060398382.1
OG0001483	XP_060371191.1	XP_060398409.1
OG0001484	XP_060371129.1	XP_060398486.1
OG0001485	XP_060370602.1	XP_060398531.1
OG0001486	XP_060370578.1	XP_060398571.1
OG0001487	XP_060370535.1	XP_060398612.1
OG0001487	XP_060370534.1	XP_060398613.1
OG0001488	XP_060370530.1	XP_060398617.1
OG0001489	XP_060370511.1	XP_060398636.1
OG0001490	XP_060370508.1	XP_060398639.1
OG0001491	XP_060370496.1	XP_060398648.1
OG0001492	XP_060370495.1	XP_060398649.1
OG0001493	XP_060357229.1	XP_060398743.1
OG0001494	XP_060358333.1, XP_060361515.1	XP_060398759.1
OG0001495	XP_060361516.1	XP_060398760.1
OG0001496	XP_060365367.1, XP_060361537.1	XP_060398785.1
OG0001497	XP_060362234.1	XP_060398812.1
OG0001498	XP_060362237.1	XP_060398815.1
OG0001499	XP_060362253.1	XP_060398831.1
OG0001500	XP_060362264.1	XP_060398842.1
OG0001501	XP_060357351.1	XP_060398920.1
OG0001502	XP_060357986.1	XP_060398942.1
OG0001503	XP_060358689.1	XP_060398999.1
OG0001505	XP_060370068.1	XP_060399066.1
OG0001506	XP_060370101.1	XP_060399106.1
OG0001507	XP_060370124.1	XP_060399130.1
OG0001508	XP_060370133.1	XP_060399138.1
OG0001509	XP_060370151.1	XP_060399162.1
OG0001510	XP_060370170.1	XP_060399181.1
OG0001511	XP_060370184.1	XP_060399196.1
OG0001512	XP_060370185.1	XP_060399197.1
OG0001513	XP_060370186.1	XP_060399198.1
OG0001514	XP_060370187.1	XP_060399199.1
OG0001515	XP_060357457.1	XP_060402508.1, XP_060402134.1, XP_060399340.1
OG0001516	XP_060357807.1	XP_060399354.1
OG0001517	XP_060358925.1	XP_060399398.1
OG0001518	XP_060358940.1	XP_060399412.1
OG0001519	XP_060357728.1	XP_060399436.1
OG0001520	XP_060357725.1	XP_060399439.1
OG0001521	XP_060363035.1	XP_060399449.1
OG0001522	XP_060363044.1	XP_060399459.1
OG0001523	XP_060366099.1	XP_060399582.1
OG0001524	XP_060357066.1, XP_060357067.1	XP_060399597.1
OG0001525	XP_060360594.1	XP_060399602.1
OG0001526	XP_060360598.1	XP_060399606.1
OG0001527	XP_060360599.1	XP_060399607.1
OG0001528	XP_060360602.1	XP_060399610.1
OG0001529	XP_060360607.1	XP_060399616.1
OG0001530	XP_060360611.1	XP_060399620.1
OG0001531	XP_060360637.1	XP_060399647.1
OG0001532	XP_060358445.1	XP_060399660.1
OG0001533	XP_060364580.1	XP_060399687.1
OG0001534	XP_060360587.1	XP_060399745.1
OG0001535	XP_060360590.1	XP_060399747.1
OG0001538	XP_060363588.1	XP_060399771.1
OG0001539	XP_060363560.1	XP_060399798.1
OG0001540	XP_060358528.1	XP_060399860.1
OG0001541	XP_060368198.1	XP_060400121.1
OG0001541	XP_060358530.1	XP_060399862.1
OG0001542	XP_060361856.1	XP_060404126.1
OG0001543	XP_060365215.1	XP_060399879.1, XP_060401240.1
OG0001544	XP_060370392.1	XP_060399882.1, XP_060401001.1
OG0001545	XP_060358214.1	XP_060405006.1
OG0001546	XP_060361004.1	XP_060399888.1
OG0001547	XP_060361014.1	XP_060399897.1
OG0001548	XP_060361026.1	XP_060399909.1
OG0001549	XP_060358415.1	XP_060399962.1
OG0001550	XP_060358414.1	XP_060399963.1
OG0001551	XP_060357206.1	XP_060399992.1
OG0001552	XP_060364526.1	XP_060400035.1
OG0001553	XP_060368202.1	XP_060400116.1
OG0001554	XP_060368193.1	XP_060400127.1
OG0001555	XP_060368173.1	XP_060400151.1
OG0001556	XP_060371921.1	XP_060400292.1
OG0001557	XP_060371893.1	XP_060400323.1
OG0001558	XP_060371860.1	XP_060400357.1
OG0001559	XP_060371858.1	XP_060400359.1
OG0001560	XP_060371785.1	XP_060400441.1
OG0001561	XP_060371727.1	XP_060400500.1
OG0001562	XP_060371719.1	XP_060400506.1
OG0001563	XP_060357482.1	XP_060400569.1
OG0001564	XP_060357480.1	XP_060400573.1
OG0001565	XP_060359239.1	XP_060400589.1
OG0001566	XP_060358461.1	XP_060400620.1
OG0001567	XP_060358984.1	XP_060400642.1
OG0001568	XP_060357629.1	XP_060400688.1
OG0001569	XP_060367703.1	XP_060400762.1
OG0001570	XP_060367678.1	XP_060400786.1
OG0001571	XP_060370272.1	XP_060400867.1
OG0001572	XP_060370280.1	XP_060404988.1, XP_060400877.1
OG0001573	XP_060370330.1	XP_060400935.1
OG0001574	XP_060360183.1	XP_060401117.1
OG0001575	XP_060360194.1	XP_060401130.1
OG0001576	XP_060361623.1	XP_060401140.1
OG0001578	XP_060358079.1	XP_060401156.1
OG0001579	XP_060365260.1	XP_060401198.1
OG0001580	XP_060365180.1	XP_060401276.1
OG0001581	XP_060358005.1	XP_060401330.1
OG0001582	XP_060358001.1	XP_060401334.1
OG0001583	XP_060362671.1	XP_060401337.1
OG0001584	XP_060362680.1	XP_060401347.1
OG0001585	XP_060362691.1	XP_060401358.1
OG0001586	XP_060362704.1	XP_060401375.1
OG0001587	XP_060362719.1	XP_060401388.1
OG0001590	XP_060368032.1	XP_060406417.1
OG0001591	XP_060358103.1	XP_060401476.1
OG0001592	XP_060363936.1	XP_060401518.1
OG0001593	XP_060363933.1	XP_060401521.1
OG0001594	XP_060361854.1	XP_060404124.1
OG0001594	XP_060363916.1	XP_060401539.1
OG0001594	XP_060366969.1	XP_060402340.1
OG0001595	XP_060360368.1	XP_060401587.1
OG0001596	XP_060358761.1	XP_060401614.1
OG0001596	XP_060369655.1	XP_060402445.1
OG0001597	XP_060365349.1	XP_060401640.1
OG0001598	XP_060365321.1, XP_060365322.1	XP_060401670.1
OG0001599	XP_060360119.1	XP_060401765.1
OG0001600	XP_060368425.1	XP_060401778.1
OG0001601	XP_060368444.1	XP_060401796.1
OG0001602	XP_060368452.1	XP_060401807.1
OG0001603	XP_060358127.1	XP_060401887.1
OG0001604	XP_060367539.1	XP_060401920.1
OG0001605	XP_060367535.1	XP_060401926.1
OG0001606	XP_060363100.1, XP_060367480.1	XP_060401982.1
OG0001607	XP_060368931.1, XP_060368932.1	XP_060402057.1
OG0001608	XP_060368938.1	XP_060402065.1
OG0001609	XP_060358883.1	XP_060402154.1
OG0001610	XP_060358884.1	XP_060402155.1
OG0001611	XP_060357877.1	XP_060402214.1
OG0001612	XP_060357879.1	XP_060402216.1
OG0001613	XP_060358238.1	XP_060402221.1
OG0001614	XP_060362531.1	XP_060402244.1
OG0001615	XP_060362492.1	XP_060402280.1
OG0001616	XP_060358653.1	XP_060402323.1
OG0001617	XP_060367006.1	XP_060402356.1
OG0001618	XP_060369659.1	XP_060402440.1
OG0001619	XP_060369720.1	XP_060402479.1
OG0001620	XP_060361806.1	XP_060402580.1
OG0001621	XP_060358313.1	XP_060402622.1
OG0001621	XP_060367213.1	XP_060404003.1
OG0001622	XP_060357302.1	XP_060402648.1
OG0001623	XP_060359758.1	XP_060402681.1
