Orthogroup	Colletotrichum_acutatum	Colletotrichum_fructicola
OG0001164	XP_060367398.1	XP_066008645.1, XP_031886795.1, XP_031886794.1
OG0001165	XP_060371535.1	XP_031891592.1, XP_066008263.1
OG0001186	XP_060358864.1	XP_031876993.1
OG0001190	XP_060357435.1	XP_031876648.1
OG0001191	XP_060357436.1	XP_066007462.1
OG0001192	XP_060364976.1	XP_066007402.1
OG0001193	XP_060359867.1	XP_031892562.1
OG0001194	XP_060366153.1	XP_031891598.1
OG0001196	XP_060369627.1	XP_031887593.1
OG0001197	XP_060360033.1, XP_060369614.1	XP_031877492.2
OG0001198	XP_060369584.1	XP_031887739.1
OG0001199	XP_060369545.1	XP_031887475.1
OG0001200	XP_060369541.1	XP_031887671.1
OG0001201	XP_060369538.1	XP_031887666.1
OG0001202	XP_060369462.1	XP_031887675.1
OG0001203	XP_060369459.1	XP_031887678.1
OG0001204	XP_060364564.1, XP_060359553.1	XP_031887497.1
OG0001205	XP_060359551.1	XP_031887701.1
OG0001206	XP_060357022.1, XP_060362104.1	XP_031878613.2
OG0001207	XP_060363472.1	XP_031878642.1
OG0001208	XP_060359594.1	XP_066007358.1, XP_031877288.1
OG0001209	XP_060359399.1	XP_031883846.1
OG0001210	XP_060359397.1	XP_031883843.1
OG0001211	XP_060357218.1	XP_031890057.1
OG0001212	XP_060357585.1	XP_031878302.2
OG0001213	XP_060370807.1	XP_031882940.2
OG0001214	XP_060360506.1	XP_031881672.1
OG0001215	XP_060358350.1, XP_060359698.1	XP_031889777.1
OG0001216	XP_060369326.1	XP_031877873.1
OG0001217	XP_060369327.1	XP_066008618.1, XP_031877882.1
OG0001220	XP_060357021.1, XP_060369390.1	XP_031882817.1
OG0001221	XP_060362262.1	XP_031880113.1
OG0001223	XP_060366258.1	XP_031888508.1
OG0001224	XP_060369220.1	XP_031880540.1
OG0001225	XP_060370621.1	XP_031879509.2
OG0001226	XP_060366542.1, XP_060366548.1, XP_060360390.1	XP_066008177.1
OG0001227	XP_060364327.1	XP_066008119.1
OG0001228	XP_060364347.1	XP_031881688.1
OG0001229	XP_060367340.1	XP_066007128.1, XP_031878369.1
OG0001230	XP_060370845.1	XP_031888376.1
OG0001231	XP_060358511.1	XP_031890883.1
OG0001232	XP_060358175.1	XP_031892612.1
OG0001233	XP_060360400.1	XP_031892808.1
OG0001234	XP_060366394.1	XP_031891230.1
OG0001235	XP_060369048.1, XP_060369047.1	XP_031886023.1
OG0001236	XP_060369065.1	XP_066008910.1
OG0001237	XP_060369082.1	XP_031892630.1, XP_031885863.1
OG0001238	XP_060369086.1	XP_031890025.1
OG0001239	XP_060357659.1	XP_066008828.1, XP_031890137.1
OG0001240	XP_060363056.1	XP_031890252.1
OG0001241	XP_060357601.1	XP_031884154.1
OG0001242	XP_060359885.1	XP_031885912.1
OG0001243	XP_060358050.1	XP_031886446.1
OG0001244	XP_060361748.1	XP_031877428.1
OG0001246	XP_060360434.1	XP_066008367.1
OG0001247	XP_060360435.1	XP_031876430.1
OG0001248	XP_060360459.1	XP_031883570.1
OG0001249	XP_060358909.1	XP_031878676.1, XP_031883485.2
OG0001250	XP_060358918.1, XP_060358917.1	XP_066008018.1
OG0001251	XP_060360803.1	XP_031876026.1
OG0001252	XP_060357445.1, XP_060360800.1	XP_031883577.1
OG0001253	XP_060360796.1	XP_031879488.1
OG0001254	XP_060362696.1, XP_060371553.1	XP_031888108.1
OG0001255	XP_060360782.1	XP_031883702.1
OG0001256	XP_060360765.1	XP_031883594.1
OG0001257	XP_060357118.1	XP_031877942.1
OG0001258	XP_060363655.1	XP_031875508.2, XP_031877943.1
OG0001259	XP_060363652.1	XP_031877971.1
OG0001260	XP_060363639.1	XP_031877901.1
OG0001261	XP_060363638.1, XP_060371713.1	XP_031891392.1
OG0001262	XP_060357098.1	XP_031884219.2, XP_031883498.1
OG0001264	XP_060359855.1	XP_066006768.1, XP_031892502.1
OG0001265	XP_060359863.1	XP_031892508.1
OG0001266	XP_060362436.1, XP_060358610.1	XP_066009483.1
OG0001267	XP_060362448.1	XP_031878384.2
OG0001268	XP_060359701.1	XP_031889779.1
OG0001269	XP_060359693.1	XP_031889658.1
OG0001270	XP_060359692.1, XP_060359691.1	XP_031889732.2
OG0001271	XP_060359675.1, XP_060357856.1	XP_031889357.1
OG0001272	XP_060359672.1	XP_066008071.1, XP_031878171.2
OG0001273	XP_060359668.1	XP_066008055.1
OG0001274	XP_060361832.1	XP_066008519.1, XP_031883720.1
OG0001276	XP_060368123.1	XP_066009490.1, XP_066009898.1
OG0001277	XP_060372027.1	XP_031883597.1
OG0001278	XP_060360080.1	XP_031878337.1
OG0001279	XP_060360077.1	XP_031878342.1
OG0001280	XP_060360905.1	XP_031892070.1, XP_031892071.1
OG0001281	XP_060366176.1	XP_066008236.1
OG0001282	XP_060366168.1	XP_031891329.1
OG0001283	XP_060366140.1	XP_031891513.1
OG0001284	XP_060361124.1	XP_031877734.2
OG0001285	XP_060371495.1	XP_066007379.1, XP_031892493.1
OG0001286	XP_060371552.1	XP_031879975.1, XP_031884815.1
OG0001287	XP_060371556.1	XP_031891924.2
OG0001288	XP_060371588.1	XP_031892472.1
OG0001289	XP_060371635.1	XP_031877680.2
OG0001290	XP_060366527.1	XP_031884585.1
OG0001291	XP_060370675.1	XP_031878046.2
OG0001292	XP_060370682.1	XP_031878053.1
OG0001293	XP_060370712.1	XP_031878061.1
OG0001294	XP_060358191.1	XP_031878068.1
OG0001297	XP_060359264.1	XP_031892231.1
OG0001298	XP_060360701.1	XP_031891676.1
OG0001299	XP_060358458.1	XP_031879307.1
OG0001300	XP_060363826.1	XP_031893444.1
OG0001301	XP_060365966.1	XP_031884751.1
OG0001302	XP_060365983.1	XP_031891812.1, XP_031882585.2
OG0001303	XP_060365791.1	XP_031879832.2
OG0001304	XP_060361497.1	XP_066008971.1
OG0001305	XP_060361472.1	XP_031889342.1
OG0001306	XP_060359731.1	XP_031876792.1
OG0001307	XP_060363312.1	XP_031880705.1
OG0001308	XP_060363352.1	XP_031881060.1
OG0001309	XP_060363356.1	XP_031881063.1
OG0001310	XP_060363751.1	XP_031881037.1
OG0001311	XP_060363747.1	XP_066009387.1
OG0001312	XP_060363730.1	XP_031890168.1
OG0001313	XP_060357508.1, XP_060366935.1	XP_031876051.1
OG0001314	XP_060366937.1	XP_031876045.1
OG0001315	XP_060360880.1	XP_031883968.1
OG0001316	XP_060359152.1, XP_060359153.1	XP_031880770.1
OG0001317	XP_060359142.1	XP_031883858.2
OG0001318	XP_060361228.1	XP_031884016.2
OG0001319	XP_060361233.1	XP_031883856.1
OG0001320	XP_060361239.1	XP_031883857.1
OG0001321	XP_060362608.1	XP_031883915.1
OG0001322	XP_060362627.1	XP_031884075.1
OG0001323	XP_060362029.1	XP_031876852.1
OG0001324	XP_060362010.1	XP_031876079.1
OG0001325	XP_060361978.1	XP_066007677.1
OG0001326	XP_060361969.1	XP_031892234.1
OG0001327	XP_060363212.1	XP_031879107.1
OG0001328	XP_060363226.1	XP_031881474.1
OG0001329	XP_060357188.1, XP_060357187.1	XP_066007744.1
OG0001330	XP_060364032.1	XP_031888492.1
OG0001331	XP_060364049.1	XP_031888389.1
OG0001332	XP_060364050.1	XP_031888392.2
OG0001333	XP_060364057.1	XP_031888584.1
OG0001334	XP_060364089.1	XP_031888216.1
OG0001335	XP_060364099.1	XP_031875990.1, XP_031888419.1
OG0001336	XP_060370926.1	XP_031888592.1
OG0001337	XP_060370924.1	XP_031888594.1
OG0001338	XP_060369652.1, XP_060371933.1	XP_031890365.1
OG0001339	XP_060371994.1	XP_031890576.1
OG0001340	XP_060372012.1	XP_066007029.1, XP_031890377.1
OG0001341	XP_060357964.1	XP_031893129.2
OG0001342	XP_060365005.1	XP_031878156.1
OG0001343	XP_060365029.1	XP_066007390.1
OG0001344	XP_060368357.1	XP_031879928.1
OG0001345	XP_060368312.1	XP_031879954.1
OG0001346	XP_060368264.1	XP_031883790.1, XP_031875949.2, XP_031880018.1
OG0001347	XP_060359493.1, XP_060361499.1	XP_031884058.1
OG0001348	XP_060367406.1	XP_031886614.1
OG0001349	XP_060367436.1	XP_031886764.1
OG0001350	XP_060366946.1	XP_066008983.1
OG0001351	XP_060364968.1	XP_031886567.1
OG0001352	XP_060367622.1	XP_066009925.1
OG0001353	XP_060367603.1	XP_031876357.1, XP_031890938.1
OG0001354	XP_060367578.1	XP_031891614.1
OG0001355	XP_060364895.1, XP_060366454.1	XP_031891150.1
OG0001356	XP_060366439.1	XP_031891237.2
OG0001357	XP_060366437.1	XP_066009756.1
OG0001358	XP_060357241.1	XP_031891764.1
OG0001359	XP_060357372.1	XP_031892188.1
OG0001360	XP_060361572.1	XP_031891836.1
OG0001361	XP_060361603.1	XP_031891792.1
OG0001362	XP_060361616.1	XP_031891825.1
OG0001363	XP_060357180.1	XP_066008833.1
OG0001364	XP_060361064.1	XP_031875913.1
OG0001365	XP_060361075.1, XP_060364835.1	XP_031881405.2
OG0001366	XP_060361081.1	XP_031885139.1
OG0001368	XP_060361087.1	XP_031885287.1
OG0001369	XP_060359446.1	XP_031878998.1
OG0001370	XP_060359441.1	XP_031878984.1
OG0001372	XP_060360572.1	XP_031878978.1
OG0001373	XP_060357864.1	XP_031877081.2, XP_031878855.1
OG0001374	XP_060358402.1	XP_031878777.1
OG0001375	XP_060357072.1	XP_031889219.1
OG0001376	XP_060358786.1	XP_031882078.2
OG0001377	XP_060358792.1	XP_031878838.1
OG0001378	XP_060370204.1	XP_031888117.1
OG0001379	XP_060370242.1	XP_031887900.2
OG0001380	XP_060370250.1	XP_031887825.2, XP_031888010.2
OG0001381	XP_060369113.1	XP_031876536.1
OG0001383	XP_060365554.1, XP_060365553.1	XP_031879580.1
OG0001384	XP_060365524.1	XP_031879518.1
OG0001385	XP_060365501.1	XP_031889856.1
OG0001386	XP_060365485.1	XP_031889756.1
OG0001387	XP_060365483.1	XP_031889653.1
OG0001388	XP_060365772.1, XP_060365773.1	XP_031884910.1
OG0001389	XP_060364192.1	XP_031884972.2
OG0001390	XP_060364188.1	XP_031884736.1
OG0001391	XP_060364177.1	XP_031884897.1
OG0001392	XP_060364169.1, XP_060357531.1	XP_031881727.1
OG0001393	XP_060364116.1	XP_031875935.1, XP_031880019.2, XP_066009802.1
OG0001394	XP_060364112.1	XP_031884797.2, XP_066007818.1
OG0001395	XP_060357594.1	XP_031884805.1
OG0001396	XP_060361358.1	XP_066009339.1
OG0001397	XP_060360661.1	XP_066007240.1
OG0001398	XP_060360674.1	XP_031884958.1
OG0001399	XP_060365130.1	XP_031879308.1
OG0001400	XP_060365090.1	XP_031888540.1
OG0001401	XP_060365088.1, XP_060365087.1	XP_031884327.2
OG0001402	XP_060360755.1	XP_031884249.1, XP_031877085.1
OG0001403	XP_060360751.1	XP_031877055.1
OG0001404	XP_060360750.1	XP_031878784.1, XP_031884289.1
OG0001405	XP_060360236.1	XP_031884258.1
OG0001406	XP_060360244.1	XP_031884115.1
OG0001408	XP_060358023.1	XP_031884126.1
OG0001409	XP_060368421.1	XP_031884195.1
OG0001410	XP_060368395.1	XP_031877079.1, XP_031883495.1
OG0001411	XP_060368394.1	XP_031877077.1
OG0001412	XP_060368370.1	XP_031879981.1
OG0001413	XP_060368523.1	XP_066007521.1
OG0001414	XP_060365724.1	XP_031884998.1
OG0001415	XP_060365720.1	XP_031884821.1
OG0001416	XP_060365698.1	XP_031884566.1
OG0001417	XP_060363976.1	XP_031892398.1
OG0001418	XP_060364004.1	XP_031892362.1
OG0001419	XP_060364021.1	XP_066007607.1
OG0001421	XP_060363855.1	XP_031882557.1
OG0001422	XP_060367255.1	XP_031885512.1
OG0001423	XP_060367221.1	XP_066008353.1
OG0001424	XP_060369957.1	XP_066009370.1
OG0001425	XP_060369903.1	XP_031887062.1
OG0001426	XP_060369892.1	XP_031887082.1, XP_066007360.1
OG0001427	XP_060369890.1	XP_066007407.1, XP_031887080.2
OG0001428	XP_060366205.1	XP_031892272.1
OG0001429	XP_060361462.1	XP_031889419.1
OG0001430	XP_060361461.1	XP_031889418.1
OG0001431	XP_060361458.1	XP_031890267.1
OG0001432	XP_060360848.1	XP_031884643.2
OG0001433	XP_060360824.1, XP_060360825.1	XP_031889296.1
OG0001434	XP_060360810.1	XP_031889108.2
OG0001435	XP_060358582.1	XP_031889321.1
OG0001436	XP_060358599.1	XP_031889280.1
OG0001437	XP_060361453.1	XP_031889477.1
OG0001438	XP_060360823.1	XP_031889293.1
OG0001439	XP_060361618.1, XP_060361411.1	XP_031889456.1
OG0001440	XP_060362099.1	XP_031881593.1
OG0001441	XP_060367970.1	XP_031875532.1
OG0001442	XP_060367892.1	XP_031880461.1
OG0001444	XP_060368926.1	XP_031885326.1
OG0001445	XP_060365645.1	XP_031877644.1
OG0001446	XP_060367097.1	XP_031883004.1
OG0001447	XP_060363143.1	XP_031892245.1
OG0001448	XP_060363129.1	XP_031892156.2
OG0001449	XP_060363103.1	XP_031884518.2
OG0001450	XP_060364862.1	XP_031892530.1
OG0001451	XP_060364867.1	XP_031892061.1
OG0001452	XP_060357207.1	XP_066007984.1
OG0001453	XP_060364883.1	XP_031891963.1, XP_031892150.2
OG0001454	XP_060359924.1	XP_031886398.1
OG0001455	XP_060364897.1	XP_031875622.2
OG0001456	XP_060364909.1	XP_031880121.1, XP_031883894.1
OG0001457	XP_060364947.1	XP_031892003.1
OG0001458	XP_060366648.1	XP_031882194.1, XP_031882200.1
OG0001459	XP_060366681.1	XP_031884163.1, XP_031882315.1
OG0001460	XP_060366682.1, XP_060357274.1, XP_060366588.1, XP_060368048.1	XP_031875637.2
OG0001461	XP_060362200.1	XP_031883053.1
OG0001462	XP_060367164.1	XP_031883169.1
OG0001463	XP_060367159.1	XP_066008888.1
OG0001464	XP_060367149.1	XP_066008730.1
OG0001465	XP_060367142.1	XP_031883091.1
OG0001466	XP_060367136.1	XP_031883128.2
OG0001467	XP_060367098.1	XP_031883006.1
OG0001469	XP_060363812.1	XP_031893096.1
OG0001470	XP_060363810.1	XP_031893090.1
OG0001471	XP_060363809.1	XP_066009016.1
OG0001472	XP_060360221.1	XP_031882405.2
OG0001473	XP_060360203.1	XP_031882437.1
OG0001474	XP_060368864.1	XP_031882480.1, XP_031882479.2
OG0001475	XP_060364746.1	XP_066006870.1, XP_031881005.2
OG0001476	XP_060364743.1	XP_031887190.1
OG0001477	XP_060364742.1	XP_031887183.1
OG0001478	XP_060364734.1	XP_031887193.1
OG0001479	XP_060364708.1	XP_031887205.2
OG0001480	XP_060364697.1	XP_031887369.1
OG0001481	XP_060357295.1	XP_066007178.1
OG0001482	XP_060358539.1	XP_031887233.2
OG0001483	XP_060371191.1	XP_031887401.2
OG0001484	XP_060371129.1	XP_031888180.1, XP_031887150.1
OG0001485	XP_060370602.1	XP_031879454.1
OG0001486	XP_060370578.1	XP_031879416.1
OG0001487	XP_060370535.1, XP_060370534.1	XP_031881314.1, XP_066008412.1, XP_031881197.1
OG0001488	XP_060370530.1	XP_031881295.1
OG0001489	XP_060370511.1	XP_031881203.1
OG0001490	XP_060370508.1	XP_031881156.1
OG0001491	XP_060370496.1	XP_031881226.1
OG0001492	XP_060370495.1	XP_031881225.2
OG0001493	XP_060357229.1	XP_031881599.1
OG0001494	XP_060358333.1, XP_060361515.1	XP_031880045.1
OG0001495	XP_060361516.1	XP_031880181.1
OG0001496	XP_060365367.1, XP_060361537.1	XP_031880155.1
OG0001497	XP_060362234.1	XP_031880089.2
OG0001498	XP_060362237.1	XP_066008630.1, XP_066008428.1
OG0001499	XP_060362253.1	XP_031888457.1
OG0001500	XP_060362264.1	XP_031880131.2
OG0001501	XP_060357351.1	XP_031890777.2
OG0001502	XP_060357986.1	XP_031893105.2
OG0001503	XP_060358689.1	XP_031888046.1
OG0001505	XP_060370068.1	XP_031887954.1
OG0001506	XP_060370101.1	XP_031887922.1
OG0001507	XP_060370124.1	XP_031887853.1
OG0001509	XP_060370151.1	XP_066008175.1
OG0001510	XP_060370170.1	XP_031887803.1
OG0001511	XP_060370184.1	XP_031887941.2
OG0001512	XP_060370185.1	XP_031888055.1
OG0001513	XP_060370186.1	XP_031888056.1
OG0001514	XP_060370187.1	XP_031888057.1
OG0001515	XP_060357457.1	XP_031878706.2
OG0001516	XP_060357807.1	XP_031878700.1
OG0001517	XP_060358925.1	XP_066009030.1
OG0001518	XP_060358940.1	XP_031879041.1
OG0001519	XP_060357728.1	XP_031879088.1
OG0001520	XP_060357725.1	XP_031884526.1
OG0001521	XP_060363035.1	XP_031883629.1, XP_066008570.1
OG0001522	XP_060363044.1	XP_031890191.1
OG0001523	XP_060366099.1	XP_031885739.1
OG0001524	XP_060357066.1, XP_060357067.1	XP_031881761.1
OG0001525	XP_060360594.1	XP_031885719.1
OG0001526	XP_060360598.1	XP_031881750.1
OG0001527	XP_060360599.1	XP_031881751.1
OG0001528	XP_060360602.1	XP_031881759.1
OG0001529	XP_060360607.1, XP_060359203.1	XP_031881875.1
OG0001530	XP_060360611.1	XP_031890818.1, XP_031885723.1
OG0001531	XP_060360637.1	XP_031881770.1
OG0001532	XP_060358445.1	XP_031881858.1
OG0001533	XP_060364580.1	XP_031881795.1
OG0001534	XP_060360587.1	XP_031892871.1
OG0001535	XP_060360590.1	XP_031882999.1
OG0001538	XP_060363588.1	XP_031876585.1
OG0001539	XP_060363560.1	XP_031876575.1
OG0001540	XP_060358528.1	XP_031893386.1
OG0001541	XP_060368198.1, XP_060358530.1	XP_031892939.1
OG0001542	XP_060361856.1	XP_031889014.1
OG0001543	XP_060365215.1	XP_066009210.1
OG0001544	XP_060370392.1	XP_031891245.1
OG0001545	XP_060358214.1	XP_031877331.1
OG0001546	XP_060361004.1	XP_031876820.2, XP_031891763.2
OG0001547	XP_060361014.1	XP_031893249.1
OG0001548	XP_060361026.1	XP_031892942.1
OG0001549	XP_060358415.1	XP_031877102.1
OG0001550	XP_060358414.1	XP_066008075.1, XP_066007830.1
OG0001551	XP_060357206.1	XP_031892702.1
OG0001552	XP_060364526.1	XP_031881730.1
OG0001553	XP_060368202.1	XP_066008511.1
OG0001554	XP_060368193.1	XP_066008376.1
OG0001555	XP_060368173.1	XP_066008426.1
OG0001556	XP_060371921.1	XP_031890432.1
OG0001557	XP_060371893.1	XP_031890628.1
OG0001559	XP_060371858.1	XP_031892372.1, XP_031886715.1
OG0001560	XP_060371785.1	XP_031890212.1
OG0001561	XP_060371727.1	XP_031889059.1
OG0001562	XP_060371719.1	XP_031890203.1
OG0001563	XP_060357482.1	XP_031888777.1
OG0001564	XP_060357480.1	XP_031879330.1
OG0001565	XP_060359239.1	XP_031879327.1
OG0001566	XP_060358461.1	XP_031879292.1
OG0001567	XP_060358984.1	XP_031892273.1
OG0001568	XP_060357629.1	XP_031877359.1
OG0001569	XP_060367703.1	XP_031875602.2
OG0001570	XP_060367678.1, XP_060359337.1	XP_031891605.1
OG0001571	XP_060370272.1	XP_031881362.2, XP_031886986.1
OG0001572	XP_060370280.1	XP_031886950.1
OG0001573	XP_060370330.1	XP_031887126.1
OG0001574	XP_060360183.1	XP_066008822.1
OG0001575	XP_060360194.1	XP_031892043.1
OG0001576	XP_060361623.1	XP_031876274.1
OG0001578	XP_060358079.1	XP_031877273.1
OG0001579	XP_060365260.1	XP_031893127.1, XP_031893126.1
OG0001580	XP_060365180.1	XP_031893152.1
OG0001581	XP_060358005.1	XP_031893218.1
OG0001582	XP_060358001.1	XP_031893574.1
OG0001583	XP_060362671.1	XP_031893579.1
OG0001584	XP_060362680.1	XP_031893223.1
OG0001585	XP_060362691.1	XP_031889651.1
OG0001586	XP_060362704.1	XP_031884079.1
OG0001587	XP_060362719.1	XP_031893076.1
OG0001591	XP_060364138.1, XP_060358103.1	XP_031893546.2
OG0001592	XP_060363936.1	XP_031893022.1
OG0001593	XP_060363933.1	XP_066009185.1
OG0001595	XP_060360368.1	XP_031893421.1
OG0001598	XP_060365321.1, XP_060365322.1	XP_031883374.2
OG0001599	XP_060360119.1	XP_031890785.1
OG0001601	XP_060368444.1	XP_031891037.1
OG0001602	XP_060368452.1	XP_031891043.1
OG0001603	XP_060358127.1	XP_031876376.1
OG0001604	XP_060367539.1	XP_031876397.2, XP_031875510.1
OG0001605	XP_060367535.1	XP_031888467.1
OG0001606	XP_060363100.1, XP_060367480.1	XP_031876722.1
OG0001607	XP_060368931.1, XP_060368932.1	XP_031885420.1
OG0001608	XP_060361005.1	XP_066008814.1
OG0001608	XP_060368938.1	XP_031892151.2
OG0001609	XP_060358883.1	XP_031889945.1, XP_066007994.1
OG0001610	XP_060358884.1	XP_031890174.1
OG0001611	XP_060357877.1	XP_031890219.1
OG0001612	XP_060357879.1	XP_031890110.1
OG0001613	XP_060358238.1	XP_031891055.1
OG0001615	XP_060362492.1	XP_031884412.1
OG0001616	XP_060358653.1	XP_031884418.1
OG0001617	XP_060367006.1	XP_031886526.1
OG0001618	XP_060369659.1	XP_031885070.1
OG0001619	XP_060369720.1	XP_031885039.1
OG0001620	XP_060361806.1	XP_031889835.1
OG0001621	XP_060358313.1, XP_060367213.1	XP_031887507.1
OG0001622	XP_060357302.1	XP_031889711.1
OG0001623	XP_060359758.1	XP_031889730.1
OG0001624	XP_060359768.1	XP_031889672.1
OG0001625	XP_060359772.1	XP_031889888.1
OG0001626	XP_060357507.1	XP_066008489.1, XP_031891187.2
OG0001627	XP_060357501.1	XP_031887980.1, XP_031891462.1
OG0001628	XP_060357499.1	XP_031892899.1
OG0001629	XP_060366832.1	XP_031889517.1
OG0001630	XP_060366856.1	XP_031889813.1
OG0001631	XP_060366867.1	XP_031889816.1
OG0001632	XP_060366876.1	XP_031881027.1
OG0001633	XP_060366914.1	XP_031889582.1
OG0001634	XP_060359470.1	XP_031888851.1
OG0001635	XP_060357254.1	XP_031893314.1
OG0001636	XP_060359600.1	XP_031879760.1
OG0001637	XP_060359613.1	XP_066009419.1
OG0001638	XP_060359033.1	XP_031879723.1
OG0001639	XP_060360310.1	XP_031879729.1
OG0001640	XP_060360309.1	XP_031879730.1
OG0001641	XP_060360308.1	XP_031879649.1
OG0001642	XP_060360298.1	XP_031892791.1
OG0001643	XP_060360277.1	XP_031888276.1
OG0001644	XP_060363389.1	XP_031879739.1
OG0001645	XP_060363422.1	XP_031875781.1
OG0001646	XP_060366487.1, XP_060359118.1	XP_031879243.1
OG0001647	XP_060359111.1	XP_031879201.1
OG0001648	XP_060362877.1	XP_031879212.1
OG0001649	XP_060362848.1	XP_031879155.1
OG0001650	XP_060360522.1	XP_066007376.1
OG0001651	XP_060360524.1	XP_066009758.1
OG0001652	XP_060360544.1	XP_031875940.1, XP_066007537.1
OG0001653	XP_060358736.1	XP_031878563.1
OG0001654	XP_060358988.1	XP_031877272.1
OG0001655	XP_060359010.1	XP_031880695.1
OG0001656	XP_060364447.1	XP_031885267.1, XP_031876059.1
OG0001657	XP_060364442.1	XP_031879158.1
OG0001658	XP_060364412.1	XP_031876434.1
OG0001659	XP_060364668.1	XP_031890699.1
OG0001661	XP_060362767.1	XP_066009905.1
OG0001662	XP_060362764.1	XP_031876485.1
OG0001663	XP_060362763.1	XP_031890945.1
OG0001664	XP_060362758.1	XP_031876454.1
OG0001665	XP_060357190.1	XP_066009639.1
OG0001666	XP_060368747.1	XP_031876144.1
OG0001667	XP_060368685.1	XP_031885682.1
OG0001668	XP_060368648.1	XP_031885735.2
OG0001669	XP_060368632.1	XP_031885698.1
OG0001671	XP_060368602.1	XP_031885807.1
OG0001672	XP_060368597.1, XP_060368598.1	XP_031885667.1
OG0001673	XP_060366017.1	XP_031885653.2
OG0001675	XP_060361347.1	XP_031889046.1
OG0001676	XP_060361866.1	XP_031888745.1
OG0001677	XP_060361904.1	XP_031882675.1, XP_031888955.1
OG0001678	XP_060361906.1	XP_031888987.1
OG0001679	XP_060364221.1	XP_066008486.1, XP_031888647.1
OG0001680	XP_060364196.1	XP_031885162.1
OG0001681	XP_060359465.1	XP_031888653.1
OG0001682	XP_060359489.1	XP_031892633.2, XP_031893182.1
OG0001683	XP_060359492.1	XP_031889020.2, XP_031889022.2
OG0001684	XP_060357549.1	XP_031888997.1
OG0001685	XP_060364224.1	XP_031888733.1
OG0001686	XP_060364243.1	XP_031881173.1
OG0001687	XP_060364264.1	XP_066009391.1
OG0001688	XP_060358845.1	XP_066009721.1
OG0001689	XP_060364810.1	XP_031882002.1
OG0001690	XP_060360005.1	XP_031882143.1, XP_031877480.1
OG0001691	XP_060359984.1	XP_031882244.1, XP_066009540.1
OG0001692	XP_060359981.1	XP_031881762.1
OG0001693	XP_060359978.1	XP_031888166.1
OG0001695	XP_060368062.1	XP_031886301.1
OG0001696	XP_060358256.1	XP_031880997.1
OG0001697	XP_060371096.1	XP_031887275.1
OG0001698	XP_060371089.1	XP_031887444.1
OG0001699	XP_060371011.1	XP_031879946.1
OG0001700	XP_060370999.1, XP_060362784.1	XP_066008988.1
OG0001701	XP_060365911.1, XP_060365469.1	XP_031880204.1
OG0001702	XP_060365444.1, XP_060365443.1	XP_031880189.1
OG0001703	XP_060365399.1	XP_031880305.2, XP_031880300.1
OG0001704	XP_060361722.1	XP_066008909.1
OG0001705	XP_060361726.1	XP_031889283.1
OG0001706	XP_060362288.1	XP_031889314.2
OG0001707	XP_060362289.1	XP_031889138.1
OG0001708	XP_060362297.1	XP_031889426.1
OG0001709	XP_060362301.1, XP_060357029.1	XP_031884618.1
OG0001710	XP_060362308.1	XP_031889444.1
OG0001711	XP_060362310.1	XP_031889393.1
OG0001712	XP_060365598.1	XP_031875703.2
OG0001713	XP_060357261.1, XP_060365619.1	XP_031877652.1
OG0001714	XP_060365620.1, XP_060357260.1	XP_031877647.1
OG0001715	XP_060365623.1	XP_031877624.1
OG0001716	XP_060365627.1	XP_031882099.1, XP_031877663.1
OG0001717	XP_060367829.1	XP_031886188.1
OG0001718	XP_060367817.1	XP_031886104.1
OG0001719	XP_060367794.1	XP_031885910.1
OG0001720	XP_060367787.1	XP_066008363.1
OG0001721	XP_060367759.1, XP_060367758.1	XP_031886179.1
OG0001722	XP_060357099.1	XP_031889235.1
OG0001723	XP_060362885.1, XP_060362886.1	XP_031886052.1
OG0001724	XP_060362896.1	XP_031885905.1
OG0001725	XP_060362901.1	XP_031886051.1
OG0001726	XP_060362904.1	XP_066007019.1, XP_031886096.1
OG0001727	XP_060362921.1	XP_031885971.1
OG0001728	XP_060362948.1	XP_031885956.1
OG0001729	XP_060362949.1	XP_031885955.1
OG0001730	XP_060357030.1	XP_031884634.1
OG0001731	XP_060362323.1	XP_031889390.1
OG0001732	XP_060366347.1	XP_031891359.2
OG0001733	XP_060361637.1	XP_031876262.1
OG0001734	XP_060361638.1	XP_031876276.2
OG0001736	XP_060361967.1	XP_031882083.1
OG0001737	XP_060369033.1, XP_060361966.1	XP_031882084.1
OG0001738	XP_060366587.1, XP_060361933.1	XP_031881984.1
OG0001739	XP_060364843.1	XP_066009326.1, XP_031881979.2
OG0001740	XP_060364813.1	XP_031892029.1
OG0001741	XP_060364806.1, XP_060364807.1	XP_066008751.1
OG0001742	XP_060364798.1	XP_031882039.1
OG0001743	XP_060364617.1	XP_031890351.1
OG0001744	XP_060364621.1	XP_031890495.1
OG0001745	XP_060364663.1	XP_031890647.1
OG0001746	XP_060366803.1, XP_060366805.1	XP_066009611.1
OG0001747	XP_060357539.1	XP_031878358.1
OG0001748	XP_060359826.1	XP_031876932.1
OG0001749	XP_060362396.1	XP_031877796.1
OG0001751	XP_060371320.1	XP_031875420.1, XP_066009778.1
OG0001752	XP_060371370.1	XP_031886382.2
OG0001753	XP_060371381.1	XP_031886512.1
OG0001754	XP_060359907.1	XP_031886071.1
OG0001755	XP_060368005.1	XP_031893048.2, XP_031886322.1
