Orthogroup	Colletotrichum_abscissum	Colletotrichum_gloeosporioides
OG0000700	XP_060403597.1	XP_045261799.1
OG0000702	XP_060403659.1	XP_045261037.1, XP_045257120.1
OG0000703	XP_060404991.1	XP_045261964.1
OG0000703	XP_060403673.1	XP_045269454.1
OG0000704	XP_060403946.1	XP_045270461.1, XP_045270485.1
OG0000705	XP_060404078.1	XP_045267779.1, XP_045258356.1
OG0000706	XP_060404578.1	XP_045268372.1
OG0000707	XP_060404607.1	XP_045262510.1, XP_045268339.1
OG0000708	XP_060404679.1	XP_045268279.1
OG0000709	XP_060405183.1	XP_045271162.1
OG0000710	XP_060405197.1	XP_045257188.1, XP_045266622.1, XP_045257187.1
OG0000711	XP_060405350.1	XP_045264260.1
OG0000712	XP_060405352.1	XP_045257100.1, XP_045264694.1
OG0000713	XP_060405554.1	XP_045265166.1
OG0000715	XP_060406550.1	XP_045266857.1
OG0000721	XP_060403922.1, XP_060389556.1	XP_045270761.1
OG0000722	XP_060389586.1	XP_045261995.1, XP_045270783.1
OG0000723	XP_060405617.1	XP_045260300.1
OG0000723	XP_060389888.1	XP_045260299.1
OG0000724	XP_060389938.1	XP_045262493.1
OG0000724	XP_060402693.1, XP_060401160.1	XP_045263098.1
OG0000725	XP_060390016.1, XP_060390015.1	XP_045256300.1, XP_045256320.1
OG0000726	XP_060390038.1	XP_045259663.1, XP_045264661.1
OG0000728	XP_060400519.1, XP_060390155.1, XP_060392744.1	XP_045262009.1
OG0000730	XP_060390379.1, XP_060394567.1	XP_045263923.1
OG0000731	XP_060390434.1	XP_045263019.1, XP_045265804.1
OG0000733	XP_060391320.1, XP_060390624.1	XP_045262672.1
OG0000734	XP_060390648.1	XP_045268165.1
OG0000734	XP_060392832.1	XP_045259648.1
OG0000735	XP_060390744.1	XP_045260565.1, XP_045266522.1
OG0000736	XP_060399876.1	XP_045269524.1
OG0000736	XP_060390921.1	XP_045269872.1
OG0000737	XP_060390940.1	XP_045261507.1, XP_045268060.1, XP_045269912.1
OG0000738	XP_060390951.1	XP_045268869.1, XP_045260651.1
OG0000739	XP_060391014.1	XP_045268478.1, XP_045256896.1
OG0000740	XP_060391070.1, XP_060400696.1	XP_045257048.1
OG0000741	XP_060394101.1	XP_045267605.1
OG0000742	XP_060391293.1	XP_045262958.1
OG0000743	XP_060391299.1, XP_060401331.1	XP_045271030.1
OG0000744	XP_060402593.1, XP_060391308.1	XP_045260349.1
OG0000745	XP_060391333.1	XP_045266995.1, XP_045271033.1
OG0000747	XP_060400623.1, XP_060391538.1	XP_045257740.1
OG0000747	XP_060395984.1	XP_045264939.1
OG0000748	XP_060391557.1	XP_045270078.1, XP_045270175.1
OG0000749	XP_060391594.1, XP_060396906.1	XP_045262252.1
OG0000750	XP_060391652.1	XP_045268090.1
OG0000750	XP_060404282.1	XP_045257127.1
OG0000751	XP_060394865.1, XP_060391779.1	XP_045263808.1
OG0000752	XP_060391913.1, XP_060401574.1	XP_045267538.1
OG0000753	XP_060391949.1	XP_045259485.1, XP_045265209.1
OG0000754	XP_060400641.1	XP_045267687.1
OG0000755	XP_060391990.1	XP_045261107.1
OG0000756	XP_060402531.1, XP_060392052.1	XP_045256845.1
OG0000757	XP_060392185.1	XP_045271306.1
OG0000758	XP_060392397.1	XP_045266899.1, XP_045256579.1
OG0000759	XP_060392536.1	XP_045261308.1, XP_045256342.1
OG0000760	XP_060404932.1, XP_060392667.1	XP_045256430.1
OG0000761	XP_060392753.1	XP_045258941.1, XP_045260511.1
OG0000762	XP_060392775.1	XP_045261920.1
OG0000763	XP_060392783.1	XP_045268538.1, XP_045270853.1
OG0000764	XP_060392945.1	XP_045258742.1, XP_045260512.1
OG0000765	XP_060395765.1	XP_045268982.1
OG0000766	XP_060393147.1, XP_060397187.1, XP_060394337.1	XP_045258271.1
OG0000767	XP_060393297.1	XP_045263035.1
OG0000768	XP_060395861.1	XP_045267212.1
OG0000769	XP_060403852.1	XP_045269267.1
OG0000770	XP_060393646.1	XP_045268996.1
OG0000771	XP_060393650.1	XP_045267651.1, XP_045269031.1
OG0000772	XP_060393838.1	XP_045270960.1
OG0000773	XP_060393920.1	XP_045261353.1, XP_045264177.1
OG0000774	XP_060393922.1	XP_045264167.1
OG0000775	XP_060400344.1, XP_060393929.1	XP_045258072.1
OG0000776	XP_060394000.1, XP_060405289.1	XP_045264838.1
OG0000777	XP_060394022.1	XP_045256281.1
OG0000778	XP_060394026.1	XP_045259921.1, XP_045264868.1
OG0000779	XP_060394027.1	XP_045264867.1
OG0000780	XP_060394031.1	XP_045264865.1, XP_045264861.1
OG0000781	XP_060394038.1	XP_045264887.1
OG0000782	XP_060402679.1, XP_060395803.1, XP_060394037.1	XP_045256190.1
OG0000783	XP_060404494.1, XP_060405412.1, XP_060394111.1	XP_045264926.1
OG0000784	XP_060394160.1	XP_045256207.1, XP_045263450.1
OG0000785	XP_060394188.1, XP_060394189.1	XP_045262873.1
OG0000786	XP_060394353.1	XP_045265848.1
OG0000787	XP_060394466.1	XP_045271347.1, XP_045261012.1
OG0000788	XP_060394474.1	XP_045264208.1, XP_045261017.1
OG0000789	XP_060394647.1	XP_045258094.1
OG0000790	XP_060394766.1	XP_045263298.1, XP_045263258.1
OG0000791	XP_060394824.1, XP_060402595.1	XP_045263844.1
OG0000792	XP_060394847.1	XP_045256138.1
OG0000793	XP_060400813.1, XP_060394866.1	XP_045263809.1
OG0000794	XP_060394882.1	XP_045258252.1, XP_045271069.1
OG0000795	XP_060395001.1, XP_060401504.1	XP_045263335.1
OG0000796	XP_060395037.1, XP_060401721.1	XP_045268911.1
OG0000797	XP_060395048.1	XP_045259218.1
OG0000798	XP_060395178.1	XP_045267008.1, XP_045260376.1
OG0000799	XP_060395305.1, XP_060397899.1	XP_045267446.1
OG0000800	XP_060395331.1	XP_045271334.1, XP_045259007.1
OG0000801	XP_060404158.1, XP_060395352.1	XP_045258409.1
OG0000802	XP_060406371.1	XP_045265424.1
OG0000802	XP_060395375.1	XP_045257717.1
OG0000804	XP_060395648.1, XP_060397197.1	XP_045271356.1
OG0000805	XP_060395671.1	XP_045260719.1, XP_045271338.1
OG0000806	XP_060395672.1	XP_045266404.1, XP_045271337.1
OG0000807	XP_060395784.1	XP_045256502.1
OG0000808	XP_060395802.1, XP_060402446.1	XP_045261933.1
OG0000809	XP_060397132.1, XP_060395822.1	XP_045266418.1
OG0000810	XP_060395827.1, XP_060397766.1	XP_045259867.1
OG0000811	XP_060396255.1	XP_045262296.1, XP_045260733.1
OG0000813	XP_060403359.1, XP_060396319.1	XP_045260684.1
OG0000814	XP_060401483.1, XP_060396321.1	XP_045260686.1
OG0000815	XP_060396484.1	XP_045261932.1, XP_045257949.1
OG0000816	XP_060396486.1	XP_045262198.1
OG0000817	XP_060396815.1	XP_045267063.1, XP_045256800.1
OG0000818	XP_060396844.1	XP_045257568.1
OG0000820	XP_060396955.1	XP_045256118.1, XP_045268001.1
OG0000821	XP_060397119.1	XP_045271342.1, XP_045271341.1
OG0000824	XP_060397511.1	XP_045263642.1
OG0000825	XP_060397516.1	XP_045260570.1
OG0000826	XP_060397668.1	XP_045257442.1
OG0000827	XP_060397677.1	XP_045267016.1, XP_045263527.1
OG0000829	XP_060397813.1	XP_045267344.1
OG0000830	XP_060397864.1, XP_060402983.1	XP_045267423.1
OG0000831	XP_060398246.1	XP_045268571.1, XP_045268570.1
OG0000832	XP_060404064.1, XP_060398361.1	XP_045268479.1
OG0000833	XP_060398494.1, XP_060398495.1	XP_045268380.1
OG0000835	XP_060398604.1	XP_045256134.1, XP_045261611.1
OG0000836	XP_060398659.1	XP_045267612.1, XP_045264981.1
OG0000837	XP_060398710.1	XP_045261695.1, XP_045266069.1
OG0000838	XP_060398784.1	XP_045270970.1
OG0000839	XP_060398823.1	XP_045263217.1, XP_045266448.1
OG0000840	XP_060398887.1	XP_045258816.1, XP_045270879.1
OG0000841	XP_060399333.1, XP_060402921.1, XP_060398908.1	XP_045260293.1
OG0000842	XP_060399053.1	XP_045261246.1, XP_045258445.1
OG0000843	XP_060399079.1, XP_060399080.1	XP_045261284.1
OG0000844	XP_060399094.1	XP_045257643.1, XP_045260994.1
OG0000845	XP_060399102.1	XP_045261321.1
OG0000846	XP_060399114.1	XP_045266895.1
OG0000848	XP_060399132.1	XP_045261378.1
OG0000849	XP_060399279.1	XP_045263015.1
OG0000850	XP_060399339.1, XP_060399342.1	XP_045271058.1, XP_045271057.1
OG0000851	XP_060399350.1	XP_045256894.1
OG0000852	XP_060399363.1	XP_045270201.1, XP_045270202.1
OG0000853	XP_060399416.1	XP_045261173.1, XP_045257988.1
OG0000854	XP_060399453.1	XP_045257915.1
OG0000855	XP_060399585.1	XP_045269198.1
OG0000856	XP_060399586.1	XP_045257611.1, XP_045269197.1
OG0000857	XP_060399748.1	XP_045267110.1
OG0000859	XP_060399826.1	XP_045260031.1
OG0000860	XP_060399836.1	XP_045266478.1, XP_045260023.1
OG0000861	XP_060399964.1	XP_045256589.1, XP_045256588.1, XP_045271377.1
OG0000862	XP_060402452.1, XP_060400046.1	XP_045259788.1
OG0000863	XP_060400163.1	XP_045258274.1, XP_045259550.1, XP_045267482.1
OG0000864	XP_060400564.1	XP_045261139.1
OG0000865	XP_060400601.1	XP_045262933.1
OG0000866	XP_060401090.1	XP_045269719.1, XP_045262323.1
OG0000867	XP_060401448.1	XP_045268823.1
OG0000867	XP_060401096.1	XP_045270942.1
OG0000868	XP_060401238.1	XP_045267232.1
OG0000869	XP_060401293.1	XP_045256453.1
OG0000870	XP_060401339.1	XP_045263745.1, XP_045268670.1
OG0000871	XP_060401384.1	XP_045259309.1, XP_045268720.1
OG0000872	XP_060401403.1	XP_045268753.1
OG0000873	XP_060402156.1	XP_045261989.1
OG0000874	XP_060402229.1, XP_060402906.1	XP_045259033.1
OG0000875	XP_060402261.1	XP_045269513.1
OG0000876	XP_060402314.1	XP_045257562.1, XP_045256126.1
OG0000877	XP_060402345.1	XP_045263194.1, XP_045256318.1
OG0000878	XP_060402627.1, XP_060402638.1	XP_045269774.1
OG0000879	XP_060402743.1	XP_045269438.1, XP_045265068.1
OG0000880	XP_060402911.1	XP_045261940.1, XP_045259028.1
OG0000881	XP_060402927.1	XP_045258965.1
OG0000882	XP_060402940.1	XP_045269780.1, XP_045258976.1
OG0000883	XP_060403131.1	XP_045257521.1, XP_045257319.1
OG0000884	XP_060403161.1	XP_045256763.1
OG0000885	XP_060403284.1	XP_045266184.1
OG0000886	XP_060403369.1	XP_045266120.1
OG0000887	XP_060403434.1	XP_045265981.1
OG0000887	XP_060403711.1	XP_045269287.1
OG0000888	XP_060403464.1	XP_045258539.1, XP_045258079.1
OG0000889	XP_060403524.1	XP_045270011.1, XP_045266014.1
OG0000890	XP_060403547.1	XP_045261156.1, XP_045259285.1
OG0000891	XP_060403648.1	XP_045257123.1, XP_045260413.1
OG0000892	XP_060403791.1, XP_060403790.1	XP_045269364.1
OG0000893	XP_060403865.1	XP_045269275.1, XP_045256996.1
OG0000894	XP_060404358.1	XP_045262024.1, XP_045264844.1
OG0000895	XP_060404379.1	XP_045263400.1
OG0000896	XP_060404579.1	XP_045268375.1, XP_045268373.1, XP_045268374.1
OG0000897	XP_060404677.1, XP_060404678.1	XP_045268280.1
OG0000898	XP_060404890.1	XP_045265109.1
OG0000900	XP_060405182.1	XP_045268628.1, XP_045271160.1
OG0000901	XP_060405212.1	XP_045271140.1
OG0000902	XP_060405229.1	XP_045271120.1
OG0000903	XP_060405309.1	XP_045264634.1, XP_045258150.1
OG0000904	XP_060405325.1	XP_045264666.1
OG0000905	XP_060405568.1	XP_045265184.1, XP_045265185.1
OG0000906	XP_060405868.1	XP_045258916.1
OG0000907	XP_060406399.1	XP_045261205.1, XP_045269710.1
OG0000908	XP_060406400.1	XP_045261204.1, XP_045269709.1
OG0000909	XP_060406519.1	XP_045266879.1
OG0000928	XP_060395898.1, XP_060389466.1	XP_045268744.1
OG0000930	XP_060389626.1	XP_045266485.1, XP_045266669.1
OG0000931	XP_060389628.1	XP_045270804.1
OG0000932	XP_060389879.1	XP_045257655.1
OG0000932	XP_060391976.1	XP_045263235.1
OG0000933	XP_060389887.1	XP_045257665.1
OG0000933	XP_060405616.1	XP_045260301.1
OG0000934	XP_060389988.1	XP_045258964.1
OG0000935	XP_060390150.1	XP_045267290.1, XP_045267291.1
OG0000936	XP_060401432.1, XP_060390189.1	XP_045262521.1
OG0000937	XP_060390220.1	XP_045266898.1
OG0000937	XP_060391405.1	XP_045270097.1
OG0000938	XP_060390314.1	XP_045268903.1, XP_045262990.1
OG0000939	XP_060390383.1	XP_045265775.1
OG0000940	XP_060390637.1, XP_060391938.1	XP_045262663.1
OG0000941	XP_060393003.1, XP_060390955.1	XP_045263173.1
OG0000942	XP_060391015.1	XP_045256895.1
OG0000943	XP_060391180.1	XP_045265741.1
OG0000944	XP_060391214.1	XP_045265080.1
OG0000945	XP_060391227.1	XP_045257427.1
OG0000946	XP_060395501.1, XP_060391314.1	XP_045260345.1
OG0000948	XP_060391363.1	XP_045256298.1
OG0000949	XP_060391407.1	XP_045270104.1
OG0000950	XP_060391413.1	XP_045270109.1
OG0000951	XP_060391531.1	XP_045271115.1
OG0000952	XP_060396401.1	XP_045262108.1
OG0000953	XP_060391660.1	XP_045261254.1, XP_045257745.1
OG0000954	XP_060391690.1	XP_045266474.1, XP_045266475.1, XP_045266473.1
OG0000957	XP_060391800.1, XP_060397384.1	XP_045270837.1
OG0000958	XP_060391909.1	XP_045269664.1, XP_045266381.1
OG0000959	XP_060391978.1	XP_045267597.1
OG0000960	XP_060391985.1	XP_045267591.1
OG0000961	XP_060392088.1	XP_045256816.1
OG0000962	XP_060401919.1	XP_045256948.1
OG0000963	XP_060392137.1	XP_045257205.1, XP_045257202.1
OG0000964	XP_060392156.1	XP_045257189.1
OG0000965	XP_060392186.1	XP_045268646.1, XP_045256968.1
OG0000966	XP_060395307.1, XP_060392228.1	XP_045264771.1
OG0000966	XP_060395308.1	XP_045264770.1
OG0000967	XP_060392288.1	XP_045256120.1
OG0000968	XP_060394191.1, XP_060392386.1, XP_060399949.1	XP_045266182.1
OG0000969	XP_060392402.1	XP_045256583.1
OG0000970	XP_060406484.1, XP_060392411.1	XP_045267006.1
OG0000971	XP_060392421.1	XP_045256597.1
OG0000972	XP_060392424.1, XP_060392425.1	XP_045256595.1
OG0000974	XP_060392530.1	XP_045264171.1
OG0000975	XP_060392699.1	XP_045256513.1
OG0000976	XP_060392761.1	XP_045258937.1
OG0000977	XP_060392785.1	XP_045258921.1
OG0000978	XP_060402734.1, XP_060392813.1	XP_045258875.1
OG0000979	XP_060392822.1	XP_045258838.1
OG0000980	XP_060399573.1, XP_060392944.1	XP_045258745.1
OG0000981	XP_060392959.1	XP_045258728.1
OG0000982	XP_060392982.1	XP_045267753.1, XP_045267871.1
OG0000983	XP_060393063.1	XP_045264516.1
OG0000985	XP_060393112.1	XP_045269655.1, XP_045266607.1
OG0000986	XP_060393179.1	XP_045270703.1
OG0000988	XP_060393283.1	XP_045263123.1
OG0000989	XP_060393389.1	XP_045256652.1, XP_045262162.1
OG0000990	XP_060393432.1	XP_045262137.1
OG0000991	XP_060393456.1, XP_060393457.1	XP_045256859.1
OG0000992	XP_060397462.1	XP_045261526.1
OG0000993	XP_060393610.1, XP_060401861.1	XP_045258339.1
OG0000994	XP_060393685.1	XP_045268767.1, XP_045264412.1
OG0000995	XP_060403205.1	XP_045267550.1
OG0000995	XP_060393752.1	XP_045265940.1
OG0000996	XP_060393867.1	XP_045261916.1
OG0000997	XP_060393876.1	XP_045264233.1
OG0000998	XP_060404391.1, XP_060394025.1	XP_045261061.1
OG0000999	XP_060394057.1, XP_060405306.1	XP_045264952.1
OG0001000	XP_060394066.1	XP_045261706.1
OG0001001	XP_060394878.1	XP_045258254.1
OG0001002	XP_060394143.1	XP_045269407.1, XP_045264882.1
OG0001003	XP_060394343.1	XP_045265839.1
OG0001004	XP_060394395.1	XP_045265876.1
OG0001004	XP_060397268.1	XP_045267141.1
OG0001005	XP_060394425.1	XP_045260930.1, XP_045261735.1
OG0001006	XP_060396049.1, XP_060394495.1	XP_045261031.1
OG0001007	XP_060394564.1	XP_045260938.1
OG0001009	XP_060394687.1	XP_045258132.1
OG0001010	XP_060394768.1	XP_045263256.1, XP_045257574.1
OG0001011	XP_060394932.1	XP_045263729.1
OG0001012	XP_060394991.1	XP_045268971.1
OG0001013	XP_060395015.1	XP_045268939.1
OG0001014	XP_060395042.1	XP_045259213.1
OG0001015	XP_060395047.1	XP_045259219.1, XP_045258305.1
OG0001016	XP_060395054.1	XP_045265780.1
OG0001017	XP_060399006.1, XP_060395113.1	XP_045257354.1
OG0001018	XP_060395160.1	XP_045266920.1
OG0001019	XP_060395167.1, XP_060399291.1	XP_045257106.1
OG0001020	XP_060405865.1, XP_060395219.1	XP_045267048.1
OG0001021	XP_060395229.1	XP_045260633.1, XP_045267120.1
OG0001022	XP_060395286.1	XP_045257626.1
OG0001024	XP_060395409.1	XP_045261450.1
OG0001025	XP_060395539.1	XP_045261849.1
OG0001026	XP_060398957.1	XP_045268629.1
OG0001026	XP_060395663.1	XP_045264942.1
OG0001027	XP_060395703.1	XP_045271292.1, XP_045264181.1
OG0001028	XP_060395738.1	XP_045263470.1
OG0001029	XP_060395812.1	XP_045264165.1
OG0001029	XP_060398902.1	XP_045267193.1
OG0001030	XP_060395848.1	XP_045260143.1
OG0001031	XP_060395904.1	XP_045262887.1
OG0001032	XP_060396076.1	XP_045267417.1
OG0001033	XP_060396087.1	XP_045260072.1
OG0001034	XP_060396133.1	XP_045267068.1, XP_045270188.1
OG0001035	XP_060396134.1	XP_045267067.1, XP_045270189.1
OG0001036	XP_060396146.1	XP_045267132.1, XP_045270264.1, XP_045267131.1
OG0001037	XP_060396168.1	XP_045270268.1
OG0001038	XP_060396253.1	XP_045260736.1
OG0001039	XP_060396860.1	XP_045270137.1, XP_045267336.1
OG0001040	XP_060397126.1	XP_045262982.1, XP_045262983.1, XP_045266412.1
OG0001041	XP_060397218.1, XP_060397222.1, XP_060401111.1	XP_045264729.1
OG0001042	XP_060397372.1	XP_045260001.1
OG0001043	XP_060397389.1	XP_045260451.1, XP_045261506.1
OG0001044	XP_060397394.1	XP_045265485.1
OG0001045	XP_060397468.1	XP_045266624.1
OG0001046	XP_060397483.1	XP_045258131.1
OG0001047	XP_060397757.1	XP_045259875.1, XP_045259874.1
OG0001048	XP_060397782.1	XP_045267318.1
OG0001049	XP_060397939.1	XP_045256709.1
OG0001050	XP_060398000.1	XP_045267179.1
OG0001051	XP_060398044.1	XP_045266684.1
OG0001052	XP_060398073.1	XP_045266701.1, XP_045268016.1
OG0001053	XP_060398133.1	XP_045267599.1, XP_045261166.1, XP_045266747.1
OG0001054	XP_060398270.1	XP_045269007.1, XP_045265778.1
OG0001055	XP_060398532.1, XP_060398533.1	XP_045261545.1
OG0001056	XP_060398588.1	XP_045261592.1
OG0001058	XP_060398709.1	XP_045261694.1, XP_045258475.1
OG0001059	XP_060399705.1, XP_060398795.1	XP_045270972.1
OG0001061	XP_060402986.1, XP_060398952.1	XP_045257771.1
OG0001062	XP_060398953.1	XP_045260617.1
OG0001063	XP_060398963.1	XP_045260159.1
OG0001064	XP_060402987.1	XP_045257772.1
OG0001064	XP_060398985.1	XP_045270825.1
OG0001065	XP_060399401.1	XP_045258000.1
OG0001066	XP_060399249.1	XP_045269539.1, XP_045256725.1
OG0001067	XP_060399258.1	XP_045263028.1
OG0001068	XP_060399321.1	XP_045267889.1
OG0001069	XP_060399394.1, XP_060405037.1	XP_045259062.1
OG0001072	XP_060399589.1	XP_045259228.1, XP_045269181.1
OG0001073	XP_060399634.1	XP_045268184.1, XP_045268034.1
OG0001074	XP_060399676.1	XP_045269160.1
OG0001075	XP_060399679.1	XP_045266199.1, XP_045266200.1, XP_045258525.1
OG0001076	XP_060399683.1	XP_045259195.1, XP_045256992.1
OG0001077	XP_060399777.1	XP_045270145.1
OG0001078	XP_060399872.1	XP_045265996.1
OG0001079	XP_060403184.1, XP_060399886.1	XP_045257139.1
OG0001080	XP_060404038.1, XP_060399930.1	XP_045259961.1
OG0001081	XP_060399940.1	XP_045259968.1
OG0001082	XP_060399941.1	XP_045260507.1, XP_045259936.1, XP_045270139.1, XP_045267099.1, XP_045259935.1
OG0001083	XP_060399984.1	XP_045263148.1
OG0001084	XP_060400061.1	XP_045259786.1, XP_045260509.1
OG0001085	XP_060400406.1	XP_045262094.1
OG0001086	XP_060400414.1	XP_045262089.1, XP_045262292.1
OG0001087	XP_060400505.1	XP_045262020.1
OG0001088	XP_060400600.1	XP_045267792.1
OG0001089	XP_060405953.1, XP_060400669.1	XP_045269856.1
OG0001090	XP_060400681.1	XP_045263154.1
OG0001091	XP_060400684.1	XP_045267631.1
OG0001092	XP_060400685.1, XP_060403163.1	XP_045267628.1
OG0001093	XP_060400728.1, XP_060406357.1	XP_045265455.1
OG0001094	XP_060400937.1	XP_045270368.1
OG0001096	XP_060401094.1	XP_045269786.1
OG0001096	XP_060403724.1	XP_045269301.1
OG0001097	XP_060401215.1	XP_045267209.1
OG0001098	XP_060401247.1	XP_045267201.1
OG0001099	XP_060401532.1	XP_045267570.1
OG0001101	XP_060401763.1	XP_045260814.1
OG0001102	XP_060404924.1	XP_045271185.1
OG0001102	XP_060401831.1	XP_045261520.1
OG0001103	XP_060402179.1	XP_045257650.1, XP_045257899.1
OG0001104	XP_060402192.1	XP_045268591.1
OG0001105	XP_060402245.1	XP_045268915.1
OG0001106	XP_060402258.1	XP_045258474.1, XP_045269522.1
OG0001107	XP_060402294.1	XP_045269475.1
OG0001109	XP_060402731.1	XP_045265086.1
OG0001110	XP_060402793.1	XP_045265033.1, XP_045260274.1
OG0001111	XP_060402825.1	XP_045264384.1
OG0001112	XP_060402885.1	XP_045267138.1, XP_045259005.1
OG0001113	XP_060402947.1	XP_045257802.1, XP_045257801.1
OG0001114	XP_060402948.1	XP_045260592.1, XP_045267064.1
OG0001115	XP_060403036.1	XP_045257737.1
OG0001116	XP_060403058.1	XP_045261494.1
OG0001117	XP_060403159.1	XP_045256761.1
OG0001118	XP_060403262.1	XP_045268659.1, XP_045266217.1
OG0001119	XP_060403277.1, XP_060406517.1	XP_045256669.1
OG0001120	XP_060403384.1	XP_045266139.1
OG0001121	XP_060403431.1	XP_045266042.1
OG0001122	XP_060403433.1	XP_045266040.1, XP_045261059.1
OG0001123	XP_060403440.1	XP_045266038.1
OG0001124	XP_060403492.1	XP_045268078.1, XP_045263172.1
OG0001125	XP_060403526.1	XP_045266017.1
OG0001127	XP_060403639.1	XP_045262467.1, XP_045262465.1, XP_045262466.1
OG0001128	XP_060403761.1	XP_045267298.1, XP_045269424.1
OG0001129	XP_060404085.1	XP_045258359.1
OG0001130	XP_060404271.1	XP_045263307.1
OG0001131	XP_060404398.1	XP_045265481.1
OG0001132	XP_060404447.1	XP_045263492.1
OG0001133	XP_060404458.1	XP_045263486.1
OG0001136	XP_060404729.1	XP_045268224.1
OG0001137	XP_060404901.1	XP_045267929.1
OG0001138	XP_060404917.1	XP_045267300.1, XP_045257704.1
OG0001139	XP_060406190.1, XP_060404976.1	XP_045265533.1
OG0001140	XP_060405036.1	XP_045260273.1, XP_045259060.1
OG0001141	XP_060405060.1	XP_045263383.1
OG0001142	XP_060405104.1	XP_045260227.1
OG0001143	XP_060405127.1	XP_045256157.1
OG0001144	XP_060405261.1	XP_045264608.1
OG0001145	XP_060405353.1	XP_045257103.1, XP_045264693.1
OG0001146	XP_060405484.1	XP_045267935.1
OG0001147	XP_060405971.1	XP_045259928.1, XP_045269843.1
OG0001148	XP_060406051.1	XP_045265639.1
OG0001149	XP_060406276.1	XP_045265464.1, XP_045257668.1
OG0001150	XP_060406293.1	XP_045265342.1
OG0001151	XP_060406315.1	XP_045258299.1, XP_045258167.1
OG0001152	XP_060406455.1	XP_045265986.1, XP_045257372.1
OG0001153	XP_060406589.1	XP_045266831.1
OG0001186	XP_060400540.1, XP_060389384.1, XP_060404519.1	XP_045261529.1
OG0001189	XP_060389425.1	XP_045260963.1
OG0001190	XP_060389454.1	XP_045261066.1
OG0001191	XP_060389455.1	XP_045261065.1
OG0001192	XP_060389467.1	XP_045261056.1, XP_045261376.1, XP_045266044.1
OG0001193	XP_060389492.1	XP_045266363.1
OG0001194	XP_060392395.1, XP_060389515.1	XP_045256569.1
OG0001196	XP_060389611.1	XP_045270798.1
OG0001197	XP_060395247.1, XP_060389624.1	XP_045257579.1
OG0001198	XP_060389657.1	XP_045265006.1, XP_045266286.1
OG0001199	XP_060389699.1	XP_045268941.1
OG0001200	XP_060389703.1	XP_045266319.1
OG0001201	XP_060389706.1	XP_045264998.1, XP_045266322.1
OG0001202	XP_060389774.1	XP_045266332.1
OG0001203	XP_060389777.1	XP_045271200.1, XP_045266335.1
OG0001204	XP_060389788.1	XP_045266329.1
OG0001205	XP_060405469.1, XP_060389793.1	XP_045262379.1
OG0001206	XP_060389878.1	XP_045257654.1
OG0001207	XP_060389927.1	XP_045257667.1
OG0001208	XP_060389989.1	XP_045265971.1, XP_045265970.1
OG0001209	XP_060390092.1	XP_045264316.1
OG0001210	XP_060390094.1	XP_045264318.1
OG0001211	XP_060390154.1, XP_060399884.1	XP_045257916.1
OG0001212	XP_060397213.1, XP_060390157.1, XP_060395806.1	XP_045257252.1
OG0001213	XP_060390191.1	XP_045262518.1, XP_045263319.1
OG0001214	XP_060390226.1, XP_060403324.1	XP_045266610.1
OG0001215	XP_060390228.1, XP_060391895.1	XP_045269643.1
OG0001216	XP_060390374.1, XP_060390377.1	XP_045263925.1
OG0001217	XP_060390378.1	XP_045263924.1
OG0001218	XP_060390418.1	XP_045264651.1, XP_045266360.1
OG0001220	XP_060390457.1	XP_045271212.1
OG0001221	XP_060390532.1, XP_060398840.1	XP_045270953.1
OG0001222	XP_060403091.1, XP_060390534.1	XP_045266929.1
OG0001223	XP_060390598.1	XP_045262694.1
OG0001224	XP_060390734.1	XP_045270734.1
OG0001225	XP_060390758.1	XP_045256810.1, XP_045261548.1
OG0001226	XP_060390823.1, XP_060391034.1	XP_045256217.1
OG0001227	XP_060390870.1	XP_045264537.1
OG0001228	XP_060403609.1, XP_060390894.1	XP_045264565.1
OG0001229	XP_060390937.1	XP_045269915.1
OG0001230	XP_060390949.1, XP_060392322.1	XP_045262750.1
OG0001231	XP_060390965.1	XP_045268658.1, XP_045260645.1
OG0001232	XP_060391003.1	XP_045256288.1
OG0001233	XP_060391046.1	XP_045256227.1
OG0001234	XP_060391061.1	XP_045257042.1
OG0001235	XP_060391171.1	XP_045265735.1
OG0001236	XP_060391189.1	XP_045265748.1
OG0001237	XP_060391205.1	XP_045265760.1
OG0001238	XP_060391209.1	XP_045257437.1
OG0001239	XP_060391228.1	XP_045257429.1
OG0001240	XP_060391272.1, XP_060397232.1	XP_045257875.1
OG0001241	XP_060391289.1	XP_045262959.1
OG0001242	XP_060391316.1	XP_045260332.1
OG0001243	XP_060391343.1	XP_045271042.1
OG0001244	XP_060391364.1	XP_045264499.1
OG0001245	XP_060391390.1	XP_045260935.1
OG0001246	XP_060391427.1, XP_060391420.1	XP_045270126.1
OG0001247	XP_060391429.1	XP_045266144.1, XP_045261097.1
OG0001248	XP_060391453.1	XP_045271065.1
OG0001249	XP_060391479.1	XP_045271099.1
OG0001250	XP_060391487.1	XP_045264410.1
OG0001251	XP_060391488.1	XP_045264409.1
OG0001252	XP_060391491.1	XP_045259376.1
OG0001254	XP_060401363.1, XP_060391501.1	XP_045261309.1
OG0001255	XP_060391510.1	XP_045271187.1, XP_045259358.1
OG0001256	XP_060391532.1	XP_045271114.1
OG0001257	XP_060391559.1	XP_045270083.1
