Orthogroup	Colletotrichum_abscissum	Colletotrichum_godetiae
OG0003322	XP_060392511.1	XP_060437165.1
OG0003323	XP_060392513.1	XP_060437163.1
OG0003324	XP_060392514.1	XP_060437162.1
OG0003325	XP_060392515.1	XP_060437161.1
OG0003326	XP_060392524.1	XP_060437156.1
OG0003327	XP_060392525.1	XP_060437154.1
OG0003328	XP_060392527.1	XP_060437153.1
OG0003329	XP_060392538.1	XP_060437147.1
OG0003330	XP_060392541.1	XP_060437145.1
OG0003331	XP_060392542.1	XP_060437144.1
OG0003332	XP_060392543.1	XP_060437143.1
OG0003333	XP_060392546.1	XP_060437140.1
OG0003334	XP_060392547.1	XP_060437138.1
OG0003335	XP_060392548.1	XP_060437137.1
OG0003336	XP_060392549.1	XP_060437135.1
OG0003337	XP_060392551.1	XP_060437134.1
OG0003338	XP_060392553.1	XP_060437133.1
OG0003339	XP_060392554.1	XP_060437132.1
OG0003340	XP_060392556.1	XP_060437131.1
OG0003341	XP_060392557.1	XP_060437130.1
OG0003342	XP_060392559.1	XP_060437129.1
OG0003343	XP_060392560.1	XP_060437127.1
OG0003344	XP_060392561.1	XP_060437126.1
OG0003345	XP_060392562.1	XP_060437125.1
OG0003346	XP_060392563.1	XP_060437124.1
OG0003347	XP_060392564.1	XP_060437123.1
OG0003348	XP_060392568.1	XP_060437118.1
OG0003349	XP_060392572.1	XP_060437115.1
OG0003350	XP_060392574.1	XP_060437111.1
OG0003351	XP_060392575.1	XP_060437110.1
OG0003352	XP_060392576.1	XP_060437108.1
OG0003353	XP_060392577.1	XP_060437107.1
OG0003354	XP_060392579.1	XP_060437106.1
OG0003355	XP_060392580.1	XP_060437105.1
OG0003356	XP_060392581.1	XP_060437104.1
OG0003357	XP_060392597.1	XP_060437098.1
OG0003358	XP_060392599.1	XP_060437096.1
OG0003359	XP_060392600.1	XP_060437095.1
OG0003360	XP_060392602.1	XP_060437093.1
OG0003361	XP_060392604.1	XP_060437091.1
OG0003362	XP_060392605.1	XP_060437090.1
OG0003363	XP_060392607.1	XP_060437088.1
OG0003364	XP_060392608.1	XP_060437087.1
OG0003365	XP_060392610.1	XP_060437086.1
OG0003366	XP_060392615.1	XP_060437081.1
OG0003367	XP_060392616.1	XP_060437080.1
OG0003368	XP_060392617.1	XP_060437079.1
OG0003369	XP_060392618.1	XP_060437078.1
OG0003370	XP_060392619.1	XP_060437077.1
OG0003371	XP_060392620.1	XP_060437076.1
OG0003372	XP_060392621.1	XP_060437075.1
OG0003373	XP_060392629.1	XP_060437070.1
OG0003374	XP_060392631.1	XP_060437069.1
OG0003375	XP_060392632.1	XP_060437068.1
OG0003376	XP_060392634.1	XP_060437066.1
OG0003377	XP_060392635.1	XP_060437065.1
OG0003378	XP_060392639.1	XP_060437062.1
OG0003379	XP_060392640.1	XP_060437061.1
OG0003380	XP_060392641.1	XP_060437060.1
OG0003381	XP_060392644.1	XP_060437058.1
OG0003382	XP_060392647.1	XP_060437057.1
OG0003383	XP_060392652.1	XP_060437055.1
OG0003384	XP_060392654.1	XP_060437054.1
OG0003385	XP_060392656.1	XP_060437052.1
OG0003386	XP_060392657.1	XP_060437051.1
OG0003387	XP_060392661.1	XP_060437049.1
OG0003388	XP_060392663.1	XP_060437048.1
OG0003389	XP_060392666.1	XP_060437046.1
OG0003390	XP_060392668.1	XP_060437044.1
OG0003391	XP_060392669.1	XP_060437042.1
OG0003392	XP_060392676.1	XP_060437036.1
OG0003393	XP_060392677.1	XP_060437034.1
OG0003394	XP_060392678.1	XP_060437033.1
OG0003395	XP_060392679.1	XP_060437032.1
OG0003396	XP_060392680.1	XP_060437031.1
OG0003397	XP_060392683.1	XP_060437029.1
OG0003398	XP_060392686.1	XP_060437026.1
OG0003399	XP_060392687.1	XP_060437025.1
OG0003400	XP_060392689.1	XP_060437024.1
OG0003401	XP_060392692.1	XP_060437022.1
OG0003402	XP_060392694.1	XP_060437021.1
OG0003403	XP_060392695.1	XP_060437020.1
OG0003404	XP_060392697.1	XP_060437018.1
OG0003405	XP_060392700.1	XP_060437015.1
OG0003406	XP_060392701.1	XP_060437014.1
OG0003407	XP_060392702.1	XP_060437013.1
OG0003408	XP_060392703.1	XP_060437012.1
OG0003409	XP_060392704.1	XP_060437011.1
OG0003410	XP_060392705.1	XP_060437010.1
OG0003411	XP_060392706.1	XP_060437009.1
OG0003412	XP_060392707.1	XP_060437008.1
OG0003413	XP_060392708.1	XP_060437007.1
OG0003414	XP_060392710.1	XP_060437005.1
OG0003415	XP_060392711.1	XP_060437004.1
OG0003416	XP_060392714.1	XP_060437001.1
OG0003417	XP_060392715.1	XP_060437000.1
OG0003418	XP_060392716.1	XP_060436999.1
OG0003419	XP_060392717.1	XP_060436998.1
OG0003420	XP_060392719.1	XP_060436996.1
OG0003421	XP_060392720.1	XP_060436995.1
OG0003422	XP_060392721.1	XP_060436994.1
OG0003423	XP_060392722.1	XP_060436993.1
OG0003424	XP_060392723.1	XP_060436992.1
OG0003425	XP_060392725.1	XP_060436990.1
OG0003426	XP_060392726.1	XP_060436989.1
OG0003427	XP_060392727.1	XP_060436988.1
OG0003428	XP_060392728.1	XP_060436987.1
OG0003429	XP_060392729.1	XP_060436986.1
OG0003430	XP_060392733.1	XP_060436985.1
OG0003431	XP_060392734.1	XP_060436984.1
OG0003432	XP_060392735.1	XP_060436983.1
OG0003433	XP_060392736.1	XP_060436982.1
OG0003434	XP_060392739.1	XP_060436980.1
OG0003435	XP_060392742.1	XP_060436977.1
OG0003436	XP_060392746.1	XP_060436973.1
OG0003437	XP_060396131.1	XP_060422137.1
OG0003437	XP_060392749.1, XP_060399296.1, XP_060404052.1, XP_060393729.1	XP_060425097.1
OG0003438	XP_060392752.1	XP_060425100.1
OG0003439	XP_060392757.1	XP_060425105.1
OG0003440	XP_060392758.1	XP_060425106.1
OG0003441	XP_060392760.1	XP_060425107.1
OG0003442	XP_060392763.1	XP_060425109.1
OG0003442	XP_060392764.1	XP_060425110.1
OG0003443	XP_060392768.1	XP_060425114.1
OG0003444	XP_060392769.1	XP_060425115.1
OG0003445	XP_060392770.1	XP_060425116.1
OG0003446	XP_060392771.1	XP_060425117.1
OG0003447	XP_060392773.1	XP_060425118.1
OG0003448	XP_060392778.1	XP_060425121.1
OG0003449	XP_060392779.1	XP_060425122.1
OG0003450	XP_060392784.1	XP_060425126.1
OG0003451	XP_060392786.1	XP_060425128.1
OG0003452	XP_060392788.1	XP_060425129.1
OG0003453	XP_060392790.1	XP_060425131.1
OG0003454	XP_060392794.1	XP_060425134.1
OG0003455	XP_060392795.1	XP_060425135.1
OG0003456	XP_060392796.1	XP_060425136.1
OG0003457	XP_060392799.1	XP_060425139.1
OG0003458	XP_060392802.1	XP_060425142.1
OG0003459	XP_060392803.1	XP_060425143.1
OG0003460	XP_060392804.1	XP_060425144.1
OG0003461	XP_060392809.1	XP_060425149.1
OG0003462	XP_060392816.1	XP_060422101.1
OG0003463	XP_060392817.1	XP_060422100.1
OG0003464	XP_060392821.1	XP_060422093.1
OG0003465	XP_060392824.1	XP_060428302.1
OG0003466	XP_060392825.1	XP_060428300.1
OG0003467	XP_060392831.1	XP_060428296.1
OG0003468	XP_060392833.1	XP_060428294.1
OG0003469	XP_060392834.1	XP_060428293.1
OG0003470	XP_060392836.1	XP_060428291.1
OG0003471	XP_060392838.1	XP_060428289.1
OG0003472	XP_060392839.1	XP_060428288.1
OG0003473	XP_060392840.1	XP_060428287.1
OG0003474	XP_060392843.1	XP_060428284.1
OG0003475	XP_060392844.1	XP_060428283.1
OG0003476	XP_060392847.1	XP_060428280.1
OG0003477	XP_060392848.1	XP_060428279.1
OG0003478	XP_060392849.1	XP_060428278.1
OG0003479	XP_060392850.1	XP_060428277.1
OG0003480	XP_060392851.1	XP_060421271.1, XP_060428276.1
OG0003481	XP_060392856.1	XP_060424041.1
OG0003482	XP_060392857.1	XP_060424042.1
OG0003483	XP_060392864.1	XP_060424046.1
OG0003484	XP_060392865.1	XP_060424047.1
OG0003485	XP_060392866.1	XP_060424048.1
OG0003486	XP_060392867.1	XP_060424049.1
OG0003487	XP_060392868.1	XP_060424050.1
OG0003488	XP_060392869.1	XP_060424051.1
OG0003489	XP_060392871.1	XP_060424053.1
OG0003490	XP_060392872.1	XP_060433465.1
OG0003491	XP_060392873.1	XP_060433466.1
OG0003492	XP_060392874.1	XP_060433467.1
OG0003493	XP_060392875.1	XP_060433468.1
OG0003494	XP_060392879.1	XP_060433470.1
OG0003495	XP_060392882.1	XP_060433473.1
OG0003496	XP_060392883.1	XP_060433474.1
OG0003497	XP_060392884.1	XP_060433475.1
OG0003498	XP_060392886.1	XP_060433477.1
OG0003499	XP_060392887.1	XP_060433478.1
OG0003500	XP_060392889.1	XP_060433480.1
OG0003501	XP_060392891.1	XP_060433482.1
OG0003502	XP_060392892.1	XP_060433483.1
OG0003503	XP_060392893.1	XP_060433484.1
OG0003504	XP_060392895.1	XP_060433486.1
OG0003505	XP_060392898.1	XP_060433487.1
OG0003506	XP_060392900.1	XP_060433489.1
OG0003507	XP_060392901.1	XP_060433492.1
OG0003508	XP_060392904.1	XP_060433495.1
OG0003509	XP_060392907.1	XP_060433498.1
OG0003510	XP_060392910.1	XP_060433501.1
OG0003511	XP_060392911.1	XP_060433502.1
OG0003512	XP_060392917.1	XP_060433505.1
OG0003513	XP_060392918.1	XP_060433506.1
OG0003514	XP_060392919.1	XP_060433507.1
OG0003515	XP_060392920.1	XP_060433508.1
OG0003516	XP_060392921.1	XP_060433509.1
OG0003517	XP_060392923.1	XP_060433513.1
OG0003518	XP_060392925.1	XP_060433515.1
OG0003519	XP_060392926.1	XP_060433516.1
OG0003520	XP_060392928.1	XP_060433519.1
OG0003521	XP_060392929.1	XP_060433520.1
OG0003522	XP_060392930.1	XP_060433521.1
OG0003523	XP_060392931.1	XP_060433522.1
OG0003524	XP_060392932.1	XP_060433523.1
OG0003525	XP_060392933.1	XP_060433524.1
OG0003526	XP_060392935.1	XP_060433525.1
OG0003527	XP_060392936.1	XP_060433526.1
OG0003528	XP_060392937.1	XP_060433527.1
OG0003529	XP_060392942.1	XP_060433530.1
OG0003530	XP_060392948.1	XP_060433536.1
OG0003531	XP_060392949.1	XP_060433537.1
OG0003532	XP_060392953.1	XP_060433540.1
OG0003533	XP_060392955.1	XP_060433542.1
OG0003534	XP_060392956.1	XP_060433543.1
OG0003535	XP_060392957.1	XP_060433544.1
OG0003536	XP_060392958.1	XP_060433545.1
OG0003537	XP_060392960.1	XP_060433547.1
OG0003538	XP_060392962.1	XP_060433550.1
OG0003539	XP_060392963.1	XP_060433551.1
OG0003540	XP_060392964.1	XP_060433552.1
OG0003541	XP_060392984.1	XP_060431259.1
OG0003542	XP_060392985.1	XP_060431258.1
OG0003543	XP_060392986.1	XP_060431257.1
OG0003544	XP_060392988.1	XP_060431255.1
OG0003545	XP_060392990.1	XP_060431252.1
OG0003546	XP_060392991.1	XP_060431251.1
OG0003547	XP_060392992.1	XP_060431250.1
OG0003548	XP_060392993.1	XP_060431249.1
OG0003549	XP_060392997.1	XP_060431246.1
OG0003550	XP_060392998.1	XP_060431245.1
OG0003551	XP_060392999.1	XP_060431244.1
OG0003552	XP_060393001.1	XP_060431241.1
OG0003553	XP_060393002.1	XP_060431240.1
OG0003554	XP_060393005.1	XP_060431238.1
OG0003555	XP_060393006.1	XP_060431237.1
OG0003556	XP_060393007.1	XP_060431236.1
OG0003557	XP_060393010.1	XP_060431232.1
OG0003558	XP_060393014.1	XP_060431228.1
OG0003559	XP_060393016.1	XP_060431226.1
OG0003560	XP_060393017.1	XP_060431225.1
OG0003561	XP_060393018.1	XP_060431223.1
OG0003562	XP_060393021.1	XP_060431220.1
OG0003563	XP_060393022.1	XP_060431219.1
OG0003564	XP_060393024.1	XP_060431218.1
OG0003565	XP_060393025.1	XP_060431217.1
OG0003566	XP_060393026.1	XP_060431216.1
OG0003567	XP_060393027.1	XP_060431215.1
OG0003568	XP_060393028.1	XP_060431214.1
OG0003569	XP_060393030.1	XP_060431213.1
OG0003570	XP_060393031.1	XP_060431212.1
OG0003572	XP_060393033.1	XP_060431211.1
OG0003573	XP_060393036.1	XP_060431207.1
OG0003574	XP_060393037.1	XP_060431209.1
OG0003575	XP_060393038.1	XP_060431205.1
OG0003576	XP_060393043.1	XP_060431198.1
OG0003577	XP_060393044.1	XP_060431197.1
OG0003578	XP_060393046.1	XP_060431195.1
OG0003579	XP_060393049.1	XP_060436578.1
OG0003580	XP_060393051.1	XP_060436580.1
OG0003581	XP_060393052.1	XP_060436581.1
OG0003582	XP_060393053.1	XP_060436582.1
OG0003583	XP_060393054.1	XP_060436584.1
OG0003584	XP_060393055.1	XP_060436585.1
OG0003585	XP_060393056.1	XP_060436587.1
OG0003586	XP_060393057.1	XP_060436588.1
OG0003587	XP_060393064.1	XP_060436598.1
OG0003588	XP_060393071.1	XP_060436607.1
OG0003589	XP_060393072.1	XP_060436608.1
OG0003590	XP_060393073.1	XP_060436609.1
OG0003591	XP_060393074.1	XP_060436610.1
OG0003592	XP_060393075.1	XP_060436611.1
OG0003593	XP_060393076.1	XP_060436612.1
OG0003594	XP_060393077.1	XP_060436613.1
OG0003595	XP_060393079.1	XP_060436617.1
OG0003596	XP_060393082.1	XP_060436618.1
OG0003597	XP_060393095.1	XP_060436631.1
OG0003598	XP_060393096.1	XP_060436632.1
OG0003599	XP_060393098.1	XP_060436635.1
OG0003600	XP_060393099.1	XP_060436636.1
OG0003601	XP_060393100.1	XP_060436637.1
OG0003602	XP_060393101.1	XP_060436638.1
OG0003603	XP_060393111.1	XP_060436645.1
OG0003604	XP_060393114.1	XP_060436649.1
OG0003605	XP_060393115.1	XP_060436652.1
OG0003606	XP_060393116.1	XP_060436653.1
OG0003607	XP_060393117.1	XP_060436654.1
OG0003608	XP_060393120.1	XP_060436656.1
OG0003609	XP_060393121.1	XP_060436657.1
OG0003610	XP_060393122.1	XP_060436658.1
OG0003611	XP_060393125.1	XP_060436660.1
OG0003612	XP_060393126.1	XP_060436661.1
OG0003613	XP_060393129.1	XP_060436663.1
OG0003614	XP_060393131.1	XP_060436665.1
OG0003615	XP_060393135.1	XP_060436669.1
OG0003616	XP_060393138.1	XP_060436674.1
OG0003617	XP_060393139.1	XP_060436675.1
OG0003618	XP_060393141.1	XP_060436677.1
OG0003619	XP_060393142.1	XP_060436678.1
OG0003620	XP_060393143.1	XP_060436679.1
OG0003621	XP_060393151.1	XP_060435495.1
OG0003622	XP_060393152.1	XP_060435494.1
OG0003623	XP_060393153.1	XP_060435493.1
OG0003624	XP_060393155.1	XP_060435491.1
OG0003625	XP_060393156.1	XP_060435490.1
OG0003626	XP_060393157.1	XP_060435489.1
OG0003627	XP_060393160.1	XP_060435487.1
OG0003628	XP_060393167.1	XP_060435482.1
OG0003629	XP_060393168.1	XP_060435481.1
OG0003630	XP_060393169.1	XP_060435480.1
OG0003631	XP_060393170.1	XP_060435479.1
OG0003632	XP_060393171.1	XP_060435478.1
OG0003633	XP_060393173.1	XP_060435477.1
OG0003634	XP_060393174.1	XP_060435476.1
OG0003635	XP_060393175.1	XP_060435475.1
OG0003636	XP_060393176.1	XP_060435474.1
OG0003637	XP_060393177.1	XP_060435473.1
OG0003638	XP_060393183.1	XP_060435470.1
OG0003639	XP_060393185.1	XP_060435469.1
OG0003640	XP_060393186.1	XP_060435468.1
OG0003641	XP_060393192.1	XP_060435464.1
OG0003642	XP_060393195.1	XP_060435462.1
OG0003643	XP_060393196.1	XP_060435461.1
OG0003644	XP_060393197.1	XP_060435460.1
OG0003645	XP_060393198.1	XP_060435458.1
OG0003646	XP_060393199.1	XP_060435456.1
OG0003647	XP_060393200.1	XP_060435455.1
OG0003648	XP_060393202.1	XP_060435453.1
OG0003649	XP_060393205.1	XP_060435448.1
OG0003650	XP_060393207.1	XP_060435446.1
OG0003651	XP_060393208.1	XP_060435445.1
OG0003652	XP_060393209.1	XP_060435444.1
OG0003653	XP_060393210.1	XP_060435443.1
OG0003654	XP_060393211.1	XP_060435442.1
OG0003655	XP_060393212.1	XP_060435441.1
OG0003656	XP_060393213.1	XP_060435439.1
OG0003657	XP_060393214.1	XP_060435438.1
OG0003658	XP_060393215.1	XP_060435436.1
OG0003659	XP_060393216.1	XP_060435435.1
OG0003660	XP_060393217.1	XP_060435433.1
OG0003661	XP_060393219.1	XP_060435431.1
OG0003662	XP_060393220.1	XP_060435430.1
OG0003663	XP_060393221.1	XP_060435429.1
OG0003664	XP_060393223.1	XP_060435427.1
OG0003665	XP_060393224.1	XP_060435426.1
OG0003666	XP_060393225.1	XP_060435425.1
OG0003667	XP_060393226.1	XP_060435424.1
OG0003668	XP_060393227.1	XP_060435423.1
OG0003669	XP_060393229.1	XP_060435420.1
OG0003670	XP_060393232.1	XP_060435417.1
OG0003671	XP_060393234.1	XP_060435415.1
OG0003672	XP_060393235.1	XP_060435414.1
OG0003673	XP_060393238.1	XP_060435411.1
OG0003674	XP_060393239.1	XP_060435410.1
OG0003675	XP_060393241.1	XP_060435409.1
OG0003676	XP_060393253.1	XP_060422971.1
OG0003677	XP_060393254.1	XP_060422972.1
OG0003678	XP_060393255.1	XP_060422973.1
OG0003679	XP_060393256.1	XP_060422974.1
OG0003680	XP_060393257.1	XP_060422975.1
OG0003681	XP_060393258.1	XP_060422976.1
OG0003682	XP_060393260.1	XP_060422977.1
OG0003683	XP_060393262.1	XP_060422979.1
OG0003684	XP_060393266.1	XP_060422980.1
OG0003685	XP_060393268.1	XP_060422982.1
OG0003686	XP_060393270.1	XP_060422983.1
OG0003687	XP_060393271.1	XP_060422984.1
OG0003688	XP_060393272.1	XP_060422985.1
OG0003689	XP_060393274.1	XP_060422986.1
OG0003690	XP_060393275.1	XP_060422987.1
OG0003691	XP_060393276.1	XP_060422989.1
OG0003692	XP_060393277.1	XP_060422990.1
OG0003693	XP_060393278.1	XP_060422991.1
OG0003694	XP_060393279.1	XP_060422992.1
OG0003695	XP_060393282.1	XP_060422995.1
OG0003696	XP_060393286.1	XP_060425473.1
OG0003697	XP_060393287.1	XP_060425472.1
OG0003698	XP_060399327.1	XP_060428054.1
OG0003698	XP_060393301.1	XP_060425463.1
OG0003699	XP_060393311.1	XP_060425457.1
OG0003700	XP_060393312.1	XP_060425455.1
OG0003701	XP_060393314.1	XP_060425452.1
OG0003702	XP_060393315.1	XP_060425450.1
OG0003703	XP_060393316.1	XP_060425448.1
OG0003704	XP_060393318.1	XP_060425446.1
OG0003705	XP_060393319.1	XP_060425445.1
OG0003706	XP_060393320.1	XP_060425444.1
OG0003707	XP_060393326.1	XP_060425439.1
OG0003708	XP_060393329.1	XP_060425438.1
OG0003709	XP_060393330.1	XP_060425437.1
OG0003710	XP_060393331.1	XP_060425436.1
OG0003711	XP_060393332.1	XP_060425435.1
OG0003712	XP_060393335.1	XP_060425433.1
OG0003713	XP_060393336.1	XP_060425431.1
OG0003714	XP_060393340.1	XP_060425428.1
OG0003715	XP_060393344.1	XP_060425425.1
OG0003716	XP_060393346.1	XP_060425423.1
OG0003717	XP_060393347.1	XP_060425422.1
OG0003718	XP_060393356.1	XP_060431978.1
OG0003719	XP_060393358.1	XP_060431975.1
OG0003720	XP_060393360.1	XP_060431973.1
OG0003721	XP_060393361.1	XP_060431972.1
OG0003722	XP_060393362.1	XP_060431971.1
OG0003723	XP_060393363.1	XP_060431970.1
OG0003724	XP_060393364.1	XP_060431968.1
OG0003725	XP_060393365.1	XP_060431967.1
OG0003726	XP_060393366.1	XP_060431966.1
OG0003727	XP_060393367.1	XP_060431965.1
OG0003728	XP_060393370.1	XP_060431963.1
OG0003729	XP_060393371.1	XP_060431962.1
OG0003730	XP_060393372.1	XP_060431961.1
OG0003731	XP_060393373.1	XP_060431959.1
OG0003732	XP_060393374.1	XP_060431958.1
OG0003733	XP_060393375.1	XP_060431957.1
OG0003734	XP_060393376.1	XP_060431956.1
OG0003735	XP_060393380.1	XP_060431951.1
OG0003736	XP_060393381.1	XP_060431949.1
OG0003737	XP_060393385.1	XP_060431944.1
OG0003738	XP_060393388.1	XP_060431941.1
OG0003739	XP_060393403.1	XP_060431928.1
OG0003740	XP_060393404.1	XP_060431927.1
OG0003741	XP_060393405.1	XP_060431925.1
OG0003742	XP_060393409.1	XP_060431922.1
OG0003743	XP_060393410.1	XP_060431921.1
OG0003744	XP_060393411.1	XP_060431920.1
OG0003745	XP_060393412.1	XP_060431919.1
OG0003746	XP_060393413.1	XP_060431918.1
OG0003747	XP_060393414.1	XP_060431917.1
OG0003748	XP_060393416.1	XP_060431915.1
OG0003749	XP_060393417.1	XP_060431914.1
OG0003750	XP_060393419.1	XP_060431913.1
OG0003751	XP_060393420.1	XP_060431912.1
OG0003752	XP_060393421.1	XP_060431911.1
OG0003753	XP_060393424.1	XP_060431906.1
OG0003754	XP_060393425.1	XP_060431905.1
OG0003755	XP_060393426.1	XP_060431904.1
OG0003756	XP_060393428.1	XP_060431903.1
OG0003757	XP_060393430.1	XP_060431902.1
OG0003758	XP_060393431.1	XP_060431901.1
OG0003759	XP_060393433.1	XP_060431899.1
OG0003760	XP_060393434.1	XP_060431898.1
OG0003761	XP_060393435.1	XP_060431897.1
OG0003762	XP_060393436.1	XP_060431896.1
OG0003763	XP_060393438.1	XP_060431894.1
OG0003764	XP_060393439.1	XP_060431893.1
OG0003765	XP_060393440.1	XP_060431892.1
OG0003766	XP_060393441.1	XP_060431891.1
OG0003767	XP_060393443.1	XP_060431889.1
OG0003768	XP_060393455.1	XP_060429291.1
OG0003769	XP_060393458.1	XP_060429289.1
OG0003770	XP_060393459.1	XP_060429288.1
OG0003771	XP_060393462.1	XP_060429283.1
OG0003772	XP_060393463.1	XP_060429282.1
OG0003773	XP_060393464.1	XP_060429281.1
OG0003774	XP_060393465.1	XP_060429280.1
OG0003775	XP_060393466.1	XP_060429279.1
OG0003776	XP_060393470.1	XP_060429277.1
OG0003777	XP_060393472.1	XP_060429275.1
OG0003778	XP_060393473.1	XP_060429274.1
OG0003779	XP_060393474.1	XP_060429273.1
OG0003780	XP_060393475.1	XP_060429272.1
OG0003781	XP_060393478.1	XP_060429269.1
OG0003782	XP_060393479.1	XP_060429268.1
OG0003783	XP_060393480.1	XP_060429267.1
OG0003784	XP_060393481.1	XP_060429266.1
OG0003785	XP_060393482.1	XP_060429265.1
OG0003786	XP_060393486.1	XP_060429261.1
OG0003787	XP_060393487.1	XP_060429258.1
OG0003788	XP_060393488.1	XP_060429257.1
OG0003789	XP_060393492.1	XP_060429254.1
OG0003790	XP_060393493.1	XP_060429253.1
OG0003791	XP_060393494.1	XP_060429252.1
OG0003792	XP_060393495.1	XP_060429251.1
OG0003793	XP_060393496.1	XP_060429249.1
OG0003794	XP_060393503.1	XP_060429244.1
OG0003795	XP_060393504.1	XP_060429243.1
OG0003796	XP_060393505.1	XP_060429242.1
OG0003797	XP_060393506.1	XP_060429241.1
OG0003798	XP_060393508.1	XP_060429240.1
OG0003799	XP_060393512.1	XP_060429237.1
OG0003800	XP_060393517.1	XP_060429235.1
OG0003801	XP_060393523.1	XP_060429233.1
OG0003802	XP_060393524.1	XP_060429232.1
OG0003803	XP_060393525.1	XP_060429231.1
OG0003805	XP_060393530.1	XP_060429226.1
OG0003806	XP_060393531.1	XP_060429225.1
OG0003807	XP_060393533.1	XP_060429223.1
OG0003808	XP_060393536.1	XP_060429219.1
OG0003809	XP_060393537.1	XP_060429218.1
OG0003810	XP_060393538.1	XP_060429217.1
OG0003811	XP_060393539.1	XP_060429216.1
OG0003812	XP_060393540.1	XP_060429215.1
OG0003813	XP_060393558.1	XP_060423812.1
OG0003814	XP_060393560.1	XP_060423814.1
OG0003815	XP_060393561.1	XP_060423815.1
OG0003816	XP_060393562.1	XP_060423816.1
OG0003817	XP_060393563.1	XP_060423818.1
OG0003818	XP_060393564.1	XP_060423819.1
OG0003819	XP_060393565.1	XP_060423820.1
OG0003820	XP_060393567.1	XP_060423822.1
OG0003821	XP_060393568.1	XP_060423823.1
OG0003822	XP_060393569.1	XP_060423824.1
OG0003823	XP_060393570.1	XP_060423825.1
OG0003824	XP_060393571.1	XP_060423826.1
OG0003825	XP_060393572.1	XP_060423827.1
OG0003826	XP_060393576.1	XP_060423828.1
OG0003827	XP_060393578.1	XP_060423830.1
OG0003828	XP_060393579.1	XP_060423831.1
OG0003829	XP_060393581.1	XP_060423833.1
OG0003830	XP_060393582.1	XP_060423834.1
OG0003831	XP_060393583.1	XP_060423835.1
OG0003832	XP_060393584.1	XP_060423836.1
OG0003833	XP_060393586.1	XP_060423838.1
OG0003834	XP_060393587.1	XP_060423839.1
OG0003835	XP_060393589.1	XP_060423841.1
OG0003836	XP_060393590.1	XP_060423842.1
OG0003837	XP_060393592.1	XP_060423845.1
OG0003838	XP_060393593.1	XP_060423846.1
OG0003839	XP_060398898.1	XP_060425886.1
OG0003840	XP_060393599.1	XP_060423852.1
OG0003841	XP_060393604.1	XP_060423856.1
OG0003842	XP_060393606.1	XP_060423858.1
OG0003843	XP_060393607.1	XP_060423859.1
OG0003844	XP_060393608.1	XP_060423860.1
OG0003845	XP_060393611.1	XP_060423862.1
OG0003846	XP_060393612.1	XP_060423863.1
OG0003847	XP_060393613.1	XP_060423864.1
OG0003848	XP_060393614.1	XP_060423865.1
OG0003849	XP_060393615.1	XP_060423866.1
OG0003850	XP_060393616.1	XP_060423867.1
OG0003851	XP_060393625.1	XP_060423879.1
OG0003852	XP_060393633.1	XP_060421771.1
OG0003853	XP_060393634.1	XP_060421772.1
OG0003854	XP_060393636.1	XP_060421774.1
OG0003855	XP_060393637.1	XP_060421775.1
OG0003856	XP_060393638.1	XP_060421776.1
OG0003857	XP_060393639.1	XP_060421777.1
OG0003858	XP_060393640.1	XP_060421778.1
OG0003859	XP_060393641.1	XP_060421779.1
OG0003860	XP_060393643.1	XP_060421781.1
OG0003861	XP_060393651.1	XP_060421788.1
OG0003862	XP_060393653.1	XP_060421789.1
OG0003863	XP_060393655.1	XP_060421790.1
OG0003864	XP_060393662.1	XP_060427513.1
OG0003865	XP_060393663.1	XP_060427514.1
OG0003866	XP_060393664.1	XP_060427515.1
OG0003867	XP_060393665.1	XP_060427516.1
OG0003868	XP_060393671.1	XP_060427522.1
OG0003869	XP_060393672.1	XP_060427523.1
OG0003870	XP_060393690.1	XP_060421441.1
OG0003871	XP_060393691.1	XP_060421442.1
OG0003872	XP_060393692.1	XP_060421443.1
OG0003873	XP_060393693.1	XP_060421444.1
OG0003874	XP_060393695.1	XP_060421446.1
OG0003875	XP_060393696.1	XP_060421447.1
OG0003876	XP_060393704.1	XP_060433797.1
OG0003877	XP_060393705.1	XP_060433798.1
OG0003878	XP_060393707.1	XP_060433799.1
OG0003879	XP_060393709.1	XP_060433801.1
OG0003880	XP_060393711.1	XP_060433802.1
OG0003881	XP_060393712.1	XP_060433803.1
OG0003882	XP_060393714.1	XP_060433805.1
OG0003883	XP_060393715.1	XP_060433806.1
OG0003884	XP_060393716.1	XP_060433807.1
OG0003885	XP_060393719.1	XP_060433809.1
OG0003886	XP_060393720.1	XP_060433810.1
OG0003887	XP_060393726.1	XP_060433813.1
OG0003888	XP_060393731.1	XP_060433815.1
OG0003889	XP_060393733.1	XP_060433816.1
OG0003890	XP_060393734.1	XP_060433817.1
OG0003891	XP_060393735.1	XP_060433818.1
OG0003892	XP_060393737.1	XP_060433819.1
OG0003893	XP_060393739.1	XP_060433821.1
OG0003894	XP_060393741.1	XP_060433823.1
OG0003895	XP_060393742.1	XP_060433824.1
OG0003896	XP_060393744.1	XP_060433826.1
OG0003897	XP_060393745.1	XP_060433827.1
OG0003898	XP_060393747.1	XP_060433829.1
OG0003899	XP_060393748.1	XP_060433830.1
OG0003900	XP_060393749.1	XP_060433831.1
