Orthogroup	Colletotrichum_abscissum	Colletotrichum_fructicola
OG0001336	XP_060394312.1	XP_031888592.1
OG0001337	XP_060394314.1, XP_060399874.1	XP_031888594.1
OG0001338	XP_060394342.1	XP_031890365.1
OG0001339	XP_060394411.1	XP_031890576.1
OG0001340	XP_060394429.1	XP_066007029.1, XP_031890377.1
OG0001341	XP_060394455.1, XP_060401303.1	XP_031893129.2
OG0001342	XP_060394475.1	XP_031878156.1
OG0001343	XP_060401418.1, XP_060394496.1	XP_066007390.1
OG0001344	XP_060394584.1	XP_031879928.1
OG0001345	XP_060394631.1	XP_031879954.1
OG0001346	XP_060394691.1	XP_031883790.1, XP_031875949.2, XP_031880018.1
OG0001347	XP_060404239.1, XP_060394712.1	XP_031884058.1
OG0001348	XP_060394724.1	XP_031886614.1
OG0001349	XP_060394756.1	XP_031886764.1
OG0001350	XP_060394791.1	XP_066008984.1
OG0001351	XP_060394804.1	XP_031886567.1
OG0001352	XP_060397235.1, XP_060394830.1	XP_066009925.1
OG0001353	XP_060394848.1	XP_031876357.1, XP_031890938.1
OG0001354	XP_060394873.1	XP_031891614.1
OG0001355	XP_060397429.1, XP_060394886.1	XP_031891150.1
OG0001356	XP_060394902.1	XP_031891237.2
OG0001357	XP_060394904.1	XP_066009756.1
OG0001358	XP_060394975.1	XP_031891764.1
OG0001359	XP_060394983.1, XP_060403656.1	XP_031892188.1
OG0001360	XP_060395010.1	XP_031891836.1
OG0001361	XP_060395039.1	XP_031891792.1
OG0001362	XP_060395051.1	XP_031891825.1
OG0001363	XP_060395072.1	XP_066008833.1
OG0001364	XP_060395105.1	XP_031875913.1
OG0001365	XP_060395120.1, XP_060405669.1	XP_031881405.2
OG0001366	XP_060395126.1	XP_031885139.1
OG0001367	XP_060395131.1	XP_066009570.1, XP_066009781.1
OG0001368	XP_060395133.1	XP_031885287.1
OG0001369	XP_060395185.1	XP_031878998.1
OG0001370	XP_060395189.1	XP_031878984.1
OG0001371	XP_060395208.1	XP_031879000.1, XP_031878911.1, XP_031878959.1
OG0001372	XP_060395222.1	XP_031878978.1
OG0001373	XP_060395311.1	XP_031877081.2, XP_031878855.1
OG0001375	XP_060395359.1	XP_031889219.1
OG0001376	XP_060395365.1	XP_031882078.2
OG0001377	XP_060395371.1	XP_031878838.1
OG0001378	XP_060395384.1	XP_031888117.1
OG0001379	XP_060395438.1	XP_031887900.2
OG0001380	XP_060395447.1	XP_031887825.2, XP_031888010.2
OG0001381	XP_060395484.1	XP_031876536.1
OG0001383	XP_060395535.1	XP_031879580.1
OG0001384	XP_060395561.1	XP_031879518.1
OG0001385	XP_060401843.1, XP_060395591.1	XP_031889856.1
OG0001386	XP_060395607.1	XP_031889756.1
OG0001387	XP_060395608.1	XP_031889653.1
OG0001388	XP_060395645.1	XP_031884910.1
OG0001389	XP_060395692.1	XP_031884972.2
OG0001390	XP_060395696.1	XP_031884736.1
OG0001391	XP_060395707.1	XP_031884897.1
OG0001392	XP_060395715.1, XP_060403053.1	XP_031881727.1
OG0001393	XP_060395766.1	XP_031875935.1, XP_031880019.2, XP_066009802.1
OG0001394	XP_060395771.1	XP_031884797.2, XP_066007818.1
OG0001395	XP_060395791.1	XP_031884805.1
OG0001396	XP_060395801.1, XP_060404084.1	XP_066009339.1
OG0001397	XP_060395841.1	XP_066007240.1
OG0001397	XP_060401445.1	XP_031889688.1, XP_031889693.1
OG0001398	XP_060395851.1	XP_031884958.1
OG0001399	XP_060395900.1	XP_031879308.1
OG0001400	XP_060395946.1	XP_031888540.1
OG0001401	XP_060395948.1	XP_031884327.2
OG0001402	XP_060396015.1, XP_060396014.1	XP_031884249.1, XP_031877085.1
OG0001403	XP_060396019.1, XP_060403670.1	XP_031877055.1
OG0001404	XP_060396020.1	XP_031878784.1, XP_031884289.1
OG0001405	XP_060396063.1	XP_031884258.1
OG0001406	XP_060396071.1	XP_031884115.1
OG0001407	XP_060397238.1	XP_031877057.1
OG0001408	XP_060396115.1	XP_031884126.1
OG0001409	XP_060396121.1	XP_031884195.1
OG0001410	XP_060396151.1	XP_031877079.1, XP_031883495.1
OG0001411	XP_060396152.1	XP_031877077.1
OG0001412	XP_060396177.1	XP_031879981.1
OG0001413	XP_060396257.1	XP_066007521.1
OG0001414	XP_060396375.1	XP_031884998.1
OG0001415	XP_060405496.1, XP_060396379.1	XP_031884821.1
OG0001416	XP_060396400.1	XP_031884566.1
OG0001417	XP_060396444.1	XP_031892398.1
OG0001418	XP_060396475.1	XP_031892362.1
OG0001419	XP_060396494.1	XP_066007607.1
OG0001420	XP_060396500.1	XP_066007107.1, XP_066008921.1, XP_031882700.2, XP_066009101.1
OG0001421	XP_060396518.1	XP_031882557.1
OG0001422	XP_060396627.1	XP_031885512.1
OG0001423	XP_060396665.1	XP_066008353.1
OG0001424	XP_060396694.1	XP_066009370.1
OG0001425	XP_060396753.1	XP_031887062.1
OG0001426	XP_060396762.1	XP_031887082.1, XP_066007360.1
OG0001427	XP_060396764.1	XP_066007407.1, XP_031887080.2
OG0001428	XP_060396820.1	XP_031892272.1
OG0001429	XP_060396839.1	XP_031889419.1
OG0001430	XP_060396840.1	XP_031889418.1
OG0001431	XP_060396843.1	XP_031890267.1
OG0001432	XP_060396863.1	XP_031884643.2
OG0001433	XP_060396889.1	XP_031889296.1
OG0001434	XP_060396902.1	XP_031889108.2
OG0001435	XP_060396910.1	XP_031889321.1
OG0001436	XP_060396930.1	XP_031889280.1
OG0001437	XP_060396934.1	XP_031889477.1
OG0001439	XP_060396977.1	XP_031889456.1
OG0001440	XP_060397036.1	XP_031881593.1
OG0001441	XP_060397071.1	XP_031875532.1
OG0001442	XP_060397153.1	XP_031880461.1
OG0001444	XP_060397248.1, XP_060402054.1	XP_031885326.1
OG0001445	XP_060397270.1, XP_060405089.1	XP_031877644.1
OG0001446	XP_060397271.1, XP_060397888.1	XP_031883004.1
OG0001447	XP_060397289.1	XP_031892245.1
OG0001448	XP_060397308.1	XP_031892156.2
OG0001449	XP_060397333.1	XP_031884518.2
OG0001450	XP_060397390.1	XP_031892530.1
OG0001451	XP_060398989.1, XP_060397395.1	XP_031892061.1
OG0001452	XP_060397402.1, XP_060399993.1	XP_066007984.1
OG0001453	XP_060397417.1	XP_031891963.1, XP_031892150.2
OG0001454	XP_060397428.1, XP_060406370.1	XP_031886398.1
OG0001455	XP_060397433.1	XP_031887793.2
OG0001455	XP_060397434.1	XP_066008143.1, XP_031875622.2
OG0001456	XP_060397446.1	XP_031880121.1, XP_031883894.1
OG0001457	XP_060397485.1	XP_031892003.1
OG0001458	XP_060397618.1	XP_031882194.1, XP_031882200.1
OG0001459	XP_060397653.1	XP_031884163.1, XP_031882315.1
OG0001460	XP_060397654.1, XP_060404974.1	XP_031875637.2
OG0001461	XP_060397850.1, XP_060397748.1	XP_031883053.1
OG0001462	XP_060397814.1	XP_031883169.1
OG0001463	XP_060397822.1	XP_066008888.1
OG0001464	XP_060397833.1	XP_066008730.1
OG0001465	XP_060397839.1	XP_031883091.1
OG0001466	XP_060397847.1	XP_031883128.2
OG0001467	XP_060397887.1	XP_031883006.1
OG0001468	XP_060397889.1	XP_031876663.1, XP_031881609.1
OG0001469	XP_060397950.1	XP_031893096.1
OG0001470	XP_060397952.1	XP_031893090.1
OG0001471	XP_060397953.1	XP_066009016.1
OG0001472	XP_060398049.1	XP_031882405.2
OG0001473	XP_060398072.1	XP_031882437.1
OG0001474	XP_060398116.1	XP_031882480.1, XP_031882479.2
OG0001475	XP_060398275.1	XP_066006870.1, XP_031881005.2
OG0001476	XP_060398279.1	XP_031887190.1
OG0001477	XP_060398281.1	XP_031887183.1
OG0001478	XP_060398288.1	XP_031887193.1
OG0001479	XP_060398325.1	XP_031887205.2
OG0001480	XP_060406230.1, XP_060398336.1	XP_031887369.1
OG0001481	XP_060398356.1	XP_066007178.1
OG0001482	XP_060398382.1	XP_031887233.2
OG0001483	XP_060398409.1	XP_031887401.2
OG0001484	XP_060398486.1	XP_031888180.1, XP_031887150.1
OG0001485	XP_060398531.1	XP_031879454.1
OG0001486	XP_060398571.1	XP_031879416.1
OG0001487	XP_060398612.1, XP_060398613.1	XP_031881314.1, XP_066008412.1, XP_031881197.1
OG0001488	XP_060398617.1	XP_031881295.1
OG0001489	XP_060398636.1	XP_031881203.1
OG0001490	XP_060398639.1	XP_031881156.1
OG0001491	XP_060398648.1	XP_031881226.1
OG0001492	XP_060398649.1	XP_031881225.2
OG0001493	XP_060398743.1	XP_031881599.1
OG0001494	XP_060398759.1	XP_031880045.1
OG0001495	XP_060398760.1	XP_031880181.1
OG0001496	XP_060398785.1	XP_031880155.1
OG0001497	XP_060398812.1	XP_031880089.2
OG0001498	XP_060398815.1	XP_066008630.1, XP_066008428.1
OG0001499	XP_060398831.1	XP_031888457.1
OG0001500	XP_060398842.1	XP_031880131.2
OG0001501	XP_060398920.1	XP_031890777.2
OG0001502	XP_060398942.1	XP_031893105.2
OG0001503	XP_060398999.1	XP_031888046.1
OG0001504	XP_060399028.1	XP_066009333.1, XP_031888163.1
OG0001505	XP_060399066.1	XP_031887954.1
OG0001506	XP_060399106.1	XP_031887922.1
OG0001507	XP_060399130.1	XP_031887853.1
OG0001509	XP_060399162.1	XP_066008175.1
OG0001510	XP_060399181.1	XP_031887803.1
OG0001511	XP_060399196.1	XP_031887941.2
OG0001512	XP_060399197.1	XP_031888055.1
OG0001513	XP_060399198.1	XP_031888056.1
OG0001514	XP_060399199.1	XP_031888057.1
OG0001515	XP_060402508.1, XP_060402134.1, XP_060399340.1	XP_031878706.2
OG0001516	XP_060399354.1	XP_031878700.1
OG0001517	XP_060399398.1	XP_066009030.1
OG0001518	XP_060399412.1	XP_031879041.1
OG0001519	XP_060399436.1	XP_031879088.1
OG0001520	XP_060399439.1	XP_031884526.1
OG0001521	XP_060399449.1	XP_031883629.1, XP_066008570.1
OG0001522	XP_060399459.1	XP_031890191.1
OG0001523	XP_060399582.1	XP_031885739.1
OG0001524	XP_060399597.1	XP_031881761.1
OG0001525	XP_060399602.1	XP_031885719.1
OG0001526	XP_060399606.1	XP_031881750.1
OG0001527	XP_060399607.1	XP_031881751.1
OG0001528	XP_060399610.1	XP_031881759.1
OG0001529	XP_060399616.1	XP_031881875.1
OG0001530	XP_060399620.1	XP_031890818.1, XP_031885723.1
OG0001531	XP_060399647.1	XP_031881770.1
OG0001532	XP_060399660.1	XP_031881858.1
OG0001533	XP_060401852.1, XP_060399687.1	XP_031881795.1
OG0001534	XP_060399745.1	XP_031892871.1
OG0001535	XP_060399747.1	XP_031882999.1
OG0001536	XP_060399751.1	XP_031878907.1, XP_031875726.1
OG0001537	XP_060399758.1	XP_031891110.1
OG0001537	XP_060399759.1	XP_031891111.1
OG0001538	XP_060399771.1	XP_031876585.1
OG0001539	XP_060399798.1	XP_031876575.1
OG0001540	XP_060399860.1	XP_031893386.1
OG0001541	XP_060400121.1, XP_060399862.1	XP_031892939.1
OG0001542	XP_060399873.1, XP_060404126.1	XP_031889014.1
OG0001543	XP_060399879.1, XP_060401240.1	XP_066009210.1
OG0001544	XP_060399882.1, XP_060401001.1	XP_031891245.1
OG0001545	XP_060405006.1, XP_060399885.1	XP_031877331.1
OG0001546	XP_060399888.1	XP_031876820.2, XP_031891763.2
OG0001547	XP_060399897.1	XP_031893249.1
OG0001548	XP_060399909.1	XP_031892942.1
OG0001549	XP_060399962.1	XP_031877102.1
OG0001550	XP_060399963.1	XP_066008075.1, XP_066007830.1
OG0001551	XP_060399992.1	XP_031892702.1
OG0001552	XP_060400035.1	XP_031881730.1
OG0001553	XP_060400116.1	XP_066008511.1
OG0001554	XP_060400127.1	XP_066008376.1
OG0001555	XP_060400151.1	XP_066008426.1
OG0001556	XP_060400292.1	XP_031890432.1
OG0001557	XP_060400323.1	XP_031890628.1
OG0001558	XP_060400357.1	XP_066007927.1
OG0001559	XP_060400359.1	XP_031892372.1, XP_031886715.1
OG0001560	XP_060400441.1	XP_031890212.1
OG0001561	XP_060400500.1	XP_031889059.1
OG0001562	XP_060400506.1	XP_031890203.1
OG0001563	XP_060400569.1	XP_031888777.1
OG0001564	XP_060400573.1	XP_031879330.1
OG0001565	XP_060400589.1	XP_031879327.1
OG0001566	XP_060400620.1	XP_031879292.1
OG0001567	XP_060400642.1	XP_031892273.1
OG0001568	XP_060400688.1, XP_060401851.1	XP_031877359.1
OG0001569	XP_060400762.1	XP_031875602.2
OG0001570	XP_060400786.1	XP_031891605.1
OG0001571	XP_060400867.1	XP_031881362.2, XP_031886986.1
OG0001572	XP_060404988.1, XP_060400877.1	XP_031886950.1
OG0001573	XP_060400935.1	XP_031887126.1
OG0001574	XP_060401117.1	XP_066008822.1
OG0001575	XP_060401130.1	XP_031892043.1
OG0001576	XP_060401140.1	XP_031876274.1
OG0001577	XP_060401152.1	XP_031891685.1, XP_031892036.1
OG0001578	XP_060401156.1	XP_031877273.1
OG0001579	XP_060401198.1	XP_031893127.1, XP_031893126.1
OG0001580	XP_060401276.1	XP_031893152.1
OG0001581	XP_060401330.1	XP_031893218.1
OG0001582	XP_060401334.1	XP_031893574.1
OG0001583	XP_060401337.1	XP_031893579.1
OG0001584	XP_060401347.1	XP_031893223.1
OG0001585	XP_060401358.1	XP_031889651.1
OG0001586	XP_060401375.1	XP_031884079.1
OG0001587	XP_060401388.1	XP_031893076.1
OG0001588	XP_060401422.1	XP_031884676.1
OG0001589	XP_060401847.1	XP_031880509.1
OG0001591	XP_060401476.1	XP_031893546.2
OG0001592	XP_060401518.1	XP_031893022.1
OG0001593	XP_060401521.1	XP_066009185.1
OG0001595	XP_060401587.1	XP_031893421.1
OG0001598	XP_060401670.1	XP_031883374.2
OG0001599	XP_060401765.1	XP_031890785.1
OG0001600	XP_060402407.1	XP_031891014.2
OG0001601	XP_060401796.1	XP_031891037.1
OG0001602	XP_060401807.1	XP_031891043.1
OG0001603	XP_060401887.1	XP_031876376.1
OG0001604	XP_060401920.1	XP_031876397.2, XP_031875510.1
OG0001605	XP_060401926.1	XP_031888467.1
OG0001606	XP_060401982.1	XP_031876722.1
OG0001607	XP_060402057.1	XP_031885420.1
OG0001608	XP_060402065.1	XP_031892151.2
OG0001609	XP_060402154.1	XP_031889945.1, XP_066007994.1
OG0001610	XP_060402155.1	XP_031890174.1
OG0001611	XP_060402214.1	XP_031890219.1
OG0001612	XP_060402216.1	XP_031890110.1
OG0001613	XP_060402221.1, XP_060404984.1	XP_031891055.1
OG0001615	XP_060402280.1	XP_031884412.1
OG0001616	XP_060402323.1	XP_031884418.1
OG0001618	XP_060402440.1	XP_031885070.1
OG0001619	XP_060402479.1, XP_060404446.1	XP_031885039.1
OG0001620	XP_060402580.1	XP_031889835.1
OG0001621	XP_060402622.1, XP_060404003.1	XP_031887507.1
OG0001622	XP_060402648.1	XP_031889711.1
OG0001623	XP_060402681.1	XP_031889730.1
OG0001624	XP_060402872.1, XP_060402698.1	XP_031889672.1
OG0001625	XP_060402702.1	XP_031889888.1
OG0001626	XP_060402719.1	XP_066008489.1, XP_031891187.2
OG0001627	XP_060402725.1	XP_031887980.1, XP_031891462.1
OG0001628	XP_060402727.1	XP_031892899.1
OG0001629	XP_060402755.1	XP_031889517.1
OG0001630	XP_060402777.1	XP_031889813.1
OG0001631	XP_060402789.1	XP_031889816.1
OG0001632	XP_060402798.1	XP_031881027.1
OG0001633	XP_060402833.1	XP_031889582.1
OG0001634	XP_060402873.1, XP_060404218.1	XP_031888851.1
OG0001635	XP_060402981.1	XP_031893314.1
OG0001636	XP_060403014.1	XP_031879760.1
OG0001637	XP_060403029.1	XP_066009419.1
OG0001638	XP_060403079.1	XP_031879723.1
OG0001639	XP_060403085.1	XP_031879729.1
OG0001640	XP_060403086.1	XP_031879730.1
OG0001641	XP_060403087.1	XP_031879649.1
OG0001642	XP_060403096.1	XP_031892791.1
OG0001643	XP_060403120.1	XP_031888276.1
OG0001644	XP_060403134.1	XP_031879739.1
OG0001645	XP_060403165.1	XP_031875781.1
OG0001646	XP_060403229.1	XP_031879243.1
OG0001647	XP_060403237.1	XP_031879201.1
OG0001648	XP_060403241.1	XP_031879212.1
OG0001649	XP_060403272.1	XP_031879155.1
OG0001650	XP_060403345.1	XP_066007376.1
OG0001651	XP_060403347.1	XP_066009758.1
OG0001652	XP_060403368.1	XP_031875940.1, XP_066007537.1
OG0001653	XP_060403446.1	XP_031878563.1
OG0001654	XP_060403451.1	XP_031877272.1
OG0001655	XP_060403472.1	XP_031880695.1
OG0001656	XP_060403546.1	XP_031885267.1, XP_031876059.1
OG0001657	XP_060403551.1	XP_031879158.1
OG0001658	XP_060403585.1	XP_031876434.1
OG0001659	XP_060403605.1, XP_060405834.1	XP_031890699.1
OG0001660	XP_060404542.1, XP_060403627.1	XP_066006757.1, XP_066009985.1, XP_066006748.1, XP_066007775.1, XP_066007665.1, XP_066007749.1
OG0001661	XP_060403636.1	XP_066009905.1
OG0001662	XP_060403640.1, XP_060404511.1	XP_031876485.1
OG0001663	XP_060403641.1, XP_060404512.1	XP_031890945.1
OG0001664	XP_060403645.1	XP_031876454.1
OG0001665	XP_060403665.1	XP_066009639.1
OG0001666	XP_060403674.1	XP_031876144.1
OG0001667	XP_060403748.1	XP_031885682.1
OG0001668	XP_060403782.1	XP_031885735.2
OG0001669	XP_060403800.1	XP_031885698.1
OG0001670	XP_060403817.1	XP_031892768.1
OG0001671	XP_060403838.1	XP_031885807.1
OG0001672	XP_060403843.1, XP_060403842.1	XP_031885667.1
OG0001673	XP_060403870.1	XP_031885653.2
OG0001675	XP_060404072.1	XP_031889046.1
OG0001676	XP_060404135.1	XP_031888745.1
OG0001677	XP_060404170.1	XP_031882675.1, XP_031888955.1
OG0001678	XP_060404171.1	XP_031888987.1
OG0001679	XP_060404183.1	XP_066008486.1, XP_031888647.1
OG0001680	XP_060404207.1	XP_031885162.1
OG0001681	XP_060404214.1	XP_031888653.1
OG0001682	XP_060404234.1	XP_031892633.2, XP_031893182.1
OG0001683	XP_060404238.1	XP_031889020.2, XP_031889022.2
OG0001684	XP_060404276.1	XP_031888997.1
OG0001685	XP_060404290.1	XP_031888733.1
OG0001687	XP_060404331.1	XP_066009391.1
OG0001688	XP_060404397.1	XP_066009721.1
OG0001689	XP_060404422.1, XP_060405695.1	XP_031882002.1
OG0001690	XP_060404441.1	XP_031882143.1, XP_031877480.1
OG0001691	XP_060404463.1	XP_031882244.1, XP_066009540.1
OG0001692	XP_060404466.1	XP_031881762.1
OG0001693	XP_060404471.1	XP_031888166.1
OG0001695	XP_060404517.1, XP_060406451.1	XP_031886301.1
OG0001696	XP_060404557.1	XP_031880997.1
OG0001697	XP_060404582.1	XP_031887275.1
OG0001698	XP_060404589.1	XP_031887444.1
OG0001699	XP_060404676.1	XP_031879946.1
OG0001700	XP_060404688.1	XP_066008988.1
OG0001701	XP_060404711.1	XP_031880204.1
OG0001702	XP_060404736.1	XP_031880189.1
OG0001703	XP_060404780.1	XP_031880305.2, XP_031880300.1
OG0001704	XP_060404855.1	XP_066008909.1
OG0001705	XP_060404861.1	XP_031889283.1
OG0001706	XP_060404871.1	XP_031889314.2
OG0001707	XP_060404872.1	XP_031889138.1
OG0001708	XP_060404881.1	XP_031889426.1
OG0001709	XP_060404885.1, XP_060405408.1	XP_031884618.1
OG0001710	XP_060404891.1	XP_031889444.1
OG0001711	XP_060404893.1	XP_031889393.1
OG0001712	XP_060405041.1	XP_031875703.2
OG0001713	XP_060405062.1	XP_031877652.1
OG0001714	XP_060405063.1	XP_031877647.1
OG0001715	XP_060405066.1	XP_031877624.1
OG0001716	XP_060405069.1	XP_031882099.1, XP_031877663.1
OG0001717	XP_060405169.1	XP_031886188.1
OG0001718	XP_060405179.1	XP_031886104.1
OG0001719	XP_060405207.1	XP_031885910.1
OG0001720	XP_060405214.1	XP_066008363.1
OG0001721	XP_060405241.1	XP_031886179.1
OG0001722	XP_060405303.1	XP_031889235.1
OG0001723	XP_060405308.1	XP_031886052.1
OG0001724	XP_060405317.1	XP_031885905.1
OG0001725	XP_060405323.1	XP_031886051.1
OG0001726	XP_060405326.1	XP_066007019.1, XP_031886096.1
OG0001727	XP_060405343.1	XP_031885971.1
OG0001728	XP_060405373.1	XP_031885956.1
OG0001729	XP_060405374.1	XP_031885955.1
OG0001730	XP_060405409.1	XP_031884634.1
OG0001731	XP_060405479.1	XP_031889390.1
OG0001732	XP_060405509.1, XP_060405508.1	XP_031891359.2
OG0001733	XP_060405511.1	XP_031876262.1
OG0001734	XP_060405513.1	XP_031876276.2
OG0001735	XP_060405516.1	XP_031882710.1
OG0001736	XP_060405564.1	XP_031882083.1
OG0001737	XP_060405565.1	XP_031882084.1
OG0001738	XP_060405599.1	XP_031881984.1
OG0001739	XP_060405661.1	XP_066009326.1, XP_031881979.2
OG0001740	XP_060405691.1	XP_031892029.1
OG0001741	XP_060405699.1	XP_066008751.1
OG0001742	XP_060405707.1	XP_031882039.1
OG0001743	XP_060405776.1	XP_031890351.1
OG0001744	XP_060405781.1	XP_031890495.1
OG0001745	XP_060405828.1	XP_031890647.1
OG0001746	XP_060405870.1	XP_066009611.1
OG0001747	XP_060405937.1	XP_031878358.1
OG0001748	XP_060405959.1	XP_031876932.1
OG0001749	XP_060406025.1	XP_031877796.1
OG0001751	XP_060406159.1	XP_031875420.1, XP_066009778.1
OG0001752	XP_060406217.1	XP_031886382.2
OG0001753	XP_060406234.1	XP_031886512.1
OG0001754	XP_060406340.1	XP_031886071.1
OG0001755	XP_060406391.1	XP_031893048.2, XP_031886322.1
OG0001756	XP_060406487.1	XP_031878995.1
OG0001757	XP_060406518.1	XP_031878795.1
OG0001758	XP_060406525.1	XP_031885007.1
OG0001759	XP_060406556.1	XP_031885223.1
OG0001787	XP_060389448.1, XP_060395840.1	XP_031884844.1
OG0001788	XP_060389459.1	XP_031876435.1
OG0001789	XP_060389460.1	XP_031876412.1
OG0001790	XP_060389461.1	XP_031876082.1
OG0001791	XP_060389462.1	XP_031876074.1
OG0001792	XP_060389464.1	XP_031876067.1
OG0001793	XP_060389468.1	XP_031876664.1
OG0001794	XP_060389470.1	XP_031889032.1
OG0001795	XP_060389473.1, XP_060394216.1	XP_031888581.1
OG0001796	XP_060389475.1, XP_060394861.1	XP_031891349.1
OG0001797	XP_060389477.1, XP_060399407.1	XP_031889733.1
OG0001798	XP_060404501.1, XP_060403207.1, XP_060396194.1, XP_060389487.1	XP_031875285.1, XP_031875270.1, XP_066007134.1, XP_031877588.2
OG0001799	XP_060389491.1	XP_066008290.1
OG0001800	XP_060389495.1	XP_031892366.1
OG0001801	XP_060389496.1	XP_031892367.1
OG0001802	XP_060389497.1	XP_031892368.2
OG0001803	XP_060389498.1	XP_031892395.1
OG0001804	XP_060389499.1	XP_031892396.1
OG0001805	XP_060389501.1	XP_031892397.1
OG0001806	XP_060389506.1	XP_031892814.1
OG0001807	XP_060389507.1	XP_031892341.2
OG0001808	XP_060389513.1	XP_031892846.1
OG0001809	XP_060389514.1	XP_031892766.1
OG0001810	XP_060389517.1	XP_031886197.1
OG0001811	XP_060389520.1	XP_066008414.1
OG0001812	XP_060389521.1	XP_031875839.1
OG0001813	XP_060389522.1	XP_031875820.1
OG0001814	XP_060389525.1	XP_031875845.1
OG0001815	XP_060389526.1	XP_031875825.2
OG0001816	XP_060389527.1	XP_031875826.1
OG0001817	XP_060389528.1	XP_031875824.1
OG0001818	XP_060389529.1	XP_031875843.1
OG0001819	XP_060389530.1	XP_031875828.1
OG0001820	XP_060389531.1	XP_031875832.1
OG0001821	XP_060389532.1	XP_031875829.1
OG0001822	XP_060389534.1	XP_031875836.1
OG0001823	XP_060389535.1	XP_031880550.1
OG0001824	XP_060389536.1	XP_031880549.1
OG0001825	XP_060389538.1	XP_031880589.1
OG0001826	XP_060389540.1	XP_031880588.1
OG0001827	XP_060389541.1	XP_031880546.1
OG0001828	XP_060389542.1	XP_031880491.1
OG0001829	XP_060389543.1	XP_031887688.2
OG0001830	XP_060389547.1	XP_031887685.2
OG0001831	XP_060389549.1	XP_031887687.1
OG0001832	XP_060389550.1, XP_060403495.1	XP_031880864.1
OG0001833	XP_060389551.1	XP_031887454.1
OG0001834	XP_060389552.1	XP_031887511.1
OG0001835	XP_060389554.1	XP_066009318.1
OG0001836	XP_060389555.1	XP_031887513.1
OG0001837	XP_060389558.1	XP_031887517.1
OG0001838	XP_060389559.1	XP_031887516.1
OG0001839	XP_060389561.1	XP_031887745.1
OG0001840	XP_060389562.1	XP_031887746.1
OG0001841	XP_060389564.1	XP_031887744.1
OG0001842	XP_060389565.1	XP_031887487.2
OG0001843	XP_060389569.1	XP_031887472.1
OG0001844	XP_060389570.1	XP_031887741.1
OG0001845	XP_060389575.1	XP_031887579.1
OG0001846	XP_060389581.1	XP_066009303.1
OG0001847	XP_060389582.1	XP_031887572.1
OG0001848	XP_060389583.1	XP_031887571.1
OG0001849	XP_060389584.1	XP_031887574.1
OG0001850	XP_060389588.1	XP_031887751.1
OG0001851	XP_060389592.1	XP_031887752.1
OG0001852	XP_060389593.1	XP_031887753.1
OG0001853	XP_060389595.1	XP_031887557.1
OG0001854	XP_060389596.1	XP_031887754.1
OG0001855	XP_060389597.1	XP_031887755.1
OG0001856	XP_060389603.1	XP_031887757.1
OG0001857	XP_060389604.1	XP_031887588.1
OG0001858	XP_060389606.1	XP_031891296.1
OG0001859	XP_060389608.1	XP_031887592.1
OG0001860	XP_060389612.1	XP_031887594.1
OG0001861	XP_060389613.1	XP_031887595.1
OG0001862	XP_060389615.1	XP_031887587.1
OG0001863	XP_060389617.1	XP_031887590.2, XP_066009491.1
OG0001864	XP_060389619.1	XP_031887705.1
OG0001865	XP_060389629.1	XP_031887708.1
OG0001866	XP_060389630.1	XP_031887713.1
OG0001867	XP_060389631.1	XP_031887691.1
OG0001868	XP_060389633.1	XP_031887694.1
OG0001869	XP_060389634.1	XP_031887693.1
OG0001870	XP_060389635.1	XP_031887560.1
OG0001871	XP_060389636.1	XP_031887561.1
OG0001872	XP_060389637.1	XP_031887562.1
OG0001873	XP_060389644.1	XP_031887558.1
OG0001874	XP_060389647.1	XP_031887452.1
OG0001875	XP_060389649.1	XP_031887735.1
OG0001876	XP_060389655.1	XP_031887740.1
OG0001877	XP_060389658.1	XP_031887738.1
OG0001878	XP_060389660.1	XP_031887732.1
OG0001879	XP_060389662.1	XP_031887555.1
OG0001880	XP_060389663.1	XP_066009476.1
OG0001881	XP_060389664.1	XP_031887553.1
OG0001882	XP_060389665.1	XP_031887554.1
OG0001883	XP_060389666.1	XP_031887549.1
OG0001884	XP_060389667.1	XP_031887552.1
OG0001885	XP_060389668.1	XP_031887547.1
OG0001886	XP_060389669.1	XP_031887548.1
OG0001887	XP_060389670.1	XP_031887545.2
OG0001888	XP_060389675.1	XP_031887712.1
OG0001889	XP_060389676.1	XP_031887711.1
OG0001890	XP_060389677.1	XP_066009328.1
OG0001891	XP_060389678.1	XP_031887692.2
OG0001892	XP_060389679.1	XP_031887611.1
OG0001893	XP_060389681.1	XP_031885113.1, XP_031885148.1
OG0001894	XP_060389688.1	XP_031887607.2
OG0001895	XP_060389689.1	XP_031887612.1
OG0001896	XP_060389691.1	XP_031887476.1
OG0001897	XP_060389693.1	XP_031887729.2
OG0001898	XP_060389694.1	XP_031887730.1
OG0001899	XP_060389695.1	XP_031887725.1
OG0001900	XP_060389698.1	XP_031887728.1
OG0001901	XP_060389700.1	XP_031887672.1
OG0001902	XP_060389702.1	XP_031887670.1
OG0001903	XP_060389704.1	XP_031887668.1
OG0001904	XP_060389705.1	XP_031887669.1
OG0001905	XP_060389707.1	XP_031887667.1
OG0001906	XP_060389708.1	XP_031887665.1
OG0001907	XP_060389709.1	XP_031887779.1
OG0001908	XP_060389710.1	XP_031887778.1
