Orthogroup	Colletotrichum_abscissum	Colletotrichum_truncatum
OG0001265	XP_060391707.1	XP_036589159.1
OG0001267	XP_060391803.1	XP_036584746.1
OG0001268	XP_060391892.1	XP_036581548.1
OG0001269	XP_060391900.1	XP_036581538.1
OG0001270	XP_060391901.1	XP_070060897.1
OG0001272	XP_060391921.1	XP_070060900.1
OG0001273	XP_060391926.1	XP_070060902.1
OG0001274	XP_060391947.1	XP_070060603.1
OG0001275	XP_060391971.1	XP_036587322.1
OG0001276	XP_060391982.1	XP_036576114.1, XP_070060472.1
OG0001277	XP_060392040.1	XP_036576653.1, XP_036577324.1
OG0001277	XP_060393789.1	XP_036576742.1
OG0001278	XP_060392100.1	XP_036587294.1
OG0001279	XP_060392103.1	XP_036576316.1, XP_036587304.1
OG0001280	XP_060392210.1	XP_036580169.2
OG0001281	XP_060392370.1	XP_070061451.1
OG0001282	XP_060392380.1	XP_036578951.1
OG0001283	XP_060392406.1	XP_036588792.1
OG0001284	XP_060392477.1	XP_036588998.1
OG0001285	XP_060392518.1	XP_036588860.1
OG0001286	XP_060392582.1	XP_036579840.1
OG0001287	XP_060392586.1	XP_036575510.1, XP_070061516.1
OG0001288	XP_060392625.1	XP_036588940.1
OG0001290	XP_060392766.1	XP_036578563.1
OG0001291	XP_060392899.1	XP_036586006.1
OG0001292	XP_060397207.1, XP_060392905.1	XP_036586001.1
OG0001293	XP_060392938.1	XP_036585969.1
OG0001294	XP_060392961.1	XP_036581469.1, XP_036585954.2
OG0001295	XP_060392966.1, XP_060392967.1	XP_036581364.1
OG0001296	XP_060392978.1	XP_036575882.1
OG0001296	XP_060392979.1	XP_070061870.1
OG0001297	XP_060392996.1	XP_036575433.1, XP_036575866.1
OG0001298	XP_060393034.1	XP_036580467.1, XP_036576291.1
OG0001299	XP_060400618.1, XP_060393290.1	XP_070060188.1
OG0001300	XP_060397930.1, XP_060393303.1	XP_036582789.1
OG0001302	XP_060393341.1	XP_036577837.1
OG0001303	XP_060393398.1	XP_036583420.2
OG0001304	XP_060393511.1	XP_070062340.1
OG0001305	XP_060393541.1	XP_036589867.1
OG0001306	XP_060393554.1, XP_060397700.1	XP_036584496.1, XP_036584387.1
OG0001307	XP_060393559.1	XP_070062686.1, XP_070062178.1
OG0001308	XP_060393598.1	XP_036579311.1, XP_036577052.1
OG0001309	XP_060393602.1	XP_036577046.1
OG0001310	XP_060393624.1	XP_036581610.1
OG0001311	XP_060393628.1	XP_036577021.2
OG0001312	XP_060393647.1, XP_060402164.1	XP_036583666.2
OG0001313	XP_060403437.1, XP_060393686.1	XP_036577972.1
OG0001314	XP_060393688.1	XP_036577971.1
OG0001315	XP_060393822.1	XP_036579006.1
OG0001316	XP_060393854.1	XP_036576278.1
OG0001317	XP_060393864.1	XP_036587264.1, XP_036575065.1
OG0001318	XP_060393900.1	XP_036582623.1
OG0001319	XP_060397366.1, XP_060393905.1	XP_036582615.1
OG0001320	XP_060393912.1	XP_070060036.1, XP_036582608.1
OG0001321	XP_060393972.1	XP_036582549.1
OG0001322	XP_060393995.1	XP_036582539.1
OG0001323	XP_060394044.1	XP_036587182.1, XP_036582014.1
OG0001324	XP_060394059.1	XP_036585321.2
OG0001325	XP_060394089.1	XP_036582471.1
OG0001326	XP_060394098.1	XP_036581754.1, XP_036578110.1
OG0001327	XP_060394153.1	XP_036581192.2
OG0001328	XP_060394167.1	XP_036580427.1, XP_036582406.1
OG0001330	XP_060394184.1	XP_036585489.2
OG0001331	XP_060394200.1	XP_070061638.1
OG0001332	XP_060394201.1	XP_036585501.2
OG0001333	XP_060394209.1	XP_036585508.1
OG0001334	XP_060394244.1	XP_036588013.2, XP_036585556.1
OG0001335	XP_060394258.1	XP_036585547.1
OG0001336	XP_060394312.1	XP_036585596.1
OG0001337	XP_060394314.1, XP_060399874.1	XP_036585594.1
OG0001338	XP_060394342.1	XP_036587492.1
OG0001339	XP_060394411.1	XP_036577596.2, XP_036587437.1
OG0001340	XP_060394429.1	XP_036587430.1
OG0001341	XP_060394455.1, XP_060401303.1	XP_036581716.1
OG0001342	XP_060394475.1	XP_036586313.2, XP_036585484.1
OG0001343	XP_060401418.1, XP_060394496.1	XP_036586323.1
OG0001344	XP_060394584.1	XP_036584052.1, XP_036580018.1
OG0001345	XP_060394631.1	XP_036576012.1
OG0001349	XP_060394756.1	XP_036584538.1, XP_036584663.1
OG0001351	XP_060394804.1	XP_036586573.1
OG0001352	XP_060397235.1, XP_060394830.1	XP_036583789.1
OG0001354	XP_060394873.1	XP_036578650.1
OG0001355	XP_060397429.1, XP_060394886.1	XP_070060224.1
OG0001356	XP_060394902.1	XP_070060226.1
OG0001357	XP_060394904.1	XP_036578672.1
OG0001358	XP_060394975.1	XP_036582008.1
OG0001359	XP_060394983.1, XP_060403656.1	XP_036576237.1
OG0001360	XP_060395010.1	XP_036578193.1
OG0001361	XP_060395039.1	XP_036575215.1, XP_036576240.1
OG0001362	XP_060395051.1	XP_036576250.1, XP_070060069.1
OG0001363	XP_060395072.1	XP_036576272.2
OG0001364	XP_060395105.1	XP_036586860.1
OG0001366	XP_060395126.1	XP_036586843.1
OG0001367	XP_060395131.1	XP_070059930.1
OG0001368	XP_060395133.1	XP_036586846.1
OG0001369	XP_060395185.1	XP_036583697.1, XP_036586881.1
OG0001370	XP_060395189.1	XP_070060375.1
OG0001372	XP_060395222.1	XP_070060382.1
OG0001373	XP_060395311.1	XP_036575438.1
OG0001375	XP_060395359.1	XP_036589774.1, XP_036582224.1
OG0001376	XP_060395365.1	XP_036582524.1, XP_036579503.1
OG0001377	XP_060395371.1	XP_036579369.1
OG0001378	XP_060395384.1	XP_036580890.1
OG0001379	XP_060395438.1	XP_036580900.1
OG0001380	XP_060395447.1	XP_036580907.1
OG0001381	XP_060395484.1	XP_036576734.1, XP_036575773.2
OG0001382	XP_060395504.1	XP_036576740.2
OG0001383	XP_060395535.1	XP_036576712.1
OG0001384	XP_060395561.1	XP_070059867.1
OG0001385	XP_060401843.1, XP_060395591.1	XP_070060881.1
OG0001386	XP_060395607.1	XP_036581564.1
OG0001387	XP_060395608.1	XP_036581563.1
OG0001388	XP_060395645.1	XP_036575013.1
OG0001389	XP_060395692.1	XP_036579844.1
OG0001390	XP_060395696.1	XP_036579838.1
OG0001391	XP_060395707.1	XP_036579821.1, XP_036575795.2
OG0001392	XP_060395715.1, XP_060403053.1	XP_036582684.1
OG0001394	XP_060395771.1	XP_036579778.1
OG0001395	XP_060395791.1	XP_070061174.1, XP_036574765.1
OG0001396	XP_060395801.1, XP_060404084.1	XP_036577622.1
OG0001398	XP_060395851.1	XP_036579717.1
OG0001399	XP_060395900.1	XP_036583611.1
OG0001400	XP_060395946.1	XP_036585458.1
OG0001401	XP_060395948.1	XP_036585456.1
OG0001402	XP_060396015.1, XP_060396014.1	XP_036577237.1
OG0001403	XP_060403670.1	XP_036583877.1
OG0001404	XP_060396020.1	XP_036583864.1
OG0001405	XP_060396063.1	XP_070061590.1
OG0001406	XP_060396071.1	XP_070061595.1
OG0001407	XP_060397238.1	XP_036583979.1
OG0001408	XP_060396115.1	XP_036583966.1
OG0001409	XP_060396121.1	XP_036584370.1, XP_036577780.1
OG0001410	XP_060396151.1	XP_070061582.1
OG0001411	XP_060396152.1	XP_036584013.1
OG0001412	XP_060396177.1	XP_070060172.1, XP_036584042.1
OG0001413	XP_060396257.1	XP_070060822.1, XP_070060823.1
OG0001414	XP_060396375.1	XP_036583561.1
OG0001415	XP_060405496.1, XP_060396379.1	XP_036583557.1
OG0001416	XP_060396400.1	XP_070060781.1
OG0001417	XP_060396444.1	XP_036583488.2, XP_036583268.2
OG0001418	XP_060396475.1	XP_036583462.1
OG0001419	XP_060396494.1	XP_036583449.2
OG0001420	XP_060396500.1	XP_036584584.1, XP_036576575.1
OG0001421	XP_060396518.1	XP_070062000.1, XP_070059822.1
OG0001422	XP_060396627.1	XP_036585883.1
OG0001423	XP_060396665.1	XP_036585919.2
OG0001424	XP_060396694.1	XP_070062537.1
OG0001425	XP_060396753.1	XP_036583057.1
OG0001426	XP_060396762.1	XP_036583068.1
OG0001427	XP_060396764.1	XP_070062548.1
OG0001428	XP_060396820.1	XP_036576886.1
OG0001429	XP_060396839.1	XP_036589769.1
OG0001430	XP_060396840.1	XP_036589770.1
OG0001431	XP_060396843.1	XP_070061036.1
OG0001432	XP_060396863.1	XP_036575473.1
OG0001433	XP_060396889.1	XP_036589799.2
OG0001434	XP_060396902.1	XP_036589825.1
OG0001435	XP_060396910.1	XP_036574415.1, XP_036589849.1
OG0001436	XP_060396930.1	XP_070062302.1
OG0001437	XP_060396934.1	XP_036589652.1
OG0001438	XP_060396937.1	XP_036589798.1
OG0001439	XP_060396977.1	XP_036589687.2
OG0001440	XP_060397036.1	XP_036578892.1
OG0001441	XP_060397071.1	XP_036581796.1, XP_036578857.1
OG0001442	XP_060397153.1	XP_036589871.1, XP_036589224.1
OG0001444	XP_060397248.1, XP_060402054.1	XP_036583256.1
OG0001445	XP_060397270.1, XP_060405089.1	XP_036582328.1
OG0001446	XP_060397271.1, XP_060397888.1	XP_036577412.1
OG0001447	XP_060397289.1	XP_070062079.1, XP_036580131.1
OG0001448	XP_060397308.1	XP_070061809.1
OG0001449	XP_060397333.1	XP_036586820.1
OG0001450	XP_060397390.1	XP_036575235.1, XP_036581978.1
OG0001451	XP_060398989.1, XP_060397395.1	XP_036578059.1
OG0001452	XP_060397402.1, XP_060399993.1	XP_036588515.2
OG0001454	XP_060397428.1, XP_060406370.1	XP_070060145.1
OG0001455	XP_060397434.1	XP_036584461.1
OG0001457	XP_060397485.1	XP_036576683.1, XP_036578120.1
OG0001458	XP_060397618.1	XP_036575719.1
OG0001459	XP_060397653.1	XP_036575711.1
OG0001461	XP_060397850.1, XP_060397748.1	XP_036576641.1
OG0001462	XP_060397814.1	XP_036587342.1
OG0001463	XP_060397822.1	XP_070060414.1, XP_036581660.1
OG0001464	XP_060397833.1	XP_036577442.1
OG0001465	XP_060397839.1	XP_070060621.1, XP_036577437.1
OG0001466	XP_060397847.1	XP_036577438.1
OG0001467	XP_060397887.1	XP_070060401.1
OG0001468	XP_060397889.1	XP_036579050.1
OG0001469	XP_060397950.1	XP_036582782.1
OG0001470	XP_060397952.1	XP_036582781.1
OG0001471	XP_060397953.1	XP_036582780.1
OG0001472	XP_060398049.1	XP_036584921.1
OG0001473	XP_060398072.1	XP_036584936.1
OG0001474	XP_060398116.1	XP_036584969.1
OG0001475	XP_060398275.1	XP_036577446.1
OG0001476	XP_060398279.1	XP_036579892.2, XP_036585096.1
OG0001477	XP_060398281.1	XP_036585094.2
OG0001478	XP_060398288.1	XP_036587269.1
OG0001479	XP_060398325.1	XP_070060462.1, XP_036585116.1
OG0001480	XP_060406230.1, XP_060398336.1	XP_036585126.1
OG0001481	XP_060398356.1	XP_070059877.1, XP_036585151.2
OG0001482	XP_060398382.1	XP_070062244.1
OG0001483	XP_060398409.1	XP_036589284.1
OG0001484	XP_060398486.1	XP_036589338.1
OG0001485	XP_060398531.1	XP_036586065.1, XP_036586431.2
OG0001486	XP_060398571.1	XP_036586101.1, XP_036576298.1
OG0001487	XP_060398612.1, XP_060398613.1	XP_036587721.1
OG0001488	XP_060398617.1	XP_036574594.2
OG0001489	XP_060398636.1	XP_036576371.1
OG0001490	XP_060398639.1	XP_036589991.2, XP_036576376.1
OG0001491	XP_060398648.1	XP_070062065.1
OG0001492	XP_060398649.1	XP_036576386.1
OG0001493	XP_060398743.1	XP_036585204.1, XP_036580176.1
OG0001494	XP_060398759.1	XP_036588203.1
OG0001495	XP_060398760.1	XP_036588204.1
OG0001496	XP_060398785.1	XP_036588167.1
OG0001497	XP_060398812.1	XP_036588183.1
OG0001499	XP_060398831.1	XP_036580500.2
OG0001500	XP_060398842.1	XP_036587198.1, XP_036588155.1
OG0001501	XP_060398920.1	XP_036578574.2, XP_070060851.1
OG0001502	XP_060398942.1	XP_036582656.2
OG0001503	XP_060398999.1	XP_036586266.1, XP_036574905.1
OG0001504	XP_060399028.1	XP_036575165.1
OG0001505	XP_060399066.1	XP_036580731.2
OG0001506	XP_060399106.1	XP_036583695.1, XP_036580769.1
OG0001507	XP_060399130.1	XP_070061303.1, XP_036580790.1
OG0001508	XP_060399138.1	XP_070061477.1
OG0001509	XP_060399162.1	XP_036589955.1, XP_036580819.1
OG0001510	XP_060399181.1	XP_070062375.1, XP_036580839.1
OG0001511	XP_060399196.1	XP_070061468.1
OG0001512	XP_060399197.1	XP_036580855.1
OG0001513	XP_060399198.1	XP_036580854.1
OG0001514	XP_060399199.1	XP_036580853.1
OG0001516	XP_060399354.1	XP_036577444.1
OG0001517	XP_060399398.1	XP_036586330.1, XP_070059895.1
OG0001518	XP_060399412.1	XP_036578568.1, XP_036581233.1
OG0001519	XP_060399436.1	XP_036581256.1
OG0001520	XP_060399439.1	XP_036581341.1, XP_036574329.1
OG0001521	XP_060399449.1	XP_036580042.1
OG0001522	XP_060399459.1	XP_036581280.1
OG0001523	XP_060399582.1	XP_036587261.1, XP_036575657.1
OG0001524	XP_060399597.1	XP_036574168.1
OG0001525	XP_060399602.1	XP_036584039.1, XP_036575629.1
OG0001526	XP_060399606.1	XP_036574509.1
OG0001527	XP_060399607.1	XP_070061941.1
OG0001528	XP_060399610.1	XP_036574502.1
OG0001529	XP_060399616.1	XP_036581114.1
OG0001530	XP_060399620.1	XP_036575626.1
OG0001531	XP_060399647.1	XP_070062419.1, XP_036574515.1
OG0001533	XP_060401852.1, XP_060399687.1	XP_036574369.1
OG0001534	XP_060399745.1	XP_036586918.1, XP_036576235.1
OG0001535	XP_060399747.1	XP_070060386.1
OG0001537	XP_060399759.1	XP_036587302.1
OG0001539	XP_060399798.1	XP_036580435.1
OG0001540	XP_060399860.1	XP_070060060.1, XP_070060074.1
OG0001542	XP_060399873.1, XP_060404126.1	XP_070062373.1
OG0001543	XP_060399879.1, XP_060401240.1	XP_036575954.1
OG0001544	XP_060399882.1, XP_060401001.1	XP_070062481.1
OG0001545	XP_060405006.1, XP_060399885.1	XP_036582253.1
OG0001546	XP_060399888.1	XP_070061844.1
OG0001547	XP_060399897.1	XP_036580369.1
OG0001548	XP_060399909.1	XP_036588630.1, XP_036580351.1
OG0001549	XP_060399962.1	XP_036580304.1
OG0001550	XP_060399963.1	XP_070061446.1
OG0001551	XP_060399992.1	XP_036582559.1, XP_036581795.1
OG0001552	XP_060400035.1	XP_036584119.2
OG0001553	XP_060400116.1	XP_036584193.1
OG0001554	XP_060400127.1	XP_036584198.2
OG0001555	XP_060400151.1	XP_070061978.1
OG0001556	XP_060400292.1	XP_036587507.1
OG0001557	XP_060400323.1	XP_070062202.1, XP_036587533.2
OG0001558	XP_060400357.1	XP_070061005.1
OG0001559	XP_060400359.1	XP_036587549.1
OG0001560	XP_060400441.1	XP_036587624.2
OG0001561	XP_060400500.1	XP_036577685.1
OG0001562	XP_060400506.1	XP_036587679.2, XP_036582373.1
OG0001563	XP_060400569.1	XP_036581388.1, XP_036578778.1
OG0001564	XP_060400573.1	XP_036577185.1, XP_036583667.1
OG0001565	XP_060400589.1	XP_036583630.1
OG0001566	XP_060400620.1	XP_036583598.1
OG0001568	XP_060400688.1, XP_060401851.1	XP_036581312.1
OG0001569	XP_060400762.1	XP_036583711.1
OG0001570	XP_060400786.1	XP_036583746.1
OG0001571	XP_060400867.1	XP_036578466.1
OG0001572	XP_060404988.1, XP_060400877.1	XP_070062512.1
OG0001573	XP_060400935.1	XP_036578435.2
OG0001574	XP_060401117.1	XP_036580189.1
OG0001576	XP_060401140.1	XP_036580273.1
OG0001577	XP_060401152.1	XP_070061787.1
OG0001578	XP_060401156.1	XP_070060932.1
OG0001579	XP_060401198.1	XP_036575934.1
OG0001580	XP_060401276.1	XP_036575402.1
OG0001581	XP_060401330.1	XP_036578388.1, XP_070060510.1
OG0001582	XP_060401334.1	XP_070060502.1
OG0001583	XP_060401337.1	XP_036574361.1
OG0001584	XP_060401347.1	XP_036574355.1
OG0001585	XP_060401358.1	XP_070060922.1, XP_036575820.1
OG0001586	XP_060401375.1	XP_036583953.1
OG0001587	XP_060401388.1	XP_036575311.1
OG0001588	XP_060401422.1	XP_036578554.2
OG0001590	XP_060401455.1	XP_036582677.1
OG0001590	XP_060406417.1	XP_036583136.1
OG0001591	XP_060401476.1	XP_036582661.1
OG0001592	XP_060401518.1	XP_036575511.1, XP_036582710.1
OG0001593	XP_060401521.1	XP_036582713.2
OG0001595	XP_060401587.1	XP_036582775.1
OG0001596	XP_060401614.1, XP_060402445.1	XP_036581840.1, XP_036587994.1, XP_036580492.2
OG0001597	XP_060401640.1	XP_036586186.1
OG0001598	XP_060401670.1	XP_036586164.1
OG0001599	XP_060401765.1	XP_036587812.1
OG0001600	XP_060401778.1, XP_060402407.1	XP_036587819.1
OG0001601	XP_060401796.1	XP_036587835.2, XP_036587836.1
OG0001602	XP_060401807.1	XP_036587843.1
OG0001603	XP_060401887.1	XP_036587923.1, XP_036581662.1
OG0001604	XP_060401920.1	XP_036581646.1
OG0001605	XP_060401926.1	XP_036575161.1, XP_036581683.1
OG0001606	XP_060401982.1	XP_036583308.2
OG0001607	XP_060402057.1	XP_070060589.1
OG0001609	XP_060402154.1	XP_036574267.1
OG0001610	XP_060402155.1	XP_036586460.1
OG0001611	XP_060402214.1	XP_036587756.1
OG0001612	XP_060402216.1	XP_036587758.1
OG0001613	XP_060402221.1, XP_060404984.1	XP_036583837.1
OG0001614	XP_060402244.1	XP_036587765.1
OG0001615	XP_060402280.1	XP_036577223.1, XP_036574617.1
OG0001616	XP_060402323.1	XP_036575231.1, XP_036574333.1
OG0001618	XP_060402440.1	XP_070060334.1
OG0001619	XP_060402479.1, XP_060404446.1	XP_036586695.1
OG0001620	XP_060402580.1	XP_036581470.2, XP_036588073.1
OG0001622	XP_060402648.1	XP_036575172.1, XP_036581427.1
OG0001623	XP_060402681.1	XP_036581460.1
OG0001624	XP_060402872.1, XP_060402698.1	XP_036574779.1
OG0001625	XP_060402702.1	XP_036574771.1
OG0001626	XP_060402719.1	XP_036588069.1
OG0001627	XP_060402725.1	XP_036577309.1
OG0001628	XP_060402727.1	XP_036588174.1
OG0001629	XP_060402755.1	XP_036588061.1, XP_036575562.1
OG0001630	XP_060402777.1	XP_070060957.1, XP_036576784.1
OG0001631	XP_060402789.1	XP_036578024.1, XP_036579065.1
OG0001632	XP_060402798.1	XP_070060539.1, XP_036579452.1
OG0001633	XP_060402833.1	XP_036577993.1
OG0001634	XP_060402873.1, XP_060404218.1	XP_036581889.1
OG0001635	XP_060402981.1	XP_036580081.1, XP_036580162.1
OG0001636	XP_060403014.1	XP_036582132.1
OG0001637	XP_060403029.1	XP_036582047.1
OG0001638	XP_060403079.1	XP_070060772.1, XP_070061295.1
OG0001639	XP_060403085.1	XP_036574720.1
OG0001640	XP_060403086.1	XP_036574719.1
OG0001641	XP_060403087.1	XP_036574718.1
OG0001642	XP_060403096.1	XP_036574828.1
OG0001643	XP_060403120.1	XP_036575446.1
OG0001644	XP_060403134.1	XP_036575458.1
OG0001645	XP_060403165.1	XP_070059775.1, XP_036579127.1
OG0001646	XP_060403229.1	XP_036574678.1
OG0001647	XP_060403237.1	XP_036589768.2, XP_070060689.1
OG0001648	XP_060403241.1	XP_036582699.1, XP_036576128.1
OG0001649	XP_060403272.1	XP_036576104.1
OG0001650	XP_060403345.1	XP_036577287.1
OG0001652	XP_060403368.1	XP_036577303.1
OG0001654	XP_060403451.1	XP_036586195.1, XP_036586434.1
OG0001655	XP_060403472.1	XP_036577118.1
OG0001656	XP_060403546.1	XP_036586416.1
OG0001657	XP_060403551.1	XP_036577259.1
OG0001658	XP_060403585.1	XP_036586381.1
OG0001659	XP_060403605.1, XP_060405834.1	XP_036585316.2
OG0001661	XP_060403636.1	XP_036587223.2
OG0001662	XP_060403640.1, XP_060404511.1	XP_036587217.1
OG0001663	XP_060403641.1, XP_060404512.1	XP_036587925.1
OG0001664	XP_060403645.1	XP_036587207.1
OG0001665	XP_060403665.1	XP_036587168.1, XP_036582554.1
OG0001666	XP_060403674.1	XP_036574893.1, XP_036587166.1
OG0001667	XP_060403748.1	XP_036587129.2
OG0001668	XP_060403782.1	XP_036587036.1
OG0001669	XP_060403800.1	XP_036587019.2
OG0001670	XP_060403817.1	XP_070061913.1, XP_036586095.1, XP_036586093.2
OG0001673	XP_060403870.1	XP_036584345.2, XP_070062157.1
OG0001675	XP_060404072.1	XP_036577612.1
OG0001676	XP_060404135.1	XP_036577649.2
OG0001677	XP_060404170.1	XP_036577703.1
OG0001678	XP_060404171.1	XP_036581748.1, XP_036577696.1
OG0001679	XP_060404183.1	XP_036581902.1
OG0001680	XP_060404207.1	XP_036586661.1
OG0001681	XP_060404214.1	XP_036581897.1
OG0001682	XP_060404234.1	XP_070060016.1
OG0001683	XP_060404238.1	XP_036581917.1
OG0001684	XP_060404276.1	XP_036581963.1
OG0001685	XP_060404290.1	XP_036581954.1
OG0001687	XP_060404331.1	XP_036581989.1
OG0001688	XP_060404397.1	XP_036578284.1
OG0001689	XP_060404422.1, XP_060405695.1	XP_036579624.1
OG0001690	XP_060404441.1	XP_036582092.1
OG0001691	XP_060404463.1	XP_070062433.1
OG0001692	XP_060404466.1	XP_036574169.2
OG0001693	XP_060404471.1	XP_036584030.2, XP_070060614.1
OG0001695	XP_060404517.1, XP_060406451.1	XP_036578247.1
OG0001696	XP_060404557.1	XP_036581483.1, XP_036579377.1
OG0001697	XP_060404582.1	XP_036584459.1, XP_070062260.1
OG0001698	XP_060404589.1	XP_036580112.1, XP_036589378.1
OG0001699	XP_060404676.1	XP_036584002.1, XP_036577276.1
OG0001700	XP_060404688.1	XP_070062276.1
OG0001701	XP_060404711.1	XP_036589499.1
OG0001703	XP_060404780.1	XP_036589547.1
OG0001704	XP_060404855.1	XP_036589599.1
OG0001705	XP_060404861.1	XP_036589611.1
OG0001706	XP_060404871.1	XP_036581769.1, XP_036589616.1
OG0001707	XP_060404872.1	XP_036574698.1, XP_036577749.1
OG0001708	XP_060404881.1	XP_036575691.1
OG0001709	XP_060404885.1, XP_060405408.1	XP_036578523.1
OG0001710	XP_060404891.1	XP_036589749.1
OG0001711	XP_060404893.1	XP_070062319.1
OG0001712	XP_060405041.1	XP_036576327.1, XP_036587749.1
OG0001713	XP_060405062.1	XP_036582302.1
OG0001714	XP_060405063.1	XP_036582303.1
OG0001715	XP_060405066.1	XP_036582306.1
OG0001716	XP_060405069.1	XP_036582311.1
OG0001717	XP_060405169.1	XP_036581059.1
OG0001718	XP_060405179.1	XP_036581036.1
OG0001719	XP_060405207.1	XP_070060827.1, XP_036581016.2
OG0001720	XP_060405214.1	XP_036581012.2
OG0001721	XP_060405241.1	XP_070061906.1
OG0001722	XP_060405303.1	XP_070061900.1, XP_036574676.1
OG0001723	XP_060405308.1	XP_036580933.1
OG0001724	XP_060405317.1	XP_036580925.1
OG0001725	XP_060405323.1	XP_036576819.1
OG0001726	XP_060405326.1	XP_036576816.1
OG0001727	XP_060405343.1	XP_036576820.1, XP_036576956.1
OG0001728	XP_060405373.1	XP_036576830.1
OG0001729	XP_060405374.1	XP_036586298.1, XP_036576829.1
OG0001730	XP_060405409.1	XP_036575216.1, XP_036578492.1
OG0001731	XP_060405479.1	XP_036589737.1
OG0001732	XP_060405508.1	XP_036578762.2
OG0001733	XP_060405511.1	XP_036580262.1, XP_070060391.1
OG0001734	XP_060405513.1	XP_036587427.1, XP_036580263.1
OG0001735	XP_060405516.1	XP_036581385.1
OG0001735	XP_060405515.1	XP_036576184.1
OG0001736	XP_060405564.1	XP_070061779.1, XP_036575572.1
OG0001737	XP_060405565.1	XP_036579509.1
OG0001738	XP_060405599.1	XP_036579533.1
OG0001739	XP_060405661.1	XP_036579571.2
OG0001740	XP_060405691.1	XP_036574188.1, XP_036574145.2
OG0001741	XP_060405699.1	XP_036579625.1
OG0001742	XP_060405707.1	XP_036579633.1, XP_070060627.1
OG0001743	XP_060405776.1	XP_070061750.1
OG0001744	XP_060405781.1	XP_036585395.1
OG0001745	XP_060405828.1	XP_036574458.2, XP_036585293.1
OG0001746	XP_060405870.1	XP_036585358.1
OG0001747	XP_060405937.1	XP_036584787.1
OG0001748	XP_060405959.1	XP_036584841.1
OG0001749	XP_060406025.1	XP_036584892.1
OG0001750	XP_060406041.1	XP_036577581.1
OG0001751	XP_060406159.1	XP_070060119.1
OG0001752	XP_060406217.1	XP_036586391.2, XP_070060124.1
OG0001753	XP_060406234.1	XP_036578304.1
OG0001754	XP_060406340.1	XP_036587224.1, XP_036580939.1
OG0001756	XP_060406487.1	XP_070059947.1, XP_036586871.2
OG0001757	XP_060406518.1	XP_036588731.1
OG0001758	XP_060406525.1	XP_036578386.1, XP_036586767.1
OG0001759	XP_060406556.1	XP_036586761.2, XP_036578051.2
OG0001787	XP_060389448.1, XP_060395840.1	XP_036579725.2
OG0001788	XP_060389459.1	XP_036586376.1
OG0001789	XP_060389460.1	XP_036586397.1
OG0001790	XP_060389461.1	XP_070060742.1
OG0001791	XP_060389462.1	XP_036586404.1
OG0001792	XP_060389464.1	XP_036586408.1
OG0001793	XP_060389468.1	XP_036586348.1
OG0001794	XP_060389470.1	XP_036579837.1
OG0001795	XP_060389473.1, XP_060394216.1	XP_036585513.1
OG0001796	XP_060389475.1, XP_060394861.1	XP_036583824.1
OG0001797	XP_060389477.1, XP_060399407.1	XP_036583715.1
OG0001799	XP_060389491.1	XP_070061378.1
OG0001800	XP_060389495.1	XP_036589164.1
OG0001801	XP_060389496.1	XP_036589165.1
OG0001802	XP_060389497.1	XP_036589166.1
OG0001803	XP_060389498.1	XP_036589167.1
OG0001804	XP_060389499.1	XP_036589168.1
OG0001805	XP_060389501.1	XP_036589170.1
OG0001806	XP_060389506.1	XP_036589173.1
OG0001807	XP_060389507.1	XP_070061376.1
OG0001808	XP_060389513.1	XP_070061374.1
OG0001809	XP_060389514.1	XP_036589134.1
OG0001810	XP_060389517.1	XP_036576855.1
OG0001811	XP_060389520.1	XP_070061887.1
OG0001812	XP_060389521.1	XP_070061886.1
OG0001813	XP_060389522.1	XP_036576861.1
OG0001814	XP_060389525.1	XP_070061884.1
OG0001815	XP_060389526.1	XP_036576864.1
OG0001816	XP_060389527.1	XP_036576865.1
OG0001817	XP_060389528.1	XP_036576867.1
OG0001818	XP_060389529.1	XP_036576870.1
OG0001819	XP_060389530.1	XP_070061882.1
OG0001820	XP_060389531.1	XP_036576874.2
OG0001821	XP_060389532.1	XP_036576875.1
OG0001822	XP_060389534.1	XP_036576887.1
OG0001823	XP_060389535.1	XP_036588297.1
OG0001824	XP_060389536.1	XP_036588298.1
OG0001825	XP_060389538.1	XP_036588300.1
OG0001826	XP_060389540.1	XP_036588301.2
OG0001827	XP_060389541.1	XP_036588302.1
OG0001828	XP_060389542.1	XP_036588303.1
OG0001829	XP_060389543.1	XP_036588304.1
OG0001830	XP_060389547.1	XP_070062583.1
OG0001831	XP_060389549.1	XP_036588311.1
OG0001832	XP_060389550.1, XP_060403495.1	XP_036586475.1
OG0001833	XP_060389551.1	XP_036588312.1
OG0001834	XP_060389552.1	XP_036588313.1
OG0001835	XP_060389554.1	XP_036588314.2
OG0001836	XP_060389555.1	XP_036588315.1
OG0001837	XP_060389558.1	XP_036588317.1
OG0001838	XP_060389559.1	XP_036588318.2
OG0001839	XP_060389561.1	XP_070062585.1
OG0001840	XP_060389562.1	XP_070062586.1
OG0001841	XP_060389564.1	XP_036588322.1
OG0001842	XP_060389565.1	XP_036588323.2
OG0001843	XP_060389569.1	XP_036588324.1
OG0001844	XP_060389570.1	XP_036588325.1
OG0001845	XP_060389575.1	XP_036588327.1
OG0001846	XP_060389581.1	XP_036588330.1
