Orthogroup	Colletotrichum_truncatum	Colletotrichum_karsti
OG0001870	XP_070062602.1	XP_038751298.1
OG0001871	XP_036588390.1	XP_038751297.1
OG0001872	XP_036588389.1	XP_038751296.1
OG0001873	XP_036588385.2	XP_038751292.1
OG0001874	XP_036588382.1	XP_038751290.1
OG0001875	XP_036588380.1	XP_038751288.1
OG0001876	XP_036588378.1	XP_038751287.1
OG0001877	XP_036588375.1	XP_038751284.1
OG0001878	XP_036588373.1	XP_038751283.1
OG0001879	XP_036588371.1	XP_038751281.1
OG0001880	XP_036588370.1	XP_038751280.1
OG0001881	XP_036588369.1	XP_038751279.1
OG0001882	XP_036588368.1	XP_038751278.1
OG0001883	XP_036588367.1	XP_038751277.1
OG0001884	XP_070062599.1	XP_038751276.1
OG0001885	XP_070062598.1	XP_038751275.1
OG0001886	XP_036588363.1	XP_038751274.1
OG0001887	XP_036588362.1	XP_038751273.1
OG0001888	XP_036588361.1	XP_038751272.1
OG0001889	XP_036588360.2	XP_038751271.1
OG0001890	XP_070062597.1	XP_038751270.1
OG0001891	XP_036588401.1	XP_038751303.1
OG0001892	XP_036588400.1	XP_038751304.1
OG0001894	XP_036588398.1	XP_038751306.1
OG0001895	XP_036588399.1	XP_038751305.1
OG0001896	XP_036588410.1	XP_038751317.1
OG0001897	XP_036588408.2	XP_038751316.1
OG0001898	XP_036588407.1	XP_038751315.1
OG0001899	XP_036588406.1	XP_038751314.1
OG0001900	XP_036588404.1	XP_038751312.1
OG0001901	XP_036588419.1	XP_038751257.1
OG0001902	XP_036588417.1	XP_038751255.1
OG0001903	XP_036588415.1	XP_038751253.1
OG0001904	XP_036588414.1	XP_038751252.1
OG0001905	XP_036588412.1	XP_038751250.1
OG0001906	XP_036588411.1	XP_038751249.1
OG0001907	XP_036588402.1	XP_038751310.1
OG0001908	XP_036588403.1	XP_038751311.1
OG0001909	XP_036588424.2	XP_038751243.1
OG0001910	XP_036588423.1	XP_038751245.1
OG0001911	XP_036588422.1	XP_038751246.1
OG0001912	XP_036588421.1	XP_038751247.1
OG0001913	XP_070062611.1	XP_038751170.1
OG0001914	XP_036588482.1	XP_038751171.1
OG0001915	XP_036588481.1	XP_038751172.1
OG0001916	XP_036588479.1	XP_038751174.1
OG0001917	XP_036588478.1	XP_038751175.1
OG0001918	XP_036588477.1	XP_038751176.1
OG0001919	XP_036588476.1	XP_038751177.1
OG0001920	XP_070062609.1	XP_038751198.1
OG0001921	XP_036588472.1	XP_038751197.1
OG0001922	XP_036588470.2	XP_038751192.1
OG0001923	XP_036588469.1	XP_038751193.1
OG0001924	XP_036588468.1	XP_038751194.1
OG0001925	XP_036588466.1	XP_038751195.1
OG0001926	XP_036588465.1	XP_038751196.1
OG0001927	XP_036588464.1	XP_038751190.1
OG0001928	XP_036588463.2	XP_038751189.1
OG0001929	XP_036588462.1	XP_038751188.1
OG0001930	XP_036588461.1	XP_038751187.1
OG0001931	XP_036588460.1	XP_038751186.1
OG0001932	XP_036588459.1	XP_038751185.1
OG0001933	XP_036588458.1	XP_038751184.1
OG0001934	XP_036588457.1	XP_038751183.1
OG0001935	XP_070062607.1	XP_038751182.1
OG0001936	XP_036588455.1	XP_038751181.1
OG0001937	XP_036588454.1	XP_038751180.1
OG0001938	XP_036588453.2	XP_038751179.1
OG0001939	XP_036588452.1	XP_038751210.1
OG0001940	XP_036588451.1	XP_038751209.1
OG0001941	XP_036588449.1	XP_038751207.1
OG0001942	XP_036588448.1	XP_038751206.1
OG0001943	XP_070062606.1	XP_038751205.1
OG0001944	XP_036588445.1	XP_038751204.1
OG0001945	XP_036588444.1	XP_038751203.1
OG0001946	XP_036588443.1	XP_038751202.1
OG0001947	XP_036588440.1	XP_038751200.1
OG0001948	XP_036588429.1	XP_038751239.1
OG0001949	XP_036588432.1	XP_038751237.1
OG0001950	XP_036588433.1	XP_038751236.1
OG0001951	XP_036588435.1	XP_038751234.1
OG0001952	XP_036588436.1	XP_038751233.1
OG0001953	XP_036588437.2	XP_038751232.1
OG0001954	XP_036588439.1	XP_038751231.1
OG0001955	XP_036588426.1	XP_038751241.1
OG0001956	XP_036588487.2	XP_038751166.1
OG0001957	XP_070062612.1	XP_038751165.1
OG0001958	XP_036588489.1	XP_038751164.1
OG0001959	XP_036588490.1	XP_038751163.1
OG0001960	XP_070062613.1	XP_038751162.1
OG0001961	XP_070062614.1	XP_038751161.1
OG0001962	XP_036588494.2	XP_038751157.1
OG0001963	XP_036588493.1	XP_038751159.1
OG0001964	XP_036588492.1	XP_038751160.1
OG0001965	XP_036588503.2	XP_038751153.1
OG0001966	XP_036588502.1	XP_038751154.1
OG0001967	XP_070062616.1	XP_038751155.1
OG0001968	XP_036577347.1	XP_038744837.1
OG0001969	XP_036588514.1	XP_038751147.1
OG0001970	XP_036588574.2	XP_038751109.1
OG0001971	XP_036588565.1	XP_038747719.1
OG0001972	XP_036581471.1	XP_038750689.1
OG0001973	XP_036581472.1	XP_038750690.1
OG0001974	XP_036588558.1	XP_038751136.1
OG0001975	XP_036588555.2	XP_038751135.1
OG0001976	XP_070062622.1	XP_038751134.1
OG0001977	XP_036588553.1	XP_038750032.1
OG0001978	XP_036588551.1	XP_038751132.1
OG0001979	XP_036588549.1	XP_038751130.1
OG0001980	XP_036588548.1	XP_038751129.1
OG0001981	XP_036588546.1	XP_038751127.1
OG0001982	XP_036588545.1	XP_038751126.1
OG0001983	XP_036588544.1	XP_038751125.1
OG0001984	XP_036588543.1	XP_038751124.1
OG0001985	XP_036588542.2	XP_038751123.1
OG0001986	XP_036588541.1	XP_038751122.1
OG0001987	XP_070062621.1	XP_038751120.1
OG0001988	XP_036588539.1	XP_038751110.1
OG0001989	XP_036588520.1	XP_038751138.1
OG0001990	XP_036588518.1	XP_038751140.1
OG0001991	XP_036588575.1	XP_038751107.1
OG0001992	XP_036588576.1	XP_038751106.1
OG0001993	XP_036588577.1	XP_038751105.1
OG0001994	XP_070062625.1	XP_038751104.1
OG0001995	XP_036588580.1	XP_038751103.1
OG0001996	XP_036588581.1	XP_038751102.1
OG0001997	XP_036588582.1	XP_038751101.1
OG0001998	XP_036588583.1	XP_038751100.1
OG0001999	XP_036588584.1	XP_038751099.1
OG0002000	XP_036588677.1	XP_038750999.1
OG0002001	XP_036588676.1	XP_038751000.1
OG0002002	XP_036588673.1	XP_038751010.1
OG0002003	XP_036588670.1	XP_038751011.1
OG0002004	XP_036588659.1	XP_038751027.1
OG0002005	XP_036588660.1	XP_038751026.1
OG0002006	XP_036588661.1	XP_038751025.1
OG0002007	XP_036588662.1	XP_038751024.1
OG0002008	XP_036588663.2	XP_038751023.1
OG0002009	XP_036588656.1	XP_038751058.1
OG0002010	XP_036588655.1	XP_038751057.1
OG0002011	XP_036588654.1	XP_038751056.1
OG0002012	XP_036588652.1	XP_038751055.1
OG0002013	XP_036588651.1	XP_038751054.1
OG0002014	XP_036588650.1	XP_038751053.1
OG0002015	XP_036588648.1	XP_038751051.1
OG0002016	XP_070062634.1	XP_038751050.1
OG0002017	XP_036588646.1	XP_038751049.1
OG0002018	XP_036588645.1	XP_038751048.1
OG0002019	XP_036588643.1	XP_038751047.1
OG0002020	XP_036588642.1	XP_038751046.1
OG0002021	XP_036588641.1	XP_038751045.1
OG0002022	XP_036588640.1	XP_038751044.1
OG0002023	XP_036582225.1	XP_038741360.1
OG0002024	XP_036588639.1	XP_038751043.1
OG0002025	XP_036588638.1	XP_038751042.1
OG0002026	XP_036588637.1	XP_038751041.1
OG0002027	XP_036588636.2	XP_038751040.1
OG0002028	XP_036588635.1	XP_038751038.1
OG0002029	XP_036588634.1	XP_038751037.1
OG0002030	XP_036588633.1	XP_038751036.1
OG0002031	XP_036588632.1	XP_038751034.1
OG0002033	XP_036588628.1	XP_038751059.1
OG0002035	XP_036588625.1	XP_038751063.1
OG0002036	XP_036588620.1	XP_038751064.1
OG0002037	XP_036588617.1	XP_038751065.1
OG0002038	XP_036588601.1	XP_038751066.1
OG0002039	XP_036588602.2	XP_038751067.1
OG0002040	XP_036588603.1	XP_038751068.1
OG0002041	XP_036588604.1	XP_038751069.1
OG0002042	XP_036588605.1	XP_038751070.1
OG0002043	XP_036588606.1	XP_038751071.1
OG0002044	XP_036588607.1	XP_038751072.1
OG0002045	XP_036588608.1	XP_038751073.1
OG0002046	XP_036588609.1	XP_038751074.1
OG0002047	XP_070062629.1	XP_038751075.1
OG0002048	XP_036588616.1	XP_038751081.1
OG0002049	XP_036588614.1	XP_038751079.1
OG0002050	XP_036588613.1	XP_038751078.1
OG0002051	XP_036588612.1	XP_038751077.1
OG0002052	XP_036588611.1	XP_038751076.1
OG0002053	XP_036588600.1	XP_038751083.1
OG0002054	XP_036588598.1	XP_038751084.1
OG0002055	XP_036588597.2	XP_038751085.1
OG0002056	XP_036588596.1	XP_038751086.1
OG0002057	XP_036588595.1	XP_038751087.1
OG0002058	XP_036588589.1	XP_038751091.1
OG0002059	XP_036588590.1	XP_038751090.1
OG0002060	XP_036588594.1	XP_038751088.1
OG0002062	XP_036588668.1	XP_038751015.1
OG0002063	XP_036577283.1	XP_038744162.1
OG0002064	XP_036589046.1	XP_038748929.1
OG0002065	XP_036589048.1	XP_038748928.1
OG0002066	XP_036589049.1	XP_038748927.1
OG0002067	XP_036589050.1	XP_038748931.1
OG0002068	XP_036589056.1	XP_038748934.1
OG0002069	XP_036589057.1	XP_038748935.1
OG0002070	XP_036589105.1	XP_038748947.1
OG0002071	XP_036589069.1	XP_038748937.1
OG0002072	XP_036589070.1	XP_038748938.1
OG0002073	XP_036584298.1	XP_038738794.1
OG0002074	XP_036584300.1	XP_038738792.1
OG0002075	XP_036584301.1	XP_038738791.1
OG0002076	XP_036584302.1	XP_038738790.1
OG0002077	XP_070061998.1	XP_038739997.1
OG0002078	XP_036585774.1	XP_038739996.1
OG0002079	XP_036585773.1	XP_038740001.1
OG0002080	XP_036585771.2	XP_038740003.1
OG0002081	XP_070061995.1	XP_038740005.1
OG0002082	XP_036585768.1	XP_038740006.1
OG0002083	XP_036577405.1	XP_038744859.1
OG0002084	XP_036587266.1	XP_038740360.1
OG0002085	XP_036587270.1	XP_038740355.1
OG0002086	XP_036587272.1	XP_038740354.1
OG0002087	XP_036587273.2	XP_038740353.1
OG0002088	XP_036587274.2	XP_038740352.1
OG0002089	XP_036587286.1	XP_038740350.1
OG0002090	XP_036587288.1	XP_038740348.1
OG0002091	XP_036587289.2	XP_038740347.1
OG0002092	XP_036587293.2	XP_038740346.1
OG0002093	XP_070060295.1	XP_038743514.1
OG0002094	XP_070060296.1	XP_038743516.1
OG0002095	XP_036584689.1	XP_038743517.1
OG0002096	XP_036584688.1	XP_038743518.1
OG0002097	XP_036584794.1	XP_038741142.1
OG0002098	XP_036584795.1	XP_038741141.1
OG0002099	XP_036584796.2	XP_038741140.1
OG0002100	XP_070060282.1	XP_038741139.1
OG0002101	XP_036584801.1	XP_038741137.1
OG0002102	XP_036584802.1	XP_038741136.1
OG0002103	XP_036584803.1	XP_038741135.1
OG0002104	XP_070060281.1	XP_038741133.1
OG0002105	XP_036584805.1	XP_038741132.1
OG0002106	XP_036584806.2	XP_038741131.1
OG0002107	XP_070060279.1	XP_038741130.1
OG0002108	XP_070060278.1	XP_038741129.1
OG0002109	XP_036584809.1	XP_038741128.1
OG0002110	XP_036579035.1	XP_038743098.1
OG0002111	XP_036579036.1	XP_038743097.1
OG0002112	XP_036579039.1	XP_038743096.1
OG0002113	XP_036579040.1	XP_038743095.1
OG0002114	XP_036579041.1	XP_038743094.1
OG0002115	XP_036579043.1	XP_038743092.1
OG0002116	XP_036579045.1	XP_038743090.1
OG0002117	XP_036579048.1	XP_038743087.1
OG0002118	XP_036579047.1	XP_038743088.1
OG0002119	XP_036579046.2	XP_038743089.1
OG0002120	XP_036579053.1	XP_038743086.1
OG0002121	XP_036579054.1	XP_038743085.1
OG0002122	XP_036579057.1	XP_038743084.1
OG0002123	XP_036574280.1	XP_038751006.1
OG0002124	XP_036583368.1	XP_038739266.1
OG0002125	XP_036583369.2	XP_038739265.1
OG0002126	XP_036583374.1	XP_038739261.1
OG0002127	XP_036583375.1	XP_038739260.1
OG0002128	XP_036583376.1	XP_038739259.1
OG0002129	XP_036583377.1	XP_038739258.1
OG0002130	XP_036583378.1	XP_038739257.1
OG0002131	XP_070061227.1	XP_038739256.1
OG0002132	XP_036583381.2	XP_038739255.1
OG0002133	XP_036583383.1	XP_038739253.1
OG0002134	XP_036583384.1	XP_038739252.1
OG0002135	XP_036583385.1	XP_038739251.1
OG0002138	XP_036576168.1	XP_038739346.1
OG0002139	XP_036576169.1	XP_038739347.1
OG0002140	XP_036576170.1	XP_038739348.1
OG0002141	XP_036576171.1	XP_038739349.1
OG0002142	XP_036576172.1	XP_038739350.1
OG0002143	XP_036576173.1	XP_038739351.1
OG0002144	XP_036576176.1	XP_038739353.1
OG0002146	XP_036586192.1	XP_038745381.1
OG0002147	XP_036586193.1	XP_038745380.1
OG0002148	XP_036586190.1	XP_038745388.1
OG0002150	XP_036586197.2	XP_038745377.1
OG0002151	XP_036586200.1	XP_038738652.1
OG0002152	XP_036586202.1	XP_038738654.1
OG0002153	XP_070060790.1	XP_038747569.1
OG0002154	XP_036586205.1	XP_038747572.1
OG0002155	XP_036586206.1	XP_038747571.1
OG0002156	XP_070060788.1	XP_038747570.1
OG0002158	XP_036585712.2	XP_038749289.1
OG0002159	XP_036585711.1	XP_038749288.1
OG0002160	XP_036585710.1	XP_038749287.1
OG0002161	XP_036585709.1	XP_038749286.1
OG0002162	XP_036585707.1	XP_038749284.1
OG0002163	XP_036585703.1	XP_038749281.1
OG0002164	XP_036585701.1	XP_038749280.1
OG0002165	XP_036585700.1	XP_038749279.1
OG0002166	XP_036585699.1	XP_038749278.1
OG0002167	XP_036585698.1	XP_038749277.1
OG0002168	XP_036585697.2	XP_038749404.1
OG0002169	XP_036585696.1	XP_038749276.1
OG0002170	XP_036585695.1	XP_038749275.1
OG0002171	XP_070061669.1	XP_038749273.1
OG0002172	XP_036585600.1	XP_038749477.1
OG0002173	XP_036585602.2	XP_038749475.1
OG0002174	XP_036585603.1	XP_038749474.1
OG0002175	XP_036585604.1	XP_038749472.1
OG0002176	XP_036585605.1	XP_038749471.1
OG0002177	XP_036585606.1	XP_038749470.1
OG0002178	XP_036585608.1	XP_038749469.1
OG0002179	XP_036585609.1	XP_038749468.1
OG0002180	XP_036585610.2	XP_038749467.1
OG0002181	XP_036585611.1	XP_038749466.1
OG0002182	XP_036585612.1	XP_038749465.1
OG0002184	XP_036577120.1	XP_038749708.1
OG0002185	XP_036577115.1	XP_038749707.1
OG0002186	XP_036577113.2	XP_038749705.1
OG0002187	XP_036577112.1	XP_038749704.1
OG0002188	XP_036577110.1	XP_038749701.1
OG0002189	XP_036577108.1	XP_038749699.1
OG0002190	XP_036577105.1	XP_038749696.1
OG0002191	XP_036577106.1	XP_038749697.1
OG0002192	XP_036577107.2	XP_038749698.1
OG0002193	XP_036577104.1	XP_038749695.1
OG0002194	XP_036577103.2	XP_038749694.1
OG0002196	XP_036577094.1	XP_038749691.1
OG0002197	XP_036585341.1	XP_038748474.1
OG0002198	XP_036585340.1	XP_038748473.1
OG0002199	XP_070061742.1	XP_038748472.1
OG0002200	XP_036585338.2	XP_038748471.1
OG0002201	XP_036585336.1	XP_038748470.1
OG0002202	XP_036585334.2	XP_038748468.1
OG0002203	XP_036585332.1	XP_038748466.1
OG0002204	XP_036585331.1	XP_038748465.1
OG0002205	XP_036585350.1	XP_038748460.1
OG0002206	XP_036585352.1	XP_038748457.1
OG0002207	XP_036585353.1	XP_038748451.1
OG0002208	XP_036585280.2	XP_038748520.1
OG0002209	XP_036585281.1	XP_038748519.1
OG0002210	XP_036585282.1	XP_038748518.1
OG0002211	XP_036585278.1	XP_038748524.1
OG0002212	XP_036585277.1	XP_038748525.1
OG0002213	XP_036585275.1	XP_038748527.1
OG0002214	XP_036585276.1	XP_038748526.1
OG0002215	XP_036585256.1	XP_038748528.1
OG0002216	XP_036585257.1	XP_038748529.1
OG0002217	XP_036585258.1	XP_038748530.1
OG0002218	XP_036585260.1	XP_038748531.1
OG0002219	XP_036585261.1	XP_038748532.1
OG0002220	XP_036585262.1	XP_038748533.1
OG0002221	XP_036585263.1	XP_038748534.1
OG0002222	XP_036585264.1	XP_038748535.1
OG0002223	XP_036585265.1	XP_038748536.1
OG0002224	XP_036585266.1	XP_038748537.1
OG0002225	XP_036585267.2	XP_038748538.1
OG0002226	XP_036585268.1	XP_038748539.1
OG0002227	XP_036585269.1	XP_038748540.1
OG0002228	XP_036585270.1	XP_038748541.1
OG0002229	XP_036585271.1	XP_038748542.1
OG0002230	XP_036585272.1	XP_038748543.1
OG0002231	XP_036585273.1	XP_038748544.1
OG0002232	XP_036585274.1	XP_038748545.1
OG0002234	XP_036585255.1	XP_038748550.1
OG0002235	XP_036585254.1	XP_038748551.1
OG0002236	XP_036585253.1	XP_038748552.1
OG0002237	XP_036585252.1	XP_038748553.1
OG0002238	XP_036585251.1	XP_038748554.1
OG0002239	XP_036585250.1	XP_038748555.1
OG0002240	XP_036585248.1	XP_038748557.1
OG0002241	XP_036585247.1	XP_038748558.1
OG0002242	XP_036585246.1	XP_038748559.1
OG0002243	XP_070061735.1	XP_038748560.1
OG0002244	XP_070061733.1	XP_038748562.1
OG0002245	XP_036585242.1	XP_038748563.1
OG0002246	XP_036585241.1	XP_038748564.1
OG0002247	XP_036585239.1	XP_038748565.1
OG0002248	XP_036585237.2	XP_038748577.1
OG0002249	XP_036585235.1	XP_038748575.1
OG0002250	XP_036585232.1	XP_038748573.1
OG0002251	XP_036585231.1	XP_038748572.1
OG0002252	XP_036585230.1	XP_038748571.1
OG0002253	XP_036585229.1	XP_038748570.1
OG0002254	XP_036585224.1	XP_038748568.1
OG0002255	XP_036585223.1	XP_038748567.1
OG0002256	XP_036585211.1	XP_038748585.1
OG0002257	XP_036587751.1	XP_038742980.1
OG0002258	XP_036585222.1	XP_038748583.1
OG0002259	XP_036585221.1	XP_038748582.1
OG0002260	XP_036585220.2	XP_038748581.1
OG0002261	XP_036585217.1	XP_038748580.1
OG0002262	XP_036585210.1	XP_038748587.1
OG0002263	XP_036585209.1	XP_038748588.1
OG0002264	XP_036585190.1	XP_038748594.1
OG0002265	XP_036585195.1	XP_038748596.1
OG0002266	XP_036585196.1	XP_038748597.1
OG0002267	XP_036585197.1	XP_038748598.1
OG0002268	XP_036585198.1	XP_038748599.1
OG0002269	XP_036585199.1	XP_038748600.1
OG0002270	XP_036585201.1	XP_038748602.1
OG0002271	XP_036585179.2	XP_038748611.1
OG0002272	XP_036585181.2	XP_038748609.1
OG0002273	XP_070061726.1	XP_038748608.1
OG0002274	XP_036585182.2	XP_038748607.1
OG0002275	XP_036585172.1	XP_038748616.1
OG0002276	XP_036585174.1	XP_038748615.1
OG0002277	XP_036585175.1	XP_038748614.1
OG0002278	XP_070061725.1	XP_038748613.1
OG0002279	XP_036585178.1	XP_038748612.1
OG0002280	XP_036585164.1	XP_038748620.1
OG0002281	XP_036580703.1	XP_038748643.1
OG0002282	XP_036580704.1	XP_038748642.1
OG0002283	XP_036580710.1	XP_038748639.1
OG0002284	XP_036580711.1	XP_038748638.1
OG0002285	XP_036580712.1	XP_038748637.1
OG0002286	XP_036580724.1	XP_038741415.1
OG0002287	XP_036577701.1	XP_038746641.1
OG0002288	XP_036576667.1	XP_038740520.1
OG0002289	XP_036580699.2	XP_038748647.1
OG0002290	XP_036580693.1	XP_038748654.1
OG0002291	XP_036580694.1	XP_038748653.1
OG0002292	XP_036580695.2	XP_038748652.1
OG0002293	XP_036580696.1	XP_038748650.1
OG0002294	XP_036580697.1	XP_038748649.1
OG0002295	XP_036580698.1	XP_038748648.1
OG0002296	XP_036580672.1	XP_038748677.1
OG0002297	XP_036580673.1	XP_038748676.1
OG0002298	XP_036580674.1	XP_038748675.1
OG0002299	XP_036580675.1	XP_038748674.1
OG0002300	XP_036580676.1	XP_038748673.1
OG0002301	XP_036580677.1	XP_038748672.1
OG0002302	XP_036580678.1	XP_038748671.1
OG0002303	XP_036580679.1	XP_038748670.1
OG0002304	XP_036580681.1	XP_038748668.1
OG0002305	XP_070061706.1	XP_038748663.1
OG0002306	XP_070061701.1	XP_038748660.1
OG0002307	XP_070061702.1	XP_038748659.1
OG0002308	XP_036580685.1	XP_038748658.1
OG0002309	XP_036580686.1	XP_038748657.1
OG0002310	XP_070061703.1	XP_038748656.1
OG0002311	XP_036580688.1	XP_038748655.1
OG0002312	XP_036580692.1	XP_038748665.1
OG0002313	XP_036580642.1	XP_038749508.1
OG0002314	XP_036580643.1	XP_038749509.1
OG0002315	XP_070061694.1	XP_038749510.1
OG0002316	XP_036580646.1	XP_038748778.1
OG0002317	XP_036580650.1	XP_038748775.1
OG0002318	XP_036580651.1	XP_038748774.1
OG0002319	XP_036580652.1	XP_038748773.1
OG0002320	XP_036580653.1	XP_038748772.1
OG0002321	XP_036580593.1	XP_038748746.1
OG0002322	XP_036580592.1	XP_038748747.1
OG0002323	XP_036580591.1	XP_038748748.1
OG0002324	XP_036580637.1	XP_038748757.1
OG0002325	XP_036580636.1	XP_038748756.1
OG0002326	XP_070061693.1	XP_038748768.1
OG0002327	XP_036580614.1	XP_038748679.1
OG0002328	XP_036580615.1	XP_038748710.1
OG0002329	XP_070061690.1	XP_038748711.1
OG0002330	XP_036580617.1	XP_038748712.1
OG0002331	XP_036580618.2	XP_038748713.1
OG0002332	XP_036580620.1	XP_038748714.1
OG0002333	XP_070061691.1	XP_038748715.1
OG0002334	XP_036580622.2	XP_038748716.1
OG0002335	XP_070061692.1	XP_038748717.1
OG0002336	XP_036580624.1	XP_038748718.1
OG0002337	XP_036580626.1	XP_038748720.1
OG0002338	XP_036580627.1	XP_038748721.1
OG0002339	XP_036580628.1	XP_038748722.1
OG0002340	XP_036580630.1	XP_038749506.1
OG0002341	XP_036580631.1	XP_038749505.1
OG0002342	XP_036580632.1	XP_038749504.1
OG0002343	XP_036580633.2	XP_038749503.1
OG0002344	XP_036580635.1	XP_038749501.1
OG0002345	XP_036580594.1	XP_038748745.1
OG0002346	XP_036580595.1	XP_038748744.1
OG0002347	XP_036580596.1	XP_038748743.1
OG0002348	XP_036580597.1	XP_038748742.1
OG0002349	XP_036580598.2	XP_038748741.1
OG0002350	XP_070061688.1	XP_038748740.1
OG0002351	XP_036580600.1	XP_038748739.1
OG0002352	XP_036580602.1	XP_038748726.1
OG0002353	XP_036580603.1	XP_038748727.1
OG0002354	XP_036580604.1	XP_038748728.1
OG0002355	XP_036580605.1	XP_038748729.1
OG0002356	XP_036580606.1	XP_038748730.1
OG0002357	XP_070061689.1	XP_038748733.1
OG0002358	XP_036580610.1	XP_038748734.1
OG0002359	XP_036580611.1	XP_038748735.1
OG0002360	XP_036580612.1	XP_038748736.1
OG0002361	XP_036580613.1	XP_038748737.1
OG0002362	XP_036580587.1	XP_038748752.1
OG0002363	XP_036580590.1	XP_038748749.1
OG0002364	XP_036580639.1	XP_038748759.1
OG0002365	XP_036580640.1	XP_038748760.1
OG0002366	XP_036580667.1	XP_038748685.1
OG0002367	XP_036580666.1	XP_038748686.1
OG0002368	XP_036580665.1	XP_038748702.1
OG0002369	XP_036580663.1	XP_038748704.1
OG0002370	XP_036580662.1	XP_038748705.1
OG0002371	XP_036580661.1	XP_038748706.1
OG0002372	XP_036580660.1	XP_038748707.1
OG0002373	XP_036580659.1	XP_038748708.1
OG0002374	XP_036580658.1	XP_038748709.1
OG0002375	XP_070061687.1	XP_038748753.1
OG0002376	XP_036580586.1	XP_038748754.1
OG0002377	XP_036580654.1	XP_038748771.1
OG0002378	XP_036580655.1	XP_038748770.1
OG0002379	XP_036580656.1	XP_038748769.1
OG0002380	XP_036580583.2	XP_038749499.1
OG0002381	XP_036580582.1	XP_038749498.1
OG0002382	XP_036580572.1	XP_038749488.1
OG0002383	XP_036580573.1	XP_038749489.1
OG0002384	XP_036580576.1	XP_038749492.1
OG0002385	XP_036580577.1	XP_038749493.1
OG0002386	XP_036580578.1	XP_038749494.1
OG0002387	XP_036580579.1	XP_038749495.1
OG0002388	XP_036580580.1	XP_038749496.1
OG0002389	XP_036580581.1	XP_038749497.1
OG0002390	XP_036580559.1	XP_038749374.1
OG0002391	XP_036580560.1	XP_038749375.1
OG0002392	XP_036580561.1	XP_038749376.1
OG0002393	XP_036580562.1	XP_038749377.1
OG0002394	XP_036580563.1	XP_038749378.1
OG0002395	XP_036580564.1	XP_038749379.1
OG0002396	XP_070061685.1	XP_038749380.1
OG0002397	XP_036580566.1	XP_038749381.1
OG0002398	XP_036580567.1	XP_038749382.1
OG0002399	XP_036580556.1	XP_038749371.1
OG0002400	XP_036580555.1	XP_038749370.1
OG0002401	XP_036580551.1	XP_038749365.1
OG0002402	XP_036580553.1	XP_038749366.1
OG0002403	XP_036580550.2	XP_038749364.1
OG0002404	XP_070061682.1	XP_038749363.1
OG0002405	XP_036580548.1	XP_038749362.1
OG0002406	XP_036580547.1	XP_038749361.1
OG0002407	XP_070061681.1	XP_038749360.1
OG0002408	XP_036580544.1	XP_038749357.1
OG0002409	XP_070061679.1	XP_038749355.1
OG0002410	XP_036580541.1	XP_038749354.1
OG0002411	XP_036580540.1	XP_038749353.1
OG0002412	XP_036580538.1	XP_038749351.1
OG0002413	XP_036580537.1	XP_038749350.1
OG0002414	XP_036580536.2	XP_038749349.1
OG0002415	XP_036580535.1	XP_038749348.1
OG0002416	XP_036580534.1	XP_038749347.1
OG0002417	XP_036580533.1	XP_038749346.1
OG0002418	XP_036580532.1	XP_038749345.1
OG0002419	XP_036580530.1	XP_038749344.1
OG0002420	XP_036580529.1	XP_038749343.1
OG0002421	XP_036580528.1	XP_038749342.1
OG0002422	XP_070061677.1	XP_038749341.1
OG0002423	XP_070061676.1	XP_038749340.1
OG0002424	XP_036580525.1	XP_038749339.1
OG0002425	XP_036580524.1	XP_038749338.1
OG0002426	XP_070061675.1	XP_038749337.1
OG0002427	XP_036580521.1	XP_038749336.1
OG0002428	XP_036580520.1	XP_038749335.1
OG0002429	XP_036580519.1	XP_038749334.1
OG0002430	XP_036580518.1	XP_038749333.1
OG0002431	XP_036580517.1	XP_038749332.1
OG0002432	XP_036580515.1	XP_038749331.1
OG0002433	XP_036580514.1	XP_038749330.1
OG0002434	XP_036585757.2	XP_038749328.1
OG0002435	XP_036585756.1	XP_038749327.1
OG0002436	XP_036585755.1	XP_038749326.1
OG0002437	XP_036585754.1	XP_038749325.1
OG0002438	XP_036585752.1	XP_038749323.1
OG0002439	XP_036585751.1	XP_038749322.1
OG0002440	XP_036585750.1	XP_038749321.1
OG0002441	XP_036585749.1	XP_038749320.1
OG0002442	XP_070061673.1	XP_038749319.1
OG0002443	XP_036585747.2	XP_038749318.1
OG0002444	XP_036585744.1	XP_038749315.1
OG0002445	XP_036585743.1	XP_038749314.1
OG0002446	XP_036585741.1	XP_038749312.1
OG0002447	XP_036585740.1	XP_038749311.1
OG0002448	XP_036585739.1	XP_038749310.1
OG0002449	XP_036585737.1	XP_038749309.1
OG0002450	XP_070061672.1	XP_038749308.1
OG0002451	XP_036585731.1	XP_038749307.1
OG0002452	XP_070061671.1	XP_038749305.1
OG0002453	XP_036585729.1	XP_038749304.1
OG0002454	XP_036585728.1	XP_038749303.1
OG0002455	XP_036585727.1	XP_038749302.1
OG0002456	XP_036585726.1	XP_038749301.1
OG0002457	XP_036585725.1	XP_038749300.1
OG0002458	XP_036585723.1	XP_038749299.1
OG0002459	XP_036585722.1	XP_038749298.1
OG0002460	XP_036585721.1	XP_038749297.1
OG0002461	XP_036585720.1	XP_038749296.1
OG0002462	XP_036585719.1	XP_038749295.1
OG0002463	XP_070062575.1	XP_038751403.1
