Orthogroup	Colletotrichum_truncatum	Colletotrichum_fructicola
OG0000678	XP_036584183.1	XP_031883448.1
OG0000678	XP_036583922.1	XP_031884104.1
OG0000680	XP_070061584.1	XP_031880026.1
OG0000681	XP_070062499.1	XP_031887010.2
OG0000682	XP_036575924.1	XP_031893567.2
OG0000682	XP_070062694.1	XP_031879074.1
OG0000684	XP_036574364.1	XP_031875631.1, XP_031893219.1
OG0000685	XP_036582678.1	XP_031893001.1
OG0000686	XP_036584428.1	XP_066008126.1
OG0000687	XP_036581867.1	XP_031888888.1
OG0000688	XP_070060538.1	XP_031893368.1
OG0000689	XP_070060807.1	XP_066007458.1, XP_031883396.1
OG0000690	XP_070060951.1	XP_031889800.1
OG0000690	XP_036574630.2	XP_066008004.1
OG0000691	XP_036586668.1	XP_031885191.1
OG0000691	XP_036584019.2	XP_031877076.1, XP_066007061.1, XP_031881439.2
OG0000692	XP_036586679.1	XP_031885077.1
OG0000693	XP_036581407.1, XP_036581404.1	XP_031889629.1
OG0000694	XP_036574780.1	XP_031889701.1
OG0000695	XP_036578637.1	XP_031884541.2
OG0000695	XP_036578180.1	XP_031891887.1
OG0000696	XP_036582201.1	XP_031876873.1
OG0000697	XP_036579767.1	XP_031884146.1, XP_031875908.1
OG0000699	XP_036577090.1	XP_031880642.1
OG0000700	XP_036582587.1	XP_066009580.1
OG0000700	XP_036584352.1	XP_031878362.2
OG0000701	XP_036587212.1	XP_066009695.1
OG0000702	XP_036587177.1	XP_031878130.1, XP_031876809.1
OG0000705	XP_036577618.1	XP_031888719.1
OG0000706	XP_036589352.2	XP_031887301.1
OG0000707	XP_036589390.1	XP_066009901.1, XP_031887265.1
OG0000708	XP_070062274.1	XP_031893556.1, XP_031892548.2, XP_031892547.1
OG0000709	XP_036575410.2	XP_031893531.1
OG0000711	XP_036578979.2	XP_066006778.1
OG0000712	XP_036578783.1	XP_031891138.1
OG0000712	XP_036576848.2	XP_031886193.1
OG0000713	XP_036579497.1	XP_066009430.1
OG0000715	XP_036586786.1	XP_031885050.1
OG0000716	XP_036579049.2, XP_036582641.1	XP_066007678.1
OG0000717	XP_070060970.1	XP_031892692.2
OG0000721	XP_070062584.1	XP_031887512.1
OG0000722	XP_036588335.1	XP_031889940.1, XP_031887749.1
OG0000725	XP_070061390.1	XP_031892656.2
OG0000726	XP_036576812.1	XP_031883271.1, XP_031886092.1
OG0000729	XP_036574409.1	XP_066008784.1
OG0000730	XP_036585206.1, XP_036585186.1	XP_031877884.1
OG0000731	XP_036574433.1	XP_031882612.1, XP_031882938.1
OG0000733	XP_036580554.1	XP_066009657.1
OG0000735	XP_036578896.1	XP_031892082.1, XP_066008232.1
OG0000736	XP_070060277.1	XP_031876925.1
OG0000737	XP_036584769.1	XP_031889285.1, XP_031878387.1
OG0000738	XP_036575521.1	XP_031893394.1
OG0000739	XP_036578937.1	XP_031887221.1, XP_031880167.1
OG0000740	XP_036578725.1	XP_031891486.2
OG0000741	XP_036574897.1	XP_031877442.1, XP_031880414.1
OG0000743	XP_070061926.1	XP_031876332.1
OG0000744	XP_036581101.1	XP_031876365.1
OG0000745	XP_036575610.1	XP_031878903.1, XP_031886394.2
OG0000746	XP_070062365.1, XP_070062123.1, XP_036577789.1, XP_036581766.1, XP_070062658.1	XP_066008447.1
OG0000748	XP_036579939.1	XP_031877922.1, XP_031884206.1
OG0000749	XP_036589829.1	XP_031889324.1
OG0000751	XP_036583825.1	XP_031891507.1
OG0000752	XP_036582756.1	XP_031893072.1
OG0000755	XP_036588711.1	XP_031877457.1
OG0000756	XP_036589947.1	XP_031889146.1
OG0000758	XP_036588798.1	XP_031885252.1, XP_031891346.1
OG0000759	XP_036588849.2	XP_031887913.1, XP_031892620.1
OG0000760	XP_070061420.1	XP_066008198.1
OG0000761	XP_036578556.1	XP_031884479.1, XP_031891850.1
OG0000762	XP_036575174.1	XP_031891918.1
OG0000763	XP_036581170.1	XP_031887182.1, XP_031890797.1
OG0000764	XP_036581028.1	XP_031878029.1, XP_031891851.1
OG0000766	XP_036576558.1, XP_036584605.1	XP_031877579.1
OG0000766	XP_036584472.1	XP_066007045.1
OG0000767	XP_036588231.1	XP_031880107.1
OG0000769	XP_036586972.1	XP_031885663.1
OG0000770	XP_036579454.1	XP_031881116.1
OG0000771	XP_036579476.1	XP_031878236.1, XP_031881141.1
OG0000772	XP_036590004.1, XP_036575830.1, XP_070062678.1, XP_070060864.1	XP_066007432.1
OG0000773	XP_036586078.1	XP_031887845.1, XP_031884004.1
OG0000774	XP_036582592.1	XP_031883980.2
OG0000775	XP_036587559.1	XP_031886577.1
OG0000776	XP_036582534.1	XP_031883831.1
OG0000777	XP_036589090.1	XP_031892587.1
OG0000778	XP_036582508.1	XP_031882991.1, XP_031875929.1
OG0000779	XP_036582507.1	XP_066008373.1, XP_031881871.1, XP_031875939.1
OG0000780	XP_036582504.1	XP_031875941.1, XP_031875952.1
OG0000781	XP_036582718.1	XP_031881414.1
OG0000783	XP_036582457.2	XP_031881519.1
OG0000785	XP_036585493.1	XP_066009813.1
OG0000786	XP_036577199.1	XP_031878232.2
OG0000786	XP_070060988.1	XP_031890550.1
OG0000787	XP_036586310.1	XP_031875507.1, XP_031878090.1
OG0000788	XP_036574275.2	XP_066006928.1
OG0000788	XP_070060760.1	XP_031878155.1
OG0000789	XP_070061558.1	XP_031879908.1
OG0000790	XP_036586524.1	XP_066009427.1, XP_031891871.2, XP_031886583.1
OG0000791	XP_070060214.1	XP_031891569.1
OG0000792	XP_036586760.2	XP_031883890.1
OG0000793	XP_036578645.1	XP_031891501.1
OG0000794	XP_036576998.2	XP_031884435.1, XP_031883575.1
OG0000795	XP_036581997.2	XP_031888715.1
OG0000796	XP_036578157.1	XP_031892124.1
OG0000797	XP_036576247.1	XP_031892111.1
OG0000798	XP_036586874.1	XP_031878990.1
OG0000799	XP_036577390.1	XP_031883061.1
OG0000801	XP_036577689.1	XP_031888700.1
OG0000802	XP_036577824.1	XP_031886389.2, XP_031879726.1
OG0000803	XP_036584005.2	XP_031877050.1
OG0000804	XP_036580055.1	XP_031884996.1
OG0000805	XP_036579871.1	XP_031884917.1
OG0000807	XP_036577766.1, XP_036578510.1, XP_036588999.2	XP_031877732.1
OG0000810	XP_036576623.1	XP_031883078.1
OG0000811	XP_036587903.1	XP_031889360.1, XP_031890716.1
OG0000812	XP_036587928.1	XP_031890951.1
OG0000813	XP_036587952.1	XP_031890762.1
OG0000814	XP_036587950.1	XP_066007375.1
OG0000815	XP_036581265.1	XP_031879529.1, XP_031879087.1
OG0000816	XP_036583456.1	XP_031879860.1
OG0000817	XP_036588744.2	XP_031878957.1, XP_031891580.1
OG0000818	XP_036578993.1	XP_031875365.1, XP_031891097.2, XP_031875704.1
OG0000819	XP_036589670.1	XP_066006803.1
OG0000820	XP_036589673.1	XP_031884528.1, XP_031889262.1
OG0000821	XP_036579882.1, XP_036575892.1, XP_070059892.1	XP_066007622.1
OG0000822	XP_036581239.1	XP_031879099.2
OG0000824	XP_036579210.2	XP_031876193.1
OG0000826	XP_036575317.1, XP_036578817.1	XP_031888032.2
OG0000827	XP_036575665.1	XP_031878894.1, XP_031882329.1
OG0000828	XP_036589788.1	XP_031881627.2, XP_031881628.1
OG0000829	XP_036587343.1	XP_031883030.1, XP_031883029.1
OG0000830	XP_070060400.1	XP_031883068.1
OG0000831	XP_070062228.1	XP_031882474.2
OG0000832	XP_036585157.1	XP_031887294.1
OG0000833	XP_036589345.1	XP_031887156.1
OG0000834	XP_070059833.1, XP_036584575.1, XP_036574245.1, XP_070059826.1	XP_031880617.2
OG0000835	XP_036574585.1	XP_066007981.1, XP_031881318.1
OG0000836	XP_036582405.1	XP_031877440.1, XP_031881456.1
OG0000837	XP_036586511.1	XP_031881263.1, XP_031880861.1
OG0000838	XP_036588166.1	XP_031880154.1
OG0000839	XP_070061366.1	XP_031886697.1, XP_031880372.1
OG0000840	XP_036588092.1	XP_031879431.1, XP_031890970.1
OG0000842	XP_036581858.1	XP_031888192.1, XP_031888682.1
OG0000843	XP_070061490.1, XP_070061492.1	XP_031888174.1
OG0000846	XP_036574422.1, XP_036581827.1, XP_036579352.1, XP_036586814.1	XP_066008816.1
OG0000847	XP_036584379.1, XP_036580780.1	XP_031876981.2, XP_066008088.1
OG0000848	XP_036577702.1, XP_036580798.1	XP_031887934.1
OG0000849	XP_036577813.1	XP_031882678.1, XP_066007271.1
OG0000850	XP_036577010.1	XP_031883616.1
OG0000851	XP_036588233.1	XP_066006754.1, XP_031875500.1, XP_066006863.1, XP_066007473.1
OG0000852	XP_036583107.1	XP_031884357.1
OG0000852	XP_036583811.1	XP_031884216.1
OG0000853	XP_036581246.1	XP_031879063.1
OG0000854	XP_036581285.1	XP_031890282.1
OG0000855	XP_036575651.1	XP_031885740.1
OG0000856	XP_036575650.1	XP_031878547.1, XP_031885741.1
OG0000857	XP_036577350.1	XP_066008721.1
OG0000858	XP_036580443.1	XP_031876567.1
OG0000859	XP_036574149.1	XP_031888779.1
OG0000860	XP_036580403.1	XP_031880342.1, XP_031893598.1
OG0000861	XP_036588788.1	XP_066008206.1
OG0000862	XP_036584128.1	XP_031881828.2
OG0000864	XP_036574634.1	XP_031876065.1
OG0000865	XP_036576009.1	XP_066009795.1
OG0000866	XP_070061073.1	XP_031889830.2, XP_031889302.1
OG0000868	XP_070060477.1	XP_031893500.1, XP_031879748.1
OG0000869	XP_036574380.2	XP_031881722.1
OG0000870	XP_036574359.1	XP_031891194.1, XP_031893581.1
OG0000871	XP_070060516.1	XP_066008728.1, XP_066009238.1
OG0000872	XP_036575287.1	XP_031875504.1, XP_031893519.1
OG0000873	XP_036574270.1	XP_031890115.1
OG0000874	XP_036582232.1	XP_031877346.1
OG0000875	XP_070061043.1	XP_066007875.1
OG0000876	XP_036574339.1	XP_031884631.2
OG0000877	XP_036586597.1	XP_031886666.1, XP_031892334.1
OG0000878	XP_070060917.1	XP_031889928.2
OG0000879	XP_036575574.1	XP_031876147.1, XP_031889516.1
OG0000880	XP_036582228.1	XP_031879588.1, XP_031877367.1
OG0000881	XP_036584460.1	XP_031878518.1
OG0000882	XP_036582193.1	XP_031889932.1, XP_031876881.1
OG0000883	XP_036575454.1	XP_031878695.2, XP_031875709.1
OG0000884	XP_070061085.1	XP_031888151.1
OG0000885	XP_036575173.1	XP_066008601.1
OG0000885	XP_036576064.1	XP_031879172.1
OG0000886	XP_036577304.1	XP_031880834.1
OG0000886	XP_036575494.2	XP_031891905.1
OG0000887	XP_036587110.1	XP_031885826.1
OG0000889	XP_036586464.1	XP_031883533.1, XP_031880947.1
OG0000890	XP_070060739.1	XP_031876058.1, XP_031891674.1
OG0000891	XP_036578089.1	XP_031876811.1, XP_031892269.1
OG0000892	XP_036587026.1	XP_066009866.1
OG0000893	XP_036586980.1	XP_031885792.1
OG0000894	XP_036581806.1	XP_031890297.1, XP_031884068.2
OG0000895	XP_070061610.1	XP_031892908.1
OG0000895	XP_036582016.1	XP_031888814.1
OG0000896	XP_036589351.1	XP_031887438.1, XP_031887302.2
OG0000897	XP_036589452.2, XP_070062273.1	XP_031892549.1, XP_031892627.2
OG0000898	XP_036574784.1	XP_031889907.1
OG0000898	XP_036589750.1	XP_031889381.2
OG0000899	XP_070062333.1	XP_066007490.1, XP_031893435.1, XP_066008999.1, XP_066009000.1
OG0000900	XP_036575411.1	XP_031893530.1
OG0000901	XP_036581013.1	XP_031885983.2, XP_031887916.1
OG0000902	XP_036580998.1	XP_031886138.1
OG0000903	XP_036580935.1	XP_031886054.1
OG0000903	XP_036589063.1	XP_031879940.1
OG0000904	XP_036577182.1, XP_036577346.1	XP_031875991.1
OG0000905	XP_036579511.1	XP_066008854.1
OG0000907	XP_036578795.1	XP_031888039.1, XP_066007919.1
OG0000908	XP_036578794.1	XP_031888040.2, XP_031889623.1
OG0000909	XP_036576561.1, XP_036584593.1, XP_036589986.1, XP_036586793.1	XP_066008701.1
OG0000911	XP_036578586.1, XP_036589845.1, XP_036576877.1, XP_036577124.1, XP_036581091.1	XP_031881237.2
OG0000913	XP_036574964.1, XP_036575812.1, XP_070059767.1, XP_036577799.1, XP_070059776.1	XP_031875453.1
OG0000916	XP_036577938.1	XP_031877300.2
OG0000916	XP_036576673.1	XP_031882984.2
OG0000917	XP_036576579.1, XP_036584580.1, XP_036574240.1, XP_070059830.1	XP_031877534.1, XP_066009061.1, XP_031880618.2, XP_066007343.1
OG0000918	XP_036575242.2, XP_070060876.1	XP_031880044.1
OG0000918	XP_036577675.1	XP_031888804.1
OG0000919	XP_036578653.1	XP_031880343.1, XP_031891142.1
OG0000920	XP_036574173.1	XP_031880505.1, XP_066009100.1, XP_066009129.1
OG0000921	XP_036587739.1	XP_031885376.1
OG0000922	XP_036574278.1	XP_031883860.1
OG0000923	XP_036588038.1	XP_031884531.1, XP_031890861.1
OG0000924	XP_036579848.1	XP_066008677.1
OG0000925	XP_036578264.1	XP_031886217.2
OG0000925	XP_070060129.1	XP_066009472.1
OG0000928	XP_036575296.2	XP_066009013.1
OG0000929	XP_036576859.1	XP_031875841.1
OG0000931	XP_070062593.1	XP_031887707.1
OG0000934	XP_036578570.1	XP_031884178.1
OG0000935	XP_036576178.1	XP_031892913.2
OG0000936	XP_036585708.2	XP_031882780.1
OG0000937	XP_036579930.1	XP_031877889.1
OG0000938	XP_036579068.1	XP_031891765.2
OG0000939	XP_070061727.1	XP_031877858.1
OG0000940	XP_036580545.2	XP_031888476.1
OG0000941	XP_036575873.1	XP_031877158.1
OG0000943	XP_036583156.1	XP_031886202.1
OG0000944	XP_036586374.1	XP_031889498.1
OG0000945	XP_036583111.1	XP_031890216.1
OG0000946	XP_036581097.1	XP_031876355.1
OG0000947	XP_036576200.1	XP_066006717.1
OG0000947	XP_036576201.1	XP_031875794.1
OG0000949	XP_036581802.1	XP_031877917.1
OG0000951	XP_036576966.1	XP_066008859.1, XP_031883591.1
OG0000953	XP_036581780.1	XP_031888015.1
OG0000955	XP_036576529.1	XP_031877601.1
OG0000956	XP_070060284.1	XP_066008787.1, XP_066008786.1
OG0000957	XP_036576357.1	XP_031890857.1
OG0000958	XP_070059899.1	XP_031889666.1, XP_031892637.1
OG0000959	XP_036577162.2	XP_031877398.2
OG0000960	XP_036588508.1, XP_036574554.1, XP_036577158.1	XP_031877397.1
OG0000961	XP_036589989.1	XP_031875675.1
OG0000962	XP_036581144.1, XP_036581644.1	XP_031876384.1
OG0000963	XP_036587249.1	XP_031878273.1
OG0000964	XP_036586271.1, XP_036576954.1, XP_036587239.2	XP_031878266.1
OG0000965	XP_036581682.1	XP_031893515.1, XP_066007138.1
OG0000967	XP_036585652.1	XP_031888527.1, XP_031884530.1
OG0000969	XP_036586270.2, XP_036576963.1, XP_036588795.2	XP_031891342.2
OG0000970	XP_070060371.1	XP_031878993.1
OG0000971	XP_036588778.1	XP_031891262.1
OG0000972	XP_036588782.2	XP_031891264.1
OG0000974	XP_036582583.1	XP_031883976.1
OG0000975	XP_036589007.2	XP_031877687.1
OG0000976	XP_036578561.1	XP_031884420.1
OG0000977	XP_036578546.1	XP_031884446.1
OG0000978	XP_036578524.1	XP_031884615.1
OG0000979	XP_036589136.1	XP_031882571.1
OG0000979	XP_036578502.1	XP_031884514.1
OG0000980	XP_036585971.1, XP_036576315.1	XP_031878072.1
OG0000981	XP_036585952.1	XP_031878066.1
OG0000982	XP_036589792.1, XP_070061718.1, XP_036577117.1	XP_031879366.1
OG0000983	XP_036574642.1	XP_031881653.1
OG0000984	XP_036575605.1	XP_031884089.1, XP_031881684.1
OG0000985	XP_070061332.1	XP_031881683.1
OG0000986	XP_036588255.1	XP_066009394.1
OG0000988	XP_036577109.1, XP_036577892.1	XP_031877095.1
OG0000989	XP_036583423.1	XP_031878808.1, XP_031879831.1
OG0000990	XP_070061224.1	XP_031879816.1
OG0000991	XP_070062345.1	XP_031889494.1
OG0000992	XP_036576423.1, XP_036576520.1	XP_031876760.1
OG0000993	XP_036581822.1	XP_031888903.2
OG0000994	XP_036577973.1	XP_066009026.1, XP_031876053.2
OG0000995	XP_036587385.1	XP_031886653.1
OG0000996	XP_036575062.1, XP_070060476.1, XP_036587262.1	XP_031879534.1
OG0000997	XP_036575054.2	XP_031883988.1
OG0000999	XP_036582439.1	XP_066007736.1
OG0001000	XP_036576441.1	XP_031881250.2
OG0001002	XP_036582492.1	XP_066009685.1, XP_031881415.2
OG0001003	XP_070060991.1	XP_066006861.1, XP_031875587.2, XP_031890366.1
OG0001004	XP_036587452.1	XP_031890393.1
OG0001006	XP_036586324.1	XP_031878109.1
OG0001007	XP_036583827.1, XP_036586213.1	XP_031875800.1
OG0001010	XP_036586526.1	XP_031886584.1
OG0001011	XP_036578702.1	XP_031891166.1, XP_031891165.1
OG0001012	XP_036586326.1, XP_036576220.1, XP_036582590.1	XP_031892196.1
OG0001013	XP_036578188.1	XP_031891809.1
OG0001014	XP_036576243.1	XP_031891796.1
OG0001015	XP_070059802.1	XP_031887237.1
OG0001016	XP_036585184.1	XP_066009960.1
OG0001017	XP_036574701.1	XP_031879755.1
OG0001018	XP_036584748.1	XP_031885269.2
OG0001020	XP_036586901.1	XP_031878966.1
OG0001021	XP_036577343.1	XP_031883115.1
OG0001022	XP_036588669.1	XP_066009506.1, XP_066009567.1
OG0001023	XP_036584549.1	XP_031878792.1
OG0001024	XP_036580876.1	XP_031887869.1, XP_031887872.1
OG0001025	XP_036576706.1	XP_031879599.1
OG0001027	XP_036576356.1	XP_031884852.1
OG0001028	XP_036582085.1	XP_031882256.1
OG0001030	XP_036579718.1	XP_031884796.1
OG0001031	XP_036581286.1, XP_036585480.1, XP_036584539.1	XP_031888332.1
OG0001032	XP_036582240.1, XP_036581755.1, XP_070060931.1	XP_031883108.1
OG0001033	XP_036583933.1, XP_036574325.1	XP_031881464.1
OG0001034	XP_036583919.1	XP_031884189.1
OG0001035	XP_070061602.1	XP_031884198.1
OG0001036	XP_036583993.1	XP_031877082.2
OG0001037	XP_070061580.1	XP_031877073.1, XP_031877037.1
OG0001038	XP_070060820.1	XP_066006929.1, XP_031890713.1
OG0001039	XP_036587350.1	XP_031883148.1
OG0001040	XP_036589205.1	XP_031880425.1
OG0001041	XP_036580183.1	XP_031891997.1
OG0001042	XP_070060061.1	XP_031888889.2, XP_031880336.1, XP_031893385.1
OG0001043	XP_070061831.1	XP_031892059.1
OG0001044	XP_070061830.1	XP_031886506.2, XP_031892055.1
OG0001047	XP_070060437.1	XP_066008830.1
OG0001048	XP_036588496.1, XP_036576602.1	XP_031883199.1
OG0001049	XP_036586284.1, XP_036581230.1, XP_036577192.1	XP_031878667.1
OG0001050	XP_070060566.1	XP_031893340.1
OG0001051	XP_070060618.1, XP_070060617.1, XP_036584917.2	XP_031882404.1
OG0001052	XP_036584937.1	XP_031882436.2
OG0001053	XP_070062219.1	XP_031882363.1
OG0001054	XP_036583848.2	XP_031880969.1, XP_066009958.1
OG0001056	XP_036586116.2	XP_031879491.1
OG0001057	XP_036580089.1	XP_031878914.1
OG0001058	XP_036576434.1	XP_031881262.1, XP_031888766.1
OG0001059	XP_036588172.2	XP_031880156.1
OG0001060	XP_036587992.1	XP_031891057.1
OG0001061	XP_036582140.2	XP_031878534.1
OG0001062	XP_036588040.1	XP_031891085.1
OG0001063	XP_036579735.1	XP_031884749.1
OG0001064	XP_036575671.1	XP_031878500.2
OG0001066	XP_036576484.1	XP_031890094.1, XP_031878755.1
OG0001067	XP_036580038.1, XP_036577804.1	XP_066007210.1
OG0001068	XP_036589773.1	XP_031889214.1
OG0001069	XP_036582275.1	XP_066007814.1
OG0001070	XP_036581277.1	XP_031890190.2
OG0001072	XP_036575645.1	XP_031891827.1, XP_031885744.1
OG0001074	XP_036581133.1	XP_031881903.1
OG0001075	XP_070061147.1	XP_031879156.2
OG0001076	XP_036574375.1	XP_031881895.1
OG0001077	XP_036579897.1	XP_031881312.1
OG0001078	XP_036579098.1, XP_036583805.1	XP_031877235.1
OG0001080	XP_070060054.1	XP_066007642.1, XP_031893589.2
OG0001081	XP_036580329.1	XP_031893234.1
OG0001082	XP_036580324.1	XP_031893282.1
OG0001083	XP_036577925.2	XP_031877133.1, XP_066009233.1
OG0001084	XP_036584141.2	XP_031881746.1, XP_031891845.1
OG0001085	XP_036587600.1	XP_066007898.1, XP_066007897.1, XP_031876771.1
OG0001086	XP_036587606.1	XP_031889984.1
OG0001087	XP_036582701.1, XP_036587677.1	XP_031890198.1
OG0001088	XP_036587187.2, XP_036583649.1	XP_031879397.1
OG0001089	XP_036584835.1	XP_031876948.1
OG0001090	XP_036579514.2	XP_031893592.1, XP_031877155.1
OG0001091	XP_070059836.1, XP_036577175.2	XP_066009679.1
OG0001092	XP_036575138.1	XP_066009677.1
OG0001093	XP_036574975.1	XP_031886402.1
OG0001094	XP_036578436.1	XP_031886977.1
OG0001095	XP_036574483.2	XP_031888033.1
OG0001096	XP_036587100.1	XP_031885586.1
OG0001097	XP_036575981.1	XP_066009271.1
OG0001098	XP_036579037.1, XP_036575986.1, XP_036575987.1	XP_031893411.1
OG0001099	XP_036576491.1, XP_036576492.1, XP_036582722.1	XP_031893391.1
OG0001100	XP_070061388.1	XP_066008190.1, XP_066007547.1
OG0001101	XP_036587810.1	XP_031890787.1
OG0001102	XP_036574492.2	XP_031875996.1
OG0001104	XP_036585055.2	XP_031884319.1, XP_031882409.1
OG0001105	XP_036578170.1	XP_031892123.1
OG0001106	XP_036574632.1	XP_031888767.2, XP_031884549.1
OG0001107	XP_036574453.1	XP_031884502.2, XP_066007902.1
OG0001108	XP_070060063.1, XP_070060064.1	XP_031887724.2
OG0001109	XP_036575539.1	XP_031889504.1
OG0001111	XP_036587746.1, XP_036578935.1, XP_036578001.1	XP_031889821.1
OG0001112	XP_036582223.1	XP_031876863.1
OG0001113	XP_036582172.1	XP_031878527.1
OG0001114	XP_036586818.1	XP_031892025.1
OG0001115	XP_036585289.1	XP_031879714.1, XP_031888002.1
OG0001116	XP_070060364.1	XP_066008939.1
OG0001117	XP_036575142.1	XP_031888149.2, XP_031893168.1
OG0001118	XP_036576110.1	XP_066006742.1, XP_031879147.1
OG0001120	XP_036577312.2	XP_031880802.1
OG0001121	XP_036586499.1	XP_031880884.1
OG0001122	XP_036579082.1, XP_036586497.1	XP_031880889.1
OG0001123	XP_036586496.1	XP_031880888.1
OG0001125	XP_036586467.1	XP_031880946.1
OG0001126	XP_036586418.1	XP_031876081.1
OG0001127	XP_036587213.1	XP_031887530.1
OG0001128	XP_036587145.1	XP_031885849.2
OG0001129	XP_036577621.1	XP_031888717.1
OG0001130	XP_036581968.1	XP_031889000.1
OG0001131	XP_070060126.1	XP_031886455.1
OG0001132	XP_036582097.1, XP_070059850.1, XP_070059851.1	XP_031882246.1
OG0001133	XP_036582103.1	XP_031882131.1
OG0001135	XP_070059817.1, XP_036584486.1, XP_036584420.2, XP_036575430.1, XP_036576545.1, XP_036584626.1	XP_031880562.1, XP_066009019.1, XP_066009171.1
OG0001136	XP_036589486.1	XP_031892484.1, XP_031892485.1
OG0001137	XP_036589732.1	XP_066007625.1, XP_031875367.1, XP_031889186.1
OG0001139	XP_070060122.1	XP_031886484.1
OG0001140	XP_036582276.2	XP_031877348.2
OG0001141	XP_036577225.1	XP_066007508.1, XP_031888811.1
OG0001142	XP_036582346.1	XP_031888665.1, XP_031877631.1
OG0001143	XP_070061233.1	XP_031876491.1
OG0001144	XP_036580963.1	XP_031885890.1
OG0001145	XP_036578785.1	XP_031891140.1
OG0001146	XP_036589724.1	XP_031889405.1
OG0001147	XP_036584849.1	XP_031876019.1
OG0001148	XP_070060093.1	XP_066009910.1, XP_031884199.1
OG0001149	XP_070060128.1	XP_031886430.1
OG0001150	XP_036575350.2	XP_031886462.1, XP_031886461.1
OG0001151	XP_036584563.1	XP_031876967.2, XP_031879912.1
OG0001153	XP_036580316.1, XP_036589111.1, XP_036586733.1	XP_066008591.1
OG0001154	XP_036584590.1, XP_036576564.1	XP_031877585.1, XP_066009082.1, XP_066009131.1, XP_031877584.1
OG0001155	XP_070060673.1, XP_036576563.1	XP_031875656.2, XP_066009081.1, XP_031877583.1
OG0001156	XP_036583593.1	XP_031888979.2, XP_031877676.2
OG0001157	XP_036584565.1	XP_066008254.1
OG0001160	XP_036588903.2	XP_066008122.1
OG0001162	XP_036582563.1	XP_031893433.1, XP_031878817.1
OG0001163	XP_036589884.1	XP_031886775.1
OG0001163	XP_070061802.1	XP_031879972.1
OG0001165	XP_036588833.2	XP_066008263.1
OG0001169	XP_036581958.2	XP_031877905.1
OG0001169	XP_036581103.1	XP_031876346.1
OG0001170	XP_070060519.1, XP_070062193.1, XP_070061603.1, XP_070061607.1, XP_070062517.1, XP_070060636.1, XP_070060763.1, XP_036574317.1	XP_031877571.1
OG0001171	XP_036587232.1, XP_036587034.1, XP_070059912.1	XP_066007081.1, XP_066007953.1, XP_066007184.1, XP_031878132.1, XP_066007568.1, XP_066009096.1, XP_066009488.1
OG0001172	XP_036583874.2	XP_066009865.1
OG0001172	XP_036577209.1	XP_031878251.1
OG0001173	XP_070060077.1	XP_066008745.1
OG0001173	XP_036578953.2	XP_031880240.1
OG0001174	XP_036577402.1	XP_031881606.1, XP_066007294.1
OG0001175	XP_036574381.1	XP_031888754.2, XP_031881810.2
OG0001176	XP_070061612.1	XP_066009236.1, XP_031892974.1, XP_066008713.1, XP_031881853.1
OG0001177	XP_036586574.1	XP_031886569.1
OG0001177	XP_036586188.1	XP_031883312.2
OG0001178	XP_036585425.1	XP_031883869.1, XP_031884827.1
OG0001179	XP_070060962.1	XP_031889594.1
OG0001179	XP_036581868.2	XP_031886150.1
OG0001182	XP_070062655.1	XP_066007996.1
OG0001182	XP_036587718.1	XP_066007681.1
OG0001189	XP_036586231.1	XP_031878127.1
OG0001190	XP_036586352.1, XP_036575211.1	XP_031876648.1
OG0001191	XP_036586351.1, XP_036579089.1	XP_066007462.1
OG0001193	XP_036582523.1, XP_036589163.1	XP_031892562.1
OG0001194	XP_036588813.1	XP_031891598.1
OG0001195	XP_036586853.1	XP_031875917.1
OG0001196	XP_036575672.1, XP_036588348.1	XP_031887593.1
OG0001197	XP_036588693.1	XP_031877492.2
OG0001198	XP_036588376.1	XP_031887739.1
OG0001199	XP_036588420.1, XP_036579713.1	XP_031887475.1
OG0001200	XP_036588416.1	XP_031887671.1
OG0001201	XP_036588413.1	XP_031887666.1
OG0001202	XP_036588431.2	XP_031887675.1
OG0001203	XP_070062604.1	XP_031887678.1
OG0001204	XP_036588425.1	XP_031887497.1
OG0001205	XP_036588486.1	XP_031887701.1
OG0001206	XP_036588665.1	XP_031878613.2
OG0001207	XP_036588631.1	XP_031878642.1
OG0001208	XP_036586445.1	XP_066007358.1, XP_031877288.1
OG0001209	XP_036579042.1	XP_031883846.1
OG0001210	XP_036579044.1	XP_031883843.1
OG0001211	XP_070060628.1	XP_031890057.1
OG0001212	XP_036586354.1	XP_031878302.2
OG0001213	XP_036585705.1	XP_031882940.2
OG0001214	XP_036578964.1	XP_031881672.1
OG0001216	XP_036585208.1	XP_031877873.1
OG0001217	XP_036585207.1	XP_066008618.1, XP_031877882.1
OG0001218	XP_036588139.1	XP_031892813.1
OG0001220	XP_036580670.1	XP_031882817.1
OG0001221	XP_036588153.1	XP_031880113.1
OG0001223	XP_070061686.1	XP_031888508.1
OG0001224	XP_036588287.1	XP_031880540.1
OG0001225	XP_070062041.1	XP_031879509.2
OG0001226	XP_070061380.1	XP_066008177.1
OG0001227	XP_070061322.1	XP_066008119.1
OG0001228	XP_036575269.1	XP_031881688.1
OG0001229	XP_036584772.1	XP_066007128.1, XP_031878369.1
OG0001230	XP_036585624.1	XP_031888376.1
OG0001231	XP_036587980.1	XP_031890883.1
