HOG	OG	Gene Tree Parent Clade	Colletotrichum_abscissum	Colletotrichum_acutatum	Colletotrichum_fructicola	Colletotrichum_gloeosporioides	Colletotrichum_godetiae	Colletotrichum_karsti	Colletotrichum_siamense	Colletotrichum_truncatum
N5.HOG0000600	OG0000140	n7			XP_031883658.1	XP_045259405.1				
N5.HOG0000601	OG0000140	n13			XP_031890477.1				XP_036502711.1	
N5.HOG0000602	OG0000140	n15			XP_031886437.1	XP_045265504.1			XP_036501870.1	
N5.HOG0000603	OG0000140	n19				XP_045270912.1				
N5.HOG0000604	OG0000141	n1			XP_066007228.1	XP_045262993.1			XP_036495238.1, XP_036495150.1	
N5.HOG0000605	OG0000141	n10				XP_045266384.1				
N5.HOG0000606	OG0000141	n11			XP_066008506.1, XP_066008222.1, XP_066008187.1	XP_045261602.1			XP_036489222.1, XP_036492204.1, XP_036491952.1	
N5.HOG0000607	OG0000142	n1			XP_031889924.1	XP_045269779.1			XP_036491494.1	
N5.HOG0000608	OG0000142	n9			XP_031884947.1	XP_045271348.1			XP_036492837.1	
N5.HOG0000609	OG0000142	n13			XP_031879805.1	XP_045262179.1			XP_036492717.1	
N5.HOG0000610	OG0000143	n1			XP_031889746.1	XP_045265074.1			XP_036492295.1	
N5.HOG0000611	OG0000143	n8			XP_031883125.1	XP_045267117.1			XP_036495792.1	
N5.HOG0000612	OG0000143	n13			XP_031883833.1	XP_045264840.1			XP_036493496.1	
N5.HOG0000613	OG0000144	n1			XP_031877258.1	XP_045265947.1			XP_036488256.1	
N5.HOG0000614	OG0000144	n13			XP_031887529.1	XP_045262464.1			XP_036497676.1	
N5.HOG0000615	OG0000145	n1			XP_031888490.1	XP_045262875.1			XP_036502223.1	
N5.HOG0000616	OG0000145	n13			XP_031888158.1	XP_045261174.1			XP_036490778.1	
N5.HOG0000617	OG0000145	n15			XP_031879966.1	XP_045258128.1			XP_036502660.1	
N5.HOG0000618	OG0000145	n17			XP_031879543.1	XP_045261894.1			XP_036492036.1	
N5.HOG0000619	OG0000146	n1			XP_066009276.1, XP_066009128.1, XP_066007105.1, XP_066007331.1					
N5.HOG0000620	OG0000146	n11			XP_031877556.2	XP_045268140.1, XP_045267154.1				
N5.HOG0000621	OG0000147	n1			XP_066008113.1	XP_045266544.1			XP_036490977.1	
N5.HOG0000622	OG0000147	n14			XP_031880067.1	XP_045271008.1			XP_036488866.1	
N5.HOG0000623	OG0000147	n17			XP_031885603.1	XP_045269205.1			XP_036499958.1	
N5.HOG0000624	OG0000148	n1			XP_031883138.1	XP_045259911.1			XP_036495488.1	
N5.HOG0000625	OG0000148	n9			XP_031888635.1	XP_045263425.1			XP_036498689.1	
N5.HOG0000626	OG0000148	n16			XP_066007207.1				XP_036494079.1	
N5.HOG0000627	OG0000149	n6			XP_031878823.2	XP_045256651.1, XP_045265422.1			XP_036497533.1	
N5.HOG0000628	OG0000149	n12				XP_045263374.1			XP_036498354.1	
N5.HOG0000629	OG0000149	n13				XP_045263373.1			XP_036490766.1	
N5.HOG0000630	OG0000149	n16				XP_045265423.1, XP_045267475.1, XP_045268809.1			XP_036494972.1	
N5.HOG0000631	OG0000150	n0			XP_066008230.1, XP_031875377.2, XP_066006806.1, XP_066007001.1, XP_066006964.1, XP_031875235.2, XP_031875345.1, XP_066007053.1, XP_031875324.1, XP_066007066.1, XP_031892065.1	XP_045260460.1			XP_036487788.1, XP_036487760.1, XP_036487754.1, XP_036496497.1	
N5.HOG0000632	OG0000151	n1			XP_031878686.1	XP_045263000.1			XP_036494524.1	
N5.HOG0000633	OG0000151	n8			XP_031882334.1	XP_045263530.1			XP_036497381.1	
N5.HOG0000634	OG0000151	n16			XP_031893502.1	XP_045267237.1			XP_036494774.1	
N5.HOG0000635	OG0000151	n18			XP_031882174.1	XP_045263523.1			XP_036498310.1	
N5.HOG0000636	OG0000153	n2			XP_066008528.1, XP_066006750.1, XP_066008689.1, XP_066007354.1, XP_066007295.1, XP_066008934.1, XP_066006881.1, XP_066008349.1, XP_066008771.1, XP_066006868.1, XP_066007337.1, XP_066008669.1, XP_066006728.1					
N5.HOG0000637	OG0000153	n15			XP_066006999.1					
N5.HOG0000638	OG0000154	n1			XP_031893119.1	XP_045267240.1			XP_036494146.1	
N5.HOG0000639	OG0000154	n9			XP_031888847.1	XP_045258497.1			XP_036498647.1	
N5.HOG0000640	OG0000154	n12			XP_031887772.1	XP_045262413.1			XP_036498518.1	
N5.HOG0000641	OG0000155	n1			XP_031888162.1				XP_036490785.1	
N5.HOG0000642	OG0000155	n9			XP_031888011.2	XP_045261260.1			XP_036490678.1	
N5.HOG0000643	OG0000155	n13			XP_031884753.1	XP_045260166.1			XP_036493250.1	
N5.HOG0000644	OG0000156	n1			XP_031882714.1	XP_045265793.1			XP_036501147.1	
N5.HOG0000645	OG0000156	n11			XP_031877449.1	XP_045267623.1			XP_036502175.1	
N5.HOG0000646	OG0000156	n14			XP_031891987.1	XP_045260444.1			XP_036495587.1	
N5.HOG0000647	OG0000157	n2				XP_045257315.1			XP_036493669.1	
N5.HOG0000648	OG0000157	n10			XP_066008694.1	XP_045259878.1			XP_036496190.1	
N5.HOG0000649	OG0000157	n12				XP_045270121.1			XP_036499525.1	
N5.HOG0000650	OG0000157	n13			XP_066008341.1	XP_045259408.1			XP_036500358.1	
N5.HOG0000651	OG0000158	n5				XP_045257707.1				
N5.HOG0000652	OG0000158	n7			XP_031892152.1	XP_045260524.1			XP_036496419.1	
N5.HOG0000653	OG0000158	n11			XP_031887831.1	XP_045261225.1			XP_036490956.1	
N5.HOG0000654	OG0000159	n2			XP_031878844.1	XP_045261793.1			XP_036497407.1	
N5.HOG0000655	OG0000159	n11				XP_045257936.1			XP_036494422.1	
N5.HOG0000656	OG0000159	n13			XP_066008798.1	XP_045265217.1			XP_036495994.1	
N5.HOG0000657	OG0000159	n15			XP_066007555.1	XP_045258502.1, XP_045261060.1			XP_036488538.1	
N5.HOG0000658	OG0000160	n1			XP_031877326.1	XP_045259057.1			XP_036493326.1	
N5.HOG0000659	OG0000160	n15			XP_031889518.2	XP_045265070.1			XP_036492488.1	
N5.HOG0000660	OG0000160	n17			XP_031877513.1	XP_045256694.1			XP_036497074.1	
N5.HOG0000661	OG0000161	n1			XP_031892580.1	XP_045262216.1			XP_036493811.1	
N5.HOG0000662	OG0000161	n9			XP_031886505.1	XP_045265487.1			XP_036501964.1	
N5.HOG0000663	OG0000161	n11			XP_031880766.1	XP_045270352.1			XP_036497140.1	
N5.HOG0000664	OG0000162	n2			XP_031878810.1	XP_045261732.1			XP_036497552.1	
N5.HOG0000665	OG0000162	n8			XP_031879298.2, XP_031876288.1, XP_031876205.2, XP_066006936.1	XP_045267737.1			XP_036501451.1	
N5.HOG0000666	OG0000163	n10			XP_031891952.1, XP_031891955.1	XP_045264751.1			XP_036496169.1, XP_036496168.1	
N5.HOG0000667	OG0000163	n15							XP_036495352.1	
N5.HOG0000668	OG0000164	n1			XP_031886348.1	XP_045271038.1			XP_036499938.1	
N5.HOG0000669	OG0000164	n7			XP_031887623.2	XP_045262404.1			XP_036498727.1	
N5.HOG0000670	OG0000164	n11			XP_031892619.2	XP_045256343.1			XP_036490931.1	
N5.HOG0000671	OG0000164	n14			XP_031875936.2, XP_031883553.1	XP_045270027.1			XP_036499054.1	
N5.HOG0000672	OG0000165	n0			XP_066009775.1, XP_066006979.1, XP_066007652.1, XP_066006862.1, XP_066009366.1, XP_066007836.1, XP_066008300.1, XP_066008504.1, XP_066007853.1				XP_036492104.1	
N5.HOG0000673	OG0000166	n3			XP_031881119.2					
N5.HOG0000674	OG0000166	n4			XP_031881118.1	XP_045268995.1				
N5.HOG0000675	OG0000166	n11			XP_031881093.1	XP_045268991.1				
N5.HOG0000676	OG0000166	n12			XP_031881090.1	XP_045268994.1				
N5.HOG0000677	OG0000166	n14			XP_031881091.1	XP_045268993.1, XP_045268992.1			XP_036498143.1	
N5.HOG0000678	OG0000166	n17			XP_031880956.1	XP_045268990.1			XP_036498146.1	
N5.HOG0000679	OG0000167	n0			XP_066007510.1, XP_066008450.1, XP_031881202.2, XP_066008299.1, XP_066009300.1, XP_066006833.1, XP_066007651.1, XP_066009400.1, XP_066007082.1, XP_066007591.1, XP_066007183.1, XP_066007956.1, XP_066007495.1, XP_066007852.1, XP_066009770.1, XP_066008505.1, XP_066009288.1, XP_066007835.1, XP_066007453.1	XP_045261953.1				
N5.HOG0000680	OG0000169	n1			XP_066009579.1	XP_045263453.1			XP_036497798.1	
N5.HOG0000681	OG0000169	n12			XP_031877736.2	XP_045256494.1				
N5.HOG0000682	OG0000170	n11			XP_031884243.1	XP_045262940.1			XP_036491774.1, XP_036501767.1	
N5.HOG0000683	OG0000170	n15			XP_031889512.1	XP_045265064.1			XP_036491773.1	
N5.HOG0000684	OG0000171	n9			XP_031884556.1					
N5.HOG0000685	OG0000171	n11				XP_045269583.1				
N5.HOG0000686	OG0000171	n13			XP_031879658.2	XP_045257390.1			XP_036493192.1	
N5.HOG0000687	OG0000172	n1			XP_031882352.1	XP_045266696.1			XP_036489091.1	
N5.HOG0000688	OG0000172	n8			XP_031882708.1	XP_045265794.1			XP_036501146.1	
N5.HOG0000689	OG0000174	n1			XP_031876358.1	XP_045271027.1			XP_036499011.1	
N5.HOG0000690	OG0000174	n9			XP_031879226.1	XP_045266193.1			XP_036488124.1	
N5.HOG0000691	OG0000175	n1			XP_031877898.2	XP_045270053.1			XP_036498973.1	
N5.HOG0000692	OG0000175	n12			XP_031886170.1	XP_045265726.1			XP_036494605.1	
N5.HOG0000693	OG0000175	n15			XP_031886168.1	XP_045271158.1			XP_036499255.1	
N5.HOG0000694	OG0000176	n1				XP_045268222.1, XP_045268417.1, XP_045268153.1				
N5.HOG0000695	OG0000176	n8			XP_031886177.1	XP_045265727.1			XP_036494598.1	
N5.HOG0000696	OG0000176	n12				XP_045266063.1			XP_036487949.1	
N5.HOG0000697	OG0000177	n1			XP_066009403.1	XP_045257602.1			XP_036497203.1	
N5.HOG0000698	OG0000177	n11			XP_066007917.1				XP_036491963.1	
N5.HOG0000699	OG0000178	n1			XP_031876808.1	XP_045257121.1			XP_036499187.1	
N5.HOG0000700	OG0000178	n9			XP_066008054.1	XP_045266671.1			XP_036491788.1	
N5.HOG0000701	OG0000179	n2				XP_045256912.1			XP_036488941.1	
N5.HOG0000702	OG0000179	n4			XP_031892900.1	XP_045268759.1			XP_036493929.1	
N5.HOG0000703	OG0000179	n11			XP_031883808.1	XP_045264144.1			XP_036493552.1	
N5.HOG0000704	OG0000180	n1			XP_031891980.1	XP_045260430.1			XP_036495643.1	
N5.HOG0000705	OG0000180	n11			XP_031884439.1	XP_045258894.1			XP_036492059.1	
N5.HOG0000706	OG0000180	n14			XP_031877923.1	XP_045270077.1			XP_036499645.1	
N5.HOG0000707	OG0000181	n1			XP_031877144.1	XP_045263177.1			XP_036494003.1	
N5.HOG0000708	OG0000181	n8			XP_031892110.1	XP_045259217.1			XP_036495687.1	
N5.HOG0000709	OG0000182	n1			XP_031878954.1	XP_045267052.1			XP_036496154.1	
N5.HOG0000710	OG0000182	n9			XP_031883079.1	XP_045259868.1			XP_036496015.1	
N5.HOG0000711	OG0000183	n0			XP_031877540.1, XP_031875659.2, XP_066007202.1, XP_066007236.1, XP_031875869.2					
N5.HOG0000712	OG0000184	n3			XP_031883721.2, XP_031887336.1, XP_031885082.1, XP_066006812.1, XP_066008615.1, XP_031889288.2, XP_066006869.1, XP_031891068.2, XP_066006726.1, XP_031893285.2					
N5.HOG0000713	OG0000184	n13			XP_031875509.1, XP_066007286.1					
N5.HOG0000714	OG0000184	n15			XP_066006914.1, XP_066007185.1, XP_066006919.1, XP_066008940.1					
N5.HOG0000715	OG0000185	n1			XP_066009590.1	XP_045263630.1			XP_036498635.1	
N5.HOG0000716	OG0000185	n11			XP_031888068.2	XP_045268724.1			XP_036490457.1	
N5.HOG0000717	OG0000186	n1			XP_031885604.1	XP_045269206.1			XP_036499959.1	
N5.HOG0000718	OG0000186	n9			XP_031881742.1	XP_045259780.1			XP_036499076.1	
N5.HOG0000719	OG0000186	n11			XP_031893196.1	XP_045263180.1			XP_036494006.1	
N5.HOG0000720	OG0000187	n1				XP_045256990.1			XP_036499979.1	
N5.HOG0000721	OG0000187	n10				XP_045256994.1			XP_036500768.1	
N5.HOG0000722	OG0000187	n11				XP_045266151.1			XP_036488204.1	
N5.HOG0000723	OG0000187	n12			XP_031881436.2	XP_045260084.1			XP_036493178.1	
N5.HOG0000724	OG0000188	n1			XP_031883357.1	XP_045259714.1			XP_036500792.1	
N5.HOG0000725	OG0000188	n9			XP_031876837.1	XP_045257131.1			XP_036499188.1	
N5.HOG0000726	OG0000188	n12			XP_031879304.1	XP_045267833.1			XP_036501914.1	
N5.HOG0000727	OG0000189	n6			XP_031878927.2	XP_045267061.1			XP_036495325.1	
N5.HOG0000728	OG0000189	n10			XP_066007420.1	XP_045256543.1, XP_045260600.1			XP_036488658.1	
N5.HOG0000729	OG0000189	n14			XP_031878458.1	XP_045257751.1				
N5.HOG0000730	OG0000189	n16				XP_045267913.1			XP_036490130.1	
N5.HOG0000731	OG0000190	n5			XP_031880243.1	XP_045268117.1			XP_036489882.1	
N5.HOG0000732	OG0000190	n9			XP_031883417.2	XP_045260907.1			XP_036488180.1	
N5.HOG0000733	OG0000190	n12			XP_031883679.1	XP_045271077.1			XP_036500895.1	
N5.HOG0000734	OG0000190	n15			XP_031887848.1	XP_045261350.1			XP_036491038.1	
N5.HOG0000735	OG0000191	n2			XP_031878464.1	XP_045258970.1			XP_036493538.1	
N5.HOG0000736	OG0000191	n6			XP_031892880.1				XP_036490722.1	
N5.HOG0000737	OG0000191	n8			XP_031879403.1	XP_045267767.1			XP_036501546.1	
N5.HOG0000738	OG0000191	n13			XP_066008216.1				XP_036490219.1	
N5.HOG0000739	OG0000191	n15				XP_045266389.1				
N5.HOG0000740	OG0000191	n16			XP_066007923.1	XP_045258908.1			XP_036491601.1	
N5.HOG0000741	OG0000192	n4			XP_031883459.1	XP_045259379.1			XP_036500280.1	
N5.HOG0000742	OG0000192	n6			XP_066008664.1	XP_045267032.1			XP_036496103.1	
N5.HOG0000743	OG0000192	n9			XP_031886454.1	XP_045265478.1			XP_036500939.1	
N5.HOG0000744	OG0000192	n12			XP_031882333.1				XP_036497382.1	
N5.HOG0000745	OG0000192	n14			XP_031891147.1	XP_045263781.1			XP_036502724.1	
N5.HOG0000746	OG0000196	n1			XP_066008027.1	XP_045265901.1			XP_036491906.1	
N5.HOG0000747	OG0000196	n7			XP_031886028.1	XP_045260292.1			XP_036500133.1	
N5.HOG0000748	OG0000196	n10			XP_031885861.1	XP_045269336.1			XP_036499634.1	
N5.HOG0000749	OG0000197	n1			XP_031876338.1	XP_045260342.1			XP_036500614.1	
N5.HOG0000750	OG0000197	n10			XP_031887538.1	XP_045262445.1				
N5.HOG0000751	OG0000197	n14			XP_031878860.1	XP_045261777.1			XP_036498598.1	
N5.HOG0000752	OG0000198	n1			XP_031880440.1	XP_045266461.1			XP_036490260.1	
N5.HOG0000753	OG0000198	n9			XP_031884191.2	XP_045270186.1			XP_036501474.1	
N5.HOG0000754	OG0000199	n1			XP_031881514.2	XP_045264927.1			XP_036493172.1	
N5.HOG0000755	OG0000199	n8			XP_031878197.1	XP_045267696.1			XP_036501315.1	
N5.HOG0000756	OG0000199	n11			XP_031889276.1	XP_045268026.1			XP_036489674.1	
N5.HOG0000757	OG0000200	n1			XP_066009048.1, XP_066008141.1				XP_036491003.1	
N5.HOG0000758	OG0000200	n10				XP_045269788.1			XP_036491565.1	
N5.HOG0000759	OG0000200	n13			XP_031890725.1					
N5.HOG0000760	OG0000200	n16			XP_031890723.1					
N5.HOG0000761	OG0000201	n1			XP_031879948.1	XP_045258175.1			XP_036502792.1	
N5.HOG0000762	OG0000201	n10			XP_031880782.1	XP_045266036.1				
N5.HOG0000763	OG0000201	n11			XP_031884245.1	XP_045262938.1			XP_036501765.1	
N5.HOG0000764	OG0000201	n13			XP_066007102.1	XP_045257522.1			XP_036494156.1	
N5.HOG0000765	OG0000202	n1			XP_031893469.1				XP_036494717.1	
N5.HOG0000766	OG0000202	n10			XP_031885556.1	XP_045269319.1			XP_036500664.1	
N5.HOG0000767	OG0000203	n4				XP_045257266.1			XP_036500320.1	
N5.HOG0000768	OG0000203	n6			XP_031881029.2	XP_045269011.1			XP_036497905.1	
N5.HOG0000769	OG0000203	n9			XP_066009155.1				XP_036489470.1	
N5.HOG0000770	OG0000203	n13			XP_031889330.1	XP_045256864.1			XP_036489084.1	
N5.HOG0000771	OG0000204	n7			XP_031884050.1, XP_031884046.2, XP_031884045.1				XP_036493087.1, XP_036492902.1, XP_036493744.1, XP_036493555.1	
N5.HOG0000772	OG0000205	n1			XP_031882960.1	XP_045267125.1			XP_036495615.1	
N5.HOG0000773	OG0000205	n8			XP_031877930.1	XP_045270115.1			XP_036500617.1	
N5.HOG0000774	OG0000207	n1			XP_031877126.1	XP_045263179.1			XP_036494001.1	
N5.HOG0000775	OG0000207	n8			XP_031880403.1	XP_045266407.1			XP_036490861.1	
N5.HOG0000776	OG0000208	n4			XP_066008226.1, XP_066007732.1, XP_031875335.1, XP_031875333.1, XP_066007597.1, XP_066008312.1, XP_031885237.1	XP_045266874.1			XP_036487751.1, XP_036487786.1, XP_036495556.1	
N5.HOG0000777	OG0000208	n15			XP_031889663.1	XP_045269783.1				
N5.HOG0000778	OG0000209	n6			XP_031885758.1	XP_045269236.1			XP_036499242.1	
N5.HOG0000779	OG0000209	n9			XP_031885762.1	XP_045269233.1			XP_036500348.1	
N5.HOG0000780	OG0000209	n12				XP_045269243.1				
N5.HOG0000781	OG0000209	n13			XP_031885693.1	XP_045269237.1, XP_045269244.1			XP_036499239.1	
N5.HOG0000782	OG0000210	n1			XP_031889878.2	XP_045265138.1			XP_036492255.1	
N5.HOG0000783	OG0000210	n9			XP_066007303.1	XP_045258302.1, XP_045258304.1				
N5.HOG0000784	OG0000210	n14			XP_031876965.1					
N5.HOG0000785	OG0000211	n0				XP_045257705.1				
N5.HOG0000786	OG0000212	n1			XP_031881083.1	XP_045259625.1			XP_036498467.1	
N5.HOG0000787	OG0000212	n10			XP_031876057.1	XP_045261155.1			XP_036488059.1	
N5.HOG0000788	OG0000213	n3			XP_066009518.1, XP_066007604.1	XP_045261105.1			XP_036492973.1	
N5.HOG0000789	OG0000213	n7				XP_045266352.1			XP_036497168.1	
N5.HOG0000790	OG0000213	n9			XP_031881610.1	XP_045257301.1, XP_045265010.1, XP_045269545.1, XP_045266559.1			XP_036491093.1	
N5.HOG0000791	OG0000213	n15			XP_031887662.1	XP_045263010.1			XP_036494692.1	
N5.HOG0000792	OG0000214	n4			XP_031881265.1	XP_045261715.1			XP_036500340.1	
N5.HOG0000793	OG0000214	n8			XP_031888698.1	XP_045263460.1			XP_036498834.1	
N5.HOG0000794	OG0000214	n11			XP_031893287.1	XP_045263186.1			XP_036494080.1	
N5.HOG0000795	OG0000214	n14			XP_031886158.1	XP_045271149.1			XP_036500028.1	
N5.HOG0000796	OG0000216	n6			XP_031884282.1	XP_045259148.1			XP_036501076.1	
N5.HOG0000797	OG0000216	n8			XP_031886453.1	XP_045265479.1			XP_036500938.1	
N5.HOG0000798	OG0000216	n10			XP_031889686.1	XP_045269769.1			XP_036491331.1	
N5.HOG0000799	OG0000217	n1			XP_031884155.2				XP_036502890.1	
N5.HOG0000800	OG0000217	n6			XP_066008462.1	XP_045260327.1			XP_036499314.1	
N5.HOG0000801	OG0000218	n6			XP_031883612.1	XP_045271056.1			XP_036499974.1	
N5.HOG0000802	OG0000218	n10				XP_045265810.1				
N5.HOG0000803	OG0000218	n14			XP_031876862.1	XP_045258998.1				
N5.HOG0000804	OG0000218	n15				XP_045269449.1				
N5.HOG0000805	OG0000219	n2			XP_031883494.1	XP_045269967.1			XP_036499265.1	
N5.HOG0000806	OG0000219	n6			XP_031876123.2	XP_045269435.1			XP_036500913.1	
N5.HOG0000807	OG0000220	n1			XP_031893537.1	XP_045267270.1			XP_036494125.1	
N5.HOG0000808	OG0000220	n8			XP_031889643.1	XP_045269671.1			XP_036492393.1	
N5.HOG0000809	OG0000221	n5			XP_066009896.1	XP_045257182.1			XP_036499381.1	
N5.HOG0000810	OG0000221	n8			XP_031878290.1	XP_045257181.1			XP_036499379.1	
N5.HOG0000811	OG0000221	n11			XP_031878287.1					
N5.HOG0000812	OG0000221	n13			XP_031878288.1				XP_036499380.1	
N5.HOG0000813	OG0000222	n1			XP_031877985.1	XP_045258772.1			XP_036500876.1	
N5.HOG0000814	OG0000222	n8			XP_031885608.1	XP_045269245.1			XP_036500575.1	
N5.HOG0000815	OG0000223	n5			XP_066008369.1, XP_066009407.1				XP_036499061.1, XP_036498210.1	
N5.HOG0000816	OG0000223	n11			XP_031889263.1				XP_036489185.1	
N5.HOG0000817	OG0000224	n2			XP_031880532.1	XP_045270683.1			XP_036497609.1	
N5.HOG0000818	OG0000224	n12			XP_066008997.1	XP_045267246.1			XP_036494152.1	
N5.HOG0000819	OG0000224	n14			XP_066009863.1	XP_045269182.1			XP_036500014.1	
N5.HOG0000820	OG0000225	n1			XP_031889375.1	XP_045262317.1			XP_036489524.1	
N5.HOG0000821	OG0000225	n9			XP_031892168.1	XP_045268958.1			XP_036495584.1	
N5.HOG0000822	OG0000226	n1			XP_031888813.2	XP_045263381.1				
N5.HOG0000823	OG0000226	n6			XP_031887823.1	XP_045261410.1				
N5.HOG0000824	OG0000227	n1			XP_031876870.1	XP_045259003.1			XP_036493657.1	
N5.HOG0000825	OG0000227	n8			XP_031881032.2	XP_045257093.1, XP_045269037.1			XP_036498386.1	
N5.HOG0000826	OG0000228	n1			XP_031885764.1	XP_045269231.1			XP_036500151.1	
N5.HOG0000827	OG0000228	n8			XP_031884073.2	XP_045264164.1			XP_036493672.1	
N5.HOG0000828	OG0000229	n1			XP_031892114.1	XP_045259222.1			XP_036495685.1	
N5.HOG0000829	OG0000229	n8			XP_031885908.1	XP_045271148.1			XP_036500029.1	
N5.HOG0000830	OG0000230	n1			XP_031893104.2	XP_045268776.1			XP_036495219.1	
N5.HOG0000831	OG0000230	n8			XP_031892057.2	XP_045259256.1			XP_036495817.1	
N5.HOG0000832	OG0000230	n13				XP_045267066.1, XP_045271177.1				
N5.HOG0000833	OG0000231	n1			XP_031878898.1	XP_045266990.1			XP_036495954.1	
N5.HOG0000834	OG0000231	n8			XP_031880183.1	XP_045268102.1			XP_036489275.1	
N5.HOG0000835	OG0000232	n1			XP_031885108.1	XP_045266910.1			XP_036496182.1	
N5.HOG0000836	OG0000232	n9			XP_066007415.1	XP_045260983.1			XP_036488946.1	
N5.HOG0000837	OG0000233	n1			XP_031879100.2	XP_045257945.1			XP_036494997.1	
N5.HOG0000838	OG0000233	n11			XP_031877944.2	XP_045270081.1				
N5.HOG0000839	OG0000233	n15				XP_045262961.1				
N5.HOG0000840	OG0000234	n1			XP_031881677.1	XP_045266609.1			XP_036490459.1	
N5.HOG0000841	OG0000234	n7			XP_031884476.1	XP_045258872.1			XP_036491500.1	
N5.HOG0000842	OG0000235	n1			XP_031885114.1	XP_045259464.1			XP_036496671.1	
N5.HOG0000843	OG0000235	n8			XP_031887506.1	XP_045266345.1			XP_036497810.1	
N5.HOG0000844	OG0000236	n2			XP_031891031.1				XP_036488529.1	
N5.HOG0000845	OG0000236	n8			XP_066006762.1, XP_031876214.2, XP_031876318.1					
N5.HOG0000846	OG0000237	n1			XP_031889135.2	XP_045262285.1			XP_036490060.1	
N5.HOG0000847	OG0000237	n10				XP_045262107.1				
N5.HOG0000848	OG0000237	n11			XP_031881368.1	XP_045264988.1			XP_036493486.1	
N5.HOG0000849	OG0000238	n1			XP_031880382.1	XP_045266441.1			XP_036490870.1	
N5.HOG0000850	OG0000238	n7			XP_066008315.1, XP_066008101.1	XP_045266439.1, XP_045266440.1			XP_036490701.1, XP_036490505.1	
N5.HOG0000851	OG0000239	n1			XP_031880091.1	XP_045270980.1			XP_036488038.1	
N5.HOG0000852	OG0000239	n8			XP_031887185.1	XP_045268542.1			XP_036489762.1	
N5.HOG0000853	OG0000240	n0			XP_031876320.1, XP_066007149.1, XP_066009202.1, XP_031891123.1, XP_066006774.1	XP_045270926.1			XP_036488998.1	
N5.HOG0000854	OG0000241	n8			XP_031888065.1	XP_045261343.1				
N5.HOG0000855	OG0000242	n6			XP_031890067.1	XP_045261996.1			XP_036491798.1	
N5.HOG0000856	OG0000242	n9			XP_031881057.1	XP_045269075.1			XP_036498557.1	
N5.HOG0000857	OG0000242	n12				XP_045261307.1				
N5.HOG0000858	OG0000242	n13			XP_031889923.1	XP_045269778.1			XP_036492008.1	
N5.HOG0000859	OG0000243	n1			XP_031880869.1	XP_045266028.1				
N5.HOG0000860	OG0000243	n8			XP_066007465.1	XP_045266027.1				
N5.HOG0000861	OG0000244	n5				XP_045263066.1			XP_036494818.1	
N5.HOG0000862	OG0000244	n6			XP_066008473.1	XP_045264601.1			XP_036499301.1	
N5.HOG0000863	OG0000244	n9			XP_031883110.1, XP_031883109.1	XP_045267416.1, XP_045263065.1			XP_036496734.1	
N5.HOG0000864	OG0000244	n15			XP_031885953.1					
N5.HOG0000865	OG0000245	n0			XP_066008404.1, XP_066007971.1					
N5.HOG0000866	OG0000248	n0			XP_031887254.2	XP_045268442.1			XP_036489334.1	
N5.HOG0000867	OG0000249	n4				XP_045269262.1			XP_036500085.1	
N5.HOG0000868	OG0000249	n7			XP_031876298.2, XP_066009140.1					
N5.HOG0000869	OG0000249	n10			XP_031875584.1					
N5.HOG0000870	OG0000250	n1			XP_066008305.1	XP_045264556.1			XP_036490424.1	
N5.HOG0000871	OG0000250	n8			XP_031893467.1	XP_045268745.1			XP_036494588.1	
N5.HOG0000872	OG0000251	n1			XP_031875844.1	XP_045264704.1			XP_036499797.1	
N5.HOG0000873	OG0000251	n8			XP_031879335.1	XP_045267832.1			XP_036501913.1	
N5.HOG0000874	OG0000252	n1			XP_031879773.1	XP_045257720.1				
N5.HOG0000875	OG0000252	n9			XP_031892605.1					
N5.HOG0000876	OG0000252	n12			XP_031885018.2					
N5.HOG0000877	OG0000253	n1			XP_031885612.1	XP_045269240.1			XP_036500578.1	
N5.HOG0000878	OG0000253	n8			XP_031883425.1	XP_045260923.1			XP_036488727.1	
N5.HOG0000879	OG0000254	n4			XP_031883415.1	XP_045260903.1			XP_036488670.1	
N5.HOG0000880	OG0000254	n6				XP_045257744.1			XP_036493047.1	
N5.HOG0000881	OG0000254	n9			XP_031880698.1				XP_036498669.1	
N5.HOG0000882	OG0000255	n1			XP_031882041.1	XP_045265311.1			XP_036495878.1	
N5.HOG0000883	OG0000255	n8			XP_031890572.2	XP_045264054.1			XP_036501153.1	
N5.HOG0000884	OG0000256	n1			XP_031893402.1	XP_045267556.1			XP_036495029.1	
N5.HOG0000885	OG0000256	n8			XP_031888239.1	XP_045262627.1			XP_036500916.1	
N5.HOG0000886	OG0000257	n1			XP_066008568.1	XP_045256987.1			XP_036499216.1	
N5.HOG0000887	OG0000257	n8							XP_036499962.1	
N5.HOG0000888	OG0000258	n1			XP_031878160.1	XP_045260962.1			XP_036488823.1	
N5.HOG0000889	OG0000258	n8			XP_031877926.1	XP_045270075.1			XP_036500775.1	
N5.HOG0000890	OG0000259	n1			XP_031879986.1	XP_045258115.1			XP_036501678.1	
N5.HOG0000891	OG0000259	n8			XP_031881096.1	XP_045259585.1			XP_036498018.1	
N5.HOG0000892	OG0000260	n5			XP_031893328.1	XP_045257559.1			XP_036494380.1	
N5.HOG0000893	OG0000260	n9			XP_031888191.1	XP_045261251.1			XP_036491256.1	
N5.HOG0000894	OG0000260	n11			XP_031880983.1	XP_045259612.1			XP_036497116.1	
