HOG	OG	Gene Tree Parent Clade	Colletotrichum_abscissum	Colletotrichum_acutatum	Colletotrichum_fructicola	Colletotrichum_gloeosporioides	Colletotrichum_godetiae	Colletotrichum_karsti	Colletotrichum_siamense	Colletotrichum_truncatum
N3.HOG0001785	OG0000976	n1	XP_060402451.1							
N3.HOG0001786	OG0000976	n2	XP_060392761.1	XP_060366531.1						
N3.HOG0001787	OG0000977	n2	XP_060392785.1	XP_060366511.1						
N3.HOG0001788	OG0000978	n7	XP_060402734.1	XP_060357968.1						
N3.HOG0001789	OG0000978	n8	XP_060392813.1	XP_060366482.1						
N3.HOG0001790	OG0000979	n0	XP_060392822.1	XP_060366473.1						
N3.HOG0001791	OG0000980	n0	XP_060399573.1, XP_060392944.1	XP_060370718.1						
N3.HOG0001792	OG0000981	n1	XP_060392959.1	XP_060358189.1						
N3.HOG0001793	OG0000981	n8	XP_060402197.1							
N3.HOG0001794	OG0000982	n0	XP_060392982.1							
N3.HOG0001795	OG0000983	n0	XP_060393063.1	XP_060364303.1						
N3.HOG0001796	OG0000984	n2	XP_060397926.1, XP_060393069.1	XP_060367064.1						
N3.HOG0001797	OG0000985	n0	XP_060393112.1	XP_060362058.1						
N3.HOG0001798	OG0000986	n0	XP_060393179.1	XP_060369180.1						
N3.HOG0001799	OG0000987	n3	XP_060396185.1, XP_060393245.1							
N3.HOG0001800	OG0000987	n6	XP_060396189.1, XP_060397192.1, XP_060397281.1							
N3.HOG0001801	OG0000988	n0	XP_060393283.1	XP_060365930.1						
N3.HOG0001802	OG0000989	n0	XP_060393389.1	XP_060361289.1						
N3.HOG0001803	OG0000990	n3	XP_060393432.1	XP_060365822.1						
N3.HOG0001804	OG0000990	n6		XP_060365821.1						
N3.HOG0001805	OG0000991	n2	XP_060393456.1							
N3.HOG0001806	OG0000991	n3	XP_060393457.1							
N3.HOG0001807	OG0000991	n4		XP_060362592.1						
N3.HOG0001808	OG0000992	n1	XP_060397462.1	XP_060364924.1						
N3.HOG0001809	OG0000992	n7	XP_060393510.1							
N3.HOG0001810	OG0000993	n3	XP_060393610.1	XP_060363364.1, XP_060363365.1						
N3.HOG0001811	OG0000993	n6	XP_060401861.1	XP_060357467.1						
N3.HOG0001812	OG0000994	n0	XP_060393685.1	XP_060366934.1						
N3.HOG0001813	OG0000995	n1	XP_060403205.1							
N3.HOG0001814	OG0000995	n2	XP_060393752.1	XP_060360328.1						
N3.HOG0001815	OG0000996	n0	XP_060393867.1	XP_060359139.1						
N3.HOG0001816	OG0000997	n0	XP_060393876.1	XP_060361203.1, XP_060361202.1						
N3.HOG0001817	OG0000998	n3	XP_060404391.1	XP_060358838.1						
N3.HOG0001818	OG0000998	n5	XP_060394025.1	XP_060362657.1						
N3.HOG0001819	OG0000999	n5	XP_060394057.1	XP_060362014.1						
N3.HOG0001820	OG0000999	n7	XP_060405306.1	XP_060362881.1						
N3.HOG0001821	OG0001000	n0	XP_060394066.1	XP_060362000.1						
N3.HOG0001822	OG0001001	n1	XP_060394878.1	XP_060367573.1						
N3.HOG0001823	OG0001001	n6	XP_060394107.1	XP_060363170.1						
N3.HOG0001824	OG0001002	n0	XP_060394143.1	XP_060363203.1						
N3.HOG0001825	OG0001003	n0	XP_060394343.1	XP_060371934.1						
N3.HOG0001826	OG0001004	n1	XP_060394395.1	XP_060371979.1						
N3.HOG0001827	OG0001004	n8	XP_060397268.1							
N3.HOG0001828	OG0001005	n0	XP_060394425.1	XP_060372009.1						
N3.HOG0001829	OG0001006	n2	XP_060396049.1	XP_060360721.1						
N3.HOG0001830	OG0001006	n3	XP_060394495.1	XP_060365028.1						
N3.HOG0001831	OG0001007	n0	XP_060394564.1	XP_060358949.1						
N3.HOG0001832	OG0001008	n0	XP_060394575.1, XP_060395489.1	XP_060359362.1						
N3.HOG0001833	OG0001009	n0	XP_060394687.1	XP_060368260.1						
N3.HOG0001834	OG0001010	n0	XP_060394768.1	XP_060357790.1						
N3.HOG0001835	OG0001011	n0	XP_060394932.1	XP_060366410.1						
N3.HOG0001836	OG0001012	n0	XP_060394991.1	XP_060357135.1						
N3.HOG0001837	OG0001013	n1	XP_060399572.1							
N3.HOG0001838	OG0001013	n2	XP_060395015.1	XP_060361577.1						
N3.HOG0001839	OG0001014	n0	XP_060395042.1	XP_060361606.1						
N3.HOG0001840	OG0001015	n0	XP_060395047.1	XP_060361611.1						
N3.HOG0001841	OG0001016	n0	XP_060395054.1	XP_060361619.1						
N3.HOG0001842	OG0001017	n3	XP_060399006.1	XP_060358698.1						
N3.HOG0001843	OG0001017	n6	XP_060395113.1							
N3.HOG0001844	OG0001018	n2	XP_060395160.1	XP_060361112.1						
N3.HOG0001845	OG0001018	n8		XP_060359463.1						
N3.HOG0001846	OG0001019	n2	XP_060395167.1	XP_060359460.1						
N3.HOG0001847	OG0001019	n4	XP_060399291.1	XP_060359671.1, XP_060362983.1						
N3.HOG0001848	OG0001020	n5	XP_060405865.1	XP_060366809.1						
N3.HOG0001849	OG0001020	n7	XP_060395219.1	XP_060360569.1						
N3.HOG0001850	OG0001021	n0	XP_060395229.1	XP_060360580.1						
N3.HOG0001851	OG0001022	n0	XP_060395286.1							
N3.HOG0001852	OG0001023	n1	XP_060404047.1							
N3.HOG0001853	OG0001023	n4	XP_060395369.1	XP_060358790.1						
N3.HOG0001854	OG0001024	n0	XP_060395409.1	XP_060370218.1						
N3.HOG0001855	OG0001025	n0	XP_060395539.1	XP_060365548.1						
N3.HOG0001856	OG0001026	n1	XP_060398957.1							
N3.HOG0001857	OG0001026	n3	XP_060395663.1							
N3.HOG0001858	OG0001027	n0	XP_060395703.1	XP_060364181.1						
N3.HOG0001859	OG0001028	n0	XP_060395738.1	XP_060364143.1						
N3.HOG0001860	OG0001029	n1	XP_060395812.1	XP_060357306.1						
N3.HOG0001861	OG0001029	n5	XP_060398902.1	XP_060359942.1						
N3.HOG0001862	OG0001030	n0	XP_060395848.1	XP_060360670.1						
N3.HOG0001863	OG0001031	n0	XP_060395904.1	XP_060365126.1						
N3.HOG0001864	OG0001032	n0	XP_060396076.1	XP_060360248.1						
N3.HOG0001865	OG0001033	n0	XP_060396087.1	XP_060360259.1						
N3.HOG0001866	OG0001034	n0	XP_060396133.1	XP_060368416.1						
N3.HOG0001867	OG0001035	n0	XP_060396134.1	XP_060368415.1						
N3.HOG0001868	OG0001036	n0	XP_060396146.1	XP_060368401.1						
N3.HOG0001869	OG0001037	n0	XP_060396168.1	XP_060368380.1						
N3.HOG0001870	OG0001038	n0	XP_060396253.1	XP_060368518.1						
N3.HOG0001871	OG0001039	n0	XP_060396860.1	XP_060360851.1						
N3.HOG0001872	OG0001040	n0	XP_060397126.1	XP_060367917.1						
N3.HOG0001873	OG0001041	n0	XP_060397218.1, XP_060397222.1, XP_060401111.1	XP_060360177.1						
N3.HOG0001874	OG0001042	n0	XP_060397372.1							
N3.HOG0001875	OG0001044	n0	XP_060397394.1	XP_060364866.1						
N3.HOG0001876	OG0001045	n3		XP_060364932.1						
N3.HOG0001877	OG0001045	n6		XP_060364931.1						
N3.HOG0001878	OG0001046	n1	XP_060403044.1	XP_060359628.1						
N3.HOG0001879	OG0001046	n5	XP_060397483.1							
N3.HOG0001880	OG0001047	n0	XP_060397757.1	XP_060362190.1						
N3.HOG0001881	OG0001048	n0	XP_060397782.1							
N3.HOG0001882	OG0001049	n0	XP_060397939.1	XP_060363819.1						
N3.HOG0001883	OG0001050	n0	XP_060398000.1	XP_060363762.1						
N3.HOG0001884	OG0001051	n0	XP_060398044.1	XP_060360224.1						
N3.HOG0001885	OG0001052	n0	XP_060398073.1	XP_060360202.1						
N3.HOG0001886	OG0001053	n0	XP_060398133.1	XP_060368850.1						
N3.HOG0001887	OG0001054	n0	XP_060398270.1	XP_060364750.1						
N3.HOG0001888	OG0001055	n3	XP_060398532.1	XP_060370603.1						
N3.HOG0001889	OG0001055	n6	XP_060398533.1	XP_060370604.1						
N3.HOG0001890	OG0001056	n0	XP_060398588.1	XP_060370561.1						
N3.HOG0001891	OG0001057	n1	XP_060398595.1	XP_060370553.1						
N3.HOG0001892	OG0001058	n0	XP_060398709.1	XP_060363275.1						
N3.HOG0001893	OG0001059	n6	XP_060399705.1							
N3.HOG0001894	OG0001059	n7	XP_060398795.1	XP_060361546.1						
N3.HOG0001895	OG0001060	n2	XP_060398941.1							
N3.HOG0001896	OG0001061	n6	XP_060402986.1							
N3.HOG0001897	OG0001061	n7	XP_060398952.1	XP_060357978.1						
N3.HOG0001898	OG0001062	n1	XP_060398953.1	XP_060357977.1						
N3.HOG0001899	OG0001062	n7	XP_060399875.1	XP_060365947.1						
N3.HOG0001900	OG0001063	n0	XP_060398963.1	XP_060357971.1						
N3.HOG0001901	OG0001064	n2	XP_060402987.1	XP_060358623.1						
N3.HOG0001902	OG0001064	n7	XP_060398985.1	XP_060369329.1						
N3.HOG0001903	OG0001065	n1	XP_060399022.1							
N3.HOG0001904	OG0001065	n3	XP_060399401.1	XP_060358928.1						
N3.HOG0001905	OG0001066	n0	XP_060399249.1	XP_060363027.1						
N3.HOG0001906	OG0001067	n0	XP_060399258.1	XP_060363016.1						
N3.HOG0001907	OG0001068	n0	XP_060399321.1	XP_060359500.1						
N3.HOG0001908	OG0001069	n3	XP_060399394.1							
N3.HOG0001909	OG0001069	n7	XP_060405037.1	XP_060365593.1						
N3.HOG0001910	OG0001070	n1	XP_060403250.1	XP_060362869.1						
N3.HOG0001911	OG0001070	n5	XP_060399462.1							
N3.HOG0001912	OG0001071	n1	XP_060400545.1							
N3.HOG0001913	OG0001071	n3	XP_060405478.1, XP_060399476.1, XP_060400847.1, XP_060402144.1							
N3.HOG0001914	OG0001072	n0	XP_060399589.1							
N3.HOG0001915	OG0001073	n0	XP_060399634.1	XP_060360623.1						
N3.HOG0001916	OG0001074	n0	XP_060399676.1	XP_060364590.1						
N3.HOG0001917	OG0001075	n0	XP_060399679.1	XP_060364587.1						
N3.HOG0001918	OG0001076	n0	XP_060399683.1	XP_060364584.1						
N3.HOG0001919	OG0001077	n0	XP_060399777.1	XP_060363583.1						
N3.HOG0001920	OG0001078	n3	XP_060403403.1	XP_060361184.1						
N3.HOG0001921	OG0001078	n5	XP_060399872.1							
N3.HOG0001922	OG0001079	n5	XP_060403184.1	XP_060357328.1, XP_060363443.1						
N3.HOG0001923	OG0001079	n7	XP_060399886.1	XP_060357016.1						
N3.HOG0001924	OG0001080	n0	XP_060404038.1, XP_060399930.1	XP_060361043.1						
N3.HOG0001925	OG0001081	n0	XP_060399940.1	XP_060361052.1						
N3.HOG0001926	OG0001082	n0	XP_060399941.1	XP_060361053.1						
N3.HOG0001927	OG0001083	n0	XP_060399984.1	XP_060358303.1						
N3.HOG0001928	OG0001084	n0	XP_060400061.1	XP_060368255.1						
N3.HOG0001929	OG0001085	n0	XP_060400406.1	XP_060371815.1						
N3.HOG0001930	OG0001086	n0	XP_060400414.1	XP_060371808.1						
N3.HOG0001931	OG0001087	n0	XP_060400505.1	XP_060371720.1						
N3.HOG0001932	OG0001088	n0	XP_060400600.1	XP_060359229.1						
N3.HOG0001933	OG0001089	n6	XP_060405953.1	XP_060359833.1						
N3.HOG0001934	OG0001089	n8	XP_060400669.1							
N3.HOG0001935	OG0001090	n0	XP_060400681.1	XP_060357408.1						
N3.HOG0001936	OG0001091	n0	XP_060400684.1	XP_060357411.1						
N3.HOG0001937	OG0001092	n3	XP_060400685.1	XP_060357626.1						
N3.HOG0001938	OG0001092	n4	XP_060403163.1	XP_060363419.1						
N3.HOG0001939	OG0001093	n6	XP_060400728.1							
N3.HOG0001940	OG0001093	n7	XP_060406357.1	XP_060359917.1						
N3.HOG0001941	OG0001094	n0	XP_060400937.1	XP_060370331.1						
N3.HOG0001942	OG0001095	n0	XP_060400980.1	XP_060370374.1						
N3.HOG0001943	OG0001096	n1	XP_060401094.1							
N3.HOG0001944	OG0001096	n2	XP_060403724.1	XP_060368705.1						
N3.HOG0001945	OG0001097	n1	XP_060403679.1							
N3.HOG0001946	OG0001097	n2	XP_060401215.1	XP_060365242.1						
N3.HOG0001947	OG0001098	n0	XP_060401247.1	XP_060365207.1						
N3.HOG0001948	OG0001099	n0	XP_060401532.1	XP_060363921.1						
N3.HOG0001949	OG0001100	n0	XP_060401644.1	XP_060365343.1						
N3.HOG0001950	OG0001101	n2	XP_060401763.1	XP_060360117.1						
N3.HOG0001951	OG0001102	n2	XP_060404924.1							
N3.HOG0001952	OG0001102	n5	XP_060401831.1							
N3.HOG0001953	OG0001103	n0	XP_060402179.1	XP_060358612.1						
N3.HOG0001954	OG0001104	n0	XP_060402192.1	XP_060358601.1						
N3.HOG0001955	OG0001105	n2	XP_060402245.1	XP_060362530.1						
N3.HOG0001956	OG0001105	n4		XP_060364117.1						
N3.HOG0001957	OG0001106	n0	XP_060402258.1	XP_060362517.1						
N3.HOG0001958	OG0001107	n0	XP_060402294.1	XP_060362479.1						
N3.HOG0001959	OG0001108	n0	XP_060402354.1	XP_060367004.1						
N3.HOG0001960	OG0001109	n6	XP_060402731.1	XP_060357111.1						
N3.HOG0001961	OG0001109	n8		XP_060367397.1						
N3.HOG0001962	OG0001110	n0	XP_060402793.1	XP_060366871.1						
N3.HOG0001963	OG0001111	n0	XP_060402825.1	XP_060366906.1						
N3.HOG0001964	OG0001112	n0	XP_060402885.1	XP_060362433.1						
N3.HOG0001965	OG0001113	n0	XP_060402947.1	XP_060357937.1, XP_060357938.1, XP_060357936.1						
N3.HOG0001966	OG0001114	n0	XP_060402948.1	XP_060357935.1						
N3.HOG0001967	OG0001115	n2	XP_060403036.1	XP_060359620.1						
N3.HOG0001968	OG0001115	n8		XP_060357694.1						
N3.HOG0001969	OG0001116	n0	XP_060403058.1	XP_060357527.1						
N3.HOG0001970	OG0001117	n0	XP_060403159.1	XP_060363414.1						
N3.HOG0001971	OG0001118	n0	XP_060403262.1	XP_060362858.1						
N3.HOG0001972	OG0001119	n5	XP_060403277.1	XP_060362844.1						
N3.HOG0001973	OG0001119	n7	XP_060406517.1	XP_060369831.1						
N3.HOG0001974	OG0001120	n0	XP_060403384.1	XP_060361161.1						
N3.HOG0001975	OG0001121	n2	XP_060403431.1	XP_060358722.1						
N3.HOG0001976	OG0001122	n0	XP_060403433.1	XP_060358724.1						
N3.HOG0001977	OG0001123	n2	XP_060403440.1	XP_060358728.1						
N3.HOG0001978	OG0001124	n0	XP_060403492.1	XP_060364498.1						
N3.HOG0001979	OG0001125	n0	XP_060403526.1	XP_060364468.1						
N3.HOG0001980	OG0001126	n1	XP_060403543.1	XP_060364451.1						
N3.HOG0001981	OG0001127	n0	XP_060403639.1	XP_060362765.1						
N3.HOG0001982	OG0001128	n0	XP_060403761.1	XP_060368669.1						
N3.HOG0001983	OG0001129	n0	XP_060404085.1	XP_060361359.1						
N3.HOG0001984	OG0001130	n1	XP_060404271.1	XP_060357554.1						
N3.HOG0001985	OG0001131	n0	XP_060404398.1	XP_060358846.1						
N3.HOG0001986	OG0001132	n0	XP_060404447.1	XP_060360000.1						
N3.HOG0001987	OG0001133	n0	XP_060404458.1	XP_060359990.1						
N3.HOG0001988	OG0001134	n0	XP_060404533.1, XP_060404955.1	XP_060359345.1, XP_060362960.1, XP_060359075.1						
N3.HOG0001989	OG0001135	n0	XP_060404535.1							
N3.HOG0001990	OG0001136	n0	XP_060404729.1	XP_060365450.1						
N3.HOG0001991	OG0001137	n0	XP_060404901.1	XP_060362317.1						
N3.HOG0001992	OG0001138	n0	XP_060404917.1	XP_060362958.1, XP_060359342.1						
N3.HOG0001993	OG0001139	n5	XP_060406190.1	XP_060371343.1						
N3.HOG0001994	OG0001139	n8	XP_060404976.1							
N3.HOG0001995	OG0001140	n0	XP_060405036.1	XP_060365591.1						
N3.HOG0001996	OG0001141	n0	XP_060405060.1	XP_060357262.1, XP_060365618.1						
N3.HOG0001997	OG0001142	n0	XP_060405104.1	XP_060365661.1						
N3.HOG0001998	OG0001143	n0	XP_060405127.1	XP_060365886.1						
N3.HOG0001999	OG0001144	n0	XP_060405261.1	XP_060367737.1						
N3.HOG0002000	OG0001145	n0	XP_060405353.1	XP_060362932.1						
N3.HOG0002001	OG0001146	n1		XP_060362714.1						
N3.HOG0002002	OG0001146	n2	XP_060405484.1	XP_060362329.1						
N3.HOG0002003	OG0001147	n0	XP_060405971.1	XP_060359814.1						
N3.HOG0002004	OG0001148	n0	XP_060406051.1	XP_060371221.1						
N3.HOG0002005	OG0001149	n0	XP_060406276.1	XP_060371423.1						
N3.HOG0002006	OG0001150	n2	XP_060406293.1							
N3.HOG0002007	OG0001150	n6	XP_060406292.1							
N3.HOG0002008	OG0001151	n0	XP_060406315.1	XP_060371450.1						
N3.HOG0002009	OG0001152	n0	XP_060406455.1	XP_060368066.1						
N3.HOG0002010	OG0001153	n0	XP_060406589.1	XP_060369758.1						
N3.HOG0002011	OG0001154	n0		XP_060357138.1						
N3.HOG0002012	OG0001155	n0		XP_060357252.1, XP_060357139.1						
N3.HOG0002013	OG0001156	n0		XP_060357431.1						
N3.HOG0002014	OG0001157	n4		XP_060362962.1						
N3.HOG0002015	OG0001157	n7		XP_060359077.1, XP_060359347.1						
N3.HOG0002016	OG0001158	n1		XP_060359207.1						
N3.HOG0002017	OG0001158	n4		XP_060363663.1, XP_060359208.1						
N3.HOG0002018	OG0001159	n0		XP_060360971.1						
N3.HOG0002019	OG0001160	n1		XP_060361818.1						
N3.HOG0002020	OG0001160	n6		XP_060361817.1						
N3.HOG0002021	OG0001161	n0		XP_060362584.1						
N3.HOG0002022	OG0001162	n0		XP_060362599.1						
N3.HOG0002023	OG0001163	n0		XP_060364953.1						
N3.HOG0002024	OG0001164	n0		XP_060367398.1						
N3.HOG0002025	OG0001165	n0		XP_060371535.1						
N3.HOG0002026	OG0001186	n3	XP_060400540.1	XP_060358864.1						
N3.HOG0002027	OG0001186	n5	XP_060389384.1							
N3.HOG0002028	OG0001187	n1	XP_060398742.1							
N3.HOG0002029	OG0001187	n5	XP_060400854.1							
N3.HOG0002030	OG0001187	n6	XP_060389403.1, XP_060398741.1							
N3.HOG0002031	OG0001188	n3	XP_060400278.1, XP_060400842.1							
N3.HOG0002032	OG0001188	n5	XP_060389415.1							
N3.HOG0002033	OG0001189	n3	XP_060389425.1							
N3.HOG0002034	OG0001189	n6	XP_060394540.1	XP_060365065.1						
N3.HOG0002035	OG0001190	n0	XP_060389454.1	XP_060357435.1						
N3.HOG0002036	OG0001191	n0	XP_060389455.1	XP_060357436.1						
N3.HOG0002037	OG0001192	n0	XP_060389467.1	XP_060364976.1						
N3.HOG0002038	OG0001193	n0	XP_060389492.1	XP_060359867.1						
N3.HOG0002039	OG0001194	n0	XP_060392395.1, XP_060389515.1	XP_060366153.1						
N3.HOG0002040	OG0001195	n1	XP_060389518.1							
N3.HOG0002041	OG0001195	n3	XP_060396058.1							
N3.HOG0002042	OG0001196	n0	XP_060389611.1	XP_060369627.1						
N3.HOG0002043	OG0001197	n6	XP_060395247.1	XP_060360033.1						
N3.HOG0002044	OG0001197	n7	XP_060389624.1	XP_060369614.1						
N3.HOG0002045	OG0001198	n0	XP_060389657.1	XP_060369584.1						
N3.HOG0002046	OG0001199	n0	XP_060389699.1	XP_060369545.1						
N3.HOG0002047	OG0001200	n0	XP_060389703.1	XP_060369541.1						
N3.HOG0002048	OG0001201	n0	XP_060389706.1	XP_060369538.1						
N3.HOG0002049	OG0001202	n0	XP_060389774.1	XP_060369462.1						
N3.HOG0002050	OG0001203	n0	XP_060389777.1	XP_060369459.1						
N3.HOG0002051	OG0001204	n0	XP_060389788.1	XP_060364564.1, XP_060359553.1						
N3.HOG0002052	OG0001205	n0	XP_060405469.1, XP_060389793.1	XP_060359551.1						
N3.HOG0002053	OG0001206	n0	XP_060389878.1	XP_060357022.1, XP_060362104.1						
N3.HOG0002054	OG0001207	n0	XP_060389927.1	XP_060363472.1						
N3.HOG0002055	OG0001208	n0	XP_060389989.1	XP_060359594.1						
N3.HOG0002056	OG0001209	n0	XP_060390092.1	XP_060359399.1						
N3.HOG0002057	OG0001210	n0	XP_060390094.1	XP_060359397.1						
N3.HOG0002058	OG0001211	n0	XP_060390154.1, XP_060399884.1	XP_060357218.1						
N3.HOG0002059	OG0001212	n0	XP_060397213.1, XP_060390157.1, XP_060395806.1	XP_060357585.1						
N3.HOG0002060	OG0001213	n0	XP_060390191.1	XP_060370807.1						
N3.HOG0002061	OG0001214	n0	XP_060390226.1, XP_060403324.1	XP_060360506.1						
N3.HOG0002062	OG0001215	n6	XP_060390228.1	XP_060358350.1						
N3.HOG0002063	OG0001215	n7	XP_060391895.1	XP_060359698.1						
N3.HOG0002064	OG0001216	n0	XP_060390374.1, XP_060390377.1	XP_060369326.1						
N3.HOG0002065	OG0001217	n0	XP_060390378.1	XP_060369327.1						
N3.HOG0002066	OG0001218	n0	XP_060390418.1							
N3.HOG0002067	OG0001219	n0	XP_060395171.1, XP_060392435.1, XP_060391689.1, XP_060391683.1, XP_060392436.1, XP_060399411.1, XP_060390438.1	XP_060358045.1, XP_060364360.1						
N3.HOG0002068	OG0001220	n0	XP_060390457.1	XP_060357021.1, XP_060369390.1						
N3.HOG0002069	OG0001221	n0	XP_060390532.1, XP_060398840.1	XP_060362262.1						
N3.HOG0002070	OG0001222	n3	XP_060403091.1	XP_060360302.1						
N3.HOG0002071	OG0001222	n5	XP_060390534.1	XP_060366323.1						
N3.HOG0002072	OG0001223	n0	XP_060390598.1	XP_060366258.1						
N3.HOG0002073	OG0001224	n0	XP_060390734.1	XP_060369220.1						
N3.HOG0002074	OG0001225	n0	XP_060390758.1	XP_060370621.1						
N3.HOG0002075	OG0001226	n4	XP_060390823.1	XP_060366542.1, XP_060366548.1						
N3.HOG0002076	OG0001226	n6	XP_060391034.1	XP_060360390.1						
N3.HOG0002077	OG0001227	n0	XP_060390870.1	XP_060364327.1						
N3.HOG0002078	OG0001228	n0	XP_060403609.1, XP_060390894.1	XP_060364347.1						
N3.HOG0002079	OG0001229	n0	XP_060390937.1	XP_060367340.1						
N3.HOG0002080	OG0001230	n0	XP_060390949.1, XP_060392322.1	XP_060370845.1						
N3.HOG0002081	OG0001231	n0	XP_060390965.1	XP_060358511.1						
N3.HOG0002082	OG0001232	n0	XP_060391003.1	XP_060358175.1						
N3.HOG0002083	OG0001233	n0	XP_060391046.1	XP_060360400.1						
N3.HOG0002084	OG0001234	n0	XP_060391061.1	XP_060366394.1						
N3.HOG0002085	OG0001235	n6		XP_060369048.1						
N3.HOG0002086	OG0001235	n7		XP_060369047.1						
N3.HOG0002087	OG0001236	n0	XP_060391189.1	XP_060369065.1						
N3.HOG0002088	OG0001237	n0	XP_060391205.1	XP_060369082.1						
N3.HOG0002089	OG0001238	n0	XP_060391209.1	XP_060369086.1						
N3.HOG0002090	OG0001239	n0	XP_060391228.1	XP_060357659.1						
N3.HOG0002091	OG0001240	n0	XP_060391272.1, XP_060397232.1	XP_060363056.1						
N3.HOG0002092	OG0001241	n0	XP_060391289.1	XP_060357601.1						
N3.HOG0002093	OG0001242	n0	XP_060391316.1	XP_060359885.1						
N3.HOG0002094	OG0001243	n0	XP_060391343.1	XP_060358050.1						
N3.HOG0002095	OG0001244	n0	XP_060391364.1	XP_060361748.1						
N3.HOG0002096	OG0001245	n1		XP_060361782.1						
N3.HOG0002097	OG0001245	n4	XP_060391390.1							
N3.HOG0002098	OG0001246	n0	XP_060391427.1, XP_060391420.1	XP_060360434.1						
N3.HOG0002099	OG0001247	n0	XP_060391429.1	XP_060360435.1						
N3.HOG0002100	OG0001248	n0	XP_060391453.1	XP_060360459.1						
N3.HOG0002101	OG0001249	n0	XP_060391479.1	XP_060358909.1						
N3.HOG0002102	OG0001250	n0	XP_060391487.1	XP_060358918.1, XP_060358917.1						
N3.HOG0002103	OG0001251	n0	XP_060391488.1	XP_060360803.1						
N3.HOG0002104	OG0001252	n0	XP_060391491.1	XP_060357445.1, XP_060360800.1						
N3.HOG0002105	OG0001253	n0	XP_060391495.1	XP_060360796.1						
N3.HOG0002106	OG0001254	n2	XP_060401363.1	XP_060362696.1						
N3.HOG0002107	OG0001254	n4	XP_060391501.1	XP_060371553.1						
N3.HOG0002108	OG0001255	n0	XP_060391510.1	XP_060360782.1						
N3.HOG0002109	OG0001256	n0	XP_060391532.1	XP_060360765.1						
N3.HOG0002110	OG0001257	n0	XP_060391559.1	XP_060357118.1						
N3.HOG0002111	OG0001258	n0	XP_060391575.1	XP_060363655.1						
N3.HOG0002112	OG0001259	n0	XP_060391579.1	XP_060363652.1						
N3.HOG0002113	OG0001260	n0	XP_060391591.1, XP_060397195.1	XP_060363639.1						
N3.HOG0002114	OG0001261	n3	XP_060391593.1	XP_060363638.1						
N3.HOG0002115	OG0001261	n5	XP_060400510.1	XP_060371713.1						
N3.HOG0002116	OG0001262	n0	XP_060391646.1	XP_060357098.1						
N3.HOG0002117	OG0001263	n2	XP_060405519.1							
N3.HOG0002118	OG0001263	n5	XP_060391653.1	XP_060358564.1						
N3.HOG0002119	OG0001264	n0	XP_060391699.1	XP_060359855.1						
N3.HOG0002120	OG0001265	n0	XP_060391707.1	XP_060359863.1						
N3.HOG0002121	OG0001266	n6	XP_060391789.1	XP_060362436.1						
N3.HOG0002122	OG0001266	n7	XP_060402181.1	XP_060358610.1						
N3.HOG0002123	OG0001267	n0	XP_060391803.1	XP_060362448.1						
N3.HOG0002124	OG0001268	n0	XP_060391892.1	XP_060359701.1						
N3.HOG0002125	OG0001269	n0	XP_060391900.1	XP_060359693.1						
N3.HOG0002126	OG0001270	n3	XP_060391901.1	XP_060359692.1						
N3.HOG0002127	OG0001270	n5		XP_060359691.1						
N3.HOG0002128	OG0001271	n4	XP_060391918.1	XP_060359675.1						
N3.HOG0002129	OG0001271	n6	XP_060395300.1	XP_060357856.1						
N3.HOG0002130	OG0001272	n0	XP_060391921.1	XP_060359672.1						
N3.HOG0002131	OG0001273	n0	XP_060391926.1	XP_060359668.1						
N3.HOG0002132	OG0001274	n0	XP_060391947.1	XP_060361832.1						
N3.HOG0002133	OG0001275	n0	XP_060391971.1							
N3.HOG0002134	OG0001276	n0	XP_060391982.1	XP_060368123.1						
N3.HOG0002135	OG0001277	n3	XP_060392040.1							
N3.HOG0002136	OG0001277	n5	XP_060393789.1	XP_060372027.1						
N3.HOG0002137	OG0001278	n0	XP_060392100.1	XP_060360080.1						
N3.HOG0002138	OG0001279	n0	XP_060392103.1	XP_060360077.1						
N3.HOG0002139	OG0001280	n0	XP_060392210.1	XP_060360905.1						
N3.HOG0002140	OG0001281	n0	XP_060392370.1	XP_060366176.1						
N3.HOG0002141	OG0001282	n0	XP_060392380.1	XP_060366168.1						
N3.HOG0002142	OG0001283	n0	XP_060392406.1	XP_060366140.1						
N3.HOG0002143	OG0001284	n0	XP_060392477.1	XP_060361124.1						
N3.HOG0002144	OG0001285	n0	XP_060392518.1	XP_060371495.1						
N3.HOG0002145	OG0001286	n0	XP_060392582.1	XP_060371552.1						
N3.HOG0002146	OG0001287	n0	XP_060392586.1	XP_060371556.1						
N3.HOG0002147	OG0001288	n0	XP_060392625.1	XP_060371588.1						
N3.HOG0002148	OG0001289	n3	XP_060392690.1							
N3.HOG0002149	OG0001289	n6	XP_060392691.1	XP_060371635.1						
N3.HOG0002150	OG0001290	n0	XP_060392766.1	XP_060366527.1						
N3.HOG0002151	OG0001291	n0	XP_060392899.1	XP_060370675.1						
N3.HOG0002152	OG0001292	n0	XP_060397207.1, XP_060392905.1	XP_060370682.1						
N3.HOG0002153	OG0001293	n0	XP_060392938.1	XP_060370712.1						
N3.HOG0002154	OG0001294	n0	XP_060392961.1	XP_060358191.1						
N3.HOG0002155	OG0001295	n0	XP_060392966.1, XP_060392967.1							
